pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
CH,2024-07-21,83.5,3.12,5.25,"Fleming, Josh",642215,676596,force_out,hit_into_play,,,,,14,"Weston Wilson grounds into a force out, shortstop Oneil Cruz to second baseman Nick Gonzales. Edmundo Sosa out at 2nd.",R,R,L,PIT,PHI,X,6,ground_ball,1,0,2024,0.95,-0.18,0.87,1.45,,,624641,2,9,Top,109.03,149.65,,,,,-7.101003534186512,-121.56058851683946,-2.0283577248059346,10.765913143483363,21.6563503882884,-33.7825015702297,3.63,1.63,4,65.5,-21,84.4,1437,6.7,745470,663698,642133,693304,663647,665833,668804,641943,656582,53.82,0.037,0.051,0.0,1,0,0,2,73,2,Changeup,0,6,6,0,6,0,6,0,Standard,Standard,109,0.001,-0.304,72.9,8.2,0.044,0.304,88.0,-6,6,0.002,0.998,28,29,28,30,2,4,12,1,,1,3.42,0.95,-0.95,29.0
SI,2024-07-21,89.2,3.23,5.28,"Fleming, Josh",642215,676596,,ball,,,,,14,"Weston Wilson grounds into a force out, shortstop Oneil Cruz to second baseman Nick Gonzales. Edmundo Sosa out at 2nd.",R,R,L,PIT,PHI,B,,,0,0,2024,1.1,0.13,1.84,2.13,,,624641,2,9,Top,,,,,,,-5.748325516501186,-129.8500921822502,-2.0544322753527733,13.626054745324543,24.735165184307956,-30.47826723155748,3.63,1.74,,,,89.8,1655,6.4,745470,663698,642133,693304,663647,665833,668804,641943,656582,54.07,,,,,,,,73,1,Sinker,0,6,6,0,6,0,6,0,Standard,Standard,113,0.0,0.034,,,,-0.034,,-6,6,0.002,0.998,28,29,28,30,2,4,12,1,,1,2.71,1.1,-1.1,26.4
CH,2024-07-21,84.1,3.24,5.18,"Fleming, Josh",624641,676596,field_error,hit_into_play,,,,,9,Edmundo Sosa reaches on a fielding error by shortstop Oneil Cruz.,R,R,L,PIT,PHI,X,6,ground_ball,0,0,2024,0.89,-0.08,0.66,1.62,,,,2,9,Top,107.82,150.86,,,,,-7.829783150574696,-122.357101209735,-1.806862478130938,10.397268509491202,20.556199436400803,-32.837574589182815,3.61,1.72,13,96.4,-6,85.2,1527,6.7,745470,663698,642133,693304,663647,665833,668804,641943,656582,53.81,0.246,0.262,0.9,1,0,0,2,72,1,Changeup,0,6,6,0,6,0,6,0,Standard,Standard,105,-0.001,0.381,80.8,9.1,0.267,-0.381,96.4,-6,6,0.003,0.997,28,28,28,28,2,4,12,2,,6,3.26,0.89,-0.89,24.9
CU,2024-07-21,75.9,3.31,5.3,"Fleming, Josh",592206,676596,home_run,hit_into_play,,,,,13,Nick Castellanos homers (14) on a fly ball to left field.,R,R,L,PIT,PHI,X,,fly_ball,1,2,2024,-0.84,0.05,-0.06,1.69,,,,2,9,Top,27.67,64.55,,,,,-5.584168244837995,-110.58368930603706,-0.6337626130936889,-6.048254069338161,18.20853698467219,-31.876521843749064,3.86,1.82,409,104.3,34,76.7,2321,6.6,745470,663698,642133,693304,663647,665833,668804,641943,656582,53.9,0.663,1.33,2.0,1,0,3,6,71,5,Curveball,0,5,5,0,6,0,6,0,Standard,Standard,303,-0.003,2.67,75.4,8.2,2.568,-2.67,104.3,-5,5,0.006,0.994,28,32,28,32,1,4,12,1,,1,3.87,-0.84,0.84,36.0
CH,2024-07-21,84.0,3.2,5.15,"Fleming, Josh",592206,676596,,foul,,,,,14,Nick Castellanos homers (14) on a fly ball to left field.,R,R,L,PIT,PHI,S,,,1,2,2024,0.96,0.55,0.84,1.56,,,,2,9,Top,,,,,,,-7.417255761508008,-122.14789970532064,-3.0542413139431983,11.061019665895858,22.486738509374128,-26.297688057183834,3.86,1.82,0,29.5,-75,84.8,1526,6.7,745470,663698,642133,693304,663647,665833,668804,641943,656582,53.82,,,,,,,,71,4,Changeup,0,5,5,0,5,0,5,0,Standard,Standard,110,0.0,0.0,69.2,8.6,,0.0,88.0,-5,5,0.006,0.994,28,32,28,32,1,4,12,1,,1,2.67,0.96,-0.96,30.0
CU,2024-07-21,75.9,3.41,5.38,"Fleming, Josh",592206,676596,,foul,,,,,8,Nick Castellanos homers (14) on a fly ball to left field.,R,R,L,PIT,PHI,S,,,1,1,2024,-1.0,-0.41,0.23,1.76,,,,2,9,Top,,,,,,,-4.869527476047195,-110.53745398655204,0.2446077628985519,-7.377465007631083,19.459060216752036,-35.8268627618194,3.86,1.82,110,48.1,48,76.3,2233,6.5,745470,663698,642133,693304,663647,665833,668804,641943,656582,53.97,,,,,,,,71,3,Curveball,0,5,5,0,5,0,5,0,Standard,Standard,315,0.0,-0.064,65.9,8.8,,0.064,88.0,-5,5,0.006,0.994,28,32,28,32,1,4,12,1,,1,4.36,-1.0,1.0,33.2
CH,2024-07-21,83.3,3.25,5.18,"Fleming, Josh",592206,676596,,foul,,,,,14,Nick Castellanos homers (14) on a fly ball to left field.,R,R,L,PIT,PHI,S,,,1,0,2024,0.78,0.11,0.84,1.8,,,,2,9,Top,,,,,,,-7.114911681777917,-121.24793516436918,-1.6115122640060378,8.985845788423367,20.91086182843232,-30.96083761007361,3.86,1.82,3,67.0,-35,84.3,1411,6.7,745470,663698,642133,693304,663647,665833,668804,641943,656582,53.83,,,,,,,,71,2,Changeup,0,5,5,0,5,0,5,0,Standard,Standard,110,0.0,-0.051,75.0,8.2,,0.051,88.0,-5,5,0.006,0.994,28,32,28,32,1,4,12,1,,1,3.14,0.78,-0.78,26.0
CH,2024-07-21,83.9,3.33,5.14,"Fleming, Josh",592206,676596,,ball,,,,,14,Nick Castellanos homers (14) on a fly ball to left field.,R,R,L,PIT,PHI,B,,,0,0,2024,0.88,0.35,0.9,1.33,,,,2,9,Top,,,,,,,-7.411611435249239,-122.05272718448452,-3.1918579325540755,10.180498579901675,21.417434032759857,-28.24536920339541,3.71,1.66,,,,84.7,1446,6.6,745470,663698,642133,693304,663647,665833,668804,641943,656582,53.9,,,,,,,,71,1,Changeup,0,5,5,0,5,0,5,0,Standard,Standard,108,0.0,0.04,,,,-0.04,,-5,5,0.006,0.994,28,32,28,32,1,4,12,1,,1,2.86,0.88,-0.88,25.2
CU,2024-07-21,75.6,3.37,5.33,"Fleming, Josh",664761,676596,field_out,hit_into_play,,,,,9,Alec Bohm flies out to left fielder Bryan Reynolds.,R,R,L,PIT,PHI,X,7,fly_ball,2,2,2024,-1.25,-0.43,0.46,2.12,,,,1,9,Top,94.48,54.76,,,,,-3.854665572682549,-110.0033973817214,1.191122035897494,-9.448523313668648,19.35110333306561,-36.08895359955138,3.7,1.68,364,97.2,38,76.0,2200,6.6,745470,663698,642133,693304,663647,665833,668804,641943,656582,53.91,0.111,0.219,0.0,1,0,0,3,70,5,Curveball,0,5,5,0,5,0,5,0,Standard,Standard,304,0.0,-0.225,70.5,7.9,0.412,0.225,97.2,-5,5,0.006,0.994,28,27,28,28,1,4,12,1,,1,4.42,-1.25,1.25,34.6
FC,2024-07-21,86.5,3.0,5.54,"Fleming, Josh",664761,676596,,foul,,,,,5,Alec Bohm flies out to left fielder Bryan Reynolds.,R,R,L,PIT,PHI,S,,,2,1,2024,0.16,0.43,-0.27,3.01,,,,1,9,Top,,,,,,,-8.130759372385372,-125.87157550480433,-0.7455556832608207,3.1938090384318256,23.604443227093277,-27.62013050179111,3.7,1.68,166,65.4,58,86.8,1861,6.3,745470,663698,642133,693304,663647,665833,668804,641943,656582,54.17,,,,,,,,70,4,Cutter,0,5,5,0,5,0,5,0,Standard,Standard,124,0.0,-0.078,69.5,6.5,,0.078,88.0,-5,5,0.006,0.994,28,27,28,28,1,4,12,1,,1,2.6,0.16,-0.16,35.6
