pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
FF,2024-07-27,90.5,-1.7,6.7,"Gallegos, Giovanny",671277,606149,field_out,hit_into_play,,,,,3,"Luis García Jr.  grounds out, first baseman Matt Carpenter to pitcher Giovanny Gallegos.",R,L,R,STL,WSH,X,3,ground_ball,3,2,2024,-0.5,1.55,0.38,2.97,,,,1,8,Top,152.45,160.56,,,,,6.2010962651156065,-131.50715984746824,-6.598401046551787,-7.138029852293514,28.31604331178038,-12.917400152025516,3.51,1.72,98,95.9,5,89.5,2319,5.8,745150,575929,572761,680977,669357,691026,666185,672279,663457,54.69,0.54,0.516,0.0,1,0,0,4,70,7,4-Seam Fastball,2,10,10,2,10,2,10,2,Infield shade,Standard,205,0.0,-0.332,76.7,7.6,0.623,0.332,95.9,-8,8,0.002,0.998,32,24,33,24,1,4,3,1,,1,1.24,0.5,-0.5,56.4
FF,2024-07-27,91.9,-1.56,6.73,"Gallegos, Giovanny",671277,606149,,foul,,,,,9,"Luis García Jr.  grounds out, first baseman Matt Carpenter to pitcher Giovanny Gallegos.",R,L,R,STL,WSH,S,,,3,2,2024,-0.77,1.34,0.56,1.96,,,,1,8,Top,,,,,,,6.952409049044836,-133.38272912465942,-8.977431664987403,-10.771107499702511,30.02394830804642,-14.376896861265193,3.51,1.72,2,72.9,-40,90.6,2344,5.7,745150,575929,572761,680977,669357,691026,666185,672279,663457,54.77,,,,,,,,70,6,4-Seam Fastball,2,10,10,2,10,2,10,2,Infield shade,Standard,203,0.0,0.0,,,,0.0,88.0,-8,8,0.002,0.998,32,24,33,24,1,4,3,1,,1,1.38,0.77,-0.77,58.5
CH,2024-07-27,86.7,-1.81,6.61,"Gallegos, Giovanny",671277,606149,,ball,,,,,14,"Luis García Jr.  grounds out, first baseman Matt Carpenter to pitcher Giovanny Gallegos.",R,L,R,STL,WSH,B,,,2,2,2024,-1.0,0.96,0.08,0.92,,,,1,8,Top,,,,,,,6.484135600098613,-125.81295607060008,-9.274345285209431,-11.905584121948444,24.916035409273466,-20.242585673878256,3.53,1.72,,,,85.9,1637,5.9,745150,575929,572761,680977,669357,691026,666185,672279,663457,54.63,,,,,,,,70,5,Changeup,2,10,10,2,10,2,10,2,Infield shade,Standard,211,0.0,0.108,,,,-0.108,,-8,8,0.002,0.998,32,24,33,24,1,4,3,1,,1,2.08,1.0,-1.0,54.4
SL,2024-07-27,82.8,-1.58,6.83,"Gallegos, Giovanny",671277,606149,,ball,,,,,13,"Luis García Jr.  grounds out, first baseman Matt Carpenter to pitcher Giovanny Gallegos.",R,L,R,STL,WSH,B,,,1,2,2024,0.05,0.0,-0.06,1.3,,,,1,8,Top,,,,,,,3.3390920670972415,-120.51283676681156,-6.077404973080603,-0.1696195329744244,23.148857194679195,-31.25624316122589,3.54,1.72,,,,82.0,2267,5.7,745150,575929,572761,680977,669357,691026,666185,672279,663457,54.77,,,,,,,,70,4,Slider,2,10,10,2,10,2,10,2,Infield shade,Standard,4,0.0,0.043,,,,-0.043,,-8,8,0.002,0.998,32,24,33,24,1,4,3,1,,1,3.32,-0.05,0.05,60.8
CH,2024-07-27,86.3,-1.86,6.64,"Gallegos, Giovanny",671277,606149,,swinging_strike,,,,,13,"Luis García Jr.  grounds out, first baseman Matt Carpenter to pitcher Giovanny Gallegos.",R,L,R,STL,WSH,S,,,1,1,2024,-0.94,0.98,-1.15,2.47,,,,1,8,Top,,,,,,,3.5637651301826523,-125.51354023757712,-5.584818242873762,-10.652277120335842,27.6831802492702,-20.866134742768555,3.51,1.72,,,,85.0,1639,5.6,745150,575929,572761,680977,669357,691026,666185,672279,663457,54.85,,,,,,,,70,3,Changeup,2,10,10,2,10,2,10,2,Infield shade,Standard,213,0.0,-0.061,34.2,6.3,,0.061,,-8,8,0.002,0.998,32,24,33,24,1,4,3,1,,1,2.11,0.94,-0.94,54.0
FF,2024-07-27,92.3,-1.41,6.68,"Gallegos, Giovanny",671277,606149,,ball,,,,,12,"Luis García Jr.  grounds out, first baseman Matt Carpenter to pitcher Giovanny Gallegos.",R,L,R,STL,WSH,B,,,0,1,2024,-0.53,1.43,1.88,2.8,,,,1,8,Top,,,,,,,9.3980025511051,-133.9928187221982,-7.074415519600431,-8.42083649078857,29.291483438477652,-13.505116303065318,3.56,1.72,,,,91.3,2288,5.8,745150,575929,572761,680977,669357,691026,666185,672279,663457,54.68,,,,,,,,70,2,4-Seam Fastball,2,10,10,2,10,2,10,2,Infield shade,Standard,205,0.0,0.024,,,,-0.024,,-8,8,0.002,0.998,32,24,33,24,1,4,3,1,,1,1.26,0.53,-0.53,58.9
FF,2024-07-27,91.9,-1.71,6.72,"Gallegos, Giovanny",671277,606149,,foul,,,,,2,"Luis García Jr.  grounds out, first baseman Matt Carpenter to pitcher Giovanny Gallegos.",R,L,R,STL,WSH,S,,,0,0,2024,-0.54,1.47,-0.2,3.28,,,,1,8,Top,,,,,,,4.937538873972862,-133.57515046616217,-5.938651582901349,-7.615521364323715,30.6207402635262,-13.504145200610798,3.51,1.72,212,74.9,24,90.5,2314,5.7,745150,575929,572761,680977,669357,691026,666185,672279,663457,54.83,,,,,,,,70,1,4-Seam Fastball,2,10,10,2,10,2,10,2,Infield shade,Standard,209,0.0,-0.037,71.6,6.5,,0.037,88.0,-8,8,0.002,0.998,32,24,33,24,1,4,3,1,,1,1.25,0.54,-0.54,56.7
FF,2024-07-27,92.4,-1.55,6.77,"Gallegos, Giovanny",660688,606149,strikeout,called_strike,,,,,12,Keibert Ruiz called out on strikes.,R,L,R,STL,WSH,S,2,,2,2,2024,-0.51,1.4,0.87,2.49,,,,0,8,Top,,,,,,,7.18505463671024,-134.1490159725047,-8.015520378114765,-7.735972443255561,28.788140889781356,-13.742715245995734,3.32,1.49,,,,91.2,2263,5.7,745150,575929,572761,680977,669357,691026,666185,672279,663457,54.8,,0.0,0.0,1,0,0,,69,6,4-Seam Fastball,2,10,10,2,10,2,10,2,Infield shade,Standard,204,0.0,-0.227,,,,0.227,,-8,8,0.002,0.998,32,25,33,26,1,4,3,1,,1,1.28,0.51,-0.51,58.3
FF,2024-07-27,92.4,-1.6,6.73,"Gallegos, Giovanny",660688,606149,,foul,,,,,4,Keibert Ruiz called out on strikes.,R,L,R,STL,WSH,S,,,2,2,2024,-0.79,1.39,-0.71,2.66,,,,0,8,Top,,,,,,,3.9413091644203497,-134.37359079397277,-7.486417994132765,-10.448191707450954,30.0498432334775,-13.922899718239565,3.39,1.57,150,76.9,13,91.3,2375,5.7,745150,575929,572761,680977,669357,691026,666185,672279,663457,54.77,,,,,,,,69,5,4-Seam Fastball,2,10,10,2,10,2,10,2,Infield shade,Standard,203,0.0,0.0,69.1,7.1,,0.0,88.0,-8,8,0.002,0.998,32,25,33,26,1,4,3,1,,1,1.29,0.79,-0.79,59.1
FF,2024-07-27,92.5,-1.57,6.81,"Gallegos, Giovanny",660688,606149,,ball,,,,,11,Keibert Ruiz called out on strikes.,R,L,R,STL,WSH,B,,,1,2,2024,-0.78,1.34,-1.56,4.03,,,,0,8,Top,,,,,,,1.6875333169041282,-134.67468719264963,-4.131352347752815,-9.78749915860404,30.87312079824255,-15.172359889845293,3.42,1.57,,,,91.2,2319,5.6,745150,575929,572761,680977,669357,691026,666185,672279,663457,54.9,,,,,,,,69,4,4-Seam Fastball,2,10,10,2,10,2,10,2,Infield shade,Standard,203,0.0,0.04,,,,-0.04,,-8,8,0.002,0.998,32,25,33,26,1,4,3,1,,1,1.33,0.78,-0.78,56.4
