pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
CH,2024-06-01,88.9,2.4,4.86,"Gasser, Robert",657557,688107,field_out,hit_into_play,,,,,8,Paul DeJong flies out to center fielder Blake Perkins.,R,R,L,MIL,CWS,X,8,fly_ball,0,0,2024,1.44,0.52,-0.14,1.73,,,667452,2,5,Top,108.07,88.75,,,,,-9.29993562171864,-129.14021358749375,-2.7023099799492045,18.075567314834743,27.37134311331169,-25.99643409059267,3.43,1.51,278,79.2,37,89.4,1934,6.8,745980,661388,656555,668930,687401,642715,592885,663368,694192,53.74,0.037,0.039,0.0,1,0,0,3,39,1,Changeup,1,3,3,1,3,1,3,1,Standard,Standard,128,0.018,-0.271,76.5,7.4,0.057,0.271,88.0,-2,2,0.259,0.741,25,30,25,31,3,2,5,1,,1,2.38,1.44,-1.44,20.6
FF,2024-06-01,90.0,2.3,5.08,"Gasser, Robert",667452,688107,single,hit_into_play,,,,,4,Corey Julks singles on a line drive to center fielder Blake Perkins.,R,R,L,MIL,CWS,X,8,line_drive,1,2,2024,0.7,1.05,-0.4,2.5,,,,2,5,Top,97.11,84.17,,,,,-8.25038544725936,-130.85633837152596,-2.6841518601452963,9.7832342721697,26.797198132576742,-19.703416057078787,3.37,1.57,295,97.7,16,90.9,1983,6.8,745980,661388,656555,668930,687401,642715,592885,663368,694192,53.69,0.623,0.651,0.9,1,1,0,4,38,4,4-Seam Fastball,1,3,3,1,3,1,3,1,Infield shade,Standard,139,-0.01,0.408,70.7,6.7,0.891,-0.408,97.7,-2,2,0.269,0.731,25,28,25,28,3,2,5,1,,1,1.76,0.7,-0.7,25.5
CH,2024-06-01,85.5,2.3,5.03,"Gasser, Robert",667452,688107,,foul,,,,,14,Corey Julks singles on a line drive to center fielder Blake Perkins.,R,R,L,MIL,CWS,S,,,1,1,2024,1.58,0.25,0.98,2.13,,,,2,5,Top,,,,,,,-6.368594570861426,-124.4001334695392,-1.0454962095868718,17.698102685627656,25.48583340262509,-29.578415340420435,3.37,1.57,,,,86.2,1962,6.8,745980,661388,656555,668930,687401,642715,592885,663368,694192,53.7,,,,,,,,38,3,Changeup,1,3,3,1,3,1,3,1,Infield shade,Standard,110,0.0,-0.064,73.6,7.4,,0.064,,-2,2,0.269,0.731,25,28,25,28,3,2,5,1,,1,2.87,1.58,-1.58,24.6
ST,2024-06-01,78.2,2.25,4.98,"Gasser, Robert",667452,688107,,called_strike,,,,,8,Corey Julks singles on a line drive to center fielder Blake Perkins.,R,R,L,MIL,CWS,S,,,1,0,2024,-1.54,0.29,0.23,2.0,,,,2,5,Top,,,,,,,-1.5080900994413635,-113.87670375960592,-0.0240461315011268,-13.016266010575873,22.87001074508149,-29.891194076512978,3.38,1.45,,,,78.5,2416,6.7,745980,661388,656555,668930,687401,642715,592885,663368,694192,53.8,,,,,,,,38,2,Sweeper,1,3,3,1,3,1,3,1,Infield shade,Standard,283,0.0,-0.051,,,,0.051,,-2,2,0.269,0.731,25,28,25,28,3,2,5,1,,1,3.46,-1.54,1.54,27.2
ST,2024-06-01,77.4,2.23,4.95,"Gasser, Robert",667452,688107,,ball,,,,,13,Corey Julks singles on a line drive to center fielder Blake Perkins.,R,R,L,MIL,CWS,B,,,0,0,2024,-1.65,0.56,-1.7,2.24,,,,2,5,Top,,,,,,,-5.410743028880003,-112.64761110543448,0.2015689291861733,-12.872074442117622,22.585475806368216,-27.743032921510363,3.38,1.59,,,,77.8,2441,6.8,745980,661388,656555,668930,687401,642715,592885,663368,694192,53.73,,,,,,,,38,1,Sweeper,1,3,3,1,3,1,3,1,Infield shade,Standard,279,0.0,0.04,,,,-0.04,,-2,2,0.269,0.731,25,28,25,28,3,2,5,1,,1,3.28,-1.65,1.65,25.7
SI,2024-06-01,89.6,2.3,4.83,"Gasser, Robert",686676,688107,field_out,hit_into_play,,,,,5,Korey Lee flies out to second baseman Brice Turang.,R,R,L,MIL,CWS,X,4,fly_ball,0,1,2024,1.25,1.06,0.05,2.79,,,,1,5,Top,169.74,128.36,,,,,-8.294718186455556,-130.1872979046275,-1.233656328418565,16.003631622711872,28.65283706303606,-20.157175331968286,3.55,1.61,208,91.9,58,90.2,1950,6.8,745980,661388,656555,668930,687401,642715,592885,663368,694192,53.66,0.011,0.013,0.0,1,0,0,3,37,2,Sinker,1,3,3,1,3,1,3,1,Standard,Standard,134,0.013,-0.219,72.3,6.9,0.018,0.219,91.9,-2,2,0.256,0.744,25,25,25,26,3,2,5,1,,1,1.8,1.25,-1.25,25.2
ST,2024-06-01,76.9,2.35,5.0,"Gasser, Robert",686676,688107,,called_strike,,,,,9,Korey Lee flies out to second baseman Brice Turang.,R,R,L,MIL,CWS,S,,,0,0,2024,-1.13,0.29,0.55,2.17,,,,1,5,Top,,,,,,,-1.7759550625846203,-112.01640139219462,0.481366464726906,-9.154738836013124,21.21914764467062,-30.028416833480858,3.57,1.66,,,,77.4,2294,6.7,745980,661388,656555,668930,687401,642715,592885,663368,694192,53.78,,,,,,,,37,1,Sweeper,1,3,3,1,3,1,3,1,Standard,Standard,283,0.0,-0.037,,,,0.037,,-2,2,0.256,0.744,25,25,25,26,3,2,5,1,,1,3.57,-1.13,1.13,24.4
CH,2024-06-01,84.3,2.57,4.98,"Gasser, Robert",502054,688107,field_out,hit_into_play,,,,,6,"Tommy Pham grounds out, shortstop Willy Adames to first baseman Rhys Hoskins.",R,R,L,MIL,CWS,X,6,ground_ball,1,0,2024,1.47,0.39,0.6,2.33,,,,0,5,Top,106.71,151.84,,,,,-7.553726365856594,-122.53412169531384,-0.5413174146718881,16.2822746855282,23.863657916380337,-28.39365291777284,3.53,1.63,84,102.5,3,84.8,1979,6.6,745980,661388,656555,668930,687401,642715,592885,663368,694192,53.86,0.56,0.512,0.0,1,0,0,4,36,2,Changeup,1,3,3,1,3,1,3,1,Standard,Standard,115,0.017,-0.292,72.6,7.1,0.621,0.292,102.5,-2,2,0.239,0.761,25,36,25,36,3,2,5,1,,1,2.83,1.47,-1.47,24.3
ST,2024-06-01,76.3,2.46,5.0,"Gasser, Robert",502054,688107,,ball,,,,,12,"Tommy Pham grounds out, shortstop Willy Adames to first baseman Rhys Hoskins.",R,R,L,MIL,CWS,B,,,0,0,2024,-1.27,0.32,0.91,2.75,,,,0,5,Top,,,,,,,-0.9855053965534666,-111.06641837912206,1.7524982834606535,-10.300515298638889,20.30692253710345,-30.09254312122449,3.55,1.74,,,,76.6,2310,6.6,745980,661388,656555,668930,687401,642715,592885,663368,694192,53.93,,,,,,,,36,1,Sweeper,1,3,3,1,3,1,3,1,Standard,Standard,200,0.0,0.038,,,,-0.038,,-2,2,0.239,0.761,25,36,25,36,3,2,5,1,,1,3.6,-1.27,1.27,27.1
CH,2024-06-01,90.1,2.38,4.84,"Gasser, Robert",621545,688107,force_out,hit_into_play,,,,,7,"Zach Remillard grounds into a force out, third baseman Joey Ortiz to second baseman Brice Turang.   Danny Mendick out at 2nd.",R,R,L,MIL,CWS,X,5,ground_ball,1,1,2024,1.31,0.49,-0.31,1.91,,672820,664901,2,4,Top,104.05,165.14,,,,,-9.553570307159823,-130.79486947639586,-2.325864832854415,17.033548703516708,28.714665269599596,-26.217177062115304,3.51,1.58,91,102.0,5,90.7,1929,6.9,745980,661388,656555,668930,687401,642715,592885,663368,694192,53.63,0.62,0.576,0.0,1,0,0,4,31,3,Changeup,1,3,3,1,3,1,3,1,Standard,Standard,128,0.034,-0.265,71.9,7.1,0.681,0.265,102.0,-2,2,0.266,0.734,25,30,25,30,2,1,5,4,,,2.34,1.31,-1.31,21.5
