pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
FF,2024-08-24,94.7,-0.19,6.08,"Gillaspie, Logan",668901,670810,strikeout,swinging_strike,,,,,5,Mark Vientos strikes out swinging.,R,R,R,SD,NYM,S,2,,1,2,2024,-0.52,1.56,-0.16,2.81,,,,2,9,Top,,,,,,,1.2121819614853473,-137.75707196320278,-6.289885704574561,-6.814451557319215,32.692049995241696,-11.182842888580511,3.51,1.62,,,,94.3,2246,6.2,745377,543309,650333,593428,592518,669200,595777,701538,669369,54.28,,0.0,0.0,1,0,0,,69,5,4-Seam Fastball,1,7,7,1,7,1,7,1,Standard,Standard,210,0.0,-0.18,68.8,6.9,,0.18,,-6,6,0.003,0.997,27,24,27,25,1,4,2,1,,1,1.0,0.52,0.52,50.8
FF,2024-08-24,94.8,-0.47,6.04,"Gillaspie, Logan",668901,670810,,ball,,,,,14,Mark Vientos strikes out swinging.,R,R,R,SD,NYM,B,,,0,2,2024,-0.78,1.28,0.47,1.12,,,,2,9,Top,,,,,,,4.182801997472166,-137.59596593857512,-9.958537044335102,-10.83706322040126,32.872845407049155,-13.834416804964642,3.75,1.63,,,,94.3,2276,6.3,745377,543309,650333,593428,592518,669200,595777,701538,669369,54.19,,,,,,,,69,4,4-Seam Fastball,1,7,7,1,7,1,7,1,Strategic,Standard,212,0.0,0.023,,,,-0.023,,-6,6,0.003,0.997,27,24,27,25,1,4,2,1,,1,1.29,0.78,0.78,49.5
ST,2024-08-24,81.7,-0.42,5.93,"Gillaspie, Logan",668901,670810,,foul,,,,,9,Mark Vientos strikes out swinging.,R,R,R,SD,NYM,S,,,0,2,2024,1.54,-0.62,0.6,1.8,,,,2,9,Top,,,,,,,-0.6691445176253454,-118.9493201298947,-1.4740603381129265,14.631497759906855,25.450641500726363,-37.88722772872566,3.51,1.62,1,62.4,-56,81.2,2246,6.2,745377,543309,650333,593428,592518,669200,595777,701538,669369,54.29,,,,,,,,69,3,Sweeper,1,7,7,1,7,1,7,1,Standard,Standard,50,0.0,0.0,61.8,7.7,,0.0,88.0,-6,6,0.003,0.997,27,24,27,25,1,4,2,1,,1,4.06,-1.54,-1.54,46.7
CU,2024-08-24,81.4,-0.45,6.1,"Gillaspie, Logan",668901,670810,,swinging_strike,,,,,9,Mark Vientos strikes out swinging.,R,R,R,SD,NYM,S,,,0,1,2024,0.16,-0.54,0.78,2.21,,,,2,9,Top,,,,,,,2.4687452660991607,-118.5115930921954,-1.082563286333846,0.9783402977270974,23.2708813580191,-37.29181256805113,3.51,1.62,,,,81.6,2239,6.5,745377,543309,650333,593428,592518,669200,595777,701538,669369,54.04,,,,,,,,69,2,Curveball,1,7,7,1,7,1,7,1,Standard,Standard,40,0.0,-0.058,67.0,8.5,,0.058,,-6,6,0.003,0.997,27,24,27,25,1,4,2,1,,1,3.99,-0.16,-0.16,54.2
FF,2024-08-24,94.3,-0.41,6.07,"Gillaspie, Logan",668901,670810,,called_strike,,,,,2,Mark Vientos strikes out swinging.,R,R,R,SD,NYM,S,,,0,0,2024,-0.63,1.47,-0.26,3.5,,,,2,9,Top,,,,,,,1.7885105875668488,-137.31535943104478,-4.231218276444826,-8.314657861133208,32.50821176426908,-12.871062379306832,3.73,1.67,,,,94.0,2177,6.3,745377,543309,650333,593428,592518,669200,595777,701538,669369,54.25,,,,,,,,69,1,4-Seam Fastball,1,7,7,1,7,1,7,1,Standard,Standard,212,0.0,-0.041,,,,0.041,,-6,6,0.003,0.997,27,24,27,25,1,4,2,1,,1,1.1,0.63,0.63,47.8
CH,2024-08-24,89.1,-0.55,5.92,"Gillaspie, Logan",596019,670810,field_out,hit_into_play,,,,,7,"Francisco Lindor grounds out, second baseman Xander Bogaerts to first baseman Luis Arraez.",R,L,R,SD,NYM,X,4,ground_ball,1,1,2024,-1.49,0.41,-0.4,1.47,,,,1,9,Top,140.18,145.54,,,,,3.504687864787134,-129.51505501381172,-5.66111413884333,-17.50020199010231,29.89838621646457,-26.524284676519965,3.36,1.58,3,96.3,-23,88.5,1629,6.2,745377,543309,650333,593428,592518,669200,595777,701538,669369,54.27,0.126,0.116,0.0,1,0,0,2,68,3,Changeup,1,7,7,1,7,1,7,1,Infield shade,Standard,245,0.001,-0.243,74.5,7.5,0.141,0.243,96.3,-6,6,0.002,0.998,27,30,27,31,1,4,2,1,,1,2.49,1.49,-1.49,43.8
FC,2024-08-24,92.1,-0.41,5.96,"Gillaspie, Logan",596019,670810,,swinging_strike,,,,,4,"Francisco Lindor grounds out, second baseman Xander Bogaerts to first baseman Luis Arraez.",R,L,R,SD,NYM,S,,,1,0,2024,-0.79,0.84,-0.37,2.61,,,,1,9,Top,,,,,,,1.8388288135213136,-133.99993489930765,-4.435450276182212,-9.904145091201006,32.00379499731011,-21.305623998676523,3.36,1.58,,,,91.4,2326,6.1,745377,543309,650333,593428,592518,669200,595777,701538,669369,54.37,,,,,,,,68,2,Cutter,1,7,7,1,7,1,7,1,Infield shade,Standard,205,0.0,-0.051,70.3,6.3,,0.051,,-6,6,0.002,0.998,27,30,27,31,1,4,2,1,,1,1.87,0.79,-0.79,48.8
FF,2024-08-24,94.2,-0.3,6.15,"Gillaspie, Logan",596019,670810,,ball,,,,,14,"Francisco Lindor grounds out, second baseman Xander Bogaerts to first baseman Luis Arraez.",R,L,R,SD,NYM,B,,,0,0,2024,-0.57,1.42,0.02,1.46,,,,1,9,Top,,,,,,,2.080639872312999,-136.78954708590973,-9.500063882249918,-7.571776274075031,34.66304030750514,-12.353416785338238,3.53,1.72,,,,93.4,2206,6.3,745377,543309,650333,593428,592518,669200,595777,701538,669369,54.25,,,,,,,,68,1,4-Seam Fastball,1,7,7,1,7,1,7,1,Infield shade,Standard,214,0.0,0.039,,,,-0.039,,-6,6,0.002,0.998,27,30,27,31,1,4,2,1,,1,1.19,0.57,-0.57,52.9
CU,2024-08-24,81.3,-0.22,6.13,"Gillaspie, Logan",643446,670810,field_out,hit_into_play,,,,,13,Jeff McNeil flies out to left fielder Jurickson Profar.,R,L,R,SD,NYM,X,7,fly_ball,0,0,2024,-0.09,-0.88,-0.85,2.45,,,,0,9,Top,67.17,88.39,,,,,-1.2446499828136506,-118.30279741055816,0.1146029416013594,-0.5295952806830017,25.036583770116017,-40.62931639673904,3.52,1.68,310,90.4,32,80.7,2297,6.1,745377,543309,650333,593428,592518,669200,595777,701538,669369,54.38,0.063,0.092,0.0,1,0,0,3,67,1,Curveball,1,7,7,1,7,1,7,1,Standard,Standard,24,0.0,-0.254,70.7,7.3,0.15,0.254,90.4,-6,6,0.002,0.998,27,32,27,32,1,3,2,1,,3,4.36,0.09,-0.09,57.3
CU,2024-08-24,81.6,-0.19,6.12,"Gillaspie, Logan",682626,670810,field_out,hit_into_play,,,,,2,Francisco Alvarez lines out to right fielder Bryce Johnson.,R,R,R,SD,NYM,X,9,line_drive,0,0,2024,0.28,-0.69,-0.14,3.25,,,,2,8,Top,202.53,100.82,,,,,-0.4196722830827539,-118.80539584688157,1.510953644401512,2.6978303154117524,24.925139182657464,-39.21746332140382,3.33,1.55,308,99.2,21,81.2,2223,6.2,745377,543309,650333,593428,592518,669200,595777,701538,669369,54.32,0.343,0.439,0.0,1,0,0,5,62,1,Curveball,1,7,7,1,7,1,7,1,Standard,Standard,20,0.001,-0.256,70.2,6.1,0.7,0.256,99.2,-6,6,0.008,0.992,27,22,27,23,1,3,2,1,,3,4.14,-0.28,-0.28,59.4
