pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
FF,2024-09-28,98.0,-1.92,6.46,"Ginkel, Kevin",605113,656464,strikeout,foul_tip,,,,,3,Nick Ahmed strikes out on a foul tip.,R,R,R,AZ,SD,S,2,,2,2,2024,-0.76,1.37,0.34,3.24,,,593428,0,6,Top,,,,,,,7.956142459249784,-142.4644112337989,-6.4802155979508465,-12.151584294587988,31.190536518458117,-12.119793852387623,3.69,1.76,,,,99.2,2418,6.9,747146,672515,572233,606466,553993,672695,666971,664983,682998,53.61,,0.0,0.0,1,0,0,,41,5,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,216,0.049,-0.228,64.4,6.3,,0.228,,0,0,0.447,0.553,30,34,30,34,1,2,1,41,,1,0.99,0.76,0.76,40.0
SI,2024-09-28,94.6,-2.1,6.44,"Ginkel, Kevin",605113,656464,,foul_tip,,,,,1,Nick Ahmed strikes out on a foul tip.,R,R,R,AZ,SD,S,,,2,1,2024,-1.24,1.01,-0.82,3.25,,,593428,0,6,Top,,,,,,,6.177947409342259,-137.72236881396225,-4.971641574232938,-17.114990635461915,28.432305157533,-18.416440187387625,3.69,1.76,,,,96.0,2320,6.9,747146,672515,572233,606466,553993,672695,666971,664983,682998,53.58,,,,,,,,41,4,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,216,0.0,-0.048,68.6,6.2,,0.048,,0,0,0.447,0.553,30,34,30,34,1,2,1,41,,1,1.52,1.24,1.24,40.4
SI,2024-09-28,94.0,-2.01,6.34,"Ginkel, Kevin",605113,656464,,called_strike,,,,,8,Nick Ahmed strikes out on a foul tip.,R,R,R,AZ,SD,S,,,2,0,2024,-1.31,1.03,0.04,1.65,,,593428,0,6,Top,,,,,,,8.299287534820992,-136.51674703733298,-8.829006822885367,-18.127019617077604,28.132873325153145,-17.495584000154867,3.69,1.74,,,,95.3,2303,7.0,747146,672515,572233,606466,553993,672695,666971,664983,682998,53.49,,,,,,,,41,3,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,218,0.0,-0.074,,,,0.074,,0,0,0.447,0.553,30,34,30,34,1,2,1,41,,1,1.54,1.31,1.31,47.2
SL,2024-09-28,86.9,-1.9,6.64,"Ginkel, Kevin",605113,656464,,ball,,,,,14,Nick Ahmed strikes out on a foul tip.,R,R,R,AZ,SD,B,,,1,0,2024,0.44,0.02,0.83,1.92,,,593428,0,6,Top,,,,,,,5.690534259613467,-126.48347427280136,-5.274287732632392,3.764545010844603,21.994723931564582,-31.18392315957562,3.64,1.71,,,,88.1,2426,6.7,747146,672515,572233,606466,553993,672695,666971,664983,682998,53.8,,,,,,,,41,2,Slider,0,0,0,0,0,0,0,0,Standard,Standard,68,0.0,0.068,,,,-0.068,,0,0,0.447,0.553,30,34,30,34,1,2,1,41,,1,2.96,-0.44,-0.44,45.2
SL,2024-09-28,87.5,-2.08,6.52,"Ginkel, Kevin",605113,656464,,blocked_ball,,,,,14,Nick Ahmed strikes out on a foul tip.,R,R,R,AZ,SD,B,,,0,0,2024,0.31,-0.03,0.58,0.91,,,593428,0,6,Top,,,,,,,5.796037952066192,-127.26964530979592,-7.407775766090998,2.283632328219777,25.16037401769995,-31.26489555637305,3.69,1.73,,,,88.3,2296,6.7,747146,672515,572233,606466,553993,672695,666971,664983,682998,53.77,,,,,,,,41,1,Slider,0,0,0,0,0,0,0,0,Standard,Standard,67,0.0,0.042,,,,-0.042,,0,0,0.447,0.553,30,34,30,34,1,2,1,41,,1,3.01,-0.31,-0.31,41.3
FF,2024-09-28,96.6,-1.86,6.54,"Ginkel, Kevin",593428,656464,single,hit_into_play,,,,,6,Xander Bogaerts singles on a sharp line drive to right fielder Corbin Carroll.,R,R,R,AZ,SD,X,9,line_drive,0,1,2024,-0.66,1.43,0.63,2.82,,,,0,6,Top,169.31,87.78,,,,,8.186734793446941,-140.3738028536559,-7.645994784289344,-10.597728488674552,31.728113439185385,-11.72095519380232,3.57,1.58,211,101.3,9,97.2,2434,6.7,747146,672515,572233,606466,553993,672695,666971,664983,682998,53.79,0.734,0.709,0.9,1,1,0,4,40,2,4-Seam Fastball,0,0,0,0,0,0,0,0,Strategic,Standard,217,-0.053,0.485,73.4,6.9,0.87,-0.485,101.3,0,0,0.5,0.5,30,31,30,32,1,2,1,1,,3,1.02,0.66,0.66,42.4
SL,2024-09-28,85.6,-2.11,6.56,"Ginkel, Kevin",593428,656464,,called_strike,,,,,5,Xander Bogaerts singles on a sharp line drive to right fielder Corbin Carroll.,R,R,R,AZ,SD,S,,,0,0,2024,0.2,-0.12,0.14,2.88,,,,0,6,Top,,,,,,,4.936443343087912,-124.57403820506094,-2.191664002390942,1.085811291469581,24.411580884533553,-33.21243903442165,3.64,1.73,,,,86.3,2316,6.7,747146,672515,572233,606466,553993,672695,666971,664983,682998,53.82,,,,,,,,40,1,Slider,0,0,0,0,0,0,0,0,Strategic,Standard,73,0.0,-0.037,,,,0.037,,0,0,0.5,0.5,30,31,30,32,1,2,1,1,,3,3.22,-0.2,-0.2,44.3
FF,2024-09-28,95.7,-2.06,6.54,"Ginkel, Kevin",592518,656464,field_out,hit_into_play,,,,,1,Manny Machado flies out to right fielder Corbin Carroll.,R,R,R,AZ,SD,X,9,fly_ball,1,1,2024,-1.14,1.2,-0.41,3.4,,595777,456781,2,5,Top,172.14,108.92,,,,,6.989178285057222,-139.16011888001668,-5.420030400240785,-16.413040397910933,31.43608585836184,-15.520110234825829,3.59,1.59,261,78.8,41,96.4,2378,6.7,747146,672515,572233,606466,553993,672695,666971,664983,682998,53.77,0.026,0.023,0.0,1,0,0,3,36,3,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,220,0.058,-0.263,76.8,7.4,0.026,0.263,88.0,0,0,0.507,0.493,30,31,30,32,1,2,1,1,,3,1.29,1.14,1.14,40.2
FF,2024-09-28,96.2,-1.91,6.56,"Ginkel, Kevin",592518,656464,,ball,,,,,6,Manny Machado flies out to right fielder Corbin Carroll.,R,R,R,AZ,SD,B,,,0,1,2024,-0.94,1.31,0.68,2.74,,595777,456781,2,5,Top,,,,,,,9.083573470400715,-139.73499215987903,-7.557070073713832,-14.405834244882504,31.24572646752951,-13.452902495421876,3.59,1.64,,,,97.0,2436,6.8,747146,672515,572233,606466,553993,672695,666971,664983,682998,53.7,,,,,,,,36,2,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,224,0.0,0.033,,,,-0.033,,0,0,0.507,0.493,30,31,30,32,1,2,1,1,,3,1.16,0.94,0.94,43.4
SL,2024-09-28,87.4,-2.09,6.53,"Ginkel, Kevin",592518,656464,,called_strike,,,,,9,Manny Machado flies out to right fielder Corbin Carroll.,R,R,R,AZ,SD,S,,,0,0,2024,0.23,-0.2,0.37,2.08,,595777,456781,2,5,Top,,,,,,,5.496280703132946,-127.27248512316812,-4.287913285235851,1.5510783642640704,22.953779609981783,-33.74538048009928,3.65,1.67,,,,88.4,2303,6.6,747146,672515,572233,606466,553993,672695,666971,664983,682998,53.87,,,,,,,,36,1,Slider,0,0,0,0,0,0,0,0,Standard,Standard,79,0.0,-0.048,,,,0.048,,0,0,0.507,0.493,30,31,30,32,1,2,1,1,,3,3.15,-0.23,-0.23,43.7
SL,2024-09-27,88.1,-2.1,6.46,"Ginkel, Kevin",592518,656464,field_out,hit_into_play,,,,,9,Manny Machado flies out to center fielder Corbin Carroll.,R,R,R,AZ,SD,X,8,fly_ball,0,1,2024,0.29,0.17,0.33,2.18,650333,,,2,9,Top,143.28,68.36,,,,,5.364522044393525,-128.30684580277762,-4.804777821185373,2.334383386377611,21.749127845872422,-29.599364165142163,3.58,1.59,370,95.8,30,89.8,2483,6.9,747145,672515,572233,606466,553993,672695,666971,682998,656976,53.62,0.211,0.371,0.0,1,0,0,5,75,2,Slider,3,5,5,3,5,3,5,3,Standard,Standard,110,0.014,-0.232,80.1,8.2,0.683,0.232,95.8,-2,2,0.073,0.927,30,31,30,32,1,4,2,1,1,1,2.72,-0.29,-0.29,46.2
FF,2024-09-27,97.5,-2.02,6.44,"Ginkel, Kevin",592518,656464,,called_strike,,,,,2,Manny Machado flies out to center fielder Corbin Carroll.,R,R,R,AZ,SD,S,,,0,0,2024,-0.76,1.29,-0.27,3.18,650333,,,2,9,Top,,,,,,,6.516786636064149,-141.8566717761853,-6.315094870667676,-11.691154960083036,30.72723807445008,-13.545341826657992,3.7,1.67,,,,98.9,2312,7.0,747145,672515,572233,606466,553993,672695,666971,682998,656976,53.55,,,,,,,,75,1,4-Seam Fastball,3,5,5,3,5,3,5,3,Standard,Standard,224,0.0,-0.039,,,,0.039,,-2,2,0.073,0.927,30,31,30,32,1,4,2,1,1,1,1.1,0.76,0.76,41.9
SL,2024-09-27,89.4,-2.23,6.36,"Ginkel, Kevin",595777,656464,strikeout,swinging_strike_blocked,,,,,13,Jurickson Profar strikes out swinging.,R,L,R,AZ,SD,S,2,,2,2,2024,0.23,0.13,-0.18,0.43,650333,,,1,9,Top,,,,,,,4.61568217963426,-130.07723408074955,-9.032030387827207,1.8054059340994268,24.62579521853909,-29.194848712852107,3.33,1.6,,,,90.9,2583,7.0,747145,672515,572233,606466,553993,672695,666971,682998,656976,53.54,,0.0,0.0,1,0,0,,74,5,Slider,3,5,5,3,5,3,5,3,Strategic,Standard,94,0.023,-0.344,34.8,7.3,,0.344,,-2,2,0.05,0.95,30,31,30,31,1,4,2,1,1,1,2.7,-0.23,0.23,41.5
FF,2024-09-27,97.2,-2.18,6.49,"Ginkel, Kevin",595777,656464,,ball,,,,,11,Jurickson Profar strikes out swinging.,R,L,R,AZ,SD,B,,,1,2,2024,-0.96,1.38,-1.91,3.62,650333,,,1,9,Top,,,,,,,2.9744285107235853,-141.5319283859147,-5.380385027052221,-13.577216863099896,33.06808231413015,-12.585760337430646,3.33,1.65,,,,98.1,2544,6.8,747145,672515,572233,606466,553993,672695,666971,682998,656976,53.69,,,,,,,,74,4,4-Seam Fastball,3,5,5,3,5,3,5,3,Strategic,Standard,226,0.0,0.026,,,,-0.026,,-2,2,0.05,0.95,30,31,30,31,1,4,2,1,1,1,1.03,0.96,-0.96,43.3
FF,2024-09-27,96.8,-2.1,6.46,"Ginkel, Kevin",595777,656464,,foul_tip,,,,,11,Jurickson Profar strikes out swinging.,R,L,R,AZ,SD,S,,,1,1,2024,-0.96,1.37,-0.85,3.09,650333,,,1,9,Top,,,,,,,5.580072359242522,-140.827048534692,-6.641746087294199,-14.096291572011662,31.858572515075902,-12.561585592544354,3.33,1.6,,,,97.8,2511,6.9,747145,672515,572233,606466,553993,672695,666971,682998,656976,53.64,,,,,,,,74,3,4-Seam Fastball,3,5,5,3,5,3,5,3,Strategic,Standard,223,0.0,-0.114,,,,0.114,,-2,2,0.05,0.95,30,31,30,31,1,4,2,1,1,1,1.06,0.96,-0.96,43.5
FF,2024-09-27,97.2,-2.14,6.47,"Ginkel, Kevin",595777,656464,,ball,,,,,11,Jurickson Profar strikes out swinging.,R,L,R,AZ,SD,B,,,0,1,2024,-1.12,1.24,-2.44,3.99,650333,,,1,9,Top,,,,,,,1.7942265106942423,-141.57005862763043,-4.015082956325276,-15.482158744066291,32.35638502410361,-14.797580622061478,3.37,1.65,,,,98.3,2504,6.9,747145,672515,572233,606466,553993,672695,666971,682998,656976,53.65,,,,,,,,74,2,4-Seam Fastball,3,5,5,3,5,3,5,3,Strategic,Standard,227,0.0,0.025,,,,-0.025,,-2,2,0.05,0.95,30,31,30,31,1,4,2,1,1,1,1.17,1.12,-1.12,41.0
SL,2024-09-27,88.5,-2.25,6.44,"Ginkel, Kevin",595777,656464,,swinging_strike_blocked,,,,,13,Jurickson Profar strikes out swinging.,R,L,R,AZ,SD,S,,,0,0,2024,0.27,0.12,-0.14,0.81,650333,,,1,9,Top,,,,,,,4.6314411132293465,-128.7268032472934,-7.998111347456144,2.133792112434002,25.382890614196786,-29.464230252324157,3.33,1.6,,,,89.4,2464,6.7,747145,672515,572233,606466,553993,672695,666971,682998,656976,53.75,,,,,,,,74,1,Slider,3,5,5,3,5,3,5,3,Strategic,Standard,80,0.0,-0.049,60.7,8.9,,0.049,,-2,2,0.05,0.95,30,31,30,31,1,4,2,1,1,1,2.78,-0.27,0.27,46.1
FF,2024-09-27,96.7,-2.09,6.46,"Ginkel, Kevin",665487,656464,field_out,hit_into_play,,,,,12,Fernando Tatis Jr.  flies out to center fielder Corbin Carroll.   Luis Arraez to 3rd.,R,R,R,AZ,SD,X,8,fly_ball,0,1,2024,-0.94,1.32,0.03,4.19,,650333,,0,9,Top,104.96,57.13,,,,,7.863377516828352,-140.51821318774154,-3.491676180654248,-14.34231933258117,33.866179150868966,-14.158196269914477,3.74,1.77,355,95.1,35,97.2,2449,6.8,747145,672515,572233,606466,553993,672695,666971,682998,656976,53.73,0.123,0.23,0.0,1,0,0,3,73,2,4-Seam Fastball,3,5,5,3,5,3,5,3,Standard,Standard,226,0.0,-0.23,73.7,7.1,0.434,0.23,95.1,-2,2,0.05,0.95,30,25,30,25,1,4,2,1,1,2,1.14,0.94,0.94,46.6
FF,2024-09-27,96.7,-2.11,6.4,"Ginkel, Kevin",665487,656464,,foul,,,,,3,Fernando Tatis Jr.  flies out to center fielder Corbin Carroll.   Luis Arraez to 3rd.,R,R,R,AZ,SD,S,,,0,0,2024,-1.07,1.16,0.46,3.54,,650333,,0,9,Top,,,,,,,9.339881708105011,-140.51246561749622,-4.691513932852795,-16.319723024553134,32.82019993712672,-15.957680718946476,3.74,1.77,232,79.2,51,97.1,2458,6.7,747145,672515,572233,606466,553993,672695,666971,682998,656976,53.81,,,,,,,,73,1,4-Seam Fastball,3,5,5,3,5,3,5,3,Standard,Standard,224,0.0,-0.035,73.4,7.0,,0.035,88.0,-2,2,0.05,0.95,30,25,30,25,1,4,2,1,1,2,1.29,1.07,1.07,39.2
FF,2024-09-27,94.3,-2.32,6.41,"Ginkel, Kevin",650333,656464,double,hit_into_play,,,,,1,Luis Arraez doubles (31) on a ground ball to left fielder Lourdes Gurriel Jr.,R,L,R,AZ,SD,X,7,ground_ball,0,0,2024,-1.16,1.07,-0.43,2.73,,,,0,9,Top,115.17,192.47,,,,,7.535111133822911,-136.9964305304903,-6.264325549357675,-16.30303654174158,29.724992023620597,-17.49574629200629,3.25,1.53,39,97.4,-2,94.8,2380,6.6,747145,672515,572233,606466,553993,672695,666971,682998,656976,53.89,0.397,0.351,1.25,1,1,1,2,72,1,4-Seam Fastball,3,5,5,3,5,3,5,3,Standard,Standard,229,-0.021,0.693,,,0.444,-0.693,97.4,-2,2,0.071,0.929,30,27,30,27,1,4,2,1,1,2,1.5,1.16,-1.16,37.1
SL,2024-09-25,88.3,-2.03,6.49,"Ginkel, Kevin",687529,656464,strikeout,swinging_strike_blocked,,,,,13,Grant McCray strikes out swinging.,R,L,R,AZ,SF,S,2,,1,2,2024,0.42,-0.36,-0.23,0.7,,,672275,2,9,Top,,,,,,,3.544673627412156,-128.4727788137537,-7.388426741566865,4.005849446510705,23.806114440166063,-34.98711251708127,3.59,1.6,,,,89.5,2489,6.8,747144,672515,572233,606466,553993,672695,666971,664983,682998,53.69,,0.0,0.0,1,0,0,,75,4,Slider,8,2,2,8,2,8,2,8,Infield shade,Standard,50,0.0,-0.196,60.0,7.6,,0.196,,6,-6,1.0,0.0,30,23,30,24,1,3,4,1,2,3,3.26,-0.42,0.42,44.0
FF,2024-09-25,97.4,-2.07,6.51,"Ginkel, Kevin",687529,656464,,ball,,,,,11,Grant McCray strikes out swinging.,R,L,R,AZ,SF,B,,,0,2,2024,-0.78,1.4,-0.88,4.88,,,672275,2,9,Top,,,,,,,5.00859399033415,-141.7246520673788,-2.0602416216809876,-11.62526188173033,33.101165371098325,-13.11120087026632,3.68,1.61,,,,97.9,2557,6.6,747144,672515,572233,606466,553993,672695,666971,664983,682998,53.9,,,,,,,,75,3,4-Seam Fastball,8,2,2,8,2,8,2,8,Standard,Standard,218,0.0,0.027,,,,-0.027,,6,-6,1.0,0.0,30,23,30,24,1,3,4,1,2,3,1.01,0.78,-0.78,39.4
FF,2024-09-25,97.3,-2.16,6.44,"Ginkel, Kevin",687529,656464,,called_strike,,,,,4,Grant McCray strikes out swinging.,R,L,R,AZ,SF,S,,,0,1,2024,-0.84,1.37,-0.75,2.48,,,672275,2,9,Top,,,,,,,5.7684596532299235,-141.48068665766002,-8.331311126279953,-12.591013311351942,31.854641797952205,-12.020621462489467,3.65,1.68,,,,98.2,2536,6.8,747144,672515,572233,606466,553993,672695,666971,664983,682998,53.7,,,,,,,,75,2,4-Seam Fastball,8,2,2,8,2,8,2,8,Standard,Standard,218,0.0,-0.054,,,,0.054,,6,-6,1.0,0.0,30,23,30,24,1,3,4,1,2,3,1.04,0.84,-0.84,39.9
