pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
SI,2024-09-26,93.7,-1.2,5.74,"Ginn, J.T.",666969,669372,single,hit_into_play,,,,,8,Adolis García singles on a sharp line drive to right fielder Lawrence Butler.   Josh Smith scores.    Wyatt Langford to 3rd.,R,R,R,OAK,TEX,X,9,line_drive,0,0,2024,-1.29,0.4,-0.23,1.92,,669701,694671,1,6,Top,170.79,80.86,,,,,5.388345425314355,-136.34551315309193,-5.053899567994774,-17.30797121220705,28.96645386817211,-26.280630690148257,3.42,1.69,239,103.3,11,94.2,1966,6.5,745609,669127,691016,680869,680474,805779,664913,668709,671732,54.01,0.914,0.898,0.9,1,1,0,4,45,1,Sinker,3,0,0,3,1,3,1,3,Standard,Standard,228,-0.123,0.48,71.5,6.7,1.149,-0.48,103.3,3,-3,0.826,0.174,25,31,25,31,3,2,6,1,,1,2.19,1.29,1.29,48.0
SI,2024-09-26,93.8,-1.37,5.73,"Ginn, J.T.",694671,669372,single,hit_into_play,,,,,11,Wyatt Langford singles on a line drive to left fielder Seth Brown.   Josh Smith to 2nd.,R,R,R,OAK,TEX,X,7,line_drive,0,0,2024,-1.4,0.42,-0.87,2.96,,,669701,1,6,Top,68.13,115.78,,,,,4.406123163630989,-136.51576132993424,-2.3638557871744705,-18.464990923629987,29.91461326299782,-26.5813303819597,3.42,1.66,206,95.1,12,94.1,2037,6.4,745609,669127,691016,680869,680474,805779,664913,668709,671732,54.05,0.914,0.869,0.9,1,1,0,4,44,1,Sinker,3,0,0,3,0,3,0,3,Standard,Standard,223,-0.042,0.405,66.3,7.0,1.075,-0.405,95.1,3,-3,0.868,0.132,25,22,25,23,3,2,6,1,,1,2.17,1.4,1.4,47.1
SI,2024-09-26,92.5,-1.45,5.66,"Ginn, J.T.",669701,669372,walk,ball,,,,,1,Josh Smith walks.,R,L,R,OAK,TEX,B,,,3,2,2024,-1.27,0.3,-0.78,3.07,,,,1,6,Top,,,,,,,4.503907865513179,-134.7145563142554,-1.4872723932703515,-16.515376166708716,27.03821964894217,-28.391512837445617,3.13,1.51,,,,93.4,1917,6.6,745609,669127,691016,680869,680474,805779,664913,668709,671732,53.88,,0.689131,0.7,1,0,0,,43,7,Sinker,3,0,0,3,0,3,0,3,Strategic,Standard,227,-0.027,0.348,,,,-0.348,,3,-3,0.895,0.105,25,26,25,27,3,2,6,2,,1,2.34,1.27,-1.27,43.9
SL,2024-09-26,84.9,-1.74,5.47,"Ginn, J.T.",669701,669372,,foul,,,,,2,Josh Smith walks.,R,L,R,OAK,TEX,S,,,3,2,2024,0.3,-0.23,0.18,2.68,,,,1,6,Top,,,,,,,3.93923691592018,-123.75503624888742,0.1941346526248932,2.388826320466012,22.42591701669192,-34.818706463736284,3.1,1.47,136,61.8,32,85.8,2181,6.5,745609,669127,691016,680869,680474,805779,664913,668709,671732,53.96,,,,,,,,43,6,Slider,3,0,0,3,0,3,0,3,Infield shade,Strategic,27,0.0,0.0,59.8,5.1,,0.0,88.0,3,-3,0.895,0.105,25,26,25,27,3,2,6,2,,1,3.36,-0.3,0.3,37.4
SI,2024-09-26,92.4,-1.48,5.76,"Ginn, J.T.",669701,669372,,called_strike,,,,,4,Josh Smith walks.,R,L,R,OAK,TEX,S,,,3,1,2024,-1.35,0.56,-0.74,2.5,,,,1,6,Top,,,,,,,4.845625839207433,-134.57236316820735,-3.7955477936148063,-17.49077835737626,25.85555311515279,-24.771495973850456,3.14,1.47,,,,93.3,1991,6.5,745609,669127,691016,680869,680474,805779,664913,668709,671732,53.96,,,,,,,,43,5,Sinker,3,0,0,3,0,3,0,3,Infield shade,Strategic,228,0.0,-0.092,,,,0.092,,3,-3,0.895,0.105,25,26,25,27,3,2,6,2,,1,2.08,1.35,-1.35,44.8
SI,2024-09-26,92.2,-1.47,5.68,"Ginn, J.T.",669701,669372,,ball,,,,,14,Josh Smith walks.,R,L,R,OAK,TEX,B,,,2,1,2024,-1.49,0.56,0.45,1.2,,,,1,6,Top,,,,,,,8.155122779328858,-133.90952095776044,-6.802360346265361,-19.71785868555742,27.405321906346796,-24.191213581095532,3.15,1.47,,,,92.7,2037,6.5,745609,669127,691016,680869,680474,805779,664913,668709,671732,53.95,,,,,,,,43,4,Sinker,3,0,0,3,0,3,0,3,Infield shade,Strategic,231,0.0,0.122,,,,-0.122,,3,-3,0.895,0.105,25,26,25,27,3,2,6,2,,1,2.12,1.49,-1.49,42.7
SI,2024-09-26,92.2,-1.39,5.72,"Ginn, J.T.",669701,669372,,foul,,,,,8,Josh Smith walks.,R,L,R,OAK,TEX,S,,,2,0,2024,-1.39,0.47,-0.08,1.43,,,,1,6,Top,,,,,,,6.400564857265625,-134.02197366216475,-6.116600899417579,-18.142324121114655,29.426415547268913,-25.324482705829155,3.1,1.47,3,53.9,-31,92.5,2024,6.6,745609,669127,691016,680869,680474,805779,664913,668709,671732,53.92,,,,,,,,43,3,Sinker,3,0,0,3,0,3,0,3,Standard,Strategic,223,0.0,-0.065,,,,0.065,88.0,3,-3,0.895,0.105,25,26,25,27,3,2,6,2,,1,2.22,1.39,-1.39,45.4
SI,2024-09-26,91.6,-1.51,5.68,"Ginn, J.T.",669701,669372,,ball,,,,,11,Josh Smith walks.,R,L,R,OAK,TEX,B,,,1,0,2024,-1.22,0.39,-0.97,2.77,,,,1,6,Top,,,,,,,4.0239436260323,-133.3474427454272,-2.3032790884115033,-15.408264312381323,30.862127493106293,-27.198855968834515,3.1,1.47,,,,91.7,1999,6.5,745609,669127,691016,680869,680474,805779,664913,668709,671732,54.0,,,,,,,,43,2,Sinker,3,0,0,3,0,3,0,3,Standard,Strategic,222,0.0,0.072,,,,-0.072,,3,-3,0.895,0.105,25,26,25,27,3,2,6,2,,1,2.34,1.22,-1.22,43.2
SL,2024-09-26,83.8,-2.16,5.31,"Ginn, J.T.",669701,669372,,ball,,,,,7,Josh Smith walks.,R,L,R,OAK,TEX,B,,,0,0,2024,0.62,0.34,-0.78,1.47,,,,1,6,Top,,,,,,,1.9615371823348504,-121.97063677999552,-3.096376979465882,5.737071833356482,25.610643501469458,-28.414649207384205,3.13,1.52,,,,83.9,2224,6.5,745609,669127,691016,680869,680474,805779,664913,668709,671732,54.03,,,,,,,,43,1,Slider,3,0,0,3,0,3,0,3,Standard,Strategic,43,0.0,0.039,,,,-0.039,,3,-3,0.895,0.105,25,26,25,27,3,2,6,2,,1,2.93,-0.62,0.62,33.4
SL,2024-09-26,85.2,-1.63,5.52,"Ginn, J.T.",543760,669372,field_out,hit_into_play,,,,,4,Marcus Semien flies out to left fielder Seth Brown.,R,R,R,OAK,TEX,X,7,fly_ball,1,1,2024,0.06,0.35,-0.3,2.45,,,,0,6,Top,64.43,84.23,,,,,3.021297556123916,-124.15504548276152,-1.6571493183248236,0.0060539748636993,24.48440917775484,-28.386540746976213,3.28,1.62,322,95.4,42,85.3,2174,6.2,745609,669127,691016,680869,680474,805779,664913,668709,671732,54.29,0.006,0.005,0.0,1,0,0,3,42,3,Slider,3,0,0,3,0,3,0,3,Standard,Standard,35,0.023,-0.243,72.2,7.8,0.015,0.243,95.4,3,-3,0.872,0.128,25,33,25,34,3,2,6,1,,1,2.77,-0.06,-0.06,36.6
