pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
SI,2024-06-20,93.2,2.36,5.09,"González, Victor",602104,624647,field_out,hit_into_play,,,,,3,"Ramón Urías grounds out, third baseman DJ LeMahieu to first baseman Ben Rice.",R,R,L,NYY,BAL,X,5,ground_ball,1,0,2024,1.53,0.7,0.52,2.88,,,,2,7,Top,101.02,152.93,,,,,-8.061169000781774,-135.49413776463777,-1.4179982459689713,20.69564100765617,32.1025628182249,-23.44377325473101,3.17,1.49,11,72.6,-14,92.5,,6.1,745734,624431,700250,665828,518934,683011,657077,592450,665742,54.38,0.046,0.051,0.0,1,0,0,2,71,2,Sinker,5,14,14,5,14,5,14,5,Standard,Standard,,0.0,-0.295,75.5,7.9,0.047,0.295,88.0,-9,9,0.002,0.998,28,30,29,30,1,4,1,1,,2,1.94,1.53,-1.53,24.4
SI,2024-06-20,92.2,2.28,5.14,"González, Victor",602104,624647,,ball,,,,,13,"Ramón Urías grounds out, third baseman DJ LeMahieu to first baseman Ben Rice.",R,R,L,NYY,BAL,B,,,0,0,2024,1.67,0.24,-0.31,0.99,,,,2,7,Top,,,,,,,-10.164797932740582,-133.79332424207712,-5.151903546581554,22.270508253661728,31.86784170261133,-28.251005851682677,3.13,1.45,,,,91.5,,6.3,745734,624431,700250,665828,518934,683011,657077,592450,665742,54.23,,,,,,,,71,1,Sinker,5,14,14,5,14,5,14,5,Standard,Standard,,0.0,0.04,,,,-0.04,,-9,9,0.002,0.998,28,30,29,30,1,4,1,1,,2,2.48,1.67,-1.67,25.5
CH,2024-06-20,87.6,2.34,4.92,"González, Victor",669720,624647,home_run,hit_into_play,,,,,5,Austin Hays homers (3) on a fly ball to left center field. Cedric Mullins scores.,R,R,L,NYY,BAL,X,,fly_ball,0,1,2024,1.19,0.8,-0.04,2.35,,,656775,2,7,Top,73.25,32.02,,,,,-8.16275471339279,-127.297165027332,-1.713140690642598,14.589585126040705,25.776021821725465,-23.31856112777803,3.3,1.52,432,105.6,27,87.4,,6.2,745734,624431,700250,665828,518934,683011,657077,592450,665742,54.28,0.929,2.0,2.0,1,0,3,6,70,2,Changeup,5,12,12,5,14,5,14,5,Standard,Standard,,-0.006,2.269,76.4,7.3,3.61,-2.269,105.6,-7,7,0.008,0.992,28,28,29,29,1,4,1,1,,1,2.17,1.19,-1.19,24.5
SI,2024-06-20,94.6,2.12,5.12,"González, Victor",669720,624647,,called_strike,,,,,7,Austin Hays homers (3) on a fly ball to left center field. Cedric Mullins scores.,R,R,L,NYY,BAL,S,,,0,0,2024,1.37,0.66,-0.52,1.67,,,656775,2,7,Top,,,,,,,-9.87696942092519,-137.38957347968628,-4.771206969496418,19.46538355513333,29.22752226266973,-22.879435413729222,3.16,1.45,,,,94.4,,6.2,745734,624431,700250,665828,518934,683011,657077,592450,665742,54.33,,,,,,,,70,1,Sinker,5,12,12,5,12,5,12,5,Standard,Standard,,0.0,-0.047,,,,0.047,,-7,7,0.008,0.992,28,28,29,29,1,4,1,1,,1,1.89,1.37,-1.37,29.2
SI,2024-06-20,94.4,1.99,5.21,"González, Victor",656775,624647,force_out,hit_into_play,,,,,7,"Cedric Mullins grounds into a force out, shortstop Anthony Volpe to second baseman Oswaldo Cabrera. Anthony Santander out at 2nd. Cedric Mullins to 1st.",R,L,L,NYY,BAL,X,6,ground_ball,2,1,2024,1.44,0.89,-0.55,2.07,,,623993,1,7,Top,125.68,146.7,,,,,-9.835148013544016,-137.0905971711456,-4.4577026124518255,20.32998713791738,30.215965250187995,-20.100287441417105,3.33,1.53,150,103.1,7,94.6,,6.5,745734,624431,700250,665828,518934,683011,657077,592450,665742,53.98,0.66,0.611,0.0,1,0,0,4,69,4,Sinker,5,12,12,5,12,5,12,5,Standard,Standard,,0.001,-0.349,71.4,7.8,0.739,0.349,103.1,-7,7,0.007,0.993,28,29,29,30,1,4,1,1,,1,1.68,1.44,1.44,33.4
SL,2024-06-20,86.2,2.05,5.18,"González, Victor",656775,624647,,ball,,,,,13,"Cedric Mullins grounds into a force out, shortstop Anthony Volpe to second baseman Oswaldo Cabrera. Anthony Santander out at 2nd. Cedric Mullins to 1st.",R,L,L,NYY,BAL,B,,,1,1,2024,-0.3,-0.01,-1.4,1.53,,,623993,1,7,Top,,,,,,,-7.590545000097189,-125.40560761743336,-2.4778157047397076,-1.7581783015600043,23.045484021573113,-32.03892970486409,3.29,1.57,,,,86.4,,6.2,745734,624431,700250,665828,518934,683011,657077,592450,665742,54.26,,,,,,,,69,3,Slider,5,12,12,5,12,5,12,5,Standard,Standard,,0.0,0.046,,,,-0.046,,-7,7,0.007,0.993,28,29,29,30,1,4,1,1,,1,3.06,-0.3,-0.3,34.1
SI,2024-06-20,93.4,2.09,5.25,"González, Victor",656775,624647,,called_strike,,,,,5,"Cedric Mullins grounds into a force out, shortstop Anthony Volpe to second baseman Oswaldo Cabrera. Anthony Santander out at 2nd. Cedric Mullins to 1st.",R,L,L,NYY,BAL,S,,,1,0,2024,1.5,0.7,-0.14,2.15,,,623993,1,7,Top,,,,,,,-9.107256836905073,-135.7801610073324,-3.808507700741184,20.5359679582355,28.336502511518223,-22.900830998572857,3.26,1.49,,,,94.2,,6.7,745734,624431,700250,665828,518934,683011,657077,592450,665742,53.8,,,,,,,,69,2,Sinker,5,12,12,5,12,5,12,5,Standard,Standard,,0.0,-0.047,,,,0.047,,-7,7,0.007,0.993,28,29,29,30,1,4,1,1,,1,1.91,1.5,1.5,28.8
SL,2024-06-20,88.9,2.22,5.16,"González, Victor",656775,624647,,ball,,,,,13,"Cedric Mullins grounds into a force out, shortstop Anthony Volpe to second baseman Oswaldo Cabrera. Anthony Santander out at 2nd. Cedric Mullins to 1st.",R,L,L,NYY,BAL,B,,,0,0,2024,0.27,0.69,-1.39,1.25,,,623993,1,7,Top,,,,,,,-9.373167684878595,-129.19704522846388,-5.037068669239776,4.768128715711264,23.74294422612126,-23.629885879644892,3.29,1.57,,,,89.0,,6.1,745734,624431,700250,665828,518934,683011,657077,592450,665742,54.36,,,,,,,,69,1,Slider,5,12,12,5,12,5,12,5,Standard,Standard,,0.0,0.036,,,,-0.036,,-7,7,0.007,0.993,28,29,29,30,1,4,1,1,,1,2.18,0.27,0.27,27.8
SI,2024-06-20,94.5,2.09,5.2,"González, Victor",676059,624647,strikeout,called_strike,,,,,4,Jordan Westburg called out on strikes.,R,R,L,NYY,BAL,S,2,,0,2,2024,1.62,0.81,-0.81,2.78,,,623993,0,7,Top,,,,,,,-11.141556224096895,-137.2252457936374,-2.425526513455087,22.968174275825096,29.692298095013008,-21.56163537236246,3.44,1.57,,,,94.4,,6.3,745734,624431,700250,665828,518934,683011,657077,592450,665742,54.23,,0.0,0.0,1,0,0,,68,3,Sinker,5,12,12,5,12,5,12,5,Standard,Standard,,0.001,-0.15,,,,0.15,,-7,7,0.006,0.994,28,25,29,25,1,4,1,2,,1,1.75,1.62,-1.62,29.0
SL,2024-06-20,89.2,2.16,5.17,"González, Victor",676059,624647,,foul,,,,,2,Jordan Westburg called out on strikes.,R,R,L,NYY,BAL,S,,,0,1,2024,0.14,0.81,0.05,3.02,,,623993,0,7,Top,,,,,,,-5.459165349912139,-129.9391845600337,-1.0785903269117492,2.553879475547423,22.368222731595793,-22.876247917028863,3.48,1.61,185,71.2,61,89.7,,6.2,745734,624431,700250,665828,518934,683011,657077,592450,665742,54.35,,,,,,,,68,2,Slider,5,12,12,5,12,5,12,5,Standard,Standard,,0.0,-0.048,68.5,6.2,,0.048,88.0,-7,7,0.006,0.994,28,25,29,25,1,4,1,2,,1,2.01,0.14,-0.14,29.8
