pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
FF,2024-03-31,92.0,-1.84,5.15,"Gutierrez, Vladimir",642133,661269,field_out,hit_into_play,,,,,6,Rowdy Tellez pops out to second baseman Luis Arraez in foul territory.,R,L,R,MIA,PIT,X,4,popup,2,1,2024,-0.57,1.37,0.45,2.34,,572191,669707,2,9,Top,183.3,149.04,,,,,7.131729343380282,-133.68824243742665,-4.290356526298415,-8.358991812027117,29.86119134501642,-15.031491002776274,3.65,1.7,189,96.4,59,93.3,2098,7.2,746090,663743,669394,650333,660644,641313,650559,665862,541645,53.29,0.014,0.017,0.0,1,0,0,3,76,4,4-Seam Fastball,6,7,7,6,7,6,7,6,Standard,Standard,219,0.031,-0.305,,,0.025,0.305,96.4,-1,1,0.163,0.837,28,29,29,29,2,4,,1,,1,1.34,0.57,-0.57,42.6
CH,2024-03-31,83.3,-2.31,5.03,"Gutierrez, Vladimir",642133,661269,,ball,,,,,13,Rowdy Tellez pops out to second baseman Luis Arraez in foul territory.,R,L,R,MIA,PIT,B,,,1,1,2024,-1.27,0.7,-0.6,1.31,,572191,669707,2,9,Top,,,,,,,6.563426929521134,-121.08540197607732,-3.5279078315057557,-13.745029236694696,23.452735028025433,-24.762427391256587,3.89,1.78,,,,85.0,1683,7.4,746090,663743,669394,650333,660644,641313,650559,665862,541645,53.07,,,,,,,,76,3,Changeup,6,7,7,6,7,6,7,6,Standard,Standard,247,0.0,0.042,,,,-0.042,,-1,1,0.163,0.837,28,29,29,29,2,4,,1,,1,2.59,1.27,-1.27,38.5
FF,2024-03-31,91.8,-2.02,5.24,"Gutierrez, Vladimir",642133,661269,,swinging_strike,,,,,4,Rowdy Tellez pops out to second baseman Luis Arraez in foul territory.,R,L,R,MIA,PIT,S,,,1,0,2024,-0.6,1.09,-0.49,2.96,,572191,669707,2,9,Top,,,,,,,5.187363552143952,-133.69716453293222,-2.347475236668935,-8.289298737856852,27.335264535787353,-18.707388254065364,3.65,1.7,,,,92.2,2096,6.4,746090,663743,669394,650333,660644,641313,650559,665862,541645,54.11,,,,,,,,76,2,4-Seam Fastball,6,7,7,6,7,6,7,6,Standard,Standard,215,0.0,-0.042,,,,0.042,,-1,1,0.163,0.837,28,29,29,29,2,4,,1,,1,1.59,0.6,-0.6,43.5
FF,2024-03-31,92.6,-1.9,5.35,"Gutierrez, Vladimir",642133,661269,,ball,,,,,11,Rowdy Tellez pops out to second baseman Luis Arraez in foul territory.,R,L,R,MIA,PIT,B,,,0,0,2024,-0.48,1.41,-1.45,2.78,,572191,669707,2,9,Top,,,,,,,2.201347968938506,-134.85134607393465,-3.835277214272675,-6.33014917714924,29.78224456020741,-14.33522504415858,3.77,1.76,,,,92.4,2128,6.2,746090,663743,669394,650333,660644,641313,650559,665862,541645,54.33,,,,,,,,76,1,4-Seam Fastball,6,7,7,6,7,6,7,6,Standard,Standard,218,0.0,0.026,,,,-0.026,,-1,1,0.163,0.837,28,29,29,29,2,4,,1,,1,1.25,0.48,-0.48,44.0
SL,2024-03-31,79.0,-2.37,5.17,"Gutierrez, Vladimir",669707,661269,walk,ball,,,,,13,Jared Triolo walks.,R,R,R,MIA,PIT,B,,,3,2,2024,0.68,0.35,-1.88,2.16,,572191,,2,9,Top,,,,,,,-0.1937092886147865,-114.9684893815396,-0.2459836639053004,5.9705514878691455,26.301529115114914,-29.318906641782903,3.68,1.69,,,,79.9,2303,7.5,746090,663743,669394,650333,660644,641313,650559,665862,541645,53.04,,0.689131,0.7,1,0,0,,75,7,Slider,6,7,7,6,7,6,7,6,Standard,Standard,57,-0.004,0.115,,,,-0.115,,-1,1,0.167,0.833,28,26,29,26,2,4,,1,,3,3.37,-0.68,-0.68,41.0
FF,2024-03-31,92.8,-2.02,5.29,"Gutierrez, Vladimir",669707,661269,,foul,,,,,4,Jared Triolo walks.,R,R,R,MIA,PIT,S,,,3,2,2024,-0.85,1.26,-0.4,2.82,,572191,,2,9,Top,,,,,,,6.0120164010096655,-135.0948600321991,-3.3088948412528856,-11.656168358552335,28.788132216281777,-16.16749604317688,3.63,1.69,,,,93.2,2045,6.4,746090,663743,669394,650333,660644,641313,650559,665862,541645,54.07,,,,,,,,75,6,4-Seam Fastball,6,7,7,6,7,6,7,6,Standard,Standard,215,0.0,0.0,,,,0.0,,-1,1,0.167,0.833,28,26,29,26,2,4,,1,,3,1.38,0.85,0.85,43.4
CH,2024-03-31,82.6,-2.24,5.23,"Gutierrez, Vladimir",669707,661269,,ball,,,,,13,Jared Triolo walks.,R,R,R,MIA,PIT,B,,,2,2,2024,-1.3,0.65,-0.84,1.3,,572191,,2,9,Top,,,,,,,5.861054503299202,-120.09522477634764,-3.729433756492207,-13.752981731626312,23.99744533718397,-25.38786263561069,3.74,1.72,,,,84.2,1759,7.5,746090,663743,669394,650333,660644,641313,650559,665862,541645,53.02,,,,,,,,75,5,Changeup,6,7,7,6,7,6,7,6,Standard,Standard,248,0.0,0.049,,,,-0.049,,-1,1,0.167,0.833,28,26,29,26,2,4,,1,,3,2.71,1.3,1.3,38.2
FF,2024-03-31,91.1,-2.16,5.14,"Gutierrez, Vladimir",669707,661269,,foul,,,,,4,Jared Triolo walks.,R,R,R,MIA,PIT,S,,,2,1,2024,-0.76,1.32,-0.67,2.53,,572191,,2,9,Top,,,,,,,5.490056482744926,-132.49594848086178,-3.530178276192773,-10.195348049290311,29.611932542392907,-16.088248483129604,3.63,1.69,145,81.7,69,92.8,2081,7.4,746090,663743,669394,650333,660644,641313,650559,665862,541645,53.06,,,,,,,,75,4,4-Seam Fastball,6,7,7,6,7,6,7,6,Standard,Standard,219,0.0,-0.062,,,,0.062,88.0,-1,1,0.167,0.833,28,26,29,26,2,4,,1,,3,1.44,0.76,0.76,40.5
CU,2024-03-31,76.1,-2.03,5.47,"Gutierrez, Vladimir",669707,661269,,blocked_ball,,,,,13,Jared Triolo walks.,R,R,R,MIA,PIT,B,,,1,1,2024,1.01,-0.4,-0.91,0.79,,572191,,2,9,Top,,,,,,,0.5270959528441727,-110.82278170540904,-2.037436162523516,8.23216772900441,20.771018927118803,-35.28186166222029,3.69,1.74,,,,77.1,2291,7.1,746090,663743,669394,650333,660644,641313,650559,665862,541645,53.39,,,,,,,,75,3,Curveball,6,7,7,6,7,6,7,6,Standard,Standard,46,0.0,0.039,,,,-0.039,,-1,1,0.167,0.833,28,26,29,26,2,4,,1,,3,4.34,-1.01,-1.01,50.8
FF,2024-03-31,89.9,-2.14,5.24,"Gutierrez, Vladimir",669707,661269,,foul,,,,,11,Jared Triolo walks.,R,R,R,MIA,PIT,S,,,1,0,2024,-0.95,1.43,-1.37,2.89,,572191,,2,9,Top,,,,,,,3.9337256208244185,-130.82380830573118,-2.851940078567785,-11.779761581133496,28.497066158064943,-15.44001078796971,3.63,1.69,,,,89.5,2037,6.1,746090,663743,669394,650333,660644,641313,650559,665862,541645,54.37,,,,,,,,75,2,4-Seam Fastball,6,7,7,6,7,6,7,6,Standard,Standard,222,0.0,-0.043,,,,0.043,,-1,1,0.167,0.833,28,26,29,26,2,4,,1,,3,1.4,0.95,0.95,42.4
CH,2024-03-31,82.4,-2.6,5.1,"Gutierrez, Vladimir",669707,661269,,ball,,,,,13,Jared Triolo walks.,R,R,R,MIA,PIT,B,,,0,0,2024,-1.22,1.25,-1.76,1.74,,572191,,2,9,Top,,,,,,,4.3677503384328284,-119.92260606035336,-3.585841122687526,-12.594219192396556,24.1757206246126,-19.680275614927297,3.71,1.76,,,,83.8,1676,7.3,746090,663743,669394,650333,660644,641313,650559,665862,541645,53.22,,,,,,,,75,1,Changeup,6,7,7,6,7,6,7,6,Standard,Standard,250,0.0,0.014,,,,-0.014,,-1,1,0.167,0.833,28,26,29,26,2,4,,1,,3,2.12,1.22,1.22,37.8
