pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
CH,2024-09-29,86.7,3.04,5.42,"Hall, DL",664056,669084,strikeout,swinging_strike,,,,,14,Harrison Bader strikes out swinging.,R,R,L,MIL,NYM,S,2,,0,2,2024,1.44,0.55,1.69,1.82,,,682668,2,9,Top,,,,,,,-6.2608582200142315,-126.06345348014112,-3.522966287269572,16.686900253114228,27.051985273682643,-25.764450852171045,3.13,1.5,,,,87.5,2154,7.0,745932,606992,641343,668930,655316,687401,686555,663368,694192,53.54,,0.0,0.0,1,0,0,,72,3,Changeup,0,5,5,0,5,0,5,0,Standard,Standard,117,0.001,-0.169,65.5,7.6,,0.169,,-5,5,0.006,0.994,25,30,26,30,1,0,4,1,,1,2.5,1.44,-1.44,41.8
CU,2024-09-29,81.7,2.85,5.67,"Hall, DL",664056,669084,,foul,,,,,6,Harrison Bader strikes out swinging.,R,R,L,MIL,NYM,S,,,0,1,2024,-1.04,-1.17,0.61,2.13,,,682668,2,9,Top,,,,,,,-3.059546519202138,-118.83285033517674,0.9789148772712368,-9.149922924014785,25.59811994477761,-43.643831984232165,3.13,1.5,135,61.7,59,82.1,2731,6.9,745932,606992,641343,668930,655316,687401,686555,663368,694192,53.61,,,,,,,,72,2,Curveball,0,5,5,0,5,0,5,0,Standard,Standard,326,0.0,-0.054,53.5,7.3,,0.054,88.0,-5,5,0.006,0.994,25,30,26,30,1,0,4,1,,1,4.63,-1.04,1.04,56.7
CU,2024-09-29,80.1,2.91,5.67,"Hall, DL",664056,669084,,called_strike,,,,,2,Harrison Bader strikes out swinging.,R,R,L,MIL,NYM,S,,,0,0,2024,-0.93,-0.98,0.12,2.94,,,682668,2,9,Top,,,,,,,-4.4459366531681335,-116.54636469085996,2.5715402202669546,-7.627746719975237,21.85056785514099,-41.77876035192234,3.13,1.49,,,,80.8,2615,6.8,745932,606992,641343,668930,655316,687401,686555,663368,694192,53.74,,,,,,,,72,1,Curveball,0,5,5,0,5,0,5,0,Standard,Standard,311,0.0,-0.047,,,,0.047,,-5,5,0.006,0.994,25,30,26,30,1,0,4,1,,1,4.53,-0.93,0.93,50.0
FF,2024-09-29,94.8,2.38,5.44,"Hall, DL",502110,669084,single,hit_into_play,,,,,4,J.D. Martinez singles on a ground ball to left fielder Isaac Collins.,R,R,L,MIL,NYM,X,7,ground_ball,3,2,2024,0.35,1.38,-0.81,2.59,,,,2,9,Top,86.06,144.38,,,,,-9.293407952203664,-137.77369129279813,-4.917812975937847,6.489849337288767,30.42659247172689,-13.702122562998923,3.71,1.79,55,101.3,1,96.5,2351,7.3,745932,606992,641343,668930,655316,687401,686555,663368,694192,53.21,0.489,0.446,0.9,1,1,0,4,71,6,4-Seam Fastball,0,5,5,0,5,0,5,0,Standard,Standard,163,0.0,0.263,69.7,7.8,0.549,-0.263,101.3,-5,5,0.006,0.994,25,36,26,37,1,4,4,2,,1,1.16,0.35,-0.35,49.4
FF,2024-09-29,95.8,2.45,5.52,"Hall, DL",502110,669084,,swinging_strike,,,,,13,J.D. Martinez singles on a ground ball to left fielder Isaac Collins.,R,R,L,MIL,NYM,S,,,3,1,2024,0.28,1.42,-0.69,1.08,,,,2,9,Top,,,,,,,-9.063234187685389,-138.95743482862449,-9.42586994633453,5.742657140432927,31.707462963144536,-11.761095227640755,3.71,1.79,,,,97.1,2463,7.3,745932,606992,641343,668930,655316,687401,686555,663368,694192,53.23,,,,,,,,71,5,4-Seam Fastball,0,5,5,0,5,0,5,0,Standard,Standard,143,0.0,-0.089,74.9,8.8,,0.089,,-5,5,0.006,0.994,25,36,26,37,1,4,4,2,,1,1.08,0.28,-0.28,47.3
FF,2024-09-29,94.4,2.7,5.28,"Hall, DL",502110,669084,,called_strike,,,,,13,J.D. Martinez singles on a ground ball to left fielder Isaac Collins.,R,R,L,MIL,NYM,S,,,3,0,2024,0.39,1.45,-0.88,1.66,,,,2,9,Top,,,,,,,-10.31885231159708,-137.02350260321455,-7.015021684038795,7.197148517797359,30.38395102357397,-12.52140341381429,3.67,1.72,,,,95.5,2324,7.1,745932,606992,641343,668930,655316,687401,686555,663368,694192,53.41,,,,,,,,71,4,4-Seam Fastball,0,5,5,0,5,0,5,0,Standard,Standard,131,0.0,-0.058,,,,0.058,,-5,5,0.006,0.994,25,36,26,37,1,4,4,2,,1,1.12,0.39,-0.39,40.1
CU,2024-09-29,80.4,2.75,5.65,"Hall, DL",502110,669084,,ball,,,,,14,J.D. Martinez singles on a ground ball to left fielder Isaac Collins.,R,R,L,MIL,NYM,B,,,2,0,2024,-0.97,-1.28,1.22,1.98,,,,2,9,Top,,,,,,,-1.5681455985086676,-116.96189880465418,1.1173624347303983,-8.450524473126402,25.32125816412515,-44.287051924353705,3.73,1.78,,,,80.7,2808,6.8,745932,606992,641343,668930,655316,687401,686555,663368,694192,53.66,,,,,,,,71,3,Curveball,0,5,5,0,5,0,5,0,Standard,Standard,317,0.0,0.109,,,,-0.109,,-5,5,0.006,0.994,25,36,26,37,1,4,4,2,,1,4.85,-0.97,0.97,50.7
CH,2024-09-29,85.8,2.86,5.28,"Hall, DL",502110,669084,,ball,,,,,14,J.D. Martinez singles on a ground ball to left fielder Isaac Collins.,R,R,L,MIL,NYM,B,,,1,0,2024,1.16,0.78,0.28,1.1,,,,2,9,Top,,,,,,,-8.583433935305376,-124.5218098333902,-5.214597597357626,13.858044695883365,25.6954767978822,-23.18878246083015,3.73,1.84,,,,86.8,2303,7.1,745932,606992,641343,668930,655316,687401,686555,663368,694192,53.36,,,,,,,,71,2,Changeup,0,5,5,0,5,0,5,0,Standard,Standard,119,0.0,0.068,,,,-0.068,,-5,5,0.006,0.994,25,36,26,37,1,4,4,2,,1,2.34,1.16,-1.16,41.0
FF,2024-09-29,94.7,2.33,5.42,"Hall, DL",502110,669084,,ball,,,,,13,J.D. Martinez singles on a ground ball to left fielder Isaac Collins.,R,R,L,MIL,NYM,B,,,0,0,2024,0.34,1.43,-1.61,1.64,,,,2,9,Top,,,,,,,-11.257016379394289,-137.33224524717798,-7.482690274885486,6.863531170105575,31.23898317666456,-12.530591087638625,3.76,1.81,,,,96.2,2333,7.4,745932,606992,641343,668930,655316,687401,686555,663368,694192,53.08,,,,,,,,71,1,4-Seam Fastball,0,5,5,0,5,0,5,0,Standard,Standard,142,0.0,0.04,,,,-0.04,,-5,5,0.006,0.994,25,36,26,37,1,4,4,2,,1,1.14,0.34,-0.34,48.6
FF,2024-09-29,94.9,2.45,5.44,"Hall, DL",624413,669084,field_out,hit_into_play,,,,,4,Pete Alonso pops out to first baseman Jake Bauers.,R,R,L,MIL,NYM,X,3,popup,0,0,2024,0.33,1.39,-0.8,2.7,,,,1,9,Top,149.94,167.51,,,,,-9.366046702898348,-137.90874308585296,-4.673493487716814,6.264060734223987,30.491833188039863,-13.523151417321042,3.47,1.64,105,46.4,48,96.2,2357,7.1,745932,606992,641343,668930,655316,687401,686555,663368,694192,53.39,0.051,0.046,0.0,1,0,0,1,70,1,4-Seam Fastball,0,5,5,0,5,0,5,0,Infield shade,Standard,149,0.0,-0.256,71.9,6.5,0.051,0.256,88.0,-5,5,0.006,0.994,25,29,26,30,1,4,4,1,,1,1.14,0.33,-0.33,45.9
