pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
SI,2024-10-02,95.3,-2.64,5.82,"Hanifee, Brenan",514888,669724,strikeout,called_strike,,,,,9,Jose Altuve called out on strikes.,F,R,R,HOU,DET,S,2,,2,2,2024,-1.36,0.47,0.62,1.53,,,,1,3,Bot,,,,,,,11.553061490745424,-138.05117756316554,-6.564653125458747,-20.09213226384871,33.55844690965015,-24.789330114445743,2.93,1.35,,,,94.4,2070,6.2,775344,668670,679529,690993,656716,700242,682985,678009,663837,54.29,,0.0,0.0,1,0,0,,21,5,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,235,-0.017,-0.225,,,,0.225,,0,0,0.529,0.529,26,34,26,34,1,1,5,1,,,2.09,1.36,1.36,37.2
SI,2024-10-02,94.3,-2.77,5.79,"Hanifee, Brenan",514888,669724,,ball,,,,,13,Jose Altuve called out on strikes.,F,R,R,HOU,DET,B,,,1,2,2024,-1.3,0.42,-1.68,1.17,,,,1,3,Bot,,,,,,,5.711842668642208,-137.10249190773652,-7.191001717029723,-17.67911753619198,32.851723097598764,-25.346611106665147,2.88,1.33,,,,93.7,2084,6.2,775344,668670,679529,690993,656716,700242,682985,678009,663837,54.31,,,,,,,,21,4,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,234,0.0,0.043,,,,-0.043,,0,0,0.529,0.529,26,34,26,34,1,1,5,1,,,2.16,1.3,1.3,35.0
SI,2024-10-02,94.9,-2.7,5.75,"Hanifee, Brenan",514888,669724,,foul,,,,,11,Jose Altuve called out on strikes.,F,R,R,HOU,DET,S,,,1,1,2024,-1.32,0.38,-1.25,2.16,,,,1,3,Bot,,,,,,,6.7414520916422,-137.99753794728375,-4.514130546322323,-18.33599128616626,33.25279171003287,-26.49613699492319,2.9,1.32,3,67.9,-34,94.5,1976,6.3,775344,668670,679529,690993,656716,700242,682985,678009,663837,54.21,,,,,,,,21,3,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,240,0.0,-0.061,75.4,7.7,,0.061,88.0,0,0,0.529,0.529,26,34,26,34,1,1,5,1,,,2.17,1.32,1.32,32.2
SL,2024-10-02,87.6,-2.66,5.73,"Hanifee, Brenan",514888,669724,,ball,,,,,14,Jose Altuve called out on strikes.,F,R,R,HOU,DET,B,,,0,1,2024,0.21,0.27,1.81,1.55,,,,1,3,Bot,,,,,,,10.286764167302,-127.15458570693008,-4.423166178842586,0.0039035675374632,28.138320693087856,-28.470356827499256,2.9,1.34,,,,86.8,2051,6.1,775344,668670,679529,690993,656716,700242,682985,678009,663837,54.37,,,,,,,,21,2,Slider,0,0,0,0,0,0,0,0,Standard,Standard,192,0.0,0.024,,,,-0.024,,0,0,0.529,0.529,26,34,26,34,1,1,5,1,,,2.74,-0.21,-0.21,39.2
SI,2024-10-02,95.2,-2.6,5.81,"Hanifee, Brenan",514888,669724,,foul,,,,,5,Jose Altuve called out on strikes.,F,R,R,HOU,DET,S,,,0,0,2024,-1.39,0.32,-0.09,1.97,,,,1,3,Bot,,,,,,,9.671807838571,-138.2452782564583,-5.076026019972661,-19.9892749518616,33.22050886027081,-27.09501146176652,2.9,1.32,280,100.3,18,94.6,1999,6.2,775344,668670,679529,690993,656716,700242,682985,678009,663837,54.29,,,,,,,,21,1,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,239,0.0,-0.037,66.0,6.8,,0.037,100.3,0,0,0.529,0.529,26,34,26,34,1,1,5,1,,,2.23,1.39,1.39,36.9
SL,2024-10-02,86.8,-2.65,5.82,"Hanifee, Brenan",676801,669724,field_out,hit_into_play,,,,,2,"Chas McCormick grounds out, shortstop Trey Sweeney to first baseman Spencer Torkelson.",F,R,R,HOU,DET,X,6,ground_ball,1,1,2024,0.17,0.04,-0.18,3.09,,,,0,3,Bot,107.71,148.85,,,,,5.547695522264752,-126.38858187720928,-0.4367021959937758,0.7022144363146077,25.01821858759663,-31.911668615962466,3.26,1.57,10,88.7,-16,86.6,2208,6.1,775344,668670,679529,690993,656716,700242,682985,678009,663837,54.44,0.094,0.101,0.0,1,0,0,2,20,3,Slider,0,0,0,0,0,0,0,0,Standard,Standard,117,-0.025,-0.243,64.7,7.1,0.094,0.243,88.7,0,0,0.554,0.554,26,29,26,29,1,0,5,1,,,2.98,-0.17,-0.17,37.8
SI,2024-10-02,94.4,-2.35,5.84,"Hanifee, Brenan",676801,669724,,ball,,,,,14,"Chas McCormick grounds out, shortstop Trey Sweeney to first baseman Spencer Torkelson.",F,R,R,HOU,DET,B,,,0,1,2024,-1.3,0.47,1.29,1.91,,,,0,3,Bot,,,,,,,12.30648485821222,-136.80024936207855,-5.513248480820941,-19.060074212794515,31.085154419637416,-25.114680085257746,3.29,1.63,,,,93.8,1957,6.2,775344,668670,679529,690993,656716,700242,682985,678009,663837,54.27,,,,,,,,20,2,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,237,0.0,0.025,,,,-0.025,,0,0,0.554,0.554,26,29,26,29,1,0,5,1,,,2.11,1.3,1.3,37.3
SL,2024-10-02,86.7,-2.71,5.84,"Hanifee, Brenan",676801,669724,,called_strike,,,,,1,"Chas McCormick grounds out, shortstop Trey Sweeney to first baseman Spencer Torkelson.",F,R,R,HOU,DET,S,,,0,0,2024,0.2,0.16,-0.64,2.96,,,,0,3,Bot,,,,,,,4.4994095341114635,-126.30558946925376,-1.0595144257822366,1.3141844990034968,24.777652671692945,-30.440443086417325,3.26,1.58,,,,86.3,2162,5.9,775344,668670,679529,690993,656716,700242,682985,678009,663837,54.61,,,,,,,,20,1,Slider,0,0,0,0,0,0,0,0,Standard,Standard,140,0.0,-0.037,,,,0.037,,0,0,0.554,0.554,26,29,26,29,1,0,5,1,,,2.86,-0.2,-0.2,32.4
FF,2024-10-02,97.2,-2.5,5.87,"Hanifee, Brenan",518792,669724,strikeout,swinging_strike,,,,,11,Jason Heyward strikes out swinging.,F,L,R,HOU,DET,S,2,,2,2,2024,-0.93,1.15,-0.29,3.72,,608324,665161,2,2,Bot,,,,,,,8.034226342475556,-141.27371273508393,-2.782136941386114,-14.43893474436665,36.738610101901806,-16.409960378694525,3.57,1.69,,,,96.2,2259,6.1,775344,668670,679529,690993,656716,700242,682985,678009,663837,54.39,,0.0,0.0,1,0,0,,16,8,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Strategic,234,-0.045,-0.204,75.5,7.3,,0.204,,0,0,0.545,0.545,26,34,26,35,1,0,5,1,,,1.29,0.93,-0.93,35.6
CH,2024-10-02,90.6,-2.66,5.72,"Hanifee, Brenan",518792,669724,,foul,,,,,14,Jason Heyward strikes out swinging.,F,L,R,HOU,DET,S,,,2,2,2024,-1.37,0.21,0.37,1.27,,608324,665161,2,2,Bot,,,,,,,10.4647915146903,-131.46414850044576,-5.543096113277141,-18.19264358081084,29.550429487948545,-28.709651717179923,3.57,1.69,1,21.8,-52,89.9,1790,6.2,775344,668670,679529,690993,656716,700242,682985,678009,663837,54.32,,,,,,,,16,7,Changeup,0,0,0,0,0,0,0,0,Standard,Standard,251,0.0,0.0,82.9,9.1,,0.0,88.0,0,0,0.545,0.545,26,34,26,35,1,0,5,1,,,2.6,1.37,-1.37,30.3
