pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
FC,2024-06-21,93.8,-2.95,6.05,"Hartlieb, Geoff",608841,664129,field_out,hit_into_play,,,,,11,Joey Meneses flies out to right fielder Sean Bouchard.,R,R,R,COL,WSH,X,9,fly_ball,0,0,2024,-0.12,0.44,-1.01,2.75,657041,,,2,6,Top,168.47,91.67,,,,,5.3108799567718075,-136.68938069959862,-3.943242080690002,-2.426543406220384,23.876013587388066,-25.977381725121333,3.73,1.75,288,82.5,40,95.2,2806,6.5,746540,607732,669911,676701,641857,678662,666134,686668,656248,53.96,0.003,0.003,0.0,1,0,0,3,58,1,Cutter,5,11,11,5,11,5,11,5,Standard,Standard,205,0.003,-0.271,63.9,6.4,0.003,0.271,88.0,-6,6,0.024,0.976,30,32,31,32,2,3,4,1,,1,2.1,0.12,0.12,36.1
FC,2024-06-21,94.5,-2.82,6.01,"Hartlieb, Geoff",592696,664129,strikeout,swinging_strike,,,,,14,Eddie Rosario strikes out swinging.,R,L,R,COL,WSH,S,2,,0,2,2024,0.12,0.53,0.74,1.05,657041,,,1,6,Top,,,,,,,9.046855759515692,-137.28921784025823,-8.544826861184278,-0.059444552787857,24.218982763899152,-23.961025426846263,3.43,1.65,,,,95.7,2699,6.6,746540,607732,669911,676701,641857,678662,666134,686668,656248,53.86,,0.0,0.0,1,0,0,,57,6,Cutter,5,11,11,5,11,5,11,5,Strategic,Standard,208,0.006,-0.308,71.5,7.9,,0.308,,-6,6,0.018,0.982,30,32,31,33,2,3,4,1,,1,1.99,-0.12,0.12,37.6
FC,2024-06-21,93.6,-2.85,6.01,"Hartlieb, Geoff",592696,664129,,foul,,,,,13,Eddie Rosario strikes out swinging.,R,L,R,COL,WSH,S,,,0,2,2024,0.22,0.48,-0.64,1.49,657041,,,1,6,Top,,,,,,,5.255009285521608,-136.24059845564375,-7.1314445198373875,1.810912793946354,24.00345572538877,-25.006752367316384,3.43,1.65,,,,94.8,2659,6.6,746540,607732,669911,676701,641857,678662,666134,686668,656248,53.95,,,,,,,,57,5,Cutter,5,11,11,5,11,5,11,5,Strategic,Standard,209,0.0,0.0,55.9,7.2,,0.0,,-6,6,0.018,0.982,30,32,31,33,2,3,4,1,,1,2.08,-0.22,0.22,36.8
FF,2024-06-21,97.3,-3.18,5.72,"Hartlieb, Geoff",592696,664129,,foul,,,,,13,Eddie Rosario strikes out swinging.,R,L,R,COL,WSH,S,,,0,2,2024,-0.36,0.95,-1.07,2.33,657041,,,1,6,Top,,,,,,,6.523056720280165,-141.7452523197616,-5.926008287696522,-6.117086794617946,26.125140185488117,-18.199499399101317,3.43,1.65,254,78.9,37,98.8,2595,6.6,746540,607732,669911,676701,641857,678662,666134,686668,656248,53.89,,,,,,,,57,4,4-Seam Fastball,5,11,11,5,11,5,11,5,Strategic,Standard,227,0.0,0.0,61.4,6.5,,0.0,88.0,-6,6,0.018,0.982,30,32,31,33,2,3,4,1,,1,1.41,0.36,-0.36,32.3
SL,2024-06-21,88.0,-2.92,5.93,"Hartlieb, Geoff",592696,664129,,foul,,,,,13,Eddie Rosario strikes out swinging.,R,L,R,COL,WSH,S,,,0,2,2024,0.11,0.27,-0.47,1.32,657041,,,1,6,Top,,,,,,,5.73263256996715,-128.0821466775622,-5.734528713038056,0.1655595070761605,23.247802453458338,-28.29418900194939,3.43,1.65,168,69.6,20,88.9,2516,6.6,746540,607732,669911,676701,641857,678662,666134,686668,656248,53.92,,,,,,,,57,3,Slider,5,11,11,5,11,5,11,5,Strategic,Standard,123,0.0,0.0,65.0,7.7,,0.0,88.0,-6,6,0.018,0.982,30,32,31,33,2,3,4,1,,1,2.64,-0.11,0.11,37.9
SL,2024-06-21,87.3,-2.97,5.91,"Hartlieb, Geoff",592696,664129,,foul,,,,,14,Eddie Rosario strikes out swinging.,R,L,R,COL,WSH,S,,,0,1,2024,0.15,0.28,0.29,1.1,657041,,,1,6,Top,,,,,,,7.587332178757792,-127.1061566412828,-6.192006014949318,0.5133516501078667,18.399813015866595,-28.318889957696392,3.43,1.65,3,101.3,-21,88.8,2654,6.5,746540,607732,669911,676701,641857,678662,666134,686668,656248,53.98,,,,,,,,57,2,Slider,5,11,11,5,11,5,11,5,Strategic,Standard,27,0.0,-0.1,66.0,7.9,,0.1,101.3,-6,6,0.018,0.982,30,32,31,33,2,3,4,1,,1,2.64,-0.15,0.15,34.9
FF,2024-06-21,96.5,-3.25,5.83,"Hartlieb, Geoff",592696,664129,,called_strike,,,,,11,Eddie Rosario strikes out swinging.,R,L,R,COL,WSH,S,,,0,0,2024,-0.34,0.86,-0.84,2.96,657041,,,1,6,Top,,,,,,,7.196341964555293,-140.60698608321167,-4.159915057696914,-5.794599863257483,24.877285407262587,-19.99717528268317,3.43,1.69,,,,97.8,2550,6.5,746540,607732,669911,676701,641857,678662,666134,686668,656248,54.01,,,,,,,,57,1,4-Seam Fastball,5,11,11,5,11,5,11,5,Strategic,Strategic,222,0.0,-0.049,,,,0.049,,-6,6,0.018,0.982,30,32,31,33,2,3,4,1,,1,1.54,0.34,-0.34,30.5
SL,2024-06-21,87.1,-2.95,5.94,"Hartlieb, Geoff",608385,664129,field_out,hit_into_play,,,,,4,Jesse Winker grounds out to first baseman Michael Toglia.,R,L,R,COL,WSH,X,3,ground_ball,1,2,2024,0.01,0.24,-0.4,2.47,657041,,,0,6,Top,144.9,176.06,,,,,6.1362789707205,-126.8668116715466,-2.7257032504186416,-1.0391234943936103,23.42499781329489,-29.259640953109773,3.51,1.59,12,75.3,-11,87.9,2483,6.5,746540,607732,669911,676701,641857,678662,666134,686668,656248,53.97,0.049,0.048,0.0,1,0,0,2,56,4,Slider,5,11,11,5,11,5,11,5,Strategic,Standard,62,0.004,-0.121,74.8,8.0,0.049,0.121,88.0,-6,6,0.014,0.986,30,30,31,31,2,3,4,1,,1,2.74,-0.01,0.01,35.6
FF,2024-06-21,97.9,-3.11,5.78,"Hartlieb, Geoff",608385,664129,,foul,,,,,8,Jesse Winker grounds out to first baseman Michael Toglia.,R,L,R,COL,WSH,S,,,1,1,2024,-0.55,0.98,-0.17,1.66,657041,,,0,6,Top,,,,,,,9.278774699066432,-142.26214416146354,-8.032864739177962,-9.342621047133282,27.47685408880555,-17.287258700494032,3.51,1.59,243,83.9,23,99.4,2539,6.8,746540,607732,669911,676701,641857,678662,666134,686668,656248,53.67,,,,,,,,56,3,4-Seam Fastball,5,11,11,5,11,5,11,5,Strategic,Standard,227,0.0,-0.102,66.5,6.7,,0.102,88.0,-6,6,0.014,0.986,30,30,31,31,2,3,4,1,,1,1.38,0.55,-0.55,33.5
FC,2024-06-21,91.9,-2.9,6.04,"Hartlieb, Geoff",608385,664129,,foul,,,,,9,Jesse Winker grounds out to first baseman Michael Toglia.,R,L,R,COL,WSH,S,,,1,0,2024,0.25,0.46,0.8,1.8,657041,,,0,6,Top,,,,,,,8.898876899633567,-133.7254912234965,-6.04580222273635,1.5157887208671896,23.365497683928545,-25.64241070131131,3.51,1.59,,,,93.2,2629,6.6,746540,607732,669911,676701,641857,678662,666134,686668,656248,53.87,,,,,,,,56,2,Cutter,5,11,11,5,11,5,11,5,Strategic,Strategic,207,0.0,-0.093,71.5,7.7,,0.093,,-6,6,0.014,0.986,30,30,31,31,2,3,4,1,,1,2.2,-0.25,0.25,35.9
