pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
SI,2024-03-17,92.1,-2.91,6.21,"Hernandez, Aaron",692416,669443,field_out,hit_into_play,,,,,5,"Christian Cerda grounds out, third baseman Cole Fontenelle to first baseman Nolan Schanuel.",S,R,R,AZ,LAA,X,5,ground_ball,2,0,2024,-1.12,0.84,0.11,2.53,,,691283,2,8,Bot,109.43,169.02,,,,,10.01149119001394,-133.6675531103703,-5.288861753837207,-15.618883519683294,28.571406590701464,-21.05887419059556,3.21,1.62,3,79.6,-44,91.4,2041,6.0,747920,595453,694384,501303,694304,670869,641432,545350,666176,54.49,0.091,,0.0,,0,0,2,62,3,Sinker,2,0,2,0,0,2,2,0,Standard,Standard,224,-0.007,-0.354,,,0.091,0.354,88.0,2,2,0.936,0.936,27,21,28,22,1,0,,,,,1.85,1.12,1.12,
SI,2024-03-17,92.0,-2.65,6.21,"Hernandez, Aaron",692416,669443,,blocked_ball,,,,,14,"Christian Cerda grounds out, third baseman Cole Fontenelle to first baseman Nolan Schanuel.",S,R,R,AZ,LAA,B,,,1,0,2024,-1.09,0.98,0.38,0.57,,,691283,2,8,Bot,,,,,,,9.94565885709169,-133.3215578992931,-10.504638558338232,-15.04569221562345,27.588071009662656,-18.35207203964293,3.35,1.62,,,,91.4,2106,6.1,747920,595453,694384,501303,694304,670869,641432,545350,666176,54.43,,,,,,,,62,2,Sinker,2,0,2,0,0,2,2,0,Standard,Standard,222,0.0,0.05,,,,-0.05,,2,2,0.936,0.936,27,21,28,22,1,0,,,,,1.73,1.09,1.09,
SI,2024-03-17,92.2,-2.66,6.21,"Hernandez, Aaron",692416,669443,,ball,,,,,14,"Christian Cerda grounds out, third baseman Cole Fontenelle to first baseman Nolan Schanuel.",S,R,R,AZ,LAA,B,,,0,0,2024,-1.11,0.89,0.86,2.15,,,691283,2,8,Bot,,,,,,,11.272295276542032,-133.70671857682095,-6.35229443023093,-15.68135503142434,28.24498699631938,-20.290355599675458,3.34,1.56,,,,91.7,1935,6.1,747920,595453,694384,501303,694304,670869,641432,545350,666176,54.39,,,,,,,,62,1,Sinker,2,0,2,0,0,2,2,0,Standard,Standard,223,0.0,0.034,,,,-0.034,,2,2,0.936,0.936,27,21,28,22,1,0,,,,,1.81,1.11,1.11,
FF,2024-03-17,93.5,-2.87,6.2,"Hernandez, Aaron",691283,669443,walk,ball,,,,,11,Sheng-Ping Chen walks.,S,L,R,AZ,LAA,B,,,3,2,2024,-0.71,1.2,-1.1,4.08,,,,2,8,Bot,,,,,,,6.070768884134203,-136.15367513766677,-2.4058721661880305,-10.070864659749397,27.533570358939116,-16.851540664676143,3.17,1.56,,,,93.3,1936,6.0,747920,595453,694384,501303,694304,670869,641432,545350,666176,54.53,,,0.7,,0,0,,61,6,4-Seam Fastball,2,0,2,0,0,2,2,0,Infield shade,Standard,221,0.004,0.267,,,,-0.267,,2,2,0.932,0.932,27,23,28,24,1,0,,,,,1.39,0.71,-0.71,
FC,2024-03-17,86.7,-2.9,6.12,"Hernandez, Aaron",691283,669443,,ball,,,,,11,Sheng-Ping Chen walks.,S,L,R,AZ,LAA,B,,,2,2,2024,0.19,0.23,-0.75,4.21,,,,2,8,Bot,,,,,,,4.71193923212067,-126.25304747720725,1.0894035353574814,1.165816225761357,23.53017704597811,-30.152684312275944,3.23,1.56,,,,86.2,2391,5.8,747920,595453,694384,501303,694304,670869,641432,545350,666176,54.73,,,,,,,,61,5,Cutter,2,0,2,0,0,2,2,0,Infield shade,Standard,143,0.0,0.106,,,,-0.106,,2,2,0.932,0.932,27,23,28,24,1,0,,,,,2.78,-0.19,0.19,
SI,2024-03-17,93.2,-2.82,6.13,"Hernandez, Aaron",691283,669443,,foul,,,,,13,Sheng-Ping Chen walks.,S,L,R,AZ,LAA,S,,,2,1,2024,-1.14,1.26,-1.0,2.22,,,,2,8,Bot,,,,,,,7.134935349411499,-135.42936683574473,-6.935149632021342,-15.638711438986446,30.834368857110643,-15.341434801413149,3.08,1.55,,,,92.2,2220,5.8,747920,595453,694384,501303,694304,670869,641432,545350,666176,54.66,,,,,,,,61,4,Sinker,2,0,2,0,0,2,2,0,Infield shade,Standard,219,0.0,-0.084,,,,0.084,,2,2,0.932,0.932,27,23,28,24,1,0,,,,,1.38,1.14,-1.14,
SI,2024-03-17,92.7,-2.97,6.11,"Hernandez, Aaron",691283,669443,,swinging_strike,,,,,4,Sheng-Ping Chen walks.,S,L,R,AZ,LAA,S,,,2,0,2024,-1.21,1.33,-0.39,2.52,,,,2,8,Bot,,,,,,,9.162578134725782,-134.53241748834446,-6.185519114408156,-16.722780055586032,31.058539518274554,-14.878890151955604,3.08,1.55,,,,91.7,2191,6.0,747920,595453,694384,501303,694304,670869,641432,545350,666176,54.51,,,,,,,,61,3,Sinker,2,0,2,0,0,2,2,0,Infield shade,Standard,222,0.0,-0.061,,,,0.061,,2,2,0.932,0.932,27,23,28,24,1,0,,,,,1.35,1.21,-1.21,
SI,2024-03-17,93.3,-2.87,6.2,"Hernandez, Aaron",691283,669443,,ball,,,,,11,Sheng-Ping Chen walks.,S,L,R,AZ,LAA,B,,,1,0,2024,-1.16,1.25,-0.71,3.7,,,,2,8,Bot,,,,,,,8.033978289300503,-135.54059949967348,-3.350011834473995,-16.11378271227686,30.71304646880893,-16.297476350135053,3.28,1.54,,,,92.3,2208,5.9,747920,595453,694384,501303,694304,670869,641432,545350,666176,54.62,,,,,,,,61,2,Sinker,2,0,2,0,0,2,2,0,Infield shade,Standard,223,0.0,0.068,,,,-0.068,,2,2,0.932,0.932,27,23,28,24,1,0,,,,,1.39,1.16,-1.16,
SI,2024-03-17,92.9,-2.87,6.25,"Hernandez, Aaron",691283,669443,,ball,,,,,11,Sheng-Ping Chen walks.,S,L,R,AZ,LAA,B,,,0,0,2024,-0.97,1.34,-0.63,4.95,,,,2,8,Bot,,,,,,,7.777444359993684,-135.02662226042386,-0.4362041182492589,-13.637801250497322,31.14841694123906,-16.020904725405504,3.23,1.55,,,,91.7,2171,5.8,747920,595453,694384,501303,694304,670869,641432,545350,666176,54.73,,,,,,,,61,1,Sinker,2,0,2,0,0,2,2,0,Infield shade,Standard,216,0.0,0.04,,,,-0.04,,2,2,0.932,0.932,27,23,28,24,1,0,,,,,1.32,0.97,-0.97,
SI,2024-03-17,91.2,-2.72,6.25,"Hernandez, Aaron",663807,669443,grounded_into_double_play,hit_into_play,,,,,7,"Nick Dalesandro grounds into a double play, shortstop Livan Soto to second baseman Ehire Adrianza to first baseman Nolan Schanuel. Jackson Feltner out at 2nd. Nick Dalesandro out at 1st.",S,R,R,AZ,LAA,X,6,ground_ball,1,1,2024,-1.07,1.18,-0.71,1.96,,,801822,0,8,Bot,114.5,154.83,,,,,7.28030807371162,-132.46167325449915,-7.357901629822729,-14.093584045417543,28.131054554480755,-16.846386246443117,3.17,1.6,77,96.4,4,90.4,2151,5.9,747920,595453,694384,501303,694304,670869,641432,545350,666176,54.63,0.491,,0.0,,0,0,4,60,3,Sinker,2,0,2,0,0,2,2,0,Standard,Standard,220,-0.019,-0.345,,,0.546,0.345,96.4,2,2,0.951,0.951,27,27,28,28,1,0,,,,,1.57,1.07,1.07,
