pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
FF,2024-09-08,91.9,-2.32,5.88,"Hernandez, Nick",553993,663321,truncated_pa,ball,,,,,12,"D-backs challenged (tag play), call on the field was upheld: Jake McCarthy caught stealing 2nd base, catcher Yainer Diaz to second baseman Jose Altuve.",R,R,R,HOU,AZ,B,2,,0,1,2024,-0.47,1.58,0.65,4.01,,,664983,2,8,Top,,,,,,,8.575454339433469,-133.4726708411043,-2.269744781859869,-7.501666421394278,30.460382217001413,-13.082083101440462,3.38,1.66,,,,92.1,2623,6.7,746345,673237,605170,514888,608324,665161,676801,676694,518792,53.83,,,0.0,0,0,0,,73,2,4-Seam Fastball,5,11,11,5,11,5,11,5,Infield shade,Standard,195,0.001,-0.224,,,,0.224,,-6,6,0.008,0.992,29,32,30,33,1,4,2,1,,2,1.14,0.47,0.47,52.9
FF,2024-09-08,91.5,-2.4,5.69,"Hernandez, Nick",553993,663321,,foul,,,,,6,"D-backs challenged (tag play), call on the field was upheld: Jake McCarthy caught stealing 2nd base, catcher Yainer Diaz to second baseman Jose Altuve.",R,R,R,HOU,AZ,S,,,0,0,2024,-0.46,1.69,0.67,2.85,,,664983,2,8,Top,,,,,,,8.81145493941222,-132.89682780575615,-4.920632494682802,-7.44355418034425,29.75471871269964,-11.300311291182329,3.46,1.59,335,100.0,41,92.0,2571,6.8,746345,673237,605170,514888,608324,665161,676801,676694,518792,53.72,,,,,,,,73,1,4-Seam Fastball,5,11,11,5,11,5,11,5,Infield shade,Standard,206,0.0,-0.047,68.8,7.2,,0.047,100.0,-6,6,0.008,0.992,29,32,30,33,1,4,2,1,,2,1.05,0.46,0.46,51.6
CH,2024-09-08,84.8,-2.33,5.77,"Hernandez, Nick",664983,663321,single,hit_into_play,,,,,7,Jake McCarthy singles on a line drive to left fielder Chas McCormick.   Geraldo Perdomo scores.,R,L,R,HOU,AZ,X,7,line_drive,1,0,2024,-0.98,0.96,-0.52,1.73,,672695,,2,8,Top,95.59,111.72,,,,,6.2600235251526355,-123.25816499239204,-5.023906405582218,-11.226269606069875,26.04894937566444,-21.531138543396786,3.45,1.65,193,70.8,20,85.4,1587,6.9,746345,673237,605170,514888,608324,665161,676801,676694,518792,53.6,0.903,0.826,0.9,1,1,0,4,72,2,Changeup,5,10,10,5,11,5,11,5,Standard,Standard,224,-0.008,0.657,67.4,7.0,0.96,-0.657,88.0,-5,5,0.016,0.984,29,26,30,27,1,4,2,1,,2,2.23,0.98,-0.98,47.8
FF,2024-09-08,91.5,-2.37,5.75,"Hernandez, Nick",664983,663321,,ball,,,,,2,Jake McCarthy singles on a line drive to left fielder Chas McCormick.   Geraldo Perdomo scores.,R,L,R,HOU,AZ,B,,,0,0,2024,-0.3,1.6,-0.18,3.48,,,672695,2,8,Top,,,,,,,6.219051484868447,-133.11907131699263,-3.280009445769356,-4.953408020653963,31.1425639553807,-12.74538948025279,3.79,1.77,,,,91.9,2541,6.8,746345,673237,605170,514888,608324,665161,676801,676694,518792,53.73,,,,,,,,72,1,4-Seam Fastball,5,10,10,5,10,5,10,5,Infield shade,Standard,204,-0.001,0.034,,,,-0.034,,-5,5,0.017,0.983,29,26,30,27,1,4,2,1,,2,1.15,0.3,-0.3,48.9
CH,2024-09-08,83.5,-2.46,5.89,"Hernandez, Nick",605137,663321,strikeout,called_strike,,,,,13,Josh Bell called out on strikes.,R,L,R,HOU,AZ,S,2,,2,2,2024,-0.39,1.21,-0.95,2.33,,,672695,1,8,Top,,,,,,,4.268042725108015,-121.5558808736395,-4.1529957726084845,-4.684333652291045,24.644094583641422,-19.589571120391827,3.69,1.81,,,,84.0,1355,6.7,746345,673237,605170,514888,608324,665161,676801,676694,518792,53.82,,0.0,0.0,1,0,0,,71,5,Changeup,5,10,10,5,10,5,10,5,Infield shade,Standard,221,0.002,-0.229,,,,0.229,,-5,5,0.015,0.985,29,31,30,32,1,4,2,3,,2,2.07,0.39,-0.39,49.0
SL,2024-09-08,82.1,-2.72,5.81,"Hernandez, Nick",605137,663321,,foul,,,,,4,Josh Bell called out on strikes.,R,L,R,HOU,AZ,S,,,2,1,2024,0.45,0.08,-0.56,2.53,,,672695,1,8,Top,,,,,,,4.064083972028343,-119.59633547709548,-1.0556522602361234,3.5358802154708626,22.264586130785897,-31.388013233331197,3.78,1.83,,,,83.0,2633,6.7,746345,673237,605170,514888,608324,665161,676801,676694,518792,53.77,,,,,,,,71,4,Slider,5,10,10,5,10,5,10,5,Infield shade,Standard,102,0.0,-0.057,72.0,7.7,,0.057,,-5,5,0.015,0.985,29,31,30,32,1,4,2,3,,2,3.28,-0.45,0.45,50.3
SL,2024-09-08,82.5,-2.71,5.8,"Hernandez, Nick",605137,663321,,ball,,,,,14,Josh Bell called out on strikes.,R,L,R,HOU,AZ,B,,,1,1,2024,0.39,0.12,0.19,1.63,,,672695,1,8,Top,,,,,,,5.858375453851664,-120.11737282503444,-3.24311494095527,2.6552710825723267,23.147489505361182,-30.55519742180751,3.57,1.76,,,,83.0,2535,6.6,746345,673237,605170,514888,608324,665161,676801,676694,518792,53.92,,,,,,,,71,3,Slider,5,10,10,5,10,5,10,5,Infield shade,Standard,103,0.0,0.046,,,,-0.046,,-5,5,0.015,0.985,29,31,30,32,1,4,2,3,,2,3.22,-0.39,0.39,50.8
CH,2024-09-08,83.5,-2.28,5.98,"Hernandez, Nick",605137,663321,,blocked_ball,,,,,14,Josh Bell called out on strikes.,R,L,R,HOU,AZ,B,,,0,1,2024,-0.93,0.67,0.87,-0.08,,,672695,1,8,Top,,,,,,,9.129185509911812,-121.09948447880387,-8.857947488441736,-10.834742900103697,22.40668752523808,-24.052028404469983,3.55,1.68,,,,84.1,1568,6.7,746345,673237,605170,514888,608324,665161,676801,676694,518792,53.76,,,,,,,,71,2,Changeup,5,10,10,5,10,5,10,5,Infield shade,Standard,228,0.0,0.029,,,,-0.029,,-5,5,0.015,0.985,29,31,30,32,1,4,2,3,,2,2.61,0.93,-0.93,50.3
CH,2024-09-08,84.0,-2.52,5.92,"Hernandez, Nick",605137,663321,,called_strike,,,,,2,Josh Bell called out on strikes.,R,L,R,HOU,AZ,S,,,0,0,2024,-0.93,0.74,0.24,3.06,,,672695,1,8,Top,,,,,,,8.272563301554916,-122.06457835291862,-1.6520752046980598,-10.915544902831328,24.480461130777396,-24.697965106626445,3.51,1.74,,,,84.5,1475,6.7,746345,673237,605170,514888,608324,665161,676801,676694,518792,53.77,,,,,,,,71,1,Changeup,5,10,10,5,10,5,10,5,Infield shade,Standard,227,0.0,-0.04,,,,0.04,,-5,5,0.015,0.985,29,31,30,32,1,4,2,3,,2,2.51,0.93,-0.93,54.5
FF,2024-09-08,90.9,-2.01,5.97,"Hernandez, Nick",592626,663321,strikeout,swinging_strike,,,,,12,Joc Pederson strikes out swinging.,R,L,R,HOU,AZ,S,2,,0,2,2024,-0.35,1.56,0.19,4.15,,,672695,0,8,Top,,,,,,,6.278482254083631,-132.27572433093673,-1.963708315743679,-5.517266198748792,29.663025406101053,-13.742028540218888,3.54,1.72,,,,91.1,2504,6.5,746345,673237,605170,514888,608324,665161,676801,676694,518792,54.0,,0.0,0.0,1,0,0,,70,3,4-Seam Fastball,5,10,10,5,10,5,10,5,Infield shade,Standard,195,0.002,-0.15,52.5,4.9,,0.15,,-5,5,0.013,0.987,29,32,30,32,1,4,2,3,,2,1.21,0.35,-0.35,52.6
