pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
FF,2024-09-25,92.1,1.95,5.9,"Herz, DJ",686681,687792,field_out,hit_into_play,,,,,12,Michael Massey pops out to shortstop Nasim Nuñez.,R,L,L,WSH,KC,X,6,popup,2,2,2024,0.9,1.42,0.24,3.55,,,,2,5,Top,128.84,128.26,,,,,-6.349945466033274,-134.03346936201925,-3.275144360520301,12.179571854143417,26.691801042163263,-14.468498609746057,3.38,1.6,179,88.7,62,93.3,2003,6.8,744795,686452,608336,677588,545121,683083,695578,696285,686611,53.71,0.006,0.005,0.0,1,0,0,3,36,7,4-Seam Fastball,0,1,1,0,1,0,1,0,Standard,Standard,135,0.011,-0.219,70.0,6.2,0.006,0.219,88.7,-1,1,0.396,0.604,23,26,23,26,3,2,7,1,,1,1.25,0.9,0.9,36.3
FF,2024-09-25,94.6,2.04,5.86,"Herz, DJ",686681,687792,,foul,,,,,2,Michael Massey pops out to shortstop Nasim Nuñez.,R,L,L,WSH,KC,S,,,2,2,2024,0.97,1.4,0.15,3.32,,,,2,5,Top,,,,,,,-7.164591009595107,-137.6011897296846,-4.14842735934237,13.87160287819382,28.37295250849249,-13.544064143732053,3.38,1.6,161,75.1,67,95.8,2169,6.9,744795,686452,608336,677588,545121,683083,695578,696285,686611,53.65,,,,,,,,36,6,4-Seam Fastball,0,1,1,0,1,0,1,0,Standard,Standard,141,0.0,0.0,65.3,6.0,,0.0,88.0,-1,1,0.396,0.604,23,26,23,26,3,2,7,1,,1,1.13,0.97,0.97,39.2
CH,2024-09-25,82.8,2.08,5.78,"Herz, DJ",686681,687792,,foul,,,,,8,Michael Massey pops out to shortstop Nasim Nuñez.,R,L,L,WSH,KC,S,,,2,2,2024,1.24,0.24,-0.22,1.92,,,,2,5,Top,,,,,,,-7.732220318767723,-120.34846501328744,-2.793274060197943,13.59178700810339,23.493332955021128,-29.516161869508544,3.38,1.6,98,83.5,7,83.2,2020,6.7,744795,686452,608336,677588,545121,683083,695578,696285,686611,53.84,,,,,,,,36,5,Changeup,0,1,1,0,1,0,1,0,Standard,Standard,107,0.0,0.0,71.2,8.1,,0.0,88.0,-1,1,0.396,0.604,23,26,23,26,3,2,7,1,,1,3.1,1.24,1.24,34.8
SL,2024-09-25,88.4,2.05,5.68,"Herz, DJ",686681,687792,,ball,,,,,13,Michael Massey pops out to shortstop Nasim Nuñez.,R,L,L,WSH,KC,B,,,1,2,2024,0.08,0.23,-1.51,1.11,,,,2,5,Top,,,,,,,-8.899002177437806,-128.4616033672208,-5.563517170614801,2.734421771941183,26.55938393944988,-28.639258161112064,3.36,1.6,,,,89.0,2250,6.7,744795,686452,608336,677588,545121,683083,695578,696285,686611,53.8,,,,,,,,36,4,Slider,0,1,1,0,1,0,1,0,Standard,Standard,124,0.0,0.039,,,,-0.039,,-1,1,0.396,0.604,23,26,23,26,3,2,7,1,,1,2.69,0.08,0.08,33.2
SL,2024-09-25,85.2,2.0,5.7,"Herz, DJ",686681,687792,,swinging_strike,,,,,2,Michael Massey pops out to shortstop Nasim Nuñez.,R,L,L,WSH,KC,S,,,1,1,2024,-0.02,0.27,0.22,3.09,,,,2,5,Top,,,,,,,-4.157459192392088,-124.13317865928164,-0.4296174250213654,0.5575930135408688,23.83780939276043,-29.478517687347352,3.38,1.6,,,,86.0,2149,6.6,744795,686452,608336,677588,545121,683083,695578,696285,686611,53.88,,,,,,,,36,3,Slider,0,1,1,0,1,0,1,0,Standard,Standard,115,0.0,-0.064,71.1,7.5,,0.064,,-1,1,0.396,0.604,23,26,23,26,3,2,7,1,,1,2.85,-0.02,-0.02,34.5
SL,2024-09-25,85.6,2.13,5.64,"Herz, DJ",686681,687792,,swinging_strike,,,,,3,Michael Massey pops out to shortstop Nasim Nuñez.,R,L,L,WSH,KC,S,,,1,0,2024,-0.01,0.18,0.73,3.41,,,,2,5,Top,,,,,,,-3.3080150415082445,-124.6675961765127,0.5971842550331599,0.4579715019171783,22.94121067316029,-30.572483341511592,3.38,1.6,,,,86.7,2146,6.8,744795,686452,608336,677588,545121,683083,695578,696285,686611,53.74,,,,,,,,36,2,Slider,0,1,1,0,1,0,1,0,Standard,Standard,184,0.0,-0.051,64.6,5.6,,0.051,,-1,1,0.396,0.604,23,26,23,26,3,2,7,1,,1,2.9,-0.01,-0.01,33.7
SL,2024-09-25,85.4,2.1,5.74,"Herz, DJ",686681,687792,,ball,,,,,12,Michael Massey pops out to shortstop Nasim Nuñez.,R,L,L,WSH,KC,B,,,0,0,2024,0.05,0.24,1.38,3.16,,,,2,5,Top,,,,,,,-1.804724379717041,-124.40295768833828,-0.2949014274224343,0.8931105151110867,23.641981888058552,-29.82018897743146,3.18,1.45,,,,86.1,2100,6.6,744795,686452,608336,677588,545121,683083,695578,696285,686611,53.94,,,,,,,,36,1,Slider,0,1,1,0,1,0,1,0,Standard,Standard,134,0.0,0.04,,,,-0.04,,-1,1,0.396,0.604,23,26,23,26,3,2,7,1,,1,2.87,0.05,0.05,33.6
SL,2024-09-25,86.6,2.18,5.61,"Herz, DJ",677951,687792,field_out,hit_into_play,,,,,5,Bobby Witt Jr. flies out to right fielder Dylan Crews.,R,R,L,WSH,KC,X,9,fly_ball,3,2,2024,0.1,0.33,0.16,2.56,,,,1,5,Top,190.04,105.11,,,,,-5.040150944661956,-126.12650333864678,-1.764793758377424,2.099683583555813,25.240386798521275,-28.554211907190343,3.5,1.65,282,86.3,35,87.0,2157,6.5,744795,686452,608336,677588,545121,683083,695578,696285,686611,54.05,0.029,0.042,0.0,1,0,0,3,35,6,Slider,0,1,1,0,1,0,1,0,Standard,Standard,111,0.017,-0.332,76.5,6.7,0.069,0.332,88.0,-1,1,0.379,0.621,23,24,23,24,3,2,7,1,,1,2.71,0.1,-0.1,33.0
CH,2024-09-25,82.1,2.08,5.83,"Herz, DJ",677951,687792,,ball,,,,,12,Bobby Witt Jr. flies out to right fielder Dylan Crews.,R,R,L,WSH,KC,B,,,2,2,2024,1.12,0.31,2.19,2.98,,,,1,5,Top,,,,,,,-1.9527080458267432,-119.60386590658564,-0.5042999545315733,11.096659054166176,23.37927995681507,-29.33533334099926,3.48,1.54,,,,82.9,2203,6.8,744795,686452,608336,677588,545121,683083,695578,696285,686611,53.71,,,,,,,,35,5,Changeup,0,1,1,0,1,0,1,0,Standard,Standard,97,0.0,0.108,,,,-0.108,,-1,1,0.379,0.621,23,24,23,24,3,2,7,1,,1,3.07,1.12,-1.12,34.3
CH,2024-09-25,82.5,1.97,5.86,"Herz, DJ",677951,687792,,swinging_strike,,,,,13,Bobby Witt Jr. flies out to right fielder Dylan Crews.,R,R,L,WSH,KC,S,,,2,1,2024,1.07,0.64,-0.43,1.3,,,,1,5,Top,,,,,,,-7.588240214155782,-119.84927956886744,-5.137856275341441,11.743962848907069,22.007712059528924,-25.184205097455813,3.5,1.65,,,,83.3,2262,6.8,744795,686452,608336,677588,545121,683083,695578,696285,686611,53.68,,,,,,,,35,4,Changeup,0,1,1,0,1,0,1,0,Standard,Standard,105,0.0,-0.078,74.2,8.6,,0.078,,-1,1,0.379,0.621,23,24,23,24,3,2,7,1,,1,2.7,1.07,-1.07,36.8
