pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
FF,2024-09-30,94.7,-1.32,5.77,"Iglesias, Raisel",607043,628452,home_run,hit_into_play,,,,,6,Brandon Nimmo homers (23) on a fly ball to right field. Jose Iglesias scores.,R,L,R,ATL,NYM,X,,fly_ball,2,1,2024,-0.77,1.26,0.34,2.48,,578428,,1,8,Top,234.34,74.69,,,,,6.022901638006158,-137.78591254939363,-5.6976970780770335,-11.082840863279962,29.47162723831619,-15.09129852179391,3.49,1.74,405,107.1,38,94.5,2324,6.1,747139,518595,621566,645277,570482,606115,657656,671739,642201,54.39,0.643,1.335,2.0,1,0,3,6,62,4,4-Seam Fastball,3,4,4,3,6,3,6,3,Strategic,Standard,218,-0.153,1.267,76.8,7.5,2.567,-1.267,107.1,-1,1,0.225,0.775,34,31,34,31,1,3,2,1,0,0,1.28,0.77,-0.77,36.6
FF,2024-09-30,94.7,-1.51,5.8,"Iglesias, Raisel",607043,628452,,swinging_strike,,,,,2,Brandon Nimmo homers (23) on a fly ball to right field. Jose Iglesias scores.,R,L,R,ATL,NYM,S,,,2,0,2024,-0.56,1.35,-0.24,3.33,,578428,,1,8,Top,,,,,,,4.546577261776976,-137.80538640917706,-3.791295407394235,-8.180420550471387,30.42379666282947,-14.353713867922764,3.49,1.74,,,,94.4,2343,6.1,747139,518595,621566,645277,570482,606115,657656,671739,642201,54.41,,,,,,,,62,3,4-Seam Fastball,3,4,4,3,4,3,4,3,Strategic,Standard,217,0.0,-0.047,73.6,6.5,,0.047,,-1,1,0.225,0.775,34,31,34,31,1,3,2,1,0,0,1.19,0.56,-0.56,37.6
FF,2024-09-30,94.2,-1.54,5.75,"Iglesias, Raisel",607043,628452,,ball,,,,,13,Brandon Nimmo homers (23) on a fly ball to right field. Jose Iglesias scores.,R,L,R,ATL,NYM,B,,,1,0,2024,-0.82,1.31,-0.33,1.34,,578428,,1,8,Top,,,,,,,4.9238577741968585,-136.90733533810115,-8.628597230414622,-11.39980024866258,29.40762504722792,-13.95388430582376,3.49,1.72,,,,94.0,2274,6.2,747139,518595,621566,645277,570482,606115,657656,671739,642201,54.34,,,,,,,,62,2,4-Seam Fastball,3,4,4,3,4,3,4,3,Strategic,Standard,217,0.0,0.042,,,,-0.042,,-1,1,0.225,0.775,34,31,34,31,1,3,2,1,0,0,1.26,0.82,-0.82,34.8
FF,2024-09-30,95.1,-1.52,5.75,"Iglesias, Raisel",607043,628452,,ball,,,,,13,Brandon Nimmo homers (23) on a fly ball to right field. Jose Iglesias scores.,R,L,R,ATL,NYM,B,,,0,0,2024,-1.0,1.23,-0.71,1.53,,,578428,1,8,Top,,,,,,,4.353191099944069,-138.29671518927137,-8.137816469745037,-13.861502540278137,29.990845560016812,-14.811880610881952,3.49,1.74,,,,94.8,2256,6.1,747139,518595,621566,645277,570482,606115,657656,671739,642201,54.42,,,,,,,,62,1,4-Seam Fastball,3,4,4,3,4,3,4,3,Standard,Standard,227,-0.02,0.036,,,,-0.036,,-1,1,0.245,0.755,34,31,34,31,1,3,2,1,0,0,1.29,1.0,-1.0,35.4
SL,2024-09-30,84.3,-1.57,5.69,"Iglesias, Raisel",668901,628452,sac_fly,hit_into_play,,,,,6,Mark Vientos out on a sacrifice fly to center fielder Michael Harris II. Francisco Lindor scores.,R,R,R,ATL,NYM,X,8,fly_ball,2,1,2024,0.78,0.48,0.48,2.47,596019,,578428,0,8,Top,113.23,79.1,,,,,3.2050191381426343,-122.92119790339166,-2.1515625731545303,7.377224260343633,21.775746793026315,-27.03516701397554,3.63,1.69,300,84.8,39,84.3,2677,6.0,747139,518595,621566,645277,570482,606115,657656,671739,642201,54.55,0.011,0.016,0.0,1,0,0,3,61,4,Slider,3,3,3,3,4,3,4,3,Strategic,Standard,69,-0.009,-0.237,64.8,8.2,0.028,0.237,88.0,0,0,0.254,0.746,34,24,34,25,1,3,2,1,0,1,2.68,-0.78,-0.78,32.5
SL,2024-09-30,84.0,-1.63,5.67,"Iglesias, Raisel",668901,628452,,ball,,,,,14,Mark Vientos out on a sacrifice fly to center fielder Michael Harris II. Francisco Lindor scores.,R,R,R,ATL,NYM,B,,,1,1,2024,1.18,0.27,1.15,1.42,596019,,578428,0,8,Top,,,,,,,4.087075303945063,-122.35116321504717,-3.973217904558422,11.1122198996622,23.69457122858913,-28.940979027481923,3.63,1.71,,,,83.9,2749,6.1,747139,518595,621566,645277,570482,606115,657656,671739,642201,54.37,,,,,,,,61,3,Slider,3,3,3,3,3,3,3,3,Strategic,Standard,64,0.0,0.016,,,,-0.016,,0,0,0.254,0.746,34,24,34,25,1,3,2,1,0,1,2.95,-1.18,-1.18,35.6
SL,2024-09-30,84.9,-1.61,5.7,"Iglesias, Raisel",668901,628452,,swinging_strike,,,,,14,Mark Vientos out on a sacrifice fly to center fielder Michael Harris II. Francisco Lindor scores.,R,R,R,ATL,NYM,S,,,1,0,2024,0.83,0.42,1.02,2.52,596019,,578428,0,8,Top,,,,,,,4.479249767403345,-123.681329146432,-1.980715568843985,7.707327395972075,23.898075215415847,-27.660963024852965,3.63,1.69,,,,84.7,2731,6.1,747139,518595,621566,645277,570482,606115,657656,671739,642201,54.45,,,,,,,,61,2,Slider,3,3,3,3,3,3,3,3,Strategic,Standard,70,0.0,-0.043,71.8,9.0,,0.043,,0,0,0.254,0.746,34,24,34,25,1,3,2,1,0,1,2.73,-0.83,-0.83,34.1
SL,2024-09-30,85.6,-1.6,5.73,"Iglesias, Raisel",668901,628452,,ball,,,,,14,Mark Vientos out on a sacrifice fly to center fielder Michael Harris II. Francisco Lindor scores.,R,R,R,ATL,NYM,B,,,0,0,2024,0.74,0.6,1.54,1.75,596019,,578428,0,8,Top,,,,,,,5.905008095261464,-124.55402875416397,-4.391728018314358,6.688052462207164,22.588942229796228,-25.225979364652137,3.56,1.67,,,,85.7,2641,6.1,747139,518595,621566,645277,570482,606115,657656,671739,642201,54.38,,,,,,,,61,1,Slider,3,3,3,3,3,3,3,3,Strategic,Standard,79,0.0,0.021,,,,-0.021,,0,0,0.254,0.746,34,24,34,25,1,3,2,1,0,1,2.48,-0.74,-0.74,36.8
FF,2024-09-30,95.5,-1.2,5.97,"Iglesias, Raisel",578428,628452,single,hit_into_play,,,,,14,Jose Iglesias singles on a line drive to right fielder Eli White. Starling Marte scores. Francisco Lindor to 3rd.,R,R,R,ATL,NYM,X,9,line_drive,0,2,2024,-0.65,1.37,0.85,1.93,,516782,596019,0,8,Top,198.85,117.09,,,,,6.850306869935065,-138.75165897912646,-8.067094296762393,-9.92784052212846,30.225325769405803,-12.871108001054589,3.22,1.45,182,95.9,8,95.5,2301,6.3,747139,518595,621566,645277,570482,606115,657656,671739,642201,54.2,0.603,0.56,0.9,1,1,0,4,60,4,4-Seam Fastball,3,2,2,3,3,3,3,3,Standard,Standard,207,-0.29,0.584,68.4,6.8,0.668,-0.584,95.9,1,-1,0.544,0.456,34,34,34,34,1,3,2,1,0,0,1.13,0.65,0.65,41.6
FF,2024-09-30,95.0,-2.54,5.2,"Iglesias, Raisel",578428,628452,,foul,,,,,11,Jose Iglesias singles on a line drive to right fielder Eli White. Starling Marte scores. Francisco Lindor to 3rd.,R,R,R,ATL,NYM,S,,,0,2,2024,-0.79,1.16,-0.94,3.33,,516782,596019,0,8,Top,,,,,,,5.950533526953201,-138.29424784874843,-1.855281578430563,-11.44494891340842,30.614635406013928,-17.080403733529742,3.22,1.45,157,76.4,14,95.1,2264,6.3,747139,518595,621566,645277,570482,606115,657656,671739,642201,54.2,,,,,,,,60,3,4-Seam Fastball,3,2,2,3,2,3,2,3,Standard,Standard,232,0.0,0.0,60.2,4.7,,0.0,88.0,1,-1,0.544,0.456,34,34,34,34,1,3,2,1,0,0,1.36,0.79,0.79,19.9
