pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
FF,2024-09-03,105.5,-1.87,5.28,"Joyce, Ben",669242,690829,strikeout,swinging_strike,,,,,9,Tommy Edman strikes out swinging.,R,L,R,LAA,LAD,S,2,,0,2,2024,-1.02,1.14,0.56,1.65,,,,2,9,Top,,,,,,,9.677411536925362,-153.07888020209128,-8.284026995700794,-18.604793469837524,42.38745306144594,-12.20053117154859,3.22,1.44,,,,105.5,2432,6.7,746185,681351,694384,592273,543685,687263,621493,666160,666176,53.75,,0.0,0.0,1,0,0,,63,3,4-Seam Fastball,2,2,2,2,2,2,2,2,Strategic,Standard,228,0.032,-0.157,71.7,6.4,,0.157,,0,0,0.602,0.398,23,29,24,29,1,3,2,1,,1,0.94,1.02,-1.02,27.7
SL,2024-09-03,85.5,-1.93,5.19,"Joyce, Ben",669242,690829,,called_strike,,,,,5,Tommy Edman strikes out swinging.,R,L,R,LAA,LAD,S,,,0,1,2024,0.9,0.0,-0.03,2.41,,,,2,9,Top,,,,,,,2.680414475388548,-124.53181415953412,-0.2352541944761622,8.74476507233069,26.60421698329275,-32.34616968863955,3.05,1.37,,,,85.7,2789,6.5,746185,681351,694384,592273,543685,687263,621493,666160,666176,53.97,,,,,,,,63,2,Slider,2,2,2,2,2,2,2,2,Strategic,Standard,74,0.0,-0.058,,,,0.058,,0,0,0.602,0.398,23,29,24,29,1,3,2,1,,1,3.13,-0.9,0.9,29.1
SL,2024-09-03,86.5,-1.84,5.23,"Joyce, Ben",669242,690829,,swinging_strike,,,,,14,Tommy Edman strikes out swinging.,R,L,R,LAA,LAD,S,,,0,0,2024,0.76,-0.05,0.88,1.45,,,,2,9,Top,,,,,,,4.945917352150012,-125.82921979521892,-2.65573767878808,6.942782391218036,27.795279432726183,-32.337324101585445,3.22,1.44,,,,86.5,2779,6.5,746185,681351,694384,592273,543685,687263,621493,666160,666176,53.98,,,,,,,,63,1,Slider,2,2,2,2,2,2,2,2,Strategic,Standard,71,0.0,-0.041,64.0,8.2,,0.041,,0,0,0.602,0.398,23,29,24,29,1,3,2,1,,1,3.12,-0.76,0.76,25.5
FF,2024-09-03,102.1,-1.71,5.44,"Joyce, Ben",669257,690829,strikeout,swinging_strike,,,,,2,Will Smith strikes out swinging.,R,R,R,LAA,LAD,S,2,,1,2,2024,-0.92,0.97,-0.16,2.79,,,,1,9,Top,,,,,,,6.613099118605733,-148.51067339869385,-4.521818389253077,-15.202999192443126,37.91258024333518,-16.954680606199467,3.31,1.53,,,,102.4,2161,6.6,746185,681351,694384,592273,543685,687263,621493,666160,666176,53.88,,0.0,0.0,1,0,0,,62,4,4-Seam Fastball,2,2,2,2,2,2,2,2,Standard,Standard,220,0.044,-0.182,72.3,6.7,,0.182,,0,0,0.558,0.442,23,29,24,29,1,3,2,1,,3,1.23,0.92,0.92,30.9
FF,2024-09-03,104.4,-1.8,5.35,"Joyce, Ben",669257,690829,,ball,,,,,14,Will Smith strikes out swinging.,R,R,R,LAA,LAD,B,,,0,2,2024,-0.9,0.99,0.91,2.15,,,,1,9,Top,,,,,,,10.038632523880452,-151.59439486729318,-6.495001440593877,-16.358952168908633,39.47349838835146,-15.434649464785174,3.41,1.52,,,,104.3,2337,6.5,746185,681351,694384,592273,543685,687263,621493,666160,666176,54.01,,,,,,,,62,3,4-Seam Fastball,2,2,2,2,2,2,2,2,Standard,Standard,226,0.0,0.02,,,,-0.02,,0,0,0.558,0.442,23,29,24,29,1,3,2,1,,3,1.12,0.9,0.9,27.8
FF,2024-09-03,103.6,-1.78,5.31,"Joyce, Ben",669257,690829,,swinging_strike,,,,,2,Will Smith strikes out swinging.,R,R,R,LAA,LAD,S,,,0,1,2024,-0.94,0.76,-0.24,2.94,,,,1,9,Top,,,,,,,6.726562798360874,-150.7487259947764,-3.4326370529862973,-15.926210370757994,38.165009344528734,-19.89173031293792,3.31,1.53,,,,103.9,2112,6.5,746185,681351,694384,592273,543685,687263,621493,666160,666176,53.97,,,,,,,,62,2,4-Seam Fastball,2,2,2,2,2,2,2,2,Standard,Standard,234,0.0,-0.057,67.0,6.0,,0.057,,0,0,0.558,0.442,23,29,24,29,1,3,2,1,,3,1.37,0.94,0.94,31.2
FF,2024-09-03,104.0,-1.87,5.41,"Joyce, Ben",669257,690829,,called_strike,,,,,1,Will Smith strikes out swinging.,R,R,R,LAA,LAD,S,,,0,0,2024,-0.87,1.06,-0.63,3.21,,,,1,9,Top,,,,,,,5.694705144400964,-151.3507798947814,-3.75019931206767,-14.731340151436315,38.45706489897816,-15.162876947198134,3.34,1.51,,,,104.1,2285,6.4,746185,681351,694384,592273,543685,687263,621493,666160,666176,54.06,,,,,,,,62,1,4-Seam Fastball,2,2,2,2,2,2,2,2,Standard,Standard,224,0.0,-0.037,,,,0.037,,0,0,0.558,0.442,23,29,24,29,1,3,2,1,,3,1.05,0.87,0.87,25.4
FF,2024-09-03,103.0,-1.82,5.25,"Joyce, Ben",606192,690829,field_out,hit_into_play,,,,,7,Teoscar Hernández flies out sharply to right fielder Jo Adell.,R,R,R,LAA,LAD,X,9,fly_ball,2,0,2024,-0.91,1.05,-0.43,2.11,,,,0,9,Top,176.61,122.05,,,,,6.184266106418362,-149.72725447002875,-6.246017556700815,-15.260291322584337,36.69254116143341,-15.08051073522895,3.5,1.62,230,101.7,59,103.4,2351,6.6,746185,681351,694384,592273,543685,687263,621493,666160,666176,53.9,0.006,0.006,0.0,1,0,0,3,61,3,4-Seam Fastball,2,2,2,2,2,2,2,2,Standard,Standard,226,0.058,-0.361,,,0.01,0.361,101.7,0,0,0.5,0.5,23,31,24,32,1,3,2,1,,1,1.11,0.91,0.91,23.5
SI,2024-09-03,94.5,-1.85,5.31,"Joyce, Ben",606192,690829,,ball,,,,,11,Teoscar Hernández flies out sharply to right fielder Jo Adell.,R,R,R,LAA,LAD,B,,,1,0,2024,-0.93,-0.02,-1.23,2.79,,,,0,9,Top,,,,,,,3.700410374596598,-137.6152630695353,-0.8491378380503164,-12.6392617824355,29.529239016711124,-32.506348714534184,3.51,1.66,,,,95.0,1669,6.5,746185,681351,694384,592273,543685,687263,621493,666160,666176,54.01,,,,,,,,61,2,Sinker,2,2,2,2,2,2,2,2,Standard,Standard,234,0.0,0.069,,,,-0.069,,0,0,0.5,0.5,23,31,24,32,1,3,2,1,,1,2.57,0.93,0.93,27.7
SI,2024-09-03,94.6,-1.7,5.28,"Joyce, Ben",606192,690829,,ball,,,,,13,Teoscar Hernández flies out sharply to right fielder Jo Adell.,R,R,R,LAA,LAD,B,,,0,0,2024,-1.12,0.3,-0.87,1.91,,,,0,9,Top,,,,,,,4.690575583697168,-137.71014430901312,-3.793006390117779,-15.325614724423184,30.01563839474376,-27.71777355658329,3.47,1.61,,,,95.0,1772,6.4,746185,681351,694384,592273,543685,687263,621493,666160,666176,54.05,,,,,,,,61,1,Sinker,2,2,2,2,2,2,2,2,Standard,Standard,235,0.0,0.038,,,,-0.038,,0,0,0.5,0.5,23,31,24,32,1,3,2,1,,1,2.24,1.12,1.12,29.5
