pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
,2024-03-22,,,,"Kiest, Tanner",666624,641750,strikeout,called_strike,,,,,,Christopher Morel called out on strikes.,S,R,R,SF,CHC,S,2,,0,2,2024,,,,,,,,2,1,Top,,,,,,,,,,,,,,,,,,,,,747857,672275,664774,642731,656305,605113,624424,808982,573262,,,,0.0,,0,0,,12,3,,0,9,9,0,9,0,9,0,,,,0.001,-0.157,,,,0.157,,-9,9,0.022,0.978,29,25,30,25,1,1,,,,,,,,
,2024-03-22,,,,"Kiest, Tanner",666624,641750,,swinging_strike,,,,,,Christopher Morel called out on strikes.,S,R,R,SF,CHC,S,,,0,1,2024,,,,,,,,2,1,Top,,,,,,,,,,,,,,,,,,,,,747857,672275,664774,642731,656305,605113,624424,808982,573262,,,,,,,,,12,2,,0,9,9,0,9,0,9,0,,,,0.0,-0.058,,,,0.058,,-9,9,0.022,0.978,29,25,30,25,1,1,,,,,,,,
,2024-03-22,,,,"Kiest, Tanner",666624,641750,,swinging_strike,,,,,,Christopher Morel called out on strikes.,S,R,R,SF,CHC,S,,,0,0,2024,,,,,,,,2,1,Top,,,,,,,,,,,,,,,,,,,,,747857,672275,664774,642731,656305,605113,624424,808982,573262,,,,,,,,,12,1,,0,9,9,0,9,0,9,0,,,,0.0,-0.041,,,,0.041,,-9,9,0.022,0.978,29,25,30,25,1,1,,,,,,,,
,2024-03-22,,,,"Kiest, Tanner",673548,641750,home_run,hit_into_play,,,,,,Seiya Suzuki hits a grand slam (4) to right field.   Matt Mervis scores.    Owen Caissie scores.    Mike Tauchman scores.,S,R,R,SF,CHC,X,,fly_ball,3,2,2024,,,,,670223,683357,643565,2,1,Top,222.47,65.56,,,,,,,,,,,,,,,,,,,747857,672275,664774,642731,656305,605113,624424,808982,573262,,,,2.0,,0,3,,11,6,,0,5,5,0,9,0,9,0,,,,-0.083,1.035,,,,-1.035,,-5,5,0.105,0.895,29,29,30,30,1,1,,,,,,,,
,2024-03-22,,,,"Kiest, Tanner",673548,641750,,swinging_strike,,,,,,Seiya Suzuki hits a grand slam (4) to right field.   Matt Mervis scores.    Owen Caissie scores.    Mike Tauchman scores.,S,R,R,SF,CHC,S,,,3,1,2024,,,,,670223,683357,643565,2,1,Top,,,,,,,,,,,,,,,,,,,,,747857,672275,664774,642731,656305,605113,624424,808982,573262,,,,,,,,,11,5,,0,5,5,0,5,0,5,0,,,,0.0,-0.07,,,,0.07,,-5,5,0.105,0.895,29,29,30,30,1,1,,,,,,,,
,2024-03-22,,,,"Kiest, Tanner",673548,641750,,swinging_strike,,,,,,Seiya Suzuki hits a grand slam (4) to right field.   Matt Mervis scores.    Owen Caissie scores.    Mike Tauchman scores.,S,R,R,SF,CHC,S,,,3,0,2024,,,,,670223,683357,643565,2,1,Top,,,,,,,,,,,,,,,,,,,,,747857,672275,664774,642731,656305,605113,624424,808982,573262,,,,,,,,,11,4,,0,5,5,0,5,0,5,0,,,,0.0,-0.065,,,,0.065,,-5,5,0.105,0.895,29,29,30,30,1,1,,,,,,,,
,2024-03-22,,,,"Kiest, Tanner",673548,641750,,ball,,,,,,Seiya Suzuki hits a grand slam (4) to right field.   Matt Mervis scores.    Owen Caissie scores.    Mike Tauchman scores.,S,R,R,SF,CHC,B,,,2,0,2024,,,,,670223,683357,643565,2,1,Top,,,,,,,,,,,,,,,,,,,,,747857,672275,664774,642731,656305,605113,624424,808982,573262,,,,,,,,,11,3,,0,5,5,0,5,0,5,0,,,,0.0,0.108,,,,-0.108,,-5,5,0.105,0.895,29,29,30,30,1,1,,,,,,,,
,2024-03-22,,,,"Kiest, Tanner",673548,641750,,ball,,,,,,Seiya Suzuki hits a grand slam (4) to right field.   Matt Mervis scores.    Owen Caissie scores.    Mike Tauchman scores.,S,R,R,SF,CHC,B,,,1,0,2024,,,,,670223,683357,643565,2,1,Top,,,,,,,,,,,,,,,,,,,,,747857,672275,664774,642731,656305,605113,624424,808982,573262,,,,,,,,,11,2,,0,5,5,0,5,0,5,0,,,,0.0,0.088,,,,-0.088,,-5,5,0.105,0.895,29,29,30,30,1,1,,,,,,,,
,2024-03-22,,,,"Kiest, Tanner",673548,641750,,ball,,,,,,Seiya Suzuki hits a grand slam (4) to right field.   Matt Mervis scores.    Owen Caissie scores.    Mike Tauchman scores.,S,R,R,SF,CHC,B,,,0,0,2024,,,,,670223,683357,643565,2,1,Top,,,,,,,,,,,,,,,,,,,,,747857,672275,664774,642731,656305,605113,624424,808982,573262,,,,,,,,,11,1,,0,5,5,0,5,0,5,0,,,,0.0,0.031,,,,-0.031,,-5,5,0.105,0.895,29,29,30,30,1,1,,,,,,,,
,2024-03-22,,,,"Kiest, Tanner",643565,641750,hit_by_pitch,hit_by_pitch,,,,,,Mike Tauchman hit by pitch.    Owen Caissie to 2nd.,S,L,R,SF,CHC,B,,,0,0,2024,,,,,670223,,683357,2,1,Top,,,,,,,,,,,,,,,,,,,,,747857,672275,664774,642731,656305,605113,624424,808982,573262,,,,0.7,,0,0,,10,1,,0,5,5,0,5,0,5,0,,,,-0.007,0.179,,,,-0.179,,-5,5,0.112,0.888,29,33,30,34,1,1,,,,,,,,
