pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
FF,2024-10-01,93.6,2.45,5.68,"King, Bryan",700242,687911,strikeout,called_strike,,,,,7,Trey Sweeney called out on strikes.,F,L,L,HOU,DET,S,2,,3,2,2024,0.15,1.26,-0.81,2.3,,,668670,1,6,Top,,,,,,,-8.775618802228522,-136.00865753669768,-5.799095228944094,3.6633009803292462,28.694492150771485,-15.45877812674624,3.7,1.73,,,,94.2,2352,6.6,775345,673237,605170,514888,608324,665161,643289,676694,663656,53.85,,0.0,0.0,1,0,0,,46,6,4-Seam Fastball,0,3,3,0,3,0,3,0,Infield shade,Standard,154,0.013,-0.306,,,,0.306,,-3,3,0.127,0.873,27,24,28,24,1,2,8,2,,1,1.34,0.15,0.15,41.5
FF,2024-10-01,93.7,2.67,5.7,"King, Bryan",700242,687911,,ball,,,,,12,Trey Sweeney called out on strikes.,F,L,L,HOU,DET,B,,,2,2,2024,0.33,1.25,0.22,4.18,,,668670,1,6,Top,,,,,,,-7.093025495807722,-136.40403333792403,-0.9469025370012998,5.688698722060264,29.510301048788104,-16.610721350473995,3.67,1.72,,,,94.1,2264,6.5,775345,673237,605170,514888,608324,665161,643289,676694,663656,54.01,,,,,,,,46,5,4-Seam Fastball,0,3,3,0,3,0,3,0,Infield shade,Standard,151,0.0,0.077,,,,-0.077,,-3,3,0.127,0.873,27,24,28,24,1,2,8,2,,1,1.35,0.33,0.33,34.9
SL,2024-10-01,82.4,2.69,5.51,"King, Bryan",700242,687911,,ball,,,,,13,Trey Sweeney called out on strikes.,F,L,L,HOU,DET,B,,,1,2,2024,-1.35,0.23,-0.7,0.75,,,668670,1,6,Top,,,,,,,-5.124944018890698,-119.79842837785728,-4.68734354187121,-11.73561806191585,26.073828131570775,-29.15358385296862,3.7,1.73,,,,82.6,2431,6.8,775345,673237,605170,514888,608324,665161,643289,676694,663656,53.75,,,,,,,,46,4,Slider,0,3,3,0,3,0,3,0,Infield shade,Standard,288,0.0,0.048,,,,-0.048,,-3,3,0.127,0.873,27,24,28,24,1,2,8,2,,1,3.16,-1.35,-1.35,34.4
SL,2024-10-01,82.3,2.85,5.54,"King, Bryan",700242,687911,,called_strike,,,,,9,Trey Sweeney called out on strikes.,F,L,L,HOU,DET,S,,,1,1,2024,-1.33,0.7,0.49,2.17,,,668670,1,6,Top,,,,,,,-2.779894131891658,-119.79388357821294,-2.4281123131722864,-12.15800377396683,25.325941636056086,-25.213469236692017,3.67,1.79,,,,82.4,2376,6.6,775345,673237,605170,514888,608324,665161,643289,676694,663656,53.95,,,,,,,,46,3,Slider,0,3,3,0,3,0,3,0,Standard,Standard,279,0.0,-0.059,,,,0.059,,-3,3,0.127,0.873,27,24,28,24,1,2,8,2,,1,2.69,-1.33,-1.33,31.1
SL,2024-10-01,82.5,2.78,5.6,"King, Bryan",700242,687911,,swinging_strike,,,,,13,Trey Sweeney called out on strikes.,F,L,L,HOU,DET,S,,,1,0,2024,-1.65,0.59,-0.94,1.54,,,668670,1,6,Top,,,,,,,-5.256550854195707,-119.93219978689248,-3.808193404256114,-14.60412610245789,25.96704375828322,-25.910649053106955,3.64,1.72,,,,82.2,2360,6.4,775345,673237,605170,514888,608324,665161,643289,676694,663656,54.06,,,,,,,,46,2,Slider,0,3,3,0,3,0,3,0,Strategic,Standard,285,0.0,-0.047,71.0,8.5,,0.047,,-3,3,0.127,0.873,27,24,28,24,1,2,8,2,,1,2.8,-1.65,-1.65,36.2
SI,2024-10-01,92.1,2.67,5.62,"King, Bryan",700242,687911,,ball,,,,,12,Trey Sweeney called out on strikes.,F,L,L,HOU,DET,B,,,0,0,2024,1.11,0.62,2.1,2.76,,,668670,1,6,Top,,,,,,,-3.905163449910803,-134.17604395554108,-2.7982075874660506,14.300001605297084,28.530360447734175,-24.31050658298958,3.7,1.76,,,,92.8,1890,6.6,775345,673237,605170,514888,608324,665161,643289,676694,663656,53.93,,,,,,,,46,1,Sinker,0,3,3,0,3,0,3,0,Strategic,Standard,148,0.0,0.036,,,,-0.036,,-3,3,0.127,0.873,27,24,28,24,1,2,8,2,,1,2.06,1.11,1.11,34.8
FF,2024-10-01,92.4,2.65,5.72,"King, Bryan",668670,687911,single,hit_into_play,,,,,1,Jake Rogers singles on a line drive to left fielder Mauricio Dubón.,F,R,L,HOU,DET,X,7,line_drive,0,0,2024,0.05,1.26,-0.54,3.08,,,,1,6,Top,83.69,90.52,,,,,-8.28773191167522,-134.29883365696597,-3.612801227582167,2.4556843430730453,30.12205503883943,-16.37899245867315,3.34,1.53,231,85.9,20,92.7,2339,6.6,775345,673237,605170,514888,608324,665161,643289,676694,663656,53.91,0.626,0.622,0.9,1,1,0,4,45,1,4-Seam Fastball,0,3,3,0,3,0,3,0,Infield shade,Standard,149,-0.011,0.422,68.5,7.0,0.786,-0.422,88.0,-3,3,0.138,0.862,27,29,28,29,1,2,8,2,,1,1.43,0.05,-0.05,37.2
FF,2024-10-01,92.5,2.63,5.69,"King, Bryan",678009,687911,field_out,hit_into_play,,,,,12,Parker Meadows pops out to third baseman Alex Bregman in foul territory.,F,L,L,HOU,DET,X,5,popup,2,2,2024,0.15,1.08,0.21,3.77,,,,0,6,Top,88.89,183.62,,,,,-6.524311393094501,-134.60219698864066,-1.4511477079505286,3.1780791011746983,28.771559104228608,-18.926467707296055,3.44,1.62,101,85.7,72,93.0,2254,6.5,775345,673237,605170,514888,608324,665161,643289,676694,663656,53.97,0.003,0.003,0.0,1,0,0,3,44,5,4-Seam Fastball,0,3,3,0,3,0,3,0,Standard,Standard,157,0.01,-0.227,75.0,6.4,0.003,0.227,88.0,-3,3,0.128,0.872,27,24,28,25,1,2,8,2,,1,1.58,0.15,0.15,34.9
SL,2024-10-01,82.7,2.76,5.49,"King, Bryan",678009,687911,,ball,,,,,13,Parker Meadows pops out to third baseman Alex Bregman in foul territory.,F,L,L,HOU,DET,B,,,1,2,2024,-1.45,0.54,-1.57,0.6,,,,0,6,Top,,,,,,,-7.097558389613016,-120.1348795751026,-5.600822438824903,-12.256367391736145,27.27283558803121,-25.9840658818549,3.42,1.62,,,,82.7,2399,6.8,775345,673237,605170,514888,608324,665161,643289,676694,663656,53.75,,,,,,,,44,4,Slider,0,3,3,0,3,0,3,0,Standard,Standard,290,0.0,0.04,,,,-0.04,,-3,3,0.128,0.872,27,24,28,25,1,2,8,2,,1,2.85,-1.45,-1.45,35.2
FF,2024-10-01,92.7,2.57,5.66,"King, Bryan",678009,687911,,ball,,,,,12,Parker Meadows pops out to third baseman Alex Bregman in foul territory.,F,L,L,HOU,DET,B,,,0,2,2024,0.25,1.34,0.66,3.88,,,,0,6,Top,,,,,,,-5.4666506259090815,-134.8804558409235,-1.658787763106833,4.29577541996629,30.53390846853961,-15.698068691312038,3.42,1.62,,,,93.0,2199,6.6,775345,673237,605170,514888,608324,665161,643289,676694,663656,53.92,,,,,,,,44,3,4-Seam Fastball,0,3,3,0,3,0,3,0,Infield shade,Standard,148,0.0,0.023,,,,-0.023,,-3,3,0.128,0.872,27,24,28,25,1,2,8,2,,1,1.32,0.25,0.25,35.0
