pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
FF,2024-09-25,96.0,-1.56,5.96,"Kirby, George",518792,669923,field_out,hit_into_play,,,,,4,"Jason Heyward grounds out, first baseman Justin Turner to pitcher George Kirby.",R,L,R,HOU,SEA,X,3,ground_ball,2,1,2024,-0.65,1.33,-0.3,2.62,,,,2,6,Bot,156.58,160.71,,,,,4.877644946101509,-139.58482176655255,-6.238556987474739,-9.688644805066808,34.29925327270613,-13.54411921912461,3.52,1.68,88,105.1,3,96.4,2280,6.7,746331,663728,457759,593871,664238,641487,668227,677594,645302,53.75,0.551,0.5,0.0,1,0,0,4,48,4,4-Seam Fastball,1,2,1,2,2,1,1,2,Infield shade,Standard,220,-0.019,-0.303,74.6,8.9,0.597,0.303,105.1,-1,-1,0.319,0.319,26,34,26,35,3,2,5,1,,3,1.16,0.65,-0.65,35.3
SL,2024-09-25,85.4,-1.76,5.89,"Kirby, George",518792,669923,,called_strike,,,,,1,"Jason Heyward grounds out, first baseman Justin Turner to pitcher George Kirby.",R,L,R,HOU,SEA,S,,,2,0,2024,0.83,-0.11,-0.68,3.28,,,,2,6,Bot,,,,,,,0.8858197897552706,-124.41764453795602,0.3816274165803692,8.356618174532581,26.109801444179457,-33.64823446727353,3.65,1.72,,,,85.7,2053,6.5,746331,663728,457759,593871,664238,641487,668227,677594,645302,53.99,,,,,,,,48,3,Slider,1,2,1,2,2,1,1,2,Infield shade,Standard,46,0.0,-0.061,,,,0.061,,-1,-1,0.319,0.319,26,34,26,35,3,2,5,1,,3,3.24,-0.83,0.83,33.7
SL,2024-09-25,85.8,-1.74,5.94,"Kirby, George",518792,669923,,ball,,,,,11,"Jason Heyward grounds out, first baseman Justin Turner to pitcher George Kirby.",R,L,R,HOU,SEA,B,,,1,0,2024,0.99,0.03,-1.1,3.55,,,,2,6,Bot,,,,,,,-0.5057200682674884,-124.93910386811648,0.5438752475751862,10.515363743390337,25.053615827623773,-32.21265282079695,3.61,1.73,,,,86.5,1850,6.7,746331,663728,457759,593871,664238,641487,668227,677594,645302,53.83,,,,,,,,48,2,Slider,1,2,1,2,2,1,1,2,Infield shade,Standard,35,0.0,0.068,,,,-0.068,,-1,-1,0.319,0.319,26,34,26,35,3,2,5,1,,3,3.06,-0.99,0.99,38.3
SL,2024-09-25,87.6,-1.8,5.93,"Kirby, George",518792,669923,,ball,,,,,13,"Jason Heyward grounds out, first baseman Justin Turner to pitcher George Kirby.",R,L,R,HOU,SEA,B,,,0,0,2024,0.81,-0.15,-0.34,0.54,,,,2,6,Bot,,,,,,,1.85377564931706,-127.43645622819564,-6.552392515187019,8.310752568794653,29.05977638476419,-32.515690352802366,3.66,1.74,,,,87.6,2517,6.6,746331,663728,457759,593871,664238,641487,668227,677594,645302,53.93,,,,,,,,48,1,Slider,1,2,1,2,2,1,1,2,Infield shade,Standard,32,0.0,0.04,,,,-0.04,,-1,-1,0.319,0.319,26,34,26,35,3,2,5,1,,3,3.15,-0.81,0.81,33.8
FF,2024-09-25,96.6,-1.49,6.03,"Kirby, George",605170,669923,field_out,hit_into_play,,,,,3,"Victor Caratini grounds out, second baseman Jorge Polanco to first baseman Justin Turner.",R,L,R,HOU,SEA,X,4,ground_ball,0,0,2024,-0.53,1.18,0.46,2.95,,,,1,6,Bot,142.38,146.21,,,,,6.435690082536997,-140.47406178557063,-5.331835579451855,-8.454906588359986,32.90523514048253,-15.53613539141628,3.3,1.54,12,90.5,-13,96.9,2175,6.6,746331,663728,457759,593871,664238,641487,668227,677594,645302,53.91,0.114,0.089,0.0,1,0,0,2,47,1,4-Seam Fastball,1,2,1,2,2,1,1,2,Standard,Standard,221,-0.028,-0.256,66.7,5.5,0.114,0.256,90.5,-1,-1,0.347,0.347,26,30,26,31,3,2,5,1,,2,1.27,0.53,-0.53,35.0
FF,2024-09-25,96.6,-1.59,5.95,"Kirby, George",572138,669923,field_out,hit_into_play,,,,,5,Jon Singleton pops out to third baseman Dylan Moore in foul territory.,R,L,R,HOU,SEA,X,5,popup,3,2,2024,-0.68,1.12,0.13,2.55,,,,0,6,Bot,72.44,171.54,,,,,6.16317419363919,-140.50163625515427,-6.0909914339860425,-10.3840371935923,31.889325128340065,-16.181465312378762,3.26,1.58,150,76.5,67,97.5,2138,6.8,746331,663728,457759,593871,664238,641487,668227,677594,645302,53.68,0.009,0.009,0.0,1,0,0,3,46,12,4-Seam Fastball,1,2,1,2,2,1,1,2,Infield shade,Standard,223,-0.04,-0.333,71.3,6.3,0.012,0.333,88.0,-1,-1,0.387,0.387,26,32,26,33,3,2,5,1,,3,1.33,0.68,-0.68,35.3
FF,2024-09-25,95.7,-1.46,6.0,"Kirby, George",572138,669923,,foul,,,,,3,Jon Singleton pops out to third baseman Dylan Moore in foul territory.,R,L,R,HOU,SEA,S,,,3,2,2024,-0.82,1.08,0.29,3.05,,,,0,6,Bot,,,,,,,6.513784887515187,-139.16324726831834,-4.602830706908922,-12.10556495038484,33.067893535207816,-17.25099554918472,3.26,1.58,171,74.0,67,96.3,2227,6.8,746331,663728,457759,593871,664238,641487,668227,677594,645302,53.68,,,,,,,,46,11,4-Seam Fastball,1,2,1,2,2,1,1,2,Infield shade,Standard,221,0.0,0.0,65.1,6.0,,0.0,88.0,-1,-1,0.387,0.387,26,32,26,33,3,2,5,1,,3,1.42,0.82,-0.82,36.4
SI,2024-09-25,95.7,-1.53,5.99,"Kirby, George",572138,669923,,foul,,,,,5,Jon Singleton pops out to third baseman Dylan Moore in foul territory.,R,L,R,HOU,SEA,S,,,3,2,2024,-1.44,1.03,-0.1,2.26,,,,0,6,Bot,,,,,,,7.10903395944719,-138.97408978649193,-6.5603703676266,-20.31567242294481,33.83409601660023,-17.544892163995815,3.26,1.58,,,,96.2,2142,6.9,746331,663728,457759,593871,664238,641487,668227,677594,645302,53.61,,,,,,,,46,10,Sinker,1,2,1,2,2,1,1,2,Infield shade,Standard,219,0.0,0.0,71.9,6.9,,0.0,,-1,-1,0.387,0.387,26,32,26,33,3,2,5,1,,3,1.49,1.44,-1.44,38.2
FF,2024-09-25,95.9,-1.6,6.0,"Kirby, George",572138,669923,,foul,,,,,4,Jon Singleton pops out to third baseman Dylan Moore in foul territory.,R,L,R,HOU,SEA,S,,,3,2,2024,-0.94,1.06,-0.49,2.38,,,,0,6,Bot,,,,,,,5.116308564047395,-139.50807036059916,-6.385528728775211,-13.408085708170814,33.29686577990257,-17.009337522503547,3.26,1.58,279,86.3,33,96.6,2219,6.8,746331,663728,457759,593871,664238,641487,668227,677594,645302,53.68,,,,,,,,46,9,4-Seam Fastball,1,2,1,2,2,1,1,2,Infield shade,Standard,220,0.0,0.0,65.1,6.1,,0.0,88.0,-1,-1,0.387,0.387,26,32,26,33,3,2,5,1,,3,1.43,0.94,-0.94,35.6
FF,2024-09-25,95.8,-1.5,6.01,"Kirby, George",572138,669923,,foul,,,,,2,Jon Singleton pops out to third baseman Dylan Moore in foul territory.,R,L,R,HOU,SEA,S,,,3,2,2024,-0.61,1.23,0.01,2.95,,,,0,6,Bot,,,,,,,5.4101584638667175,-139.37394864978964,-5.303411427366563,-9.130481544634543,31.15211008646265,-15.18256707003823,3.26,1.58,166,66.9,57,96.6,2196,6.7,746331,663728,457759,593871,664238,641487,668227,677594,645302,53.76,,,,,,,,46,8,4-Seam Fastball,1,2,1,2,2,1,1,2,Infield shade,Standard,223,0.0,0.0,66.7,5.4,,0.0,88.0,-1,-1,0.387,0.387,26,32,26,33,3,2,5,1,,3,1.26,0.61,-0.61,35.2
SI,2024-09-25,96.1,-1.7,5.93,"Kirby, George",572138,669923,,foul,,,,,1,Jon Singleton pops out to third baseman Dylan Moore in foul territory.,R,L,R,HOU,SEA,S,,,3,2,2024,-1.32,0.94,-0.65,3.0,,,,0,6,Bot,,,,,,,5.807231567985013,-139.83230543846176,-4.311326913869296,-18.694516260996128,32.319403797048885,-19.04444427842973,3.26,1.58,270,84.9,38,96.5,2190,6.6,746331,663728,457759,593871,664238,641487,668227,677594,645302,53.92,,,,,,,,46,7,Sinker,1,2,1,2,2,1,1,2,Infield shade,Standard,222,0.0,0.0,67.5,5.6,,0.0,88.0,-1,-1,0.387,0.387,26,32,26,33,3,2,5,1,,3,1.53,1.32,-1.32,32.8
FF,2024-09-25,96.5,-1.4,6.14,"Kirby, George",572138,669923,,ball,,,,,11,Jon Singleton pops out to third baseman Dylan Moore in foul territory.,R,L,R,HOU,SEA,B,,,2,2,2024,-0.8,1.22,-0.66,4.57,,,,0,6,Bot,,,,,,,3.8175991921345895,-140.5578407140324,-1.3776817477654026,-11.513332303800036,32.6911144982226,-15.991943887056202,3.26,1.65,,,,96.9,2228,6.5,746331,663728,457759,593871,664238,641487,668227,677594,645302,53.98,,,,,,,,46,6,4-Seam Fastball,1,2,1,2,2,1,1,2,Infield shade,Standard,217,0.0,0.107,,,,-0.107,,-1,-1,0.387,0.387,26,32,26,33,3,2,5,1,,3,1.23,0.8,-0.8,37.9
FF,2024-09-25,95.8,-1.57,6.11,"Kirby, George",572138,669923,,foul,,,,,1,Jon Singleton pops out to third baseman Dylan Moore in foul territory.,R,L,R,HOU,SEA,S,,,2,2,2024,-0.74,1.23,-0.62,2.91,,,,0,6,Bot,,,,,,,4.1834816784339015,-139.31105820235624,-5.623205739251456,-10.638652163334498,32.47344224552367,-15.061773154659576,3.26,1.58,277,84.5,39,95.9,2130,6.5,746331,663728,457759,593871,664238,641487,668227,677594,645302,54.02,,,,,,,,46,5,4-Seam Fastball,1,2,1,2,2,1,1,2,Infield shade,Standard,218,0.0,0.0,64.1,5.6,,0.0,88.0,-1,-1,0.387,0.387,26,32,26,33,3,2,5,1,,3,1.26,0.74,-0.74,37.1
FS,2024-09-25,87.8,-1.5,6.02,"Kirby, George",572138,669923,,ball,,,,,13,Jon Singleton pops out to third baseman Dylan Moore in foul territory.,R,L,R,HOU,SEA,B,,,1,2,2024,-0.8,0.63,-0.72,1.49,,,,0,6,Bot,,,,,,,3.58615579963019,-127.64818516290909,-6.140977793285025,-9.514506818318948,28.23151167269941,-24.177488502522557,3.26,1.64,,,,88.2,1238,6.8,746331,663728,457759,593871,664238,641487,668227,677594,645302,53.74,,,,,,,,46,4,Split-Finger,1,2,1,2,2,1,1,2,Infield shade,Standard,236,0.0,0.04,,,,-0.04,,-1,-1,0.387,0.387,26,32,26,33,3,2,5,1,,3,2.35,0.8,-0.8,34.0
SL,2024-09-25,86.5,-1.7,6.05,"Kirby, George",572138,669923,,called_strike,,,,,11,Jon Singleton pops out to third baseman Dylan Moore in foul territory.,R,L,R,HOU,SEA,S,,,1,1,2024,1.04,0.03,-0.72,3.39,,,,0,6,Bot,,,,,,,0.1925296235367447,-125.95861719992592,-0.1638186177053233,11.018981191485398,27.543926392221877,-32.041663612120146,3.2,1.48,,,,86.6,1762,6.5,746331,663728,457759,593871,664238,641487,668227,677594,645302,54.0,,,,,,,,46,3,Slider,1,2,1,2,2,1,1,2,Infield shade,Standard,43,0.0,-0.056,,,,0.056,,-1,-1,0.387,0.387,26,32,26,33,3,2,5,1,,3,3.03,-1.04,1.04,33.5
FF,2024-09-25,95.1,-1.65,6.11,"Kirby, George",572138,669923,,ball,,,,,11,Jon Singleton pops out to third baseman Dylan Moore in foul territory.,R,L,R,HOU,SEA,B,,,0,1,2024,-0.69,1.24,-1.45,4.56,,,,0,6,Bot,,,,,,,2.0699344636161787,-138.48016088577734,-1.1607394779012394,-9.281223335402842,32.87367641184094,-16.299596397122823,3.26,1.6,,,,94.9,2070,6.3,746331,663728,457759,593871,664238,641487,668227,677594,645302,54.25,,,,,,,,46,2,4-Seam Fastball,1,2,1,2,2,1,1,2,Infield shade,Standard,218,0.0,0.025,,,,-0.025,,-1,-1,0.387,0.387,26,32,26,33,3,2,5,1,,3,1.29,0.69,-0.69,37.7
FF,2024-09-25,95.5,-1.5,6.2,"Kirby, George",572138,669923,,foul,,,,,2,Jon Singleton pops out to third baseman Dylan Moore in foul territory.,R,L,R,HOU,SEA,S,,,0,0,2024,-0.93,1.13,-0.14,3.09,,,,0,6,Bot,,,,,,,5.70973387535122,-138.93744770503386,-5.105200273179325,-13.287062639236652,32.476722170910506,-16.636258941279493,3.26,1.58,242,75.2,32,95.8,2157,6.6,746331,663728,457759,593871,664238,641487,668227,677594,645302,53.93,,,,,,,,46,1,4-Seam Fastball,1,2,1,2,2,1,1,2,Standard,Standard,217,0.0,-0.037,68.6,5.6,,0.037,88.0,-1,-1,0.387,0.387,26,32,26,33,3,2,5,1,,3,1.38,0.93,-0.93,36.9
FF,2024-09-25,96.5,-1.57,6.11,"Kirby, George",673237,669923,strikeout,swinging_strike,,,,,12,Yainer Diaz strikes out swinging.,R,R,R,HOU,SEA,S,2,,0,2,2024,-0.89,1.21,0.13,4.39,,,,2,5,Bot,,,,,,,6.568922036379882,-140.47775187457478,-1.7719998359204392,-13.296024118763215,32.419010148413115,-16.03151911041477,3.16,1.47,,,,96.9,2333,6.5,746331,663728,457759,593871,664238,641487,668227,677594,645302,53.99,,0.0,0.0,1,0,0,,38,3,4-Seam Fastball,1,0,1,0,0,1,1,0,Standard,Standard,220,-0.01,-0.157,69.4,6.1,,0.157,,1,1,0.677,0.677,26,25,26,26,3,2,5,1,,2,1.24,0.89,0.89,38.1
FS,2024-09-25,86.2,-1.51,5.98,"Kirby, George",673237,669923,,swinging_strike,,,,,14,Yainer Diaz strikes out swinging.,R,R,R,HOU,SEA,S,,,0,1,2024,-0.19,1.59,1.18,1.78,,,,2,5,Bot,,,,,,,6.834465095388851,-125.15833050407046,-6.963755657216303,-3.4719426735920695,27.56762124760717,-14.237177521394369,3.16,1.47,,,,86.7,866,6.9,746331,663728,457759,593871,664238,641487,668227,677594,645302,53.57,,,,,,,,38,2,Split-Finger,1,0,1,0,0,1,1,0,Standard,Standard,255,0.0,-0.058,71.7,8.2,,0.058,,1,1,0.677,0.677,26,25,26,26,3,2,5,1,,2,1.51,0.19,0.19,37.2
