pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
ST,2024-09-06,79.4,1.5,5.54,"Kitchen, Austin",669016,685116,field_out,hit_into_play,,,,,4,Brandon Marsh grounds out to first baseman Jake Burger.,R,L,L,MIA,PHI,X,3,ground_ball,0,0,2024,-0.74,0.29,-0.73,2.08,,,592663,2,2,Top,146.19,172.31,,,,,-3.4484972615289418,-115.58166042222936,-1.3618994865848038,-6.026746974646942,21.368443759010088,-29.56844125154691,3.24,1.55,7,61.6,-17,78.8,2315,5.9,746016,640902,669394,672640,681393,669364,669065,665506,665052,54.64,0.051,0.069,0.0,1,0,0,2,19,1,Sweeper,0,7,7,0,7,0,7,0,Standard,Standard,301,0.003,-0.271,71.2,7.8,0.054,0.271,88.0,-7,7,0.045,0.955,27,26,27,27,2,1,3,1,,1,3.32,-0.74,-0.74,28.9
SI,2024-09-06,90.0,1.41,5.53,"Kitchen, Austin",592663,685116,single,hit_into_play,,,,,8,J.T. Realmuto singles on a sharp line drive to center fielder Cristian Pache. Bryce Harper scores.,R,R,L,MIA,PHI,X,8,line_drive,2,2,2024,1.61,0.15,0.26,2.18,547180,,,2,2,Top,97.4,68.6,,,,,-6.186497595402367,-130.83551452098635,-2.59771452198611,19.81850590092698,29.50599014660564,-30.04753607638436,3.7,1.77,236,107.5,11,88.8,1866,5.8,746016,640902,669394,672640,681393,669364,669065,665506,665052,54.72,0.937,0.953,0.9,1,1,0,4,18,7,Sinker,0,6,6,0,7,0,7,0,Standard,Standard,116,-0.022,0.796,73.1,7.6,1.261,-0.796,107.5,-6,6,0.067,0.933,27,33,27,33,2,1,3,1,,7,2.68,1.61,-1.61,26.0
CU,2024-09-06,73.4,1.36,5.73,"Kitchen, Austin",592663,685116,,foul,,,,,8,J.T. Realmuto singles on a sharp line drive to center fielder Cristian Pache. Bryce Harper scores.,R,R,L,MIA,PHI,S,,,2,2,2024,-1.14,-0.76,-0.07,1.85,547180,,,2,2,Top,,,,,,,-0.92901248487745,-106.88515141068092,0.8112635301996483,-8.517784455752208,19.81620973033495,-38.34410599606621,3.7,1.77,7,86.6,-17,72.9,2238,6.1,746016,640902,669394,672640,681393,669364,669065,665506,665052,54.44,,,,,,,,18,6,Curveball,0,6,6,0,6,0,6,0,Strategic,Standard,313,0.0,0.0,80.2,8.5,,0.0,88.0,-6,6,0.067,0.933,27,33,27,33,2,1,3,1,,7,5.01,-1.14,1.14,39.0
ST,2024-09-06,80.1,1.39,5.67,"Kitchen, Austin",592663,685116,,foul,,,,,13,J.T. Realmuto singles on a sharp line drive to center fielder Cristian Pache. Bryce Harper scores.,R,R,L,MIA,PHI,S,,,2,2,2024,-1.19,-0.07,-1.19,2.64,547180,,,2,2,Top,,,,,,,-3.4187208015480595,-116.53283266287266,0.2103721993331173,-10.026727614586395,24.22170514187372,-33.05848214699311,3.7,1.77,5,25.2,-24,79.1,2256,5.8,746016,640902,669394,672640,681393,669364,669065,665506,665052,54.66,,,,,,,,18,5,Sweeper,0,6,6,0,6,0,6,0,Standard,Standard,296,0.0,0.0,75.2,8.4,,0.0,88.0,-6,6,0.067,0.933,27,33,27,33,2,1,3,1,,7,3.65,-1.19,1.19,32.1
CH,2024-09-06,83.9,1.69,5.43,"Kitchen, Austin",592663,685116,,foul,,,,,8,J.T. Realmuto singles on a sharp line drive to center fielder Cristian Pache. Bryce Harper scores.,R,R,L,MIA,PHI,S,,,2,1,2024,1.51,0.57,0.22,2.15,547180,,,2,2,Top,,,,,,,-6.333349228237347,-121.99507474186512,-2.2357178470239223,16.360905226192482,25.92717997844156,-26.261009248005536,3.7,1.77,187,73.7,64,82.8,2036,5.8,746016,640902,669394,672640,681393,669364,669065,665506,665052,54.72,,,,,,,,18,4,Changeup,0,6,6,0,6,0,6,0,Standard,Standard,118,0.0,-0.103,80.9,8.0,,0.103,88.0,-6,6,0.067,0.933,27,33,27,33,2,1,3,1,,7,2.69,1.51,-1.51,25.4
SI,2024-09-06,90.7,1.51,5.46,"Kitchen, Austin",592663,685116,,called_strike,,,,,8,J.T. Realmuto singles on a sharp line drive to center fielder Cristian Pache. Bryce Harper scores.,R,R,L,MIA,PHI,S,,,2,0,2024,1.57,0.24,-0.27,1.94,547180,,,2,2,Top,,,,,,,-7.703834811043003,-131.87368014348513,-3.3167512868799984,19.924884264557523,29.780296337388165,-28.876066616818445,3.72,1.77,,,,89.6,1911,5.8,746016,640902,669394,672640,681393,669364,669065,665506,665052,54.71,,,,,,,,18,3,Sinker,0,6,6,0,6,0,6,0,Standard,Standard,117,0.0,-0.046,,,,0.046,,-6,6,0.067,0.933,27,33,27,33,2,1,3,1,,7,2.55,1.57,-1.57,24.4
CH,2024-09-06,83.8,1.56,5.44,"Kitchen, Austin",592663,685116,,ball,,,,,8,J.T. Realmuto singles on a sharp line drive to center fielder Cristian Pache. Bryce Harper scores.,R,R,L,MIA,PHI,B,,,1,0,2024,1.43,0.68,0.08,1.74,547180,,,2,2,Top,,,,,,,-6.219688417768618,-121.83897627948431,-3.431931893992574,15.449854559630303,25.512708598924924,-24.9502832547188,3.65,1.67,,,,83.2,1950,6.1,746016,640902,669394,672640,681393,669364,669065,665506,665052,54.45,,,,,,,,18,2,Changeup,0,6,6,0,6,0,6,0,Standard,Standard,116,0.0,0.055,,,,-0.055,,-6,6,0.067,0.933,27,33,27,33,2,1,3,1,,7,2.59,1.43,-1.43,28.2
CU,2024-09-06,74.8,1.46,5.81,"Kitchen, Austin",592663,685116,,ball,,,,,14,J.T. Realmuto singles on a sharp line drive to center fielder Cristian Pache. Bryce Harper scores.,R,R,L,MIA,PHI,B,,,0,0,2024,-1.19,-1.04,1.68,2.33,547180,,,2,2,Top,,,,,,,2.5424123180337377,-108.7864132474722,1.9344645887359229,-9.888488915405691,22.05896311842785,-41.01605962372814,3.73,1.78,,,,73.7,2513,5.8,746016,640902,669394,672640,681393,669364,669065,665506,665052,54.65,,,,,,,,18,1,Curveball,0,6,6,0,6,0,6,0,Infield shade,Standard,306,0.0,0.032,,,,-0.032,,-6,6,0.067,0.933,27,33,27,33,2,1,3,1,,7,5.18,-1.19,1.19,41.7
SI,2024-09-06,90.4,1.37,5.45,"Kitchen, Austin",681082,685116,field_out,hit_into_play,,,,,4,"Bryson Stott grounds out, third baseman Connor Norby to first baseman Jake Burger.",R,L,L,MIA,PHI,X,5,ground_ball,2,2,2024,1.66,0.14,-0.63,2.39,547180,,,1,2,Top,105.68,163.19,,,,,-8.40022113428064,-131.37714842793474,-1.9341932396709856,21.001729997221624,28.391864388952943,-30.33110574558992,3.26,1.57,15,98.9,-8,89.4,1905,5.8,746016,640902,669394,672640,681393,669364,669065,665506,665052,54.71,0.223,0.256,0.0,1,0,0,2,17,5,Sinker,0,6,6,0,6,0,6,0,Strategic,Standard,112,0.014,-0.148,,,0.223,0.148,98.9,-6,6,0.053,0.947,27,26,27,27,2,1,3,1,,1,2.66,1.66,1.66,30.3
ST,2024-09-06,79.7,1.57,5.53,"Kitchen, Austin",681082,685116,,foul,,,,,4,"Bryson Stott grounds out, third baseman Connor Norby to first baseman Jake Burger.",R,L,L,MIA,PHI,S,,,2,1,2024,-1.19,0.13,-0.78,2.3,547180,,,1,2,Top,,,,,,,-2.9142662692129635,-116.01478402718205,-0.5576458070737179,-10.08668023730914,23.10821819822783,-31.104154023483535,3.26,1.57,172,70.0,58,79.0,2382,5.9,746016,640902,669394,672640,681393,669364,669065,665506,665052,54.59,,,,,,,,17,4,Sweeper,0,6,6,0,6,0,6,0,Strategic,Standard,297,0.0,-0.108,67.4,7.2,,0.108,88.0,-6,6,0.053,0.947,27,26,27,27,2,1,3,1,,1,3.47,-1.19,-1.19,28.9
