pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
SL,2024-04-28,82.3,-1.1,5.24,"Kristofak, Zac",680777,670219,grounded_into_double_play,hit_into_play,,,,,14,"Ryan Jeffers grounds into a double play, second baseman Brandon Drury to first baseman Nolan Schanuel.   Austin Martin out at 2nd.    Ryan Jeffers out at 1st.",R,R,R,LAA,MIN,X,4,ground_ball,0,2,2024,0.86,-0.58,1.12,2.1,650489,543877,668885,1,9,Top,137.82,141.95,,,,,3.3344813110607836,-119.8343617981592,0.4749756819249022,7.622012359162409,22.67195280984717,-38.03608739695538,3.29,1.58,8,90.1,-14,81.4,2710,5.6,746237,681351,694384,592273,650859,687263,621493,543305,666176,54.92,0.129,0.099,0.0,1,0,0,2,78,3,Slider,5,11,11,5,11,5,11,5,Standard,Standard,68,0.002,-0.173,59.2,7.5,0.141,0.173,90.1,-6,6,0.001,0.999,26,27,27,27,2,5,,1,,1,3.93,-0.86,-0.86,41.5
FF,2024-04-28,92.0,-0.79,5.32,"Kristofak, Zac",680777,670219,,called_strike,,,,,6,"Ryan Jeffers grounds into a double play, second baseman Brandon Drury to first baseman Nolan Schanuel.   Austin Martin out at 2nd.    Ryan Jeffers out at 1st.",R,R,R,LAA,MIN,S,,,0,1,2024,-0.32,1.48,0.62,2.32,650489,543877,668885,1,9,Top,,,,,,,4.2301150006570305,-133.93996237373875,-4.950706944703236,-4.708540632521473,27.73929085096779,-13.519752434208984,3.36,1.63,,,,91.2,2402,5.7,746237,681351,694384,592273,650859,687263,621493,543305,666176,54.81,,,,,,,,78,2,4-Seam Fastball,5,11,11,5,11,5,11,5,Standard,Standard,205,0.0,-0.072,,,,0.072,,-6,6,0.001,0.999,26,27,27,27,2,5,,1,,1,1.21,0.32,0.32,45.0
FF,2024-04-28,93.0,-0.91,5.39,"Kristofak, Zac",680777,670219,,called_strike,,,,,1,"Ryan Jeffers grounds into a double play, second baseman Brandon Drury to first baseman Nolan Schanuel.   Austin Martin out at 2nd.    Ryan Jeffers out at 1st.",R,R,R,LAA,MIN,S,,,0,0,2024,-0.24,1.42,-0.73,3.32,650489,543877,668885,1,9,Top,,,,,,,0.9825964408362878,-135.53904619026162,-2.6565441008261224,-3.2109284603059285,28.06527529227424,-14.30110405427296,3.39,1.63,,,,92.2,2355,5.6,746237,681351,694384,592273,650859,687263,621493,543305,666176,54.91,,,,,,,,78,1,4-Seam Fastball,5,11,11,5,11,5,11,5,Standard,Standard,199,0.0,-0.041,,,,0.041,,-6,6,0.001,0.999,26,27,27,27,2,5,,1,,1,1.2,0.24,0.24,42.5
CH,2024-04-28,87.9,-1.11,5.2,"Kristofak, Zac",668885,670219,walk,ball,,,,,14,Austin Martin walks.   Willi Castro to 3rd.    Christian Vázquez to 2nd.,R,R,R,LAA,MIN,B,,,3,2,2024,-1.07,0.05,1.01,0.87,,650489,543877,1,9,Top,,,,,,,7.242098966037007,-127.76436629430104,-4.421733677996387,-13.223846697500424,27.03049489032007,-30.881138017114427,2.98,1.35,,,,86.7,1421,5.7,746237,681351,694384,592273,650859,687263,621493,543305,666176,54.84,,0.689131,0.7,1,0,0,,77,6,Changeup,5,11,11,5,11,5,11,5,Standard,Standard,231,-0.001,0.266,,,,-0.266,,-6,6,0.002,0.998,26,25,27,25,2,4,,1,,5,2.91,1.07,1.07,36.7
FF,2024-04-28,92.3,-0.76,5.39,"Kristofak, Zac",668885,670219,,swinging_strike,,,,,12,Austin Martin walks.   Willi Castro to 3rd.    Christian Vázquez to 2nd.,R,R,R,LAA,MIN,S,,,3,1,2024,-0.24,1.49,0.5,3.36,,650489,543877,1,9,Top,,,,,,,3.666772455546732,-134.3398733075322,-2.524323888303426,-3.69266208554156,29.987159284872952,-13.825140527370362,3.16,1.48,,,,90.9,2335,5.5,746237,681351,694384,592273,650859,687263,621493,543305,666176,54.99,,,,,,,,77,5,4-Seam Fastball,5,11,11,5,11,5,11,5,Standard,Standard,206,0.0,-0.065,31.8,5.3,,0.065,,-6,6,0.002,0.998,26,25,27,25,2,4,,1,,5,1.19,0.24,0.24,44.0
FF,2024-04-28,92.2,-0.73,5.35,"Kristofak, Zac",668885,670219,,ball,,,,,12,Austin Martin walks.   Willi Castro to 3rd.    Christian Vázquez to 2nd.,R,R,R,LAA,MIN,B,,,2,1,2024,-0.28,1.37,1.35,2.76,,650489,543877,1,9,Top,,,,,,,5.816777382929418,-134.18366076159313,-3.664948690983627,-4.631062084248762,30.15927166377677,-15.017691484634016,3.06,1.4,,,,90.9,2346,5.6,746237,681351,694384,592273,650859,687263,621493,543305,666176,54.91,,,,,,,,77,4,4-Seam Fastball,5,11,11,5,11,5,11,5,Standard,Standard,202,0.0,0.104,,,,-0.104,,-6,6,0.002,0.998,26,25,27,25,2,4,,1,,5,1.32,0.28,0.28,42.2
SL,2024-04-28,83.1,-1.41,5.12,"Kristofak, Zac",668885,670219,,ball,,,,,14,Austin Martin walks.   Willi Castro to 3rd.    Christian Vázquez to 2nd.,R,R,R,LAA,MIN,B,,,1,1,2024,0.73,-0.22,1.35,0.87,,650489,543877,1,9,Top,,,,,,,4.838787585767129,-121.0255383061334,-2.8397548570414286,6.235560200176837,23.044848058435324,-34.025423984245684,3.07,1.38,,,,82.1,2642,5.5,746237,681351,694384,592273,650859,687263,621493,543305,666176,54.98,,,,,,,,77,3,Slider,5,11,11,5,11,5,11,5,Standard,Standard,86,0.0,0.042,,,,-0.042,,-6,6,0.002,0.998,26,25,27,25,2,4,,1,,5,3.51,-0.73,-0.73,37.9
SL,2024-04-28,83.5,-1.28,5.19,"Kristofak, Zac",668885,670219,,foul_tip,,,,,9,Austin Martin walks.   Willi Castro to 3rd.    Christian Vázquez to 2nd.,R,R,R,LAA,MIN,S,,,1,0,2024,0.71,-0.28,0.57,1.8,,650489,543877,1,9,Top,,,,,,,2.840690634544651,-121.72491268429692,-0.8779440928090316,6.5527772296697755,22.598816345252644,-35.00383432019753,3.16,1.48,,,,82.7,2624,5.5,746237,681351,694384,592273,650859,687263,621493,543305,666176,54.97,,,,,,,,77,2,Slider,5,11,11,5,11,5,11,5,Standard,Standard,85,0.0,-0.054,67.8,6.8,,0.054,,-6,6,0.002,0.998,26,25,27,25,2,4,,1,,5,3.52,-0.71,-0.71,43.8
FF,2024-04-28,92.1,-1.08,5.28,"Kristofak, Zac",668885,670219,,ball,,,,,12,Austin Martin walks.   Willi Castro to 3rd.    Christian Vázquez to 2nd.,R,R,R,LAA,MIN,B,,,0,0,2024,-0.17,1.42,0.74,3.56,,650489,543877,1,9,Top,,,,,,,4.9221135559816656,-134.08347276954288,-1.6269408109604653,-3.0938067621091156,27.89007074685697,-14.862997414898128,3.04,1.39,,,,91.0,2436,5.5,746237,681351,694384,592273,650859,687263,621493,543305,666176,55.0,,,,,,,,77,1,4-Seam Fastball,5,11,11,5,11,5,11,5,Standard,Standard,206,0.0,0.03,,,,-0.03,,-6,6,0.002,0.998,26,25,27,25,2,4,,1,,5,1.26,0.17,0.17,37.8
CH,2024-04-28,86.2,-1.3,5.2,"Kristofak, Zac",666397,670219,strikeout,called_strike,,,,,4,Edouard Julien called out on strikes.,R,L,R,LAA,MIN,S,2,,1,2,2024,-0.98,0.07,-0.76,2.81,,650489,543877,0,9,Top,,,,,,,3.2233379810944944,-125.58168603001036,0.3879258362039162,-11.021055287388318,26.01968731237688,-31.753678087106692,3.38,1.67,,,,85.2,1322,5.6,746237,681351,694384,592273,650859,687263,621493,543305,666176,54.86,,0.0,0.0,1,0,0,,76,4,Changeup,5,11,11,5,11,5,11,5,Infield shade,Standard,234,0.001,-0.197,,,,0.197,,-6,6,0.001,0.999,26,25,27,25,1,2,,1,,1,3.0,0.98,-0.98,34.6
CH,2024-04-28,88.1,-1.25,5.2,"Kristofak, Zac",666397,670219,,swinging_strike,,,,,13,Edouard Julien called out on strikes.,R,L,R,LAA,MIN,S,,,1,1,2024,-1.24,0.0,-1.01,2.55,,650489,543877,0,9,Top,,,,,,,3.1122421023300695,-128.27416541222968,-0.3085457389713052,-14.25390886903918,29.373794136923664,-32.33963385595514,3.41,1.69,,,,86.6,1539,5.6,746237,681351,694384,592273,650859,687263,621493,543305,666176,54.94,,,,,,,,76,3,Changeup,5,11,11,5,11,5,11,5,Infield shade,Standard,233,0.0,-0.069,72.6,8.1,,0.069,,-6,6,0.001,0.999,26,25,27,25,1,2,,1,,1,2.96,1.24,-1.24,33.2
CH,2024-04-28,88.3,-1.22,5.15,"Kristofak, Zac",666397,670219,,ball,,,,,14,Edouard Julien called out on strikes.,R,L,R,LAA,MIN,B,,,0,1,2024,-0.95,-0.01,1.56,1.19,,650489,543877,0,9,Top,,,,,,,8.632266617554412,-128.18468256800517,-3.415895906651339,-12.398574463835756,28.76759285430017,-31.72774323395344,3.39,1.69,,,,86.7,1536,5.6,746237,681351,694384,592273,650859,687263,621493,543305,666176,54.93,,,,,,,,76,2,Changeup,5,11,11,5,11,5,11,5,Infield shade,Standard,232,0.0,0.034,,,,-0.034,,-6,6,0.001,0.999,26,25,27,25,1,2,,1,,1,2.97,0.95,-0.95,38.3
CU,2024-04-28,77.4,-1.12,5.37,"Kristofak, Zac",666397,670219,,called_strike,,,,,7,Edouard Julien called out on strikes.,R,L,R,LAA,MIN,S,,,0,0,2024,0.78,-1.14,-0.42,1.91,,650489,543877,0,9,Top,,,,,,,0.0607854485600789,-112.61082644268562,1.7028603569201537,6.559954936627793,23.826115754968004,-42.36803928328309,3.36,1.66,,,,75.8,2318,5.5,746237,681351,694384,592273,650859,687263,621493,543305,666176,55.01,,,,,,,,76,1,Curveball,5,11,11,5,11,5,11,5,Infield shade,Standard,32,0.0,-0.044,,,,0.044,,-6,6,0.001,0.999,26,25,27,25,1,2,,1,,1,5.0,-0.78,0.78,46.7
