pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
CH,2024-03-22,86.0,-1.69,5.82,"Kwiatkowski, Robert",688460,688984,grounded_into_double_play,hit_into_play,,,,,1,"Josh Kasevich grounds into a double play, shortstop Luis Ravelo to second baseman Ahbram Liendo to first baseman Niko Kavadas. Isiah Kiner-Falefa out at 2nd. Josh Kasevich out at 1st.",S,R,R,TOR,BOS,X,6,ground_ball,0,1,2024,-1.3,0.56,-0.53,3.18,,,643396,1,7,Bot,112.46,157.38,,,,,5.3944873197790795,-125.21762091487275,-1.2057815751321996,-14.757510481201026,23.1457025193862,-26.162797829507262,3.25,1.64,81,93.9,3,86.5,1668,6.4,747866,656627,694359,699157,681323,699144,692568,691370,678006,54.14,0.451,,0.0,,0,0,4,57,2,Changeup,5,1,5,1,1,5,5,1,Standard,Standard,236,-0.006,-0.273,,,0.504,0.273,93.9,4,4,0.974,0.974,27,23,27,23,1,0,,,,,2.49,1.3,1.3,
FF,2024-03-22,93.1,-1.27,6.06,"Kwiatkowski, Robert",688460,688984,,called_strike,,,,,8,"Josh Kasevich grounds into a double play, shortstop Luis Ravelo to second baseman Ahbram Liendo to first baseman Niko Kavadas. Isiah Kiner-Falefa out at 2nd. Josh Kasevich out at 1st.",S,R,R,TOR,BOS,S,,,0,0,2024,-0.3,1.33,0.02,1.95,,,643396,1,7,Bot,,,,,,,3.990339405880432,-135.5180123766354,-7.841473992009641,-4.486889868641506,25.926108308654115,-14.24887606505031,3.25,1.64,,,,94.2,2227,6.6,747866,656627,694359,699157,681323,699144,692568,691370,678006,53.85,,,,,,,,57,1,4-Seam Fastball,5,1,5,1,1,5,5,1,Standard,Standard,201,0.0,-0.04,,,,0.04,,4,4,0.974,0.974,27,23,27,23,1,0,,,,,1.27,0.3,0.3,
SL,2024-03-22,82.4,-1.48,5.86,"Kwiatkowski, Robert",643396,688984,single,hit_into_play,,,,,3,Isiah Kiner-Falefa singles on a line drive to right fielder Nick Decker.,S,R,R,TOR,BOS,X,9,line_drive,1,2,2024,0.8,0.48,0.55,3.26,,,,1,7,Bot,174.07,122.76,,,,,3.052932858479517,-120.07923436752884,-0.3865743495282605,7.277616035808306,21.599768221777783,-27.65338002565326,3.17,1.6,194,88.3,12,83.1,2141,6.5,747866,656627,694359,699157,681323,699144,692568,691370,678006,54.02,0.763,,0.9,,1,0,4,56,5,Slider,5,1,5,1,1,5,5,1,Standard,Standard,86,0.003,0.495,,,0.887,-0.495,88.3,4,4,0.971,0.971,27,29,27,29,1,3,,,,,2.85,-0.8,-0.8,
CH,2024-03-22,88.0,-1.49,5.78,"Kwiatkowski, Robert",643396,688984,,ball,,,,,13,Isiah Kiner-Falefa singles on a line drive to right fielder Nick Decker.,S,R,R,TOR,BOS,B,,,0,2,2024,-1.27,0.31,-0.95,1.76,,,,1,7,Bot,,,,,,,3.970555796634197,-128.15745040975287,-4.365297425772345,-14.797188647340418,24.701672693801335,-28.042746869857947,3.17,1.6,,,,88.7,1441,6.5,747866,656627,694359,699157,681323,699144,692568,691370,678006,53.99,,,,,,,,56,4,Changeup,5,1,5,1,1,5,5,1,Standard,Standard,232,0.0,0.02,,,,-0.02,,4,4,0.971,0.971,27,29,27,29,1,3,,,,,2.61,1.27,1.27,
FF,2024-03-22,93.4,-1.18,6.12,"Kwiatkowski, Robert",643396,688984,,foul,,,,,12,Isiah Kiner-Falefa singles on a line drive to right fielder Nick Decker.,S,R,R,TOR,BOS,S,,,0,2,2024,-0.39,1.35,0.08,3.87,,,,1,7,Bot,,,,,,,4.139246748596879,-136.03180474277335,-3.0920496638983774,-5.646520305474511,26.122827809683763,-14.812657224989264,3.17,1.6,303,86.5,37,94.4,2299,6.5,747866,656627,694359,699157,681323,699144,692568,691370,678006,53.96,,,,,,,,56,3,4-Seam Fastball,5,1,5,1,1,5,5,1,Standard,Standard,198,0.0,0.0,,,,0.0,88.0,4,4,0.971,0.971,27,29,27,29,1,3,,,,,1.23,0.39,0.39,
SL,2024-03-22,84.4,-1.26,5.86,"Kwiatkowski, Robert",643396,688984,,called_strike,,,,,7,Isiah Kiner-Falefa singles on a line drive to right fielder Nick Decker.,S,R,R,TOR,BOS,S,,,0,1,2024,0.71,0.22,-0.48,1.62,,,,1,7,Bot,,,,,,,0.4146117101132197,-123.1130251360255,-4.107770405106317,7.303981572662741,19.43780704720147,-29.433077976506297,3.17,1.6,,,,85.7,2161,6.5,747866,656627,694359,699157,681323,699144,692568,691370,678006,53.96,,,,,,,,56,2,Slider,5,1,5,1,1,5,5,1,Standard,Standard,113,0.0,-0.057,,,,0.057,,4,4,0.971,0.971,27,29,27,29,1,3,,,,,2.91,-0.71,-0.71,
FF,2024-03-22,93.6,-1.27,6.09,"Kwiatkowski, Robert",643396,688984,,called_strike,,,,,1,Isiah Kiner-Falefa singles on a line drive to right fielder Nick Decker.,S,R,R,TOR,BOS,S,,,0,0,2024,-0.3,1.46,-0.4,2.91,,,,1,7,Bot,,,,,,,2.924623750129325,-136.37520804308193,-5.801224672318463,-4.287330571910832,25.577025859604365,-12.808756358455984,3.17,1.6,,,,94.8,2247,6.6,747866,656627,694359,699157,681323,699144,692568,691370,678006,53.93,,,,,,,,56,1,4-Seam Fastball,5,1,5,1,1,5,5,1,Standard,Standard,204,0.0,-0.037,,,,0.037,,4,4,0.971,0.971,27,29,27,29,1,3,,,,,1.1,0.3,0.3,
SL,2024-03-22,83.2,-1.42,5.8,"Kwiatkowski, Robert",806005,688984,field_out,hit_into_play,,,,,3,Ryan McCarty flies out to right fielder Nick Decker.,S,R,R,TOR,BOS,X,9,fly_ball,0,2,2024,0.45,0.83,0.32,2.72,,,,0,7,Bot,170.2,124.77,,,,,3.1288618408702216,-121.28030011310696,-2.350900341198423,3.9359933607132778,21.19143831578532,-23.67985311621247,3.08,1.55,217,88.1,50,84.4,2309,6.7,747866,656627,694359,699157,681323,699144,692568,691370,678006,53.77,0.014,,0.0,,0,0,3,55,3,Slider,5,1,5,1,1,5,5,1,Standard,Standard,98,-0.003,-0.163,,,0.026,0.163,88.1,4,4,0.974,0.974,27,25,27,25,1,0,,,,,2.42,-0.45,-0.45,
SL,2024-03-22,81.9,-1.42,5.87,"Kwiatkowski, Robert",806005,688984,,swinging_strike,,,,,11,Ryan McCarty flies out to right fielder Nick Decker.,S,R,R,TOR,BOS,S,,,0,1,2024,1.18,0.5,-0.43,3.43,,,,0,7,Bot,,,,,,,-0.036463600739681,-119.40953335173803,0.0569415706879326,11.278191136110364,22.447098034229764,-27.64401133698969,3.08,1.55,,,,82.4,2207,6.5,747866,656627,694359,699157,681323,699144,692568,691370,678006,54.03,,,,,,,,55,2,Slider,5,1,5,1,1,5,5,1,Standard,Standard,90,0.0,-0.054,,,,0.054,,4,4,0.974,0.974,27,25,27,25,1,0,,,,,2.88,-1.18,-1.18,
FF,2024-03-22,92.7,-1.2,6.16,"Kwiatkowski, Robert",806005,688984,,called_strike,,,,,2,Ryan McCarty flies out to right fielder Nick Decker.,S,R,R,TOR,BOS,S,,,0,0,2024,-0.78,1.21,0.06,3.0,,,,0,7,Bot,,,,,,,4.95969835750476,-135.0635114130775,-5.0251445990407015,-10.616556186451213,25.560542128196545,-16.48618909575373,3.08,1.55,,,,93.7,2172,6.5,747866,656627,694359,699157,681323,699144,692568,691370,678006,53.96,,,,,,,,55,1,4-Seam Fastball,5,1,5,1,1,5,5,1,Standard,Standard,208,0.0,-0.037,,,,0.037,,4,4,0.974,0.974,27,25,27,25,1,0,,,,,1.41,0.78,0.78,
