pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
KC,2024-05-22,90.1,-2.0,5.73,"Lange, Alex",680118,656638,force_out,hit_into_play,,,,,7,"Dairon Blanco grounds into a force out, third baseman Gio Urshela to second baseman Colt Keith.   Freddy Fermin out at 2nd.",R,R,R,KC,DET,X,5,ground_ball,0,0,2024,-0.15,0.41,-0.39,1.54,,676369,666023,2,7,Bot,102.53,167.17,,,,,4.355532782190686,-131.2041362104594,-5.470364495394338,-2.4836405511957804,23.212841034648648,-26.554836043323377,3.44,1.58,10,101.4,-8,91.3,2401,6.6,746304,668670,679529,690993,570482,595879,592192,682985,681481,53.89,0.283,0.315,0.0,1,0,0,2,64,1,Knuckle Curve,8,2,8,2,2,8,8,2,Standard,Standard,232,-0.001,-0.28,73.1,7.7,0.309,0.28,101.4,6,6,0.994,0.994,28,31,29,31,1,3,2,3,,3,2.35,0.15,0.15,42.7
SI,2024-05-22,97.5,-1.85,5.84,"Lange, Alex",666023,656638,single,hit_into_play,,,,,8,Freddy Fermin singles on a sharp ground ball to center fielder Riley Greene.   Bobby Witt Jr.  scores.    Salvador Perez scores.    Nelson Velázquez to 2nd.,R,R,R,KC,DET,X,8,ground_ball,0,0,2024,-1.35,0.89,-0.21,1.91,677951,521692,676369,2,7,Bot,117.76,109.7,,,,,7.552472477039722,-141.8133766625772,-7.163280314266435,-19.97450035530448,29.90740349873992,-18.668257157402337,3.34,1.59,9,103.5,-12,98.3,2442,6.6,746304,668670,679529,690993,570482,595879,592192,682985,681481,53.94,0.28,0.254,0.9,1,1,0,2,63,1,Sinker,6,2,6,2,2,8,8,2,Infield shade,Standard,217,0.018,0.522,,,0.29,-0.522,103.5,4,4,0.976,0.976,28,29,29,29,1,3,2,2,,2,1.49,1.35,1.35,46.9
SI,2024-05-22,96.6,-1.89,5.82,"Lange, Alex",676369,656638,walk,ball,,,,,14,Nelson Velázquez walks.   Bobby Witt Jr.  to 3rd.    Salvador Perez to 2nd.,R,R,R,KC,DET,B,,,3,2,2024,-1.44,0.87,0.5,0.99,,677951,521692,2,7,Bot,,,,,,,9.638913701372928,-140.14455794580743,-9.31173505683166,-21.155780485036964,29.326272763299336,-18.7130210994173,3.43,1.73,,,,96.9,1563,6.4,746304,668670,679529,690993,570482,595879,592192,682985,681481,54.06,,0.689131,0.7,1,0,0,,62,8,Sinker,6,2,6,2,2,6,6,2,Infield shade,Standard,236,0.003,0.216,,,,-0.216,,4,4,0.973,0.973,28,25,29,26,1,3,2,3,,2,1.57,1.44,1.44,47.1
KC,2024-05-22,90.4,-1.85,5.91,"Lange, Alex",676369,656638,,foul,,,,,13,Nelson Velázquez walks.   Bobby Witt Jr.  to 3rd.    Salvador Perez to 2nd.,R,R,R,KC,DET,S,,,3,2,2024,0.15,0.25,-0.34,1.33,,677951,521692,2,7,Bot,,,,,,,3.4535387012141303,-131.42309102375424,-5.931722026437687,0.9457981705280444,30.821989523992627,-28.121752786851253,3.44,1.7,,,,89.9,2280,6.3,746304,668670,679529,690993,570482,595879,592192,682985,681481,54.21,,,,,,,,62,7,Knuckle Curve,6,2,6,2,2,6,6,2,Standard,Standard,222,0.0,0.0,63.6,8.4,,0.0,,4,4,0.973,0.973,28,25,29,26,1,3,2,3,,2,2.57,-0.15,-0.15,47.3
SI,2024-05-22,97.1,-1.85,5.72,"Lange, Alex",676369,656638,,foul,,,,,8,Nelson Velázquez walks.   Bobby Witt Jr.  to 3rd.    Salvador Perez to 2nd.,R,R,R,KC,DET,S,,,3,2,2024,-1.43,0.93,0.17,1.86,,677951,521692,2,7,Bot,,,,,,,8.700612132288553,-141.00225460122172,-6.884068350682372,-21.155711537678982,34.03929486733076,-18.357150670254796,3.44,1.7,1,74.7,-50,97.0,2266,6.5,746304,668670,679529,690993,570482,595879,592192,682985,681481,54.03,,,,,,,,62,6,Sinker,6,2,6,2,2,6,6,2,Standard,Standard,155,0.0,0.0,68.9,7.9,,0.0,88.0,4,4,0.973,0.973,28,25,29,26,1,3,2,3,,2,1.51,1.43,1.43,39.1
SI,2024-05-22,96.6,-1.88,5.87,"Lange, Alex",676369,656638,,swinging_strike,,,,,11,Nelson Velázquez walks.   Bobby Witt Jr.  to 3rd.    Salvador Perez to 2nd.,R,R,R,KC,DET,S,,,3,1,2024,-1.45,0.88,-1.2,2.7,,677951,521692,2,7,Bot,,,,,,,5.125679351112807,-140.55104585389728,-4.871084829357679,-20.41280737836861,33.23334402297312,-19.546330125136215,3.44,1.7,,,,96.4,2277,6.3,746304,668670,679529,690993,570482,595879,592192,682985,681481,54.19,,,,,,,,62,5,Sinker,6,2,6,2,2,6,6,2,Standard,Standard,304,0.0,-0.074,83.7,8.0,,0.074,,4,4,0.973,0.973,28,25,29,26,1,3,2,3,,2,1.57,1.45,1.45,46.6
KC,2024-05-22,89.9,-1.88,5.87,"Lange, Alex",676369,656638,,ball,,,,,14,Nelson Velázquez walks.   Bobby Witt Jr.  to 3rd.    Salvador Perez to 2nd.,R,R,R,KC,DET,B,,,2,1,2024,-0.01,0.35,1.31,0.76,,677951,521692,2,7,Bot,,,,,,,7.91968887535027,-130.5496124653204,-7.417126308037598,-1.7570359947782117,26.452880569347297,-26.8469116058683,3.43,1.76,,,,89.8,1729,6.3,746304,668670,679529,690993,570482,595879,592192,682985,681481,54.25,,,,,,,,62,4,Knuckle Curve,6,2,6,2,2,6,6,2,Infield shade,Standard,257,0.0,0.065,,,,-0.065,,4,4,0.973,0.973,28,25,29,26,1,3,2,3,,2,2.48,0.01,0.01,44.7
SI,2024-05-22,96.3,-2.12,5.73,"Lange, Alex",676369,656638,,ball,,,,,13,Nelson Velázquez walks.   Bobby Witt Jr.  to 3rd.    Salvador Perez to 2nd.,R,R,R,KC,DET,B,,,1,1,2024,-1.43,0.76,-1.6,2.06,,677951,521692,2,7,Bot,,,,,,,4.6448465917245985,-140.1006694987518,-5.89667798302105,-19.88813322339655,31.807253838829517,-21.085959206764713,3.52,1.7,,,,96.6,2338,6.5,746304,668670,679529,690993,570482,595879,592192,682985,681481,54.04,,,,,,,,62,3,Sinker,6,2,6,2,2,6,6,2,Standard,Standard,235,0.0,0.042,,,,-0.042,,4,4,0.973,0.973,28,25,29,26,1,3,2,3,,2,1.7,1.43,1.43,39.8
SI,2024-05-22,97.2,-1.98,5.76,"Lange, Alex",676369,656638,,foul,,,,,8,Nelson Velázquez walks.   Bobby Witt Jr.  to 3rd.    Salvador Perez to 2nd.,R,R,R,KC,DET,S,,,1,0,2024,-1.39,0.84,-0.09,1.79,,677951,521692,2,7,Bot,,,,,,,8.252556325298253,-141.26450842503837,-7.094388772026456,-20.445217161531147,30.74235277319097,-19.44252264905997,3.44,1.7,2,76.3,-43,97.7,2281,6.5,746304,668670,679529,690993,570482,595879,592192,682985,681481,53.98,,,,,,,,62,2,Sinker,6,2,6,2,2,6,6,2,Standard,Standard,224,0.0,-0.042,76.9,7.9,,0.042,88.0,4,4,0.973,0.973,28,25,29,26,1,3,2,3,,2,1.57,1.39,1.39,41.3
KC,2024-05-22,90.1,-1.86,5.78,"Lange, Alex",676369,656638,,ball,,,,,14,Nelson Velázquez walks.   Bobby Witt Jr.  to 3rd.    Salvador Perez to 2nd.,R,R,R,KC,DET,B,,,0,0,2024,0.07,0.51,1.05,1.77,,677951,521692,2,7,Bot,,,,,,,7.102105656564628,-130.9344941231601,-5.069355675917832,-0.7803288826694704,28.226911945597028,-25.3683083354849,3.52,1.73,,,,90.2,2206,6.5,746304,668670,679529,690993,570482,595879,592192,682985,681481,54.0,,,,,,,,62,1,Knuckle Curve,6,2,6,2,2,6,6,2,Standard,Standard,254,0.0,0.026,,,,-0.026,,4,4,0.973,0.973,28,25,29,26,1,3,2,3,,2,2.31,-0.07,-0.07,43.2
