pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
FF,2024-08-02,93.9,1.68,5.87,"Latz, Jacob",807799,656641,field_out,hit_into_play,,,,,11,"Masataka Yoshida grounds out, third baseman Josh Jung to first baseman Nathaniel Lowe.",R,L,L,TEX,BOS,X,5,ground_ball,0,0,2024,0.44,1.55,-0.35,3.46,,,680776,2,6,Top,110.4,163.76,,,,,-6.2852608896696625,-136.53967574644727,-3.947707318387717,6.968278029342875,31.928234267934403,-12.113602069254064,3.23,1.38,98,97.5,4,94.3,2167,6.7,744986,608348,663993,543760,673962,608369,694671,665750,677649,53.8,0.497,0.454,0.0,1,0,0,4,48,1,4-Seam Fastball,3,9,9,3,9,3,9,3,Infield shade,Standard,149,0.002,-0.271,66.2,6.4,0.557,0.271,97.5,-6,6,0.025,0.975,28,30,28,31,2,3,2,2,,1,1.05,0.44,0.44,47.9
CU,2024-08-02,77.7,1.73,5.95,"Latz, Jacob",680776,656641,single,hit_into_play,,,,,7,Jarren Duran singles on a soft ground ball to catcher Carson Kelly.,R,L,L,TEX,BOS,X,2,ground_ball,1,2,2024,-0.49,-1.51,-0.49,1.73,,,,2,6,Top,132.2,197.21,,,,,-3.871130401195823,-112.96310917095612,0.7889040256175937,-3.313431775856496,24.00173626229511,-45.3903557962788,3.6,1.69,1,53.0,-61,77.6,2818,6.6,744986,608348,663993,543760,673962,608369,694671,665750,677649,53.89,0.223,0.258,0.9,1,1,0,1,47,4,Curveball,3,9,9,3,9,3,9,3,Infield shade,Standard,335,-0.001,0.408,70.1,7.9,0.231,-0.408,88.0,-6,6,0.026,0.974,28,27,28,28,1,3,2,2,,1,5.35,-0.49,-0.49,58.5
FF,2024-08-02,94.9,1.8,5.89,"Latz, Jacob",680776,656641,,foul,,,,,4,Jarren Duran singles on a soft ground ball to catcher Carson Kelly.,R,L,L,TEX,BOS,S,,,1,1,2024,0.49,1.64,-0.42,2.88,,,,2,6,Top,,,,,,,-6.960579166640065,-137.88870082658087,-5.850644480404109,7.876557084709277,32.92779700455113,-10.203880300815708,3.6,1.69,136,77.4,23,95.2,2435,6.7,744986,608348,663993,543760,673962,608369,694671,665750,677649,53.77,,,,,,,,47,3,4-Seam Fastball,3,9,9,3,9,3,9,3,Infield shade,Standard,156,0.0,-0.064,69.1,7.0,,0.064,88.0,-6,6,0.026,0.974,28,27,28,28,1,3,2,2,,1,0.92,0.49,0.49,49.5
SL,2024-08-02,82.8,2.08,5.89,"Latz, Jacob",680776,656641,,swinging_strike,,,,,7,Jarren Duran singles on a soft ground ball to catcher Carson Kelly.,R,L,L,TEX,BOS,S,,,1,0,2024,-0.79,-0.06,-0.58,2.25,,,,2,6,Top,,,,,,,-4.546611078096924,-120.50433727815214,-1.6942895438506755,-6.78468722859089,24.26445569096356,-32.622540037170296,3.6,1.69,,,,83.2,2766,6.6,744986,608348,663993,543760,673962,608369,694671,665750,677649,53.86,,,,,,,,47,2,Slider,3,9,9,3,9,3,9,3,Infield shade,Standard,280,0.0,-0.051,67.8,7.2,,0.051,,-6,6,0.026,0.974,28,27,28,28,1,3,2,2,,1,3.39,-0.79,-0.79,49.9
CH,2024-08-02,85.6,1.88,5.91,"Latz, Jacob",680776,656641,,ball,,,,,13,Jarren Duran singles on a soft ground ball to catcher Carson Kelly.,R,L,L,TEX,BOS,B,,,0,0,2024,0.86,1.33,-1.7,1.64,,,,2,6,Top,,,,,,,-10.202789100572897,-124.1194249521724,-6.49578274266464,10.879186197659646,24.77306977926671,-17.197597778142033,3.74,1.77,,,,85.9,1973,6.7,744986,608348,663993,543760,673962,608369,694671,665750,677649,53.81,,,,,,,,47,1,Changeup,3,9,9,3,9,3,9,3,Infield shade,Standard,133,0.0,0.04,,,,-0.04,,-6,6,0.026,0.974,28,27,28,28,1,3,2,2,,1,1.8,0.86,0.86,52.7
CH,2024-08-02,84.8,1.89,5.8,"Latz, Jacob",678882,656641,home_run,hit_into_play,,,,,5,Ceddanne Rafaela homers (13) on a fly ball to left center field.   Nick Sogard scores.,R,R,L,TEX,BOS,X,,fly_ball,0,0,2024,0.91,1.23,-0.11,2.24,,,686765,2,6,Top,43.9,58.8,,,,,-6.529981687311922,-123.32418948987036,-4.457407381334997,10.641311452242231,24.9965023594637,-18.95201478768223,3.34,1.54,400,104.2,31,85.1,2127,6.6,744986,608348,663993,543760,673962,608369,694671,665750,677649,53.91,0.76,1.522,2.0,1,0,3,6,46,1,Changeup,3,7,7,3,9,3,9,3,Standard,Standard,125,-0.056,2.222,73.6,7.6,2.95,-2.222,104.2,-4,4,0.082,0.918,28,23,28,24,1,2,2,2,,1,1.95,0.91,-0.91,50.8
FF,2024-08-02,96.7,1.78,5.95,"Latz, Jacob",686765,656641,walk,ball,,,,,12,Nick Sogard walks.,R,R,L,TEX,BOS,B,,,3,2,2024,0.37,1.68,0.76,4.7,,,,2,6,Top,,,,,,,-3.5842838198364917,-140.69135380202383,-1.57997075971834,5.798309131180797,35.29775918470202,-9.892034416701588,3.08,1.53,,,,96.9,2391,6.7,744986,608348,663993,543760,673962,608369,694671,665750,677649,53.84,,0.689131,0.7,1,0,0,,45,7,4-Seam Fastball,3,7,7,3,7,3,7,3,Standard,Standard,156,-0.003,0.267,,,,-0.267,,-4,4,0.085,0.915,28,26,28,27,1,2,2,,,1,0.78,0.37,-0.37,47.0
CH,2024-08-02,85.2,1.95,5.83,"Latz, Jacob",686765,656641,,foul,,,,,14,Nick Sogard walks.,R,R,L,TEX,BOS,S,,,3,2,2024,1.15,1.07,1.0,1.53,,,,2,6,Top,,,,,,,-4.5811086223959325,-123.94934122938096,-5.933151874446848,12.81748722058772,25.88844422086714,-20.16130366961266,3.37,1.53,229,75.3,50,85.4,2251,6.5,744986,608348,663993,543760,673962,608369,694671,665750,677649,53.98,,,,,,,,45,6,Changeup,3,7,7,3,7,3,7,3,Standard,Standard,126,0.0,0.0,65.3,7.2,,0.0,88.0,-4,4,0.085,0.915,28,26,28,27,1,2,2,,,1,2.08,1.15,-1.15,48.8
FF,2024-08-02,94.0,1.74,5.96,"Latz, Jacob",686765,656641,,called_strike,,,,,12,Nick Sogard walks.,R,R,L,TEX,BOS,S,,,3,1,2024,0.68,1.67,0.14,3.23,,,,2,6,Top,,,,,,,-5.724078482429231,-136.76793557450733,-5.1228286605435285,9.839989049343508,31.463926542622236,-10.238980382094423,3.04,1.47,,,,95.0,2356,7.0,744986,608348,663993,543760,673962,608369,694671,665750,677649,53.53,,,,,,,,45,5,4-Seam Fastball,3,7,7,3,7,3,7,3,Standard,Standard,154,0.0,-0.089,,,,0.089,,-4,4,0.085,0.915,28,26,28,27,1,2,2,,,1,0.91,0.68,-0.68,51.4
CH,2024-08-02,86.1,1.86,5.85,"Latz, Jacob",686765,656641,,ball,,,,,13,Nick Sogard walks.,R,R,L,TEX,BOS,B,,,2,1,2024,1.15,1.14,-0.73,1.06,,,,2,6,Top,,,,,,,-8.530783780450314,-125.03018626110372,-7.482262808261011,13.768021207539991,24.544871602150703,-18.8320569103437,3.08,1.38,,,,86.7,2019,6.7,744986,608348,663993,543760,673962,608369,694671,665750,677649,53.79,,,,,,,,45,4,Changeup,3,7,7,3,7,3,7,3,Standard,Standard,133,0.0,0.112,,,,-0.112,,-4,4,0.085,0.915,28,26,28,27,1,2,2,,,1,1.94,1.15,-1.15,48.2
