pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
FF,2024-10-10,96.6,1.47,5.88,"Long, Sam",650402,669674,field_out,hit_into_play,,,,,2,Gleyber Torres flies out to right fielder Tommy Pham.,D,R,L,KC,NYY,X,9,fly_ball,1,2,2024,0.57,1.42,0.28,3.01,,,542932,2,9,Top,215.39,92.07,,,,,-4.446232267805151,-140.6764092646484,-5.378110234938798,8.51557359194494,28.63902995810758,-12.217191459460748,3.19,1.51,343,99.6,39,96.6,2400,6.0,775331,521692,493329,686681,672580,677951,669004,664728,502054,54.47,0.157,0.29,0.0,1,0,0,5,66,4,4-Seam Fastball,1,3,3,1,3,1,3,1,Standard,Standard,139,0.008,-0.197,71.4,6.9,0.557,0.197,99.6,-2,2,0.079,0.921,28,27,29,28,1,4,1,1,,4,1.0,0.57,-0.57,54.4
FF,2024-10-10,95.1,1.46,5.99,"Long, Sam",650402,669674,,ball,,,,,11,Gleyber Torres flies out to right fielder Tommy Pham.,D,R,L,KC,NYY,B,,,0,2,2024,0.37,1.4,-0.01,3.8,,,542932,2,9,Top,,,,,,,-4.6428215252130105,-138.58770237139817,-3.291542793490549,5.758473210012841,27.41549507276375,-13.445196843956914,3.27,1.54,,,,94.8,2312,5.8,775331,521692,493329,686681,672580,677951,669004,664728,502054,54.72,,,,,,,,66,3,4-Seam Fastball,1,3,3,1,3,1,3,1,Standard,Standard,163,0.0,0.027,,,,-0.027,,-2,2,0.079,0.921,28,27,29,28,1,4,1,1,,4,1.09,0.37,-0.37,58.3
FS,2024-10-10,89.3,1.81,5.86,"Long, Sam",650402,669674,,foul,,,,,9,Gleyber Torres flies out to right fielder Tommy Pham.,D,R,L,KC,NYY,S,,,0,1,2024,0.96,0.46,0.78,2.02,,,542932,2,9,Top,,,,,,,-4.5196507016841405,-130.05096482004447,-4.44690771389306,11.88282961550771,24.027667475114313,-26.31813250364062,3.19,1.51,4,71.0,-30,89.2,1744,5.9,775331,521692,493329,686681,672580,677951,669004,664728,502054,54.59,,,,,,,,66,2,Split-Finger,1,3,3,1,3,1,3,1,Standard,Standard,147,0.0,-0.054,71.7,8.3,,0.054,88.0,-2,2,0.079,0.921,28,27,29,28,1,4,1,1,,4,2.37,0.96,-0.96,48.9
CU,2024-10-10,77.5,1.34,6.11,"Long, Sam",650402,669674,,called_strike,,,,,8,Gleyber Torres flies out to right fielder Tommy Pham.,D,R,L,KC,NYY,S,,,0,0,2024,-0.15,-1.17,-0.02,1.88,,,542932,2,9,Top,,,,,,,-2.5841456470178144,-112.91458077643452,0.0207901484125185,-0.8205791076553911,21.518437947989952,-42.412310950376934,3.19,1.55,,,,76.7,2572,5.7,775331,521692,493329,686681,672580,677951,669004,664728,502054,54.77,,,,,,,,66,1,Curveball,1,3,3,1,3,1,3,1,Standard,Standard,343,0.0,-0.047,,,,0.047,,-2,2,0.079,0.921,28,27,29,28,1,4,1,1,,4,4.97,-0.15,0.15,62.7
FF,2024-10-10,95.0,1.47,5.9,"Long, Sam",542932,669674,walk,ball,,,,,12,Jon Berti walks.,D,R,L,KC,NYY,B,,,3,2,2024,0.34,1.44,1.46,2.88,,,,2,9,Top,,,,,,,-0.7924661420088555,-138.37247226541547,-5.488738570511469,4.528711455679449,28.15509346499162,-12.67074530523619,3.48,1.69,,,,94.9,2315,6.0,775331,521692,493329,686681,672580,677951,669004,664728,502054,54.49,,0.689131,0.7,1,0,0,,65,6,4-Seam Fastball,1,3,3,1,3,1,3,1,Standard,Standard,154,-0.005,0.267,,,,-0.267,,-2,2,0.084,0.916,28,34,29,34,1,3,1,3,,7,1.07,0.34,-0.34,53.8
SL,2024-10-10,85.2,1.41,6.04,"Long, Sam",542932,669674,,foul,,,,,8,Jon Berti walks.,D,R,L,KC,NYY,S,,,3,1,2024,0.01,0.25,-0.08,1.74,,,,2,9,Top,,,,,,,-3.508302107341171,-123.99534652521966,-4.198486932655996,0.8876836509406266,27.12308679734629,-28.951583326260817,3.46,1.63,,,,84.3,2221,5.9,775331,521692,493329,686681,672580,677951,669004,664728,502054,54.61,,,,,,,,65,5,Slider,1,3,3,1,3,1,3,1,Standard,Standard,31,0.0,-0.089,68.5,8.5,,0.089,,-2,2,0.084,0.916,28,34,29,34,1,3,1,3,,7,2.92,0.01,-0.01,61.2
FF,2024-10-10,95.2,1.51,5.95,"Long, Sam",542932,669674,,ball,,,,,14,Jon Berti walks.,D,R,L,KC,NYY,B,,,2,1,2024,0.54,1.45,1.05,1.26,,,,2,9,Top,,,,,,,-2.4041208220680845,-138.31628182637303,-9.833404846648389,7.454473257749857,31.835122337834136,-11.495839987463077,3.46,1.65,,,,94.6,2385,6.1,775331,521692,493329,686681,672580,677951,669004,664728,502054,54.43,,,,,,,,65,4,4-Seam Fastball,1,3,3,1,3,1,3,1,Standard,Standard,151,0.0,0.112,,,,-0.112,,-2,2,0.084,0.916,28,34,29,34,1,3,1,3,,7,1.07,0.54,-0.54,54.4
SL,2024-10-10,83.7,1.44,6.04,"Long, Sam",542932,669674,,called_strike,,,,,3,Jon Berti walks.,D,R,L,KC,NYY,S,,,2,0,2024,-0.17,0.11,0.44,3.1,,,,2,9,Top,,,,,,,-1.9678934415360227,-121.90681996286844,-0.6134506500537762,-1.2821757467639996,23.470030897673393,-31.162723869047127,3.36,1.6,,,,83.0,2202,5.7,775331,521692,493329,686681,672580,677951,669004,664728,502054,54.76,,,,,,,,65,3,Slider,1,3,3,1,3,1,3,1,Standard,Standard,332,0.0,-0.061,,,,0.061,,-2,2,0.084,0.916,28,34,29,34,1,3,1,3,,7,3.13,-0.17,0.17,54.1
FF,2024-10-10,94.1,1.52,5.92,"Long, Sam",542932,669674,,ball,,,,,13,Jon Berti walks.,D,R,L,KC,NYY,B,,,1,0,2024,0.67,1.4,-0.69,0.78,,,,2,9,Top,,,,,,,-7.149855560444782,-136.5126555596771,-10.63035532679404,9.846866484398682,28.0204348724742,-12.570599831745726,3.42,1.63,,,,93.6,2346,6.0,775331,521692,493329,686681,672580,677951,669004,664728,502054,54.49,,,,,,,,65,2,4-Seam Fastball,1,3,3,1,3,1,3,1,Standard,Standard,141,0.0,0.068,,,,-0.068,,-2,2,0.084,0.916,28,34,29,34,1,3,1,3,,7,1.18,0.67,-0.67,51.7
SL,2024-10-10,85.8,1.44,6.02,"Long, Sam",542932,669674,,ball,,,,,14,Jon Berti walks.,D,R,L,KC,NYY,B,,,0,0,2024,-0.12,0.32,0.67,1.07,,,,2,9,Top,,,,,,,-1.5641541862397947,-124.9052076402014,-6.106776328064413,-0.9913698393237086,23.792188613644864,-27.818298508166144,3.45,1.66,,,,85.5,2310,5.9,775331,521692,493329,686681,672580,677951,669004,664728,502054,54.58,,,,,,,,65,1,Slider,1,3,3,1,3,1,3,1,Standard,Standard,182,0.0,0.04,,,,-0.04,,-2,2,0.084,0.916,28,34,29,34,1,3,1,3,,7,2.76,-0.12,0.12,54.9
