pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
FF,2024-08-18,89.4,-1.8,5.59,"Mahle, Tyler",670242,641816,grounded_into_double_play,hit_into_play,,,,,8,"Matt Wallner grounds into a double play, second baseman Marcus Semien to shortstop Corey Seager to first baseman Nathaniel Lowe. Ryan Jeffers out at 2nd. Matt Wallner out at 1st.",R,L,R,TEX,MIN,X,4,ground_ball,1,1,2024,-0.84,1.48,0.01,2.36,663616,,680777,1,3,Top,152.91,149.69,,,,,6.2284369706173095,-130.06215959473704,-5.082473522388925,-10.824746245331674,27.155227522077293,-14.455768233522818,3.71,1.82,33,94.6,-2,89.4,2305,6.3,744975,608348,663993,543760,669701,608369,694671,665750,666969,54.19,0.323,0.317,0.0,1,0,0,2,24,3,4-Seam Fastball,0,4,4,0,4,0,4,0,Infield shade,Standard,219,0.048,-0.299,77.7,6.6,0.347,0.299,94.6,-4,4,0.104,0.896,29,26,30,27,2,1,6,1,,1,1.37,0.84,-0.84,48.0
FS,2024-08-18,84.0,-2.06,5.4,"Mahle, Tyler",670242,641816,,ball,,,,,14,"Matt Wallner grounds into a double play, second baseman Marcus Semien to shortstop Corey Seager to first baseman Nathaniel Lowe. Ryan Jeffers out at 2nd. Matt Wallner out at 1st.",R,L,R,TEX,MIN,B,,,0,1,2024,-0.97,1.08,0.33,1.07,663616,,680777,1,3,Top,,,,,,,7.550537859535769,-122.10384870807718,-5.842010995008443,-11.164295285693392,22.878106867313168,-20.34972682272273,3.71,1.76,,,,84.9,1975,6.9,744975,608348,663993,543760,669701,608369,694671,665750,666969,53.65,,,,,,,,24,2,Split-Finger,0,4,4,0,4,0,4,0,Infield shade,Standard,234,0.0,0.007,,,,-0.007,,-4,4,0.104,0.896,29,26,30,27,2,1,6,1,,1,2.14,0.97,-0.97,42.6
FF,2024-08-18,87.8,-1.86,5.62,"Mahle, Tyler",670242,641816,,foul,,,,,2,"Matt Wallner grounds into a double play, second baseman Marcus Semien to shortstop Corey Seager to first baseman Nathaniel Lowe. Ryan Jeffers out at 2nd. Matt Wallner out at 1st.",R,L,R,TEX,MIN,S,,,0,0,2024,-0.87,1.35,0.23,3.61,663616,,680777,1,3,Top,,,,,,,6.882903166372397,-127.65803275847826,-1.455097090181364,-11.094119522830276,30.413803196662617,-17.494507896951937,3.71,1.82,,,,87.4,2237,6.4,744975,608348,663993,543760,669701,608369,694671,665750,666969,54.07,,,,,,,,24,1,4-Seam Fastball,0,4,4,0,4,0,4,0,Infield shade,Standard,218,0.0,-0.045,50.1,5.4,,0.045,,-4,4,0.104,0.896,29,26,30,27,2,1,6,1,,1,1.65,0.87,-0.87,44.8
FF,2024-08-18,89.9,-2.02,5.67,"Mahle, Tyler",680777,641816,single,hit_into_play,,,,,6,Ryan Jeffers singles on a ground ball to left fielder Wyatt Langford. Willi Castro scores. Trevor Larnach to 3rd.,R,R,R,TEX,MIN,X,7,ground_ball,1,0,2024,-0.9,1.53,0.51,2.59,650489,663616,,1,3,Top,87.12,112.75,,,,,8.23010267493621,-130.5829098692709,-4.827160133082712,-12.198542976963012,30.750758139784647,-13.928170266091282,3.27,1.57,75,93.4,4,89.8,2425,6.6,744975,608348,663993,543760,669701,608369,694671,665750,666969,53.91,0.509,0.478,0.9,1,1,0,4,23,2,4-Seam Fastball,0,3,3,0,4,0,4,0,Strategic,Standard,217,-0.041,0.497,70.1,7.8,0.573,-0.497,93.4,-3,3,0.145,0.855,29,27,30,27,2,1,6,2,,1,1.33,0.9,0.9,46.0
SL,2024-08-18,81.8,-2.26,5.58,"Mahle, Tyler",680777,641816,,ball,,,,,14,Ryan Jeffers singles on a ground ball to left fielder Wyatt Langford. Willi Castro scores. Trevor Larnach to 3rd.,R,R,R,TEX,MIN,B,,,0,0,2024,0.31,-0.41,1.4,-0.52,,650489,663616,1,3,Top,,,,,,,7.651227621247858,-118.81451562334324,-6.409884778303839,1.598002965812335,21.132396257747093,-35.11681872056085,3.24,1.51,,,,82.0,2357,6.4,744975,608348,663993,543760,669701,608369,694671,665750,666969,54.15,,,,,,,,23,1,Slider,0,3,3,0,3,0,3,0,Standard,Standard,22,-0.03,0.03,,,,-0.03,,-3,3,0.175,0.825,29,27,30,27,2,1,6,2,,1,3.81,-0.31,-0.31,47.9
FF,2024-08-18,89.9,-1.78,5.66,"Mahle, Tyler",663616,641816,single,hit_into_play,,,,,13,Trevor Larnach singles on a line drive to right fielder Adolis García. Willi Castro to 2nd.,R,L,R,TEX,MIN,X,9,line_drive,1,2,2024,-0.84,1.48,-0.22,1.55,,,650489,1,3,Top,179.73,94.02,,,,,5.673980226521372,-130.63458476082496,-7.321839925159661,-10.840956421740122,29.6576170517683,-13.8578178377821,3.81,1.76,247,90.4,16,89.9,2212,6.6,744975,608348,663993,543760,669701,608369,694671,665750,666969,53.94,0.929,0.908,0.9,1,1,0,4,22,4,4-Seam Fastball,0,3,3,0,3,0,3,0,Infield shade,Standard,223,-0.019,0.475,76.2,8.0,1.131,-0.475,90.4,-3,3,0.194,0.806,29,27,30,27,2,1,6,1,,1,1.37,0.84,-0.84,43.8
FS,2024-08-18,84.0,-1.96,5.49,"Mahle, Tyler",663616,641816,,called_strike,,,,,9,Trevor Larnach singles on a line drive to right fielder Adolis García. Willi Castro to 2nd.,R,L,R,TEX,MIN,S,,,1,1,2024,-1.24,0.95,0.6,2.19,,,650489,1,3,Top,,,,,,,8.40504943199676,-121.93778700666589,-3.053626581392709,-14.105613043877607,25.197432192454148,-22.34405752421125,3.68,1.67,,,,84.0,2019,6.6,744975,608348,663993,543760,669701,608369,694671,665750,666969,53.94,,,,,,,,22,3,Split-Finger,0,3,3,0,3,0,3,0,Infield shade,Standard,234,0.0,-0.059,,,,0.059,,-3,3,0.194,0.806,29,27,30,27,2,1,6,1,,1,2.31,1.24,-1.24,38.6
FS,2024-08-18,84.2,-2.05,5.47,"Mahle, Tyler",663616,641816,,called_strike,,,,,7,Trevor Larnach singles on a line drive to right fielder Adolis García. Willi Castro to 2nd.,R,L,R,TEX,MIN,S,,,1,0,2024,-1.32,1.03,-0.28,1.65,,,650489,1,3,Top,,,,,,,6.750151569930104,-122.45455427058045,-4.51979587095029,-14.624997999372017,24.89299096920451,-21.055129479878023,3.68,1.67,,,,84.3,2063,6.5,744975,608348,663993,543760,669701,608369,694671,665750,666969,54.04,,,,,,,,22,2,Split-Finger,0,3,3,0,3,0,3,0,Infield shade,Standard,232,0.0,-0.047,,,,0.047,,-3,3,0.194,0.806,29,27,30,27,2,1,6,1,,1,2.19,1.32,-1.32,37.2
FF,2024-08-18,89.6,-2.03,5.51,"Mahle, Tyler",663616,641816,,ball,,,,,13,Trevor Larnach singles on a line drive to right fielder Adolis García. Willi Castro to 2nd.,R,L,R,TEX,MIN,B,,,0,0,2024,-1.02,1.51,-0.33,1.02,,,650489,1,3,Top,,,,,,,6.368884153381387,-130.09218370872435,-8.24950030362506,-13.010180181075548,29.46068976410353,-13.415217553458554,3.75,1.67,,,,89.5,2308,6.6,744975,608348,663993,543760,669701,608369,694671,665750,666969,53.94,,,,,,,,22,1,4-Seam Fastball,0,3,3,0,3,0,3,0,Infield shade,Standard,214,0.0,0.036,,,,-0.036,,-3,3,0.194,0.806,29,27,30,27,2,1,6,1,,1,1.36,1.02,-1.02,42.1
FF,2024-08-18,89.7,-2.25,5.47,"Mahle, Tyler",669304,641816,field_out,hit_into_play,,,,,8,Jose Miranda lines out to shortstop Corey Seager.,R,R,R,TEX,MIN,X,6,line_drive,2,2,2024,-0.89,1.43,0.05,1.83,,,650489,0,3,Top,107.36,139.57,,,,,7.598379293452152,-130.22755101143937,-5.999816180168074,-11.826779526419973,29.32107058432554,-14.871727253758012,3.08,1.44,186,106.6,8,89.7,2281,6.6,744975,608348,663993,543760,669701,608369,694671,665750,666969,53.89,0.686,0.617,0.0,1,0,0,4,21,6,4-Seam Fastball,0,3,3,0,3,0,3,0,Standard,Standard,222,0.019,-0.233,,,0.773,0.233,106.6,-3,3,0.175,0.825,29,26,30,26,2,1,6,1,,1,1.44,0.89,0.89,44.8
