pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
SI,2024-03-17,92.2,-1.52,5.63,"Marrero, Andrew",682073,687817,strikeout,called_strike,,,,,9,David Hensley called out on strikes.,S,R,R,STL,HOU,S,2,,2,2,2024,-1.16,1.46,0.49,2.02,667452,,,2,1,Top,,,,,,,7.611663065786982,-133.89579986211368,-6.5028729341726565,-15.631921215190577,28.587193655392134,-13.38678690350528,3.5,1.78,,,,92.0,2062,6.2,747928,575929,502671,669357,571448,543063,676475,666185,691023,54.26,,,0.0,,0,0,,7,6,Sinker,0,3,3,0,3,0,3,0,Standard,Standard,222,0.023,-0.202,,,,0.202,,-3,3,0.232,0.768,24,28,24,28,1,0,,,,,1.23,1.16,1.16,
SL,2024-03-17,82.9,-1.69,5.48,"Marrero, Andrew",682073,687817,,foul,,,,,9,David Hensley called out on strikes.,S,R,R,STL,HOU,S,,,2,2,2024,0.39,-0.25,0.48,2.09,667452,,,2,1,Top,,,,,,,4.150846326709102,-120.6009078087384,-0.7076390978300923,2.943588183458324,25.0102304778934,-34.732156683888675,3.48,1.75,4,66.1,-29,82.1,2600,5.9,747928,575929,502671,669357,571448,543063,676475,666185,691023,54.59,,,,,,,,7,5,Slider,0,3,3,0,3,0,3,0,Standard,Standard,62,0.0,0.0,,,,0.0,88.0,-3,3,0.232,0.768,24,28,24,28,1,0,,,,,3.59,-0.39,-0.39,
SL,2024-03-17,83.2,-1.79,5.56,"Marrero, Andrew",682073,687817,,swinging_strike,,,,,8,David Hensley called out on strikes.,S,R,R,STL,HOU,S,,,2,1,2024,0.14,-0.15,0.23,2.04,667452,,,2,1,Top,,,,,,,4.312116141024067,-121.11270328936546,-1.3151179267857878,0.550184961604658,23.71124195552198,-33.58750459540443,3.48,1.75,,,,82.3,2541,5.7,747928,575929,502671,669357,571448,543063,676475,666185,691023,54.81,,,,,,,,7,4,Slider,0,3,3,0,3,0,3,0,Standard,Standard,65,0.0,-0.103,,,,0.103,,-3,3,0.232,0.768,24,28,24,28,1,0,,,,,3.44,-0.14,-0.14,
SI,2024-03-17,91.6,-1.6,5.67,"Marrero, Andrew",682073,687817,,ball,,,,,11,David Hensley called out on strikes.,S,R,R,STL,HOU,B,,,1,1,2024,-1.33,1.65,-1.29,3.37,,667452,,2,1,Top,,,,,,,3.634797005085407,-133.18437874523423,-3.393179133610012,-16.51817730844213,34.40173325737136,-12.23032177040314,3.55,1.71,,,,90.4,2153,6.1,747928,575929,502671,669357,571448,543063,676475,666185,691023,54.42,,,,,,,,7,3,Sinker,0,3,3,0,3,0,3,0,Standard,Standard,220,-0.003,0.039,,,,-0.039,,-3,3,0.235,0.765,24,28,24,28,1,0,,,,,1.12,1.33,1.33,
SL,2024-03-17,84.0,-1.97,5.59,"Marrero, Andrew",682073,687817,,called_strike,,,,,1,David Hensley called out on strikes.,S,R,R,STL,HOU,S,,,1,0,2024,0.52,-0.25,-0.59,3.28,,667452,,2,1,Top,,,,,,,2.130802632208939,-122.2816352249384,1.564449934030249,4.788335050157905,25.68954440083972,-35.22653921415053,3.59,1.76,,,,83.2,2610,5.9,747928,575929,502671,669357,571448,543063,676475,666185,691023,54.64,,,,,,,,7,2,Slider,0,3,3,0,3,0,3,0,Standard,Standard,61,0.0,-0.043,,,,0.043,,-3,3,0.235,0.765,24,28,24,28,1,0,,,,,3.49,-0.52,-0.52,
SI,2024-03-17,92.4,-1.2,5.81,"Marrero, Andrew",682073,687817,,ball,,,,,14,David Hensley called out on strikes.,S,R,R,STL,HOU,B,,,0,0,2024,-1.41,1.86,1.19,1.84,,667452,,2,1,Top,,,,,,,9.09760224730568,-133.9798499768774,-8.200697162994572,-19.060020934488147,32.508999920228526,-8.150082307868221,3.52,1.69,,,,91.2,2172,6.1,747928,575929,502671,669357,571448,543063,676475,666185,691023,54.45,,,,,,,,7,1,Sinker,0,3,3,0,3,0,3,0,Standard,Standard,212,0.0,0.014,,,,-0.014,,-3,3,0.235,0.765,24,28,24,28,1,0,,,,,0.86,1.41,1.41,
SL,2024-03-17,82.9,-1.86,5.57,"Marrero, Andrew",667452,687817,double,hit_into_play,,,,,11,Corey Julks doubles (2) on a ground ball to left fielder Alec Burleson.,S,R,R,STL,HOU,X,7,ground_ball,3,2,2024,0.25,-0.25,-0.87,2.49,,,,2,1,Top,92.87,171.24,,,,,1.760952330207578,-120.66574656668648,-0.0563370611350875,2.0891293486647156,24.645982614152857,-34.798602036166365,3.25,1.64,110,69.8,11,82.7,2464,6.2,747928,575929,502671,669357,571448,543063,676475,666185,691023,54.26,0.286,,1.25,,1,1,2,6,6,Slider,0,3,3,0,3,0,3,0,Standard,Standard,60,-0.014,0.545,,,0.329,-0.545,88.0,-3,3,0.249,0.751,24,28,24,28,1,0,,,,,3.58,-0.25,-0.25,
SL,2024-03-17,85.4,-1.75,5.59,"Marrero, Andrew",667452,687817,,ball,,,,,14,Corey Julks doubles (2) on a ground ball to left fielder Alec Burleson.,S,R,R,STL,HOU,B,,,2,2,2024,0.24,-0.04,1.44,1.43,,,,2,1,Top,,,,,,,7.027864681988276,-124.07597743839273,-3.3362725169119596,0.9259014913024024,27.539834541583694,-32.07968423125283,3.23,1.53,,,,85.0,2451,6.4,747928,575929,502671,669357,571448,543063,676475,666185,691023,54.12,,,,,,,,6,5,Slider,0,3,3,0,3,0,3,0,Standard,Standard,59,0.0,0.106,,,,-0.106,,-3,3,0.249,0.751,24,28,24,28,1,0,,,,,3.2,-0.24,-0.24,
SI,2024-03-17,92.6,-1.41,5.64,"Marrero, Andrew",667452,687817,,ball,,,,,14,Corey Julks doubles (2) on a ground ball to left fielder Alec Burleson.,S,R,R,STL,HOU,B,,,1,2,2024,-1.42,1.49,0.75,0.63,,,,2,1,Top,,,,,,,8.648491801746795,-134.15466956892888,-10.184591371702972,-19.098330628851517,30.794643559225676,-12.081777933718053,3.28,1.51,,,,92.5,2249,6.6,747928,575929,502671,669357,571448,543063,676475,666185,691023,53.89,,,,,,,,6,4,Sinker,0,3,3,0,3,0,3,0,Standard,Standard,221,0.0,0.039,,,,-0.039,,-3,3,0.249,0.751,24,28,24,28,1,0,,,,,1.21,1.42,1.42,
SL,2024-03-17,82.7,-2.02,5.4,"Marrero, Andrew",667452,687817,,ball,,,,,13,Corey Julks doubles (2) on a ground ball to left fielder Alec Burleson.,S,R,R,STL,HOU,B,,,0,2,2024,0.67,-0.32,-1.74,2.06,,,,2,1,Top,,,,,,,-0.657326904258283,-120.42841423570717,-0.4913508940740976,6.597119603919949,24.70403333291978,-35.37055243081195,3.26,1.47,,,,82.4,2557,6.1,747928,575929,502671,669357,571448,543063,676475,666185,691023,54.35,,,,,,,,6,3,Slider,0,3,3,0,3,0,3,0,Standard,Standard,59,0.0,0.023,,,,-0.023,,-3,3,0.249,0.751,24,28,24,28,1,0,,,,,3.66,-0.67,-0.67,
