pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
SL,2024-03-26,82.0,-3.18,3.25,"Matthews, John",695780,687397,field_out,hit_into_play,,,,,1,Jake Fox flies out to right fielder Kevin Graham in foul territory.,S,L,R,AZ,CLE,X,9,fly_ball,0,1,2024,0.1,0.37,-0.35,3.15,,678413,801501,2,9,Top,200.11,135.64,,,,,6.160049402071101,-119.1514581192193,5.568254801506325,-0.1436912284749538,21.42069792018984,-29.886833953486978,3.32,1.51,241,90.5,54,81.9,2603,6.1,747803,688808,678689,691283,691284,694371,805842,679741,681184,54.35,0.009,,0.0,,0,0,3,69,2,Slider,6,1,1,6,1,6,1,6,Standard,Standard,193,0.003,-0.23,,,0.014,0.23,90.5,5,-5,0.997,0.003,26,21,26,21,1,0,,,,,3.01,-0.1,0.1,
SL,2024-03-26,81.0,-3.2,3.49,"Matthews, John",695780,687397,,called_strike,,,,,5,Jake Fox flies out to right fielder Kevin Graham in foul territory.,S,L,R,AZ,CLE,S,,,0,0,2024,0.25,0.24,0.09,2.16,,678413,801501,2,9,Top,,,,,,,6.827709998921248,-117.80135354654873,3.1866784754806137,1.0758061031081512,21.86535695647379,-30.766733696649077,3.11,1.34,,,,80.8,2456,6.1,747803,688808,678689,691283,691284,694371,805842,679741,681184,54.36,,,,,,,,69,1,Slider,6,1,1,6,1,6,1,6,Standard,Standard,124,0.0,-0.048,,,,0.048,,5,-5,0.997,0.003,26,21,26,21,1,0,,,,,3.23,-0.25,0.25,
SI,2024-03-26,86.4,-3.14,3.35,"Matthews, John",802407,687397,field_out,hit_into_play,,,,,2,Joe Lampe lines out sharply to center fielder Wilderd Patiño.,S,L,R,AZ,CLE,X,8,line_drive,0,1,2024,-1.27,-0.44,-0.18,2.77,,678413,801501,1,9,Top,140.03,46.89,,,,,9.589089106570718,-125.25125231489598,5.791751412453618,-15.364956805159744,25.819197860797907,-38.3262494900626,3.32,1.51,377,106.9,17,86.0,2153,6.3,747803,688808,678689,691283,691284,694371,805842,679741,681184,54.23,0.606,,0.0,,0,0,6,68,2,Sinker,6,1,1,6,1,6,1,6,Standard,Standard,323,0.009,-0.2,,,1.147,0.2,106.9,5,-5,0.988,0.012,26,23,26,24,1,0,,,,,3.52,1.27,-1.27,
SL,2024-03-26,81.7,-3.3,3.47,"Matthews, John",802407,687397,,called_strike,,,,,5,Joe Lampe lines out sharply to center fielder Wilderd Patiño.,S,L,R,AZ,CLE,S,,,0,0,2024,-0.02,0.45,0.02,2.71,,678413,801501,1,9,Top,,,,,,,7.516578303696131,-118.78849934130449,3.972437098281497,-1.5640448215708114,21.305935481213833,-28.80397678683173,3.29,1.51,,,,81.8,2657,6.3,747803,688808,678689,691283,691284,694371,805842,679741,681184,54.23,,,,,,,,68,1,Slider,6,1,1,6,1,6,1,6,Standard,Standard,169,0.0,-0.039,,,,0.039,,5,-5,0.988,0.012,26,23,26,24,1,0,,,,,2.95,0.02,-0.02,
SL,2024-03-26,80.9,-3.14,3.41,"Matthews, John",801501,687397,fielders_choice,hit_into_play,,,,,8,"Nate Furman reaches on a fielder's choice, fielded by third baseman Juan Corniel.   Alexfri Planez to 2nd.  Alexfri Planez advances to 2nd, on a fielding error by third baseman Juan Corniel.",S,L,R,AZ,CLE,X,5,ground_ball,2,1,2024,0.25,0.35,-0.01,1.79,,,678413,1,9,Top,111.29,164.77,,,,,6.515814055927175,-117.72845026862488,2.258768441676067,1.2235367783790096,19.49099890002548,-29.468352196212784,3.26,1.48,23,76.5,-2,81.2,2670,6.2,747803,688808,678689,691283,691284,694371,805842,679741,681184,54.29,0.103,,0.9,,0,0,2,67,4,Slider,6,1,1,6,1,6,1,6,Standard,Standard,132,-0.007,0.407,,,0.115,-0.407,88.0,5,-5,0.995,0.005,26,22,26,23,1,0,,,,,3.1,-0.25,0.25,
CU,2024-03-26,73.1,-3.12,3.2,"Matthews, John",801501,687397,,ball,,,,,14,"Nate Furman reaches on a fielder's choice, fielded by third baseman Juan Corniel.   Alexfri Planez to 2nd.  Alexfri Planez advances to 2nd, on a fielding error by third baseman Juan Corniel.",S,L,R,AZ,CLE,B,,,1,1,2024,1.42,0.21,1.18,1.75,,,678413,1,9,Top,,,,,,,6.206575524445395,-106.1749285450276,4.166257652554431,9.489478415531703,19.771984826317752,-31.645607464172382,3.36,1.48,,,,72.7,2649,6.3,747803,688808,678689,691283,691284,694371,805842,679741,681184,54.23,,,,,,,,67,3,Curveball,6,1,1,6,1,6,1,6,Standard,Standard,93,0.0,0.046,,,,-0.046,,5,-5,0.995,0.005,26,22,26,23,1,0,,,,,4.1,-1.42,1.42,
SI,2024-03-26,86.3,-3.27,3.37,"Matthews, John",801501,687397,,called_strike,,,,,5,"Nate Furman reaches on a fielder's choice, fielded by third baseman Juan Corniel.   Alexfri Planez to 2nd.  Alexfri Planez advances to 2nd, on a fielding error by third baseman Juan Corniel.",S,L,R,AZ,CLE,S,,,1,0,2024,-1.21,-0.8,-0.25,2.5,,,678413,1,9,Top,,,,,,,9.634129046684055,-125.08277009708402,5.817124082159128,-14.596497141150545,24.69801060876136,-42.05774551296435,3.34,1.48,,,,86.2,2190,6.4,747803,688808,678689,691283,691284,694371,805842,679741,681184,54.08,,,,,,,,67,2,Sinker,6,1,1,6,1,6,1,6,Standard,Standard,283,0.0,-0.047,,,,0.047,,5,-5,0.995,0.005,26,22,26,23,1,0,,,,,3.88,1.21,-1.21,
SI,2024-03-26,87.2,-3.16,3.41,"Matthews, John",801501,687397,,ball,,,,,14,"Nate Furman reaches on a fielder's choice, fielded by third baseman Juan Corniel.   Alexfri Planez to 2nd.  Alexfri Planez advances to 2nd, on a fielding error by third baseman Juan Corniel.",S,L,R,AZ,CLE,B,,,0,0,2024,-1.16,-0.4,1.36,1.99,,,678413,1,9,Top,,,,,,,13.20079842653147,-126.34533566334356,3.577855102312016,-14.908728509206249,22.99233589177212,-37.47188334595307,3.36,1.48,,,,87.3,2186,6.4,747803,688808,678689,691283,691284,694371,805842,679741,681184,54.12,,,,,,,,67,1,Sinker,6,1,1,6,1,6,1,6,Standard,Standard,287,0.0,0.036,,,,-0.036,,5,-5,0.995,0.005,26,22,26,23,1,0,,,,,3.4,1.16,-1.16,
SI,2024-03-26,86.9,-3.15,3.47,"Matthews, John",678413,687397,force_out,hit_into_play,,,,,5,"Alexfri Planez grounds into a force out, shortstop Tommy Troy to second baseman Sheng-Ping Chen.   Joe Naranjo out at 2nd.    Alexfri Planez to 1st.",S,R,R,AZ,CLE,X,6,ground_ball,3,2,2024,-1.07,-0.79,0.2,2.57,,,683172,0,9,Top,110.78,156.67,,,,,10.160227644390906,-125.85561809785568,5.7604929242536915,-13.60894138098969,29.24651534278891,-42.13554554230905,3.47,1.59,4,99.1,-31,85.9,1860,6.3,747803,688808,678689,691283,691284,694371,805842,679741,681184,54.24,0.094,,0.0,,0,0,2,66,6,Sinker,6,1,1,6,1,6,1,6,Standard,Standard,267,0.007,-0.457,,,0.095,0.457,99.1,5,-5,0.988,0.012,26,22,26,23,1,1,,,,,3.87,1.07,1.07,
SI,2024-03-26,86.4,-3.27,3.44,"Matthews, John",678413,687397,,foul,,,,,13,"Alexfri Planez grounds into a force out, shortstop Tommy Troy to second baseman Sheng-Ping Chen.   Joe Naranjo out at 2nd.    Alexfri Planez to 1st.",S,R,R,AZ,CLE,S,,,3,1,2024,-1.09,-0.49,-1.43,2.5,,,683172,0,9,Top,,,,,,,6.5931676149428355,-125.54950312258012,4.992344914301967,-12.93235597182392,26.27112167452117,-38.69014499972526,3.47,1.59,5,90.8,-26,86.0,2119,6.2,747803,688808,678689,691283,691284,694371,805842,679741,681184,54.29,,,,,,,,66,5,Sinker,6,1,1,6,1,6,1,6,Standard,Standard,269,0.0,-0.04,,,,0.04,90.8,5,-5,0.988,0.012,26,22,26,23,1,1,,,,,3.56,1.09,1.09,
