pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
SL,2024-09-28,88.0,-2.13,6.05,"Matthews, Zebby",702616,805673,field_out,hit_into_play,,,,,9,Jackson Holliday pops out to shortstop Brooks Lee.,R,L,R,MIN,BAL,X,6,popup,2,2,2024,0.24,0.3,0.55,2.11,656896,,596103,2,3,Top,132.88,118.47,,,,,6.058065910064206,-128.16596745112685,-4.182449822565781,1.6240163824378755,22.552780545020145,-28.30865161649716,3.44,1.63,204,93.4,62,89.1,2377,6.6,745849,680777,467793,666397,571657,686797,650489,668885,622534,53.92,0.009,0.008,0.0,1,0,0,3,28,5,Slider,0,6,6,0,6,0,6,0,Standard,Standard,170,0.009,-0.251,72.9,7.4,0.012,0.251,93.4,-6,6,0.054,0.946,24,20,24,21,3,2,6,1,,1,2.61,-0.24,0.24,42.2
FF,2024-09-28,93.6,-2.03,5.98,"Matthews, Zebby",702616,805673,,foul,,,,,8,Jackson Holliday pops out to shortstop Brooks Lee.,R,L,R,MIN,BAL,S,,,2,1,2024,-0.93,1.43,-0.1,1.94,656896,,596103,2,3,Top,,,,,,,7.075396863536734,-135.9792912346484,-7.887125707582613,-13.026026660349396,28.78707745033641,-12.856784614142684,3.44,1.63,192,76.9,59,94.1,2149,6.6,745849,680777,467793,666397,571657,686797,650489,668885,622534,53.91,,,,,,,,28,4,4-Seam Fastball,0,6,6,0,6,0,6,0,Standard,Standard,215,0.0,-0.057,73.9,7.5,,0.057,88.0,-6,6,0.054,0.946,24,20,24,21,3,2,6,1,,1,1.17,0.93,-0.93,41.9
FF,2024-09-28,94.1,-2.15,5.86,"Matthews, Zebby",702616,805673,,foul,,,,,5,Jackson Holliday pops out to shortstop Brooks Lee.,R,L,R,MIN,BAL,S,,,2,0,2024,-0.75,1.32,-0.06,2.51,656896,,596103,2,3,Top,,,,,,,7.116567082583323,-136.8784593067218,-5.952960991748394,-10.94761895513946,29.58928174099502,-14.426325865542498,3.44,1.63,239,94.8,11,94.6,2137,6.6,745849,680777,467793,666397,571657,686797,650489,668885,622534,53.94,,,,,,,,28,3,4-Seam Fastball,0,6,6,0,6,0,6,0,Standard,Standard,219,0.0,-0.08,68.9,6.0,,0.08,94.8,-6,6,0.054,0.946,24,20,24,21,3,2,6,1,,1,1.25,0.75,-0.75,37.5
FF,2024-09-28,94.6,-2.33,5.84,"Matthews, Zebby",702616,805673,,ball,,,,,11,Jackson Holliday pops out to shortstop Brooks Lee.,R,L,R,MIN,BAL,B,,,1,0,2024,-0.75,1.36,-1.62,3.93,656896,,596103,2,3,Top,,,,,,,3.538995139973053,-137.7315468613282,-2.33258494065901,-10.335245890459715,30.43937500290843,-14.578832527306712,3.3,1.52,,,,95.0,2232,6.5,745849,680777,467793,666397,571657,686797,650489,668885,622534,54.03,,,,,,,,28,2,4-Seam Fastball,0,6,6,0,6,0,6,0,Standard,Standard,219,0.0,0.06,,,,-0.06,,-6,6,0.054,0.946,24,20,24,21,3,2,6,1,,1,1.19,0.75,-0.75,36.8
FF,2024-09-28,94.2,-1.96,6.16,"Matthews, Zebby",702616,805673,,ball,,,,,12,Jackson Holliday pops out to shortstop Brooks Lee.,R,L,R,MIN,BAL,B,,,0,0,2024,-0.42,1.38,0.06,4.14,656896,,596103,2,3,Top,,,,,,,6.19663732365243,-137.04900566758258,-2.6489572952198017,-6.698501501943908,29.862710995393336,-14.352863771885414,3.29,1.51,,,,94.6,2090,6.5,745849,680777,467793,666397,571657,686797,650489,668885,622534,54.02,,,,,,,,28,1,4-Seam Fastball,0,6,6,0,6,0,6,0,Infield shade,Standard,210,0.0,0.03,,,,-0.03,,-6,6,0.054,0.946,24,20,24,21,3,2,6,1,,1,1.18,0.42,-0.42,48.5
FF,2024-09-28,95.0,-1.96,5.93,"Matthews, Zebby",596103,805673,single,hit_into_play,,,,,3,Austin Slater singles on a line drive to right fielder Manuel Margot. Emmanuel Rivera to 3rd.,R,R,R,MIN,BAL,X,9,line_drive,0,2,2024,-0.89,1.39,0.28,3.26,,656896,,2,3,Top,185.91,118.91,,,,,7.916604476224575,-138.14548345961418,-4.489749910201948,-13.186324104149763,29.750548179148343,-13.51289977676755,3.35,1.63,202,93.6,13,95.6,2293,6.6,745849,680777,467793,666397,571657,686797,650489,668885,622534,53.91,0.943,0.915,0.9,1,1,0,4,27,3,4-Seam Fastball,0,6,6,0,6,0,6,0,Standard,Standard,211,-0.003,0.778,59.2,5.9,1.15,-0.778,93.6,-6,6,0.057,0.943,24,31,24,32,2,1,6,2,,1,1.13,0.89,0.89,38.9
FF,2024-09-28,95.1,-1.95,6.0,"Matthews, Zebby",596103,805673,,foul,,,,,2,Austin Slater singles on a line drive to right fielder Manuel Margot. Emmanuel Rivera to 3rd.,R,R,R,MIN,BAL,S,,,0,1,2024,-0.7,1.39,0.02,3.35,,656896,,2,3,Top,,,,,,,6.765002004684899,-138.330678408782,-4.45436701894123,-10.49435719227212,29.468469855657183,-13.440281844977996,3.35,1.63,235,80.1,25,95.8,2190,6.6,745849,680777,467793,666397,571657,686797,650489,668885,622534,53.89,,,,,,,,27,2,4-Seam Fastball,0,6,6,0,6,0,6,0,Standard,Standard,216,0.0,-0.067,65.3,5.6,,0.067,88.0,-6,6,0.057,0.943,24,31,24,32,2,1,6,2,,1,1.12,0.7,0.7,42.3
FC,2024-09-28,90.5,-2.03,6.06,"Matthews, Zebby",596103,805673,,foul,,,,,6,Austin Slater singles on a line drive to right fielder Manuel Margot. Emmanuel Rivera to 3rd.,R,R,R,MIN,BAL,S,,,0,0,2024,0.2,0.96,0.35,2.36,,656896,,2,3,Top,,,,,,,5.513841709766371,-131.71744001100228,-5.38624234658987,1.2682916047569772,26.545752934530725,-20.049317583392092,3.35,1.63,225,78.4,51,91.0,2504,6.5,745849,680777,467793,666397,571657,686797,650489,668885,622534,54.02,,,,,,,,27,1,Cutter,0,6,6,0,6,0,6,0,Standard,Standard,198,0.0,-0.04,81.4,7.1,,0.04,88.0,-6,6,0.057,0.943,24,31,24,32,2,1,6,2,,1,1.81,-0.2,-0.2,45.2
CU,2024-09-28,82.7,-1.95,6.22,"Matthews, Zebby",656896,805673,double,hit_into_play,,,,,6,Emmanuel Rivera doubles (9) on a sharp fly ball to left fielder Willi Castro. Ramón Urías scores.,R,R,R,MIN,BAL,X,7,fly_ball,1,1,2024,0.22,-0.86,0.37,2.82,,,602104,2,3,Top,86.25,45.65,,,,,4.858900887739961,-120.4270871419168,0.3939723560695976,1.2529244847162315,22.35161220403119,-40.89305305623361,3.38,1.63,390,102.3,23,82.8,2471,6.2,745849,680777,467793,666397,571657,686797,650489,668885,622534,54.27,0.614,0.944,1.25,1,1,1,6,26,3,Curveball,0,5,5,0,6,0,6,0,Standard,Standard,37,-0.036,0.879,71.9,7.6,1.671,-0.879,102.3,-5,5,0.093,0.907,24,28,24,28,2,1,6,1,,1,4.18,-0.22,-0.22,49.1
FF,2024-09-28,94.8,-2.0,6.1,"Matthews, Zebby",656896,805673,,ball,,,,,11,Emmanuel Rivera doubles (9) on a sharp fly ball to left fielder Willi Castro. Ramón Urías scores.,R,R,R,MIN,BAL,B,,,0,1,2024,-0.8,1.49,-1.69,4.26,,,602104,2,3,Top,,,,,,,2.6219358348734194,-138.18009539236664,-2.512220621227748,-10.825231257349648,29.497676586716,-12.69885020354599,3.49,1.59,,,,95.3,2182,6.4,745849,680777,467793,666397,571657,686797,650489,668885,622534,54.11,,,,,,,,26,2,4-Seam Fastball,0,5,5,0,5,0,5,0,Standard,Standard,210,0.0,0.032,,,,-0.032,,-5,5,0.093,0.907,24,28,24,28,2,1,6,1,,1,1.03,0.8,0.8,42.8
