pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
FF,2024-07-26,92.4,-0.67,6.04,"Mazur, Adam",668939,800049,field_out,hit_into_play,,,,,2,Adley Rutschman flies out to right fielder David Peralta. Gunnar Henderson to 3rd.,R,L,R,BAL,SD,X,9,fly_ball,0,1,2024,-0.48,1.17,0.24,3.54,,683002,,1,3,Bot,198.09,128.42,,,,,3.3189282489091436,-134.6515794179861,-3.1444123696548223,-6.511667559933373,26.913185753455647,-17.357666047840475,3.46,1.64,250,99.7,55,91.9,1826,5.7,747010,669134,630105,593428,592518,673490,595777,701538,444482,54.76,0.009,0.012,0.0,1,0,0,3,22,2,4-Seam Fastball,1,0,1,0,0,1,1,0,Infield shade,Standard,211,-0.027,-0.226,74.0,6.8,0.018,0.226,99.7,1,1,0.691,0.691,23,26,23,26,2,1,17,2,,1,1.47,0.48,-0.48,48.1
FF,2024-07-26,93.2,-0.77,6.01,"Mazur, Adam",668939,800049,,foul,,,,,4,Adley Rutschman flies out to right fielder David Peralta. Gunnar Henderson to 3rd.,R,L,R,BAL,SD,S,,,0,0,2024,-0.41,1.38,-0.43,2.54,,683002,,1,3,Bot,,,,,,,1.753732888362158,-135.7225166329153,-6.177274297223662,-5.442233717947434,27.575972769158927,-13.969492558730066,3.46,1.64,204,73.3,48,92.9,2159,5.9,747010,669134,630105,593428,592518,673490,595777,701538,444482,54.6,,,,,,,,22,1,4-Seam Fastball,1,0,1,0,0,1,1,0,Infield shade,Standard,205,0.0,-0.036,66.6,6.6,,0.036,88.0,1,1,0.691,0.691,23,26,23,26,2,1,17,2,,1,1.23,0.41,-0.41,48.3
FF,2024-07-26,94.2,-0.53,6.01,"Mazur, Adam",683002,800049,double,hit_into_play,,,,,5,Gunnar Henderson doubles (20) on a sharp line drive to left fielder Jurickson Profar.,R,L,R,BAL,SD,X,7,line_drive,2,1,2024,-0.21,1.4,0.26,3.04,,,,1,3,Bot,82.95,73.56,,,,,2.5009878824369594,-137.3336117936676,-5.178353416238532,-3.2011170724348683,25.52227909368552,-13.486069969516343,3.66,1.74,329,104.8,15,94.2,2060,5.8,747010,669134,630105,593428,592518,673490,595777,701538,444482,54.68,0.66,0.711,1.25,1,1,1,5,21,4,4-Seam Fastball,1,0,1,0,0,1,1,0,Infield shade,Standard,207,0.038,0.61,78.1,6.1,1.008,-0.61,104.8,1,1,0.653,0.653,23,23,23,23,2,1,17,1,,1,1.13,0.21,-0.21,49.1
CH,2024-07-26,89.5,-0.7,5.9,"Mazur, Adam",683002,800049,,ball,,,,,11,Gunnar Henderson doubles (20) on a sharp line drive to left fielder Jurickson Profar.,R,L,R,BAL,SD,B,,,1,1,2024,-1.03,0.91,-1.26,3.01,,,,1,3,Bot,,,,,,,0.7696187861974284,-130.4729646383205,-3.1397469325874936,-12.030660157161606,24.156094664291775,-21.285799786609797,3.72,1.62,,,,89.5,1593,5.9,747010,669134,630105,593428,592518,673490,595777,701538,444482,54.6,,,,,,,,21,3,Changeup,1,0,1,0,0,1,1,0,Infield shade,Standard,223,0.0,0.059,,,,-0.059,,1,1,0.653,0.653,23,23,23,23,2,1,17,1,,1,1.9,1.03,-1.03,49.8
FF,2024-07-26,93.9,-0.48,6.01,"Mazur, Adam",683002,800049,,swinging_strike,,,,,3,Gunnar Henderson doubles (20) on a sharp line drive to left fielder Jurickson Profar.,R,L,R,BAL,SD,S,,,1,0,2024,-0.3,1.45,0.61,3.52,,,,1,3,Bot,,,,,,,3.453746733240921,-136.81606058325931,-3.979825493011538,-4.436779708792998,27.269945850658537,-13.22396880621682,3.66,1.74,,,,93.6,2103,5.8,747010,669134,630105,593428,592518,673490,595777,701538,444482,54.66,,,,,,,,21,2,4-Seam Fastball,1,0,1,0,0,1,1,0,Infield shade,Strategic,210,0.0,-0.051,71.5,5.6,,0.051,,1,1,0.653,0.653,23,23,23,23,2,1,17,1,,1,1.11,0.3,-0.3,48.7
FF,2024-07-26,92.9,-0.51,6.07,"Mazur, Adam",683002,800049,,ball,,,,,12,Gunnar Henderson doubles (20) on a sharp line drive to left fielder Jurickson Profar.,R,L,R,BAL,SD,B,,,0,0,2024,-0.28,1.42,1.22,3.74,,,,1,3,Bot,,,,,,,4.978507189671298,-135.39509066410332,-3.3680359888689044,-4.428043094134722,24.98717348392204,-14.055894517420391,3.69,1.71,,,,92.7,2007,5.8,747010,669134,630105,593428,592518,673490,595777,701538,444482,54.73,,,,,,,,21,1,4-Seam Fastball,1,0,1,0,0,1,1,0,Infield shade,Strategic,212,0.0,0.039,,,,-0.039,,1,1,0.653,0.653,23,23,23,23,2,1,17,1,,1,1.18,0.28,-0.28,49.0
FF,2024-07-26,92.7,-0.59,6.02,"Mazur, Adam",681393,800049,field_out,hit_into_play,,,,,4,Connor Norby flies out to left fielder Jurickson Profar.,R,R,R,BAL,SD,X,7,fly_ball,1,0,2024,-0.34,1.44,-0.6,2.46,,,,0,3,Bot,41.3,87.52,,,,,0.7129059591798778,-135.09329955294106,-6.495197555335673,-4.375975928756102,25.712629239669376,-13.373526661042783,3.3,1.5,344,95.1,29,92.7,2049,5.9,747010,669134,630105,593428,592518,673490,595777,701538,444482,54.58,0.191,0.311,0.0,1,0,0,5,20,2,4-Seam Fastball,1,0,1,0,0,1,1,0,Standard,Standard,210,-0.02,-0.292,67.1,6.9,0.565,0.292,95.1,1,1,0.673,0.673,23,24,23,24,1,0,17,1,,1,1.18,0.34,0.34,50.5
CU,2024-07-26,81.5,-0.37,6.14,"Mazur, Adam",681393,800049,,ball,,,,,14,Connor Norby flies out to left fielder Jurickson Profar.,R,R,R,BAL,SD,B,,,0,0,2024,0.38,-0.78,0.87,0.79,,,,0,3,Bot,,,,,,,2.036757692021437,-118.7861451276653,-3.9860282515982024,3.309925972853905,20.754564170600023,-39.145395943591595,3.36,1.56,,,,81.3,2423,5.9,747010,669134,630105,593428,592518,673490,595777,701538,444482,54.6,,,,,,,,20,1,Curveball,1,0,1,0,0,1,1,0,,,45,0.0,0.038,,,,-0.038,,1,1,0.673,0.673,23,24,23,24,1,0,17,1,,1,4.18,-0.38,-0.38,55.5
FF,2024-07-26,94.7,-0.51,5.97,"Mazur, Adam",681297,800049,field_out,hit_into_play,,,,,2,"Colton Cowser grounds out, second baseman Xander Bogaerts to first baseman Jake Cronenworth.",R,L,R,BAL,SD,X,4,ground_ball,1,1,2024,-0.32,1.58,0.16,3.28,,,,2,2,Bot,153.52,153.36,,,,,2.440920629413503,-137.84930038309955,-4.832477479275896,-4.626357506245447,30.63631637514914,-11.171647983402178,3.37,1.61,31,96.2,-4,93.9,2117,5.8,747010,669134,630105,593428,592518,673490,595777,701538,444482,54.7,0.306,0.286,0.0,1,0,0,2,15,3,4-Seam Fastball,1,0,1,0,0,1,1,0,Infield shade,Strategic,205,-0.009,-0.244,68.7,6.4,0.334,0.244,96.2,1,1,0.626,0.626,23,24,23,24,1,0,17,1,,1,0.96,0.32,-0.32,48.6
CH,2024-07-26,89.8,-0.6,5.89,"Mazur, Adam",681297,800049,,ball,,,,,14,"Colton Cowser grounds out, second baseman Xander Bogaerts to first baseman Jake Cronenworth.",R,L,R,BAL,SD,B,,,0,1,2024,-1.32,0.63,0.12,1.23,,,,2,2,Bot,,,,,,,4.539751301277938,-130.70688979792348,-6.887984099189185,-16.092968193344205,25.72281448338,-23.71828036604552,3.45,1.55,,,,89.5,1805,5.9,747010,669134,630105,593428,592518,673490,595777,701538,444482,54.58,,,,,,,,15,2,Changeup,1,0,1,0,0,1,1,0,Standard,Strategic,231,0.0,0.029,,,,-0.029,,1,1,0.626,0.626,23,24,23,24,1,0,17,1,,1,2.18,1.32,-1.32,47.7
