pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
,2024-03-24,,,,"McWilliams, Sam",680971,656726,truncated_pa,ball,,,,,,"Ben Williamson caught stealing 2nd base, catcher Casey Opitz to shortstop Luis Vazquez.",S,R,R,SEA,CHC,B,2,,0,0,2024,,,,,,,810938,2,9,Bot,,,,,,,,,,,,,,,,,,,,,747819,676053,675085,690992,685096,676679,675628,681868,683357,,,,0.0,,0,0,,90,1,,9,9,9,9,9,9,9,9,,,,0.071,-0.271,,,,0.271,,0,0,0.563,0.563,28,27,29,27,1,1,,,,,,,,
,2024-03-24,,,,"McWilliams, Sam",810938,656726,single,hit_into_play,,,,,,"Ben Williamson singles on a ground ball to third baseman Scott McKeon, deflected by shortstop Luis Vazquez.",S,R,R,SEA,CHC,X,6,ground_ball,0,0,2024,,,,,,,,2,9,Bot,117.99,164.72,,,,,,,,,,,,,,,,,,,747819,676053,675085,690992,685096,676679,675628,681868,683357,,,,0.9,,1,0,,89,1,,9,9,9,9,9,9,9,9,,,,0.03,0.333,,,,-0.333,,0,0,0.533,0.533,28,23,29,24,1,1,,,,,,,,
,2024-03-24,,,,"McWilliams, Sam",806958,656726,strikeout,called_strike,,,,,,Felnin Celesten called out on strikes.,S,L,R,SEA,CHC,S,2,,0,2,2024,,,,,,,,1,9,Bot,,,,,,,,,,,,,,,,,,,,,747819,676053,675085,690992,685096,676679,675628,681868,683357,,,,0.0,,0,0,,88,3,,9,9,9,9,9,9,9,9,,,,-0.044,-0.162,,,,0.162,,0,0,0.577,0.577,28,18,29,19,1,1,,,,,,,,
,2024-03-24,,,,"McWilliams, Sam",806958,656726,,called_strike,,,,,,Felnin Celesten called out on strikes.,S,L,R,SEA,CHC,S,,,0,1,2024,,,,,,,,1,9,Bot,,,,,,,,,,,,,,,,,,,,,747819,676053,675085,690992,685096,676679,675628,681868,683357,,,,,,,,,88,2,,9,9,9,9,9,9,9,9,,,,0.0,-0.057,,,,0.057,,0,0,0.577,0.577,28,18,29,19,1,1,,,,,,,,
,2024-03-24,,,,"McWilliams, Sam",806958,656726,,swinging_strike,,,,,,Felnin Celesten called out on strikes.,S,L,R,SEA,CHC,S,,,0,0,2024,,,,,,,,1,9,Bot,,,,,,,,,,,,,,,,,,,,,747819,676053,675085,690992,685096,676679,675628,681868,683357,,,,,,,,,88,1,,9,9,9,9,9,9,9,9,,,,0.0,-0.037,,,,0.037,,0,0,0.577,0.577,28,18,29,19,1,1,,,,,,,,
,2024-03-24,,,,"McWilliams, Sam",695342,656726,field_out,hit_into_play,,,,,,Colin Davis flies out to center fielder Ezequiel Pagan.,S,R,R,SEA,CHC,X,8,fly_ball,0,0,2024,,,,,,,,0,9,Bot,114.97,81.81,,,,,,,,,,,,,,,,,,,747819,676053,675085,690992,685096,676679,675628,681868,683357,,,,0.0,,0,0,,87,1,,9,9,9,9,9,9,9,9,,,,-0.057,-0.254,,,,0.254,,0,0,0.634,0.634,28,25,29,25,1,0,,,,,,,,
,2024-03-24,,,,"McWilliams, Sam",692044,656726,strikeout,swinging_strike_blocked,,,,,,"Luis Suisbel strikes out swinging, catcher Casey Opitz to first baseman Jonathon Long.",S,L,R,SEA,CHC,S,2,,0,2,2024,,,,,,,813860,2,8,Bot,,,,,,,,,,,,,,,,,,,,,747819,676053,675085,690992,685096,676679,675628,681868,683357,,,,0.0,,0,0,,80,3,,9,9,9,9,9,9,9,9,,,,-0.05,-0.169,,,,0.169,,0,0,0.55,0.55,28,21,29,21,1,0,,,,,,,,
,2024-03-24,,,,"McWilliams, Sam",692044,656726,,swinging_strike,,,,,,"Luis Suisbel strikes out swinging, catcher Casey Opitz to first baseman Jonathon Long.",S,L,R,SEA,CHC,S,,,0,1,2024,,,,,,,813860,2,8,Bot,,,,,,,,,,,,,,,,,,,,,747819,676053,675085,690992,685096,676679,675628,681868,683357,,,,,,,,,80,2,,9,9,9,9,9,9,9,9,,,,0.0,-0.054,,,,0.054,,0,0,0.55,0.55,28,21,29,21,1,0,,,,,,,,
,2024-03-24,,,,"McWilliams, Sam",692044,656726,,swinging_strike,,,,,,"Luis Suisbel strikes out swinging, catcher Casey Opitz to first baseman Jonathon Long.",S,L,R,SEA,CHC,S,,,0,0,2024,,,,,,,813860,2,8,Bot,,,,,,,,,,,,,,,,,,,,,747819,676053,675085,690992,685096,676679,675628,681868,683357,,,,,,,,,80,1,,9,9,9,9,9,9,9,9,,,,0.0,-0.047,,,,0.047,,0,0,0.55,0.55,28,21,29,21,1,0,,,,,,,,
,2024-03-24,,,,"McWilliams, Sam",813860,656726,single,hit_into_play,,,,,,Charlie Pagliarini singles on a ground ball to center fielder Ezequiel Pagan.,S,L,R,SEA,CHC,X,8,ground_ball,0,0,2024,,,,,,,,2,8,Bot,133.73,109.65,,,,,,,,,,,,,,,,,,,747819,676053,675085,690992,685096,676679,675628,681868,683357,,,,0.9,,1,0,,79,1,,9,9,9,9,9,9,9,9,,,,0.025,0.333,,,,-0.333,,0,0,0.525,0.525,28,23,29,24,1,0,,,,,,,,
,2024-03-24,,,,"McWilliams, Sam",801126,656726,field_out,hit_into_play,,,,,,"Brock Rodden grounds out, second baseman Ed Howard to first baseman Jonathon Long.",S,L,R,SEA,CHC,X,4,ground_ball,0,0,2024,,,,,,,,1,8,Bot,144.01,159.27,,,,,,,,,,,,,,,,,,,747819,676053,675085,690992,685096,676679,675628,681868,683357,,,,0.0,,0,0,,78,1,,9,9,9,9,9,9,9,9,,,,-0.034,-0.256,,,,0.256,,0,0,0.559,0.559,28,24,29,24,1,0,,,,,,,,
ST,2024-03-21,88.3,-1.38,6.23,"McWilliams, Sam",680693,656726,field_out,hit_into_play,,,,,5,Grant Lavigne grounds out to first baseman Drew Bowser.,S,L,R,COL,CHC,X,3,ground_ball,1,0,2024,0.47,-0.09,0.24,2.32,,,,2,9,Bot,159.14,167.98,,,,,2.95443566817943,-128.48854881942924,-3.2183798243919592,4.560305237354666,27.950700630744496,-32.66409422744176,3.3,1.67,5,68.4,-28,87.7,2512,6.0,747869,621529,690958,680643,687608,687069,685091,680711,689047,54.47,0.049,,0.0,,0,0,2,69,2,Sweeper,2,5,2,5,5,2,2,5,Standard,Standard,91,-0.005,-0.295,,,0.049,0.295,88.0,-3,-3,0.005,0.005,28,24,29,25,1,0,,,,,3.02,-0.47,0.47,
FF,2024-03-21,97.5,-1.4,6.0,"McWilliams, Sam",680693,656726,,ball,,,,,13,Grant Lavigne grounds out to first baseman Drew Bowser.,S,L,R,COL,CHC,B,,,0,0,2024,-0.69,1.18,-0.32,1.51,,,,2,9,Bot,,,,,,,4.4610446969019675,-141.78428137136103,-9.297459218686932,-10.30271732359716,29.62124547797077,-14.40239641603294,3.49,1.66,,,,97.7,2313,6.3,747869,621529,690958,680643,687608,687069,685091,680711,689047,54.23,,,,,,,,69,1,4-Seam Fastball,2,5,2,5,5,2,2,5,Standard,Standard,212,0.0,0.04,,,,-0.04,,-3,-3,0.005,0.005,28,24,29,25,1,0,,,,,1.21,0.69,-0.69,
SL,2024-03-21,86.7,-1.21,6.38,"McWilliams, Sam",680683,656726,field_out,hit_into_play,,,,,5,"Jameson Hannah grounds out, second baseman Juan Mora to first baseman Drew Bowser.",S,L,R,COL,CHC,X,4,ground_ball,2,2,2024,0.1,-0.47,-0.23,2.26,,,,1,9,Bot,146.43,153.46,,,,,2.121297540959724,-126.2342312678196,-2.6831386731396725,0.6290581208414202,25.807190337002112,-36.85705314825944,3.12,1.57,7,108.3,-16,86.4,2481,6.1,747869,621529,690958,680643,687608,687069,685091,680711,689047,54.45,0.211,,0.0,,0,0,2,68,5,Slider,2,5,2,5,5,2,2,5,Standard,Standard,42,-0.012,-0.225,,,0.216,0.225,108.3,-3,-3,0.017,0.017,28,26,29,27,1,0,,,,,3.5,-0.1,0.1,
SL,2024-03-21,86.0,-1.24,6.32,"McWilliams, Sam",680683,656726,,ball,,,,,14,"Jameson Hannah grounds out, second baseman Juan Mora to first baseman Drew Bowser.",S,L,R,COL,CHC,B,,,1,2,2024,0.4,-0.68,1.04,0.17,,,,1,9,Bot,,,,,,,4.564536871483722,-125.04758504826334,-6.920714055052007,3.327059002739043,24.62398672126422,-38.10647416228038,3.46,1.57,,,,85.6,2583,6.0,747869,621529,690958,680643,687608,687069,685091,680711,689047,54.5,,,,,,,,68,4,Slider,2,5,2,5,5,2,2,5,Standard,Standard,43,0.0,0.043,,,,-0.043,,-3,-3,0.017,0.017,28,26,29,27,1,0,,,,,3.76,-0.4,0.4,
FF,2024-03-21,97.0,-1.46,5.99,"McWilliams, Sam",680683,656726,,called_strike,,,,,8,"Jameson Hannah grounds out, second baseman Juan Mora to first baseman Drew Bowser.",S,L,R,COL,CHC,S,,,1,1,2024,-0.57,1.09,0.08,2.01,,,,1,9,Bot,,,,,,,5.424463703664369,-141.16393410656454,-7.627276933859647,-8.820970137622014,28.242589441698964,-16.13881113603382,3.43,1.57,,,,97.2,2218,6.1,747869,621529,690958,680643,687608,687069,685091,680711,689047,54.36,,,,,,,,68,3,4-Seam Fastball,2,5,2,5,5,2,2,5,Standard,Standard,217,0.0,-0.061,,,,0.061,,-3,-3,0.017,0.017,28,26,29,27,1,0,,,,,1.31,0.57,-0.57,
ST,2024-03-21,88.5,-1.4,6.22,"McWilliams, Sam",680683,656726,,swinging_strike,,,,,14,"Jameson Hannah grounds out, second baseman Juan Mora to first baseman Drew Bowser.",S,L,R,COL,CHC,S,,,1,0,2024,0.1,0.48,1.16,1.72,,,,1,9,Bot,,,,,,,6.005068058595489,-128.88897444763754,-5.98889422994426,0.0873860995970281,22.603127963415417,-25.876902223599643,3.12,1.57,,,,88.8,2567,6.1,747869,621529,690958,680643,687608,687069,685091,680711,689047,54.43,,,,,,,,68,2,Sweeper,2,5,2,5,5,2,2,5,Standard,Standard,81,0.0,-0.051,,,,0.051,,-3,-3,0.017,0.017,28,26,29,27,1,0,,,,,2.39,-0.1,0.1,
FF,2024-03-21,96.1,-1.55,5.94,"McWilliams, Sam",680683,656726,,ball,,,,,14,"Jameson Hannah grounds out, second baseman Juan Mora to first baseman Drew Bowser.",S,L,R,COL,CHC,B,,,0,0,2024,-0.7,0.86,1.36,1.77,,,,1,9,Bot,,,,,,,9.272845122469478,-139.70314783948749,-7.452377145493801,-11.05048956567004,27.155679732174896,-19.485942130366045,3.46,1.57,,,,96.3,2154,6.2,747869,621529,690958,680643,687608,687069,685091,680711,689047,54.32,,,,,,,,68,1,4-Seam Fastball,2,5,2,5,5,2,2,5,Standard,Standard,221,0.0,0.039,,,,-0.039,,-3,-3,0.017,0.017,28,26,29,27,1,0,,,,,1.59,0.7,-0.7,
ST,2024-03-21,87.1,-1.42,6.22,"McWilliams, Sam",691720,656726,field_out,hit_into_play,,,,,9,"Kyle Karros grounds out, shortstop Josh Rivera to first baseman Drew Bowser.",S,R,R,COL,CHC,X,6,ground_ball,0,1,2024,0.23,0.3,0.45,2.19,,,,0,9,Bot,104.68,153.46,,,,,4.001404267891148,-126.90235793747254,-4.167388225591625,1.784808928128546,23.681880267705814,-28.35017532952293,3.43,1.73,23,91.5,-4,86.9,2495,5.9,747869,621529,690958,680643,687608,687069,685091,680711,689047,54.58,0.291,,0.0,,0,0,2,67,2,Sweeper,2,5,2,5,5,2,2,5,Standard,Standard,85,-0.021,-0.217,,,0.359,0.217,91.5,-3,-3,0.038,0.038,28,21,29,22,1,0,,,,,2.68,-0.23,-0.23,
FF,2024-03-21,94.0,-1.43,6.12,"McWilliams, Sam",691720,656726,,called_strike,,,,,6,"Kyle Karros grounds out, shortstop Josh Rivera to first baseman Drew Bowser.",S,R,R,COL,CHC,S,,,0,0,2024,-0.62,1.0,0.54,2.68,,,,0,9,Bot,,,,,,,6.450606873432397,-136.7654687669269,-5.454129068417798,-9.04272358345469,26.462560163982424,-18.601256308925095,3.59,1.71,,,,94.1,2151,6.1,747869,621529,690958,680643,687608,687069,685091,680711,689047,54.45,,,,,,,,67,1,4-Seam Fastball,2,5,2,5,5,2,2,5,Standard,Standard,216,0.0,-0.037,,,,0.037,,-3,-3,0.038,0.038,28,21,29,22,1,0,,,,,1.55,0.62,0.62,
