pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
EP,2024-06-06,35.1,-0.96,6.76,"Mendick, Danny",665839,664901,grounded_into_double_play,hit_into_play,,,,,11,"Enmanuel Valdez grounds into a double play, third baseman Lenyn Sosa to shortstop Paul DeJong to first baseman Andrew Vaughn.   Jarren Duran out at 2nd.    Enmanuel Valdez out at 1st.",R,L,R,CWS,BOS,X,5,ground_ball,2,2,2024,-0.09,1.53,-1.1,4.54,,666152,680776,1,9,Top,105.85,161.08,,,,,-0.0495817086712617,-48.77554829674688,12.548505826386856,-0.138576639008911,4.619455349561647,-31.209478112217106,3.18,1.6,17,77.0,-13,32.2,807,4.5,746784,686676,683734,670032,672820,657557,676113,668752,693049,56.02,0.051,0.043,0.0,1,0,0,2,84,5,Eephus,2,14,14,2,14,2,14,2,Standard,Standard,195,0.0,-0.277,54.2,6.2,0.06,0.277,88.0,-12,12,0.0,1.0,30,25,31,26,1,6,,1,,2,19.1,0.09,-0.09,78.7
FA,2024-06-06,54.3,-1.92,6.81,"Mendick, Danny",665839,664901,,called_strike,,,,,8,"Enmanuel Valdez grounds into a double play, third baseman Lenyn Sosa to shortstop Paul DeJong to first baseman Andrew Vaughn.   Jarren Duran out at 2nd.    Enmanuel Valdez out at 1st.",R,L,R,CWS,BOS,S,,,2,1,2024,-0.56,1.57,0.26,1.89,,666152,680776,1,9,Top,,,,,,,3.8026305615711857,-78.95676274237968,0.3956302372863285,-2.7964085506802556,9.69053489928436,-25.84435772945645,3.23,1.6,,,,52.2,1339,4.0,746784,686676,683734,670032,672820,657557,676113,668752,693049,56.51,,,,,,,,84,4,Other,2,14,14,2,14,2,14,2,Standard,Standard,215,0.0,-0.047,,,,0.047,,-12,12,0.0,1.0,30,25,31,26,1,6,,1,,2,6.15,0.56,-0.56,54.0
FA,2024-06-06,56.2,-2.03,6.81,"Mendick, Danny",665839,664901,,called_strike,,,,,11,"Enmanuel Valdez grounds into a double play, third baseman Lenyn Sosa to shortstop Paul DeJong to first baseman Andrew Vaughn.   Jarren Duran out at 2nd.    Enmanuel Valdez out at 1st.",R,L,R,CWS,BOS,S,,,2,0,2024,-0.54,1.83,-1.14,3.72,,666152,680776,1,9,Top,,,,,,,2.0034674384650226,-81.69472546574482,2.2627495556735457,-2.7021718818385723,11.649234225804188,-24.57822398855715,3.58,1.71,,,,53.8,1480,4.0,746784,686676,683734,670032,672820,657557,676113,668752,693049,56.49,,,,,,,,84,3,Other,2,14,14,2,14,2,14,2,Standard,Standard,208,0.0,-0.067,,,,0.067,,-12,12,0.0,1.0,30,25,31,26,1,6,,1,,2,5.45,0.54,-0.54,53.0
EP,2024-06-06,36.5,-1.09,6.89,"Mendick, Danny",665839,664901,,ball,,,,,12,"Enmanuel Valdez grounds into a double play, third baseman Lenyn Sosa to shortstop Paul DeJong to first baseman Andrew Vaughn.   Jarren Duran out at 2nd.    Enmanuel Valdez out at 1st.",R,L,R,CWS,BOS,B,,,1,0,2024,0.11,1.71,0.05,6.35,,666152,680776,1,9,Top,,,,,,,0.9705186233248432,-50.86740676596977,13.04746440426457,0.0895456780136209,4.866088973119494,-30.740871706248203,3.23,1.65,,,,33.5,891,4.2,746784,686676,683734,670032,672820,657557,676113,668752,693049,56.3,,,,,,,,84,2,Eephus,2,14,14,2,14,2,14,2,Standard,Standard,184,0.0,0.055,,,,-0.055,,-12,12,0.0,1.0,30,25,31,26,1,6,,1,,2,17.2,-0.11,0.11,79.9
FA,2024-06-06,59.4,-2.46,6.57,"Mendick, Danny",665839,664901,,ball,,,,,13,"Enmanuel Valdez grounds into a double play, third baseman Lenyn Sosa to shortstop Paul DeJong to first baseman Andrew Vaughn.   Jarren Duran out at 2nd.    Enmanuel Valdez out at 1st.",R,L,R,CWS,BOS,B,,,0,0,2024,-0.96,1.31,-0.79,1.5,,666152,680776,1,9,Top,,,,,,,3.8952073729870103,-86.40692457184562,-1.0765724724265051,-5.3769443720629635,12.44422249481611,-25.71171452501391,3.5,1.71,,,,57.0,1515,4.0,746784,686676,683734,670032,672820,657557,676113,668752,693049,56.47,,,,,,,,84,1,Other,2,14,14,2,14,2,14,2,Standard,Standard,223,0.0,0.03,,,,-0.03,,-12,12,0.0,1.0,30,25,31,26,1,6,,1,,2,5.18,0.96,-0.96,43.8
EP,2024-06-06,35.7,-0.85,6.84,"Mendick, Danny",680776,664901,single,hit_into_play,,,,,1,Jarren Duran singles on a ground ball to left fielder Zach DeLoach.   David Hamilton to 2nd.,R,L,R,CWS,BOS,X,7,ground_ball,0,0,2024,-0.14,1.57,-0.59,3.0,,,666152,1,9,Top,90.72,100.57,,,,,0.3395552665750818,-50.35211235671032,10.290142944419236,-0.2668250794878859,4.690856724340369,-30.7381007891782,3.53,1.69,21,96.4,-7,33.2,821,4.3,746784,686676,683734,670032,672820,657557,676113,668752,693049,56.22,0.214,0.253,0.9,1,1,0,2,83,1,Eephus,2,14,14,2,14,2,14,2,Standard,Standard,197,0.0,0.405,,,0.237,-0.405,96.4,-12,12,0.0,1.0,30,27,31,28,1,6,,1,,1,17.7,0.14,-0.14,81.0
EP,2024-06-06,34.3,-0.94,6.86,"Mendick, Danny",678882,664901,field_out,hit_into_play,,,,,12,Ceddanne Rafaela lines out to right fielder Oscar Colás.,R,R,R,CWS,BOS,X,9,line_drive,1,2,2024,0.18,1.83,0.04,3.65,,,666152,0,9,Top,197.36,98.59,,,,,0.722680119253341,-47.887995273231866,11.64382965018276,0.2105623504775829,4.256221750268192,-30.677615127208643,3.34,1.6,306,95.2,23,31.5,780,4.2,746784,686676,683734,670032,672820,657557,676113,668752,693049,56.29,0.186,0.225,0.0,1,0,0,3,82,4,Eephus,2,14,14,2,14,2,14,2,Standard,Strategic,191,0.0,-0.189,,,0.351,0.189,95.2,-12,12,0.0,1.0,30,23,31,24,1,5,,1,,1,19.48,-0.18,-0.18,81.2
EP,2024-06-06,35.6,-0.92,6.9,"Mendick, Danny",678882,664901,,foul,,,,,12,Ceddanne Rafaela lines out to right fielder Oscar Colás.,R,R,R,CWS,BOS,S,,,1,1,2024,-0.1,1.79,0.21,3.92,,,666152,0,9,Top,,,,,,,1.104769506672296,-49.99246798538765,11.122390333114511,-0.2690538905614666,4.888526468340268,-30.566947544231283,3.34,1.6,192,64.1,36,32.8,841,4.2,746784,686676,683734,670032,672820,657557,676113,668752,693049,56.32,,,,,,,,82,3,Eephus,2,14,14,2,14,2,14,2,Standard,Strategic,197,0.0,-0.049,66.7,6.4,,0.049,88.0,-12,12,0.0,1.0,30,23,31,24,1,5,,1,,1,17.86,0.1,0.1,82.3
EP,2024-06-06,36.6,-0.93,6.96,"Mendick, Danny",678882,664901,,ball,,,,,11,Ceddanne Rafaela lines out to right fielder Oscar Colás.,R,R,R,CWS,BOS,B,,,0,1,2024,0.08,1.74,-1.47,5.43,,,666152,0,9,Top,,,,,,,-0.5703142752954421,-51.31008845017694,11.846856931264302,0.1986996694760968,4.769182441214582,-30.48020534853515,3.45,1.65,,,,33.7,858,4.0,746784,686676,683734,670032,672820,657557,676113,668752,693049,56.48,,,,,,,,82,2,Eephus,2,14,14,2,14,2,14,2,Standard,Strategic,186,0.0,0.034,,,,-0.034,,-12,12,0.0,1.0,30,23,31,24,1,5,,1,,1,16.78,-0.08,-0.08,81.1
FA,2024-06-06,54.5,-1.54,7.02,"Mendick, Danny",678882,664901,,foul,,,,,4,Ceddanne Rafaela lines out to right fielder Oscar Colás.,R,R,R,CWS,BOS,S,,,0,0,2024,-0.27,1.56,-0.75,2.26,,,666152,0,9,Top,,,,,,,1.476553008414308,-79.39679333291511,0.5971279773346676,-1.337219839257499,10.318205637896876,-25.8731991885047,3.34,1.6,396,106.1,34,52.4,1327,4.0,746784,686676,683734,670032,672820,657557,676113,668752,693049,56.46,,,,,,,,82,1,Other,2,14,14,2,14,2,14,2,Standard,Standard,208,0.0,-0.042,75.6,8.2,,0.042,106.1,-12,12,0.0,1.0,30,23,31,24,1,5,,1,,1,6.1,0.27,0.27,59.6
