pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
SI,2024-09-07,92.7,2.44,4.88,"Moll, Sam",607043,594580,hit_by_pitch,hit_by_pitch,,,,,12,"Reds challenged (hit by pitch), call on the field was upheld: Brandon Nimmo hit by pitch.    Francisco Lindor to 2nd.",R,L,L,NYM,CIN,B,,,1,0,2024,1.44,-0.03,1.54,3.62,,,596019,0,6,Bot,,,,,,,-5.28298993440113,-134.72734107734053,2.6064553706608216,18.70199853714728,32.404355885500294,-33.40124201945122,3.52,1.7,,,,89.8,2293,4.8,745775,663886,664034,663697,669289,682829,668715,670770,641584,55.71,,0.720192,0.7,1,0,0,,42,2,Sinker,1,0,1,0,0,1,1,0,Strategic,Standard,114,0.043,0.358,,,,-0.358,,1,1,0.777,0.777,32,31,32,31,1,2,5,1,,1,2.71,1.44,1.44,15.6
SI,2024-09-07,92.5,2.34,4.94,"Moll, Sam",607043,594580,,ball,,,,,11,"Reds challenged (hit by pitch), call on the field was upheld: Brandon Nimmo hit by pitch.    Francisco Lindor to 2nd.",R,L,L,NYM,CIN,B,,,0,0,2024,1.34,-0.07,-0.97,2.98,,,596019,0,6,Bot,,,,,,,-11.036130366118991,-134.27689961114993,0.9571623436681868,18.645424939865062,29.532115014205345,-33.45644644274987,3.82,1.72,,,,90.1,2370,5.0,745775,663886,664034,663697,669289,682829,668715,670770,641584,55.54,,,,,,,,42,1,Sinker,1,0,1,0,0,1,1,0,Standard,Standard,115,0.0,0.042,,,,-0.042,,1,1,0.777,0.777,32,31,32,31,1,2,5,1,,1,2.75,1.34,1.34,17.7
ST,2024-09-07,81.6,2.58,4.66,"Moll, Sam",596019,594580,walk,ball,,,,,14,Francisco Lindor walks.,R,R,L,NYM,CIN,B,,,3,2,2024,-2.2,0.08,1.19,2.1,,,,0,6,Bot,,,,,,,1.0459952432390298,-118.71520434186144,0.6983751972713277,-20.84990531561042,25.38241264422225,-31.84617905854415,3.34,1.49,,,,78.8,3069,4.6,745775,663886,664034,663697,669289,682829,668715,670770,641584,55.86,,0.689131,0.7,1,0,0,,41,8,Sweeper,1,0,1,0,0,1,1,0,Standard,Standard,288,0.031,0.371,,,,-0.371,,1,1,0.746,0.746,32,30,32,31,1,2,5,1,,1,3.38,-2.2,2.2,10.3
FF,2024-09-07,94.9,2.3,4.99,"Moll, Sam",596019,594580,,ball,,,,,13,Francisco Lindor walks.,R,R,L,NYM,CIN,B,,,2,2,2024,0.78,1.13,-1.97,2.09,,,,0,6,Bot,,,,,,,-12.578638113207406,-137.53919397560688,-4.311477453253435,12.766905679943529,31.598855282290454,-16.986471826443502,3.38,1.55,,,,92.5,2596,5.2,745775,663886,664034,663697,669289,682829,668715,670770,641584,55.34,,,,,,,,41,7,4-Seam Fastball,1,0,1,0,0,1,1,0,Standard,Standard,123,0.0,0.107,,,,-0.107,,1,1,0.746,0.746,32,30,32,31,1,2,5,1,,1,1.43,0.78,-0.78,17.4
ST,2024-09-07,82.3,2.69,4.69,"Moll, Sam",596019,594580,,foul,,,,,9,Francisco Lindor walks.,R,R,L,NYM,CIN,S,,,2,2,2024,-1.57,0.26,0.64,1.56,,,,0,6,Bot,,,,,,,-1.5609441244823126,-119.8878031740024,-1.0405505468315726,-14.773918388283684,24.864124042698375,-29.734897026407634,3.37,1.54,180,64.4,44,80.0,3147,4.8,745775,663886,664034,663697,669289,682829,668715,670770,641584,55.69,,,,,,,,41,6,Sweeper,1,0,1,0,0,1,1,0,Standard,Standard,282,0.0,0.0,64.0,7.9,,0.0,88.0,1,1,0.746,0.746,32,30,32,31,1,2,5,1,,1,3.12,-1.57,1.57,11.1
FF,2024-09-07,93.3,2.3,4.99,"Moll, Sam",596019,594580,,foul,,,,,11,Francisco Lindor walks.,R,R,L,NYM,CIN,S,,,2,2,2024,0.4,0.89,-0.35,3.88,,,,0,6,Bot,,,,,,,-7.497017385656319,-135.67897125171245,0.892557576423776,6.510376111195795,28.927738227671146,-21.51953942073454,3.37,1.54,,,,91.0,2611,4.9,745775,663886,664034,663697,669289,682829,668715,670770,641584,55.6,,,,,,,,41,5,4-Seam Fastball,1,0,1,0,0,1,1,0,Standard,Standard,128,0.0,0.0,68.2,6.6,,0.0,,1,1,0.746,0.746,32,30,32,31,1,2,5,1,,1,1.72,0.4,-0.4,21.6
ST,2024-09-07,82.4,2.73,4.75,"Moll, Sam",596019,594580,,ball,,,,,14,Francisco Lindor walks.,R,R,L,NYM,CIN,B,,,1,2,2024,-1.82,0.38,0.92,2.27,,,,0,6,Bot,,,,,,,-0.5736511605630717,-119.9518805968759,0.2165552334793246,-17.2628842558304,26.95900670573018,-28.87159305262399,3.38,1.52,,,,79.7,3201,4.8,745775,663886,664034,663697,669289,682829,668715,670770,641584,55.71,,,,,,,,41,4,Sweeper,1,0,1,0,0,1,1,0,Standard,Standard,281,0.0,0.04,,,,-0.04,,1,1,0.746,0.746,32,30,32,31,1,2,5,1,,1,3.02,-1.82,1.82,13.7
ST,2024-09-07,81.9,2.97,4.66,"Moll, Sam",596019,594580,,ball,,,,,12,Francisco Lindor walks.,R,R,L,NYM,CIN,B,,,0,2,2024,-2.13,0.4,1.28,2.91,,,,0,6,Bot,,,,,,,0.2628607205944685,-119.27427733986738,1.7671678063859255,-20.288469689590052,24.172879591055967,-28.923549067297472,3.38,1.52,,,,79.5,3109,4.7,745775,663886,664034,663697,669289,682829,668715,670770,641584,55.84,,,,,,,,41,3,Sweeper,1,0,1,0,0,1,1,0,Standard,Standard,284,0.0,0.023,,,,-0.023,,1,1,0.746,0.746,32,30,32,31,1,2,5,1,,1,3.0,-2.13,2.13,9.7
CH,2024-09-07,86.9,2.55,4.78,"Moll, Sam",596019,594580,,foul,,,,,5,Francisco Lindor walks.,R,R,L,NYM,CIN,S,,,0,1,2024,0.91,-0.68,0.08,2.31,,,,0,6,Bot,,,,,,,-7.566104111695242,-126.27316865393688,1.666716144957295,11.39402054202629,28.195899035122693,-40.06217407497676,3.37,1.54,,,,84.3,1593,4.9,745775,663886,664034,663697,669289,682829,668715,670770,641584,55.61,,,,,,,,41,2,Changeup,1,0,1,0,0,1,1,0,Standard,Standard,83,0.0,-0.054,78.8,7.9,,0.054,,1,1,0.746,0.746,32,30,32,31,1,2,5,1,,1,3.73,0.91,-0.91,11.4
SI,2024-09-07,93.1,2.58,4.87,"Moll, Sam",596019,594580,,called_strike,,,,,5,Francisco Lindor walks.,R,R,L,NYM,CIN,S,,,0,0,2024,1.6,0.51,0.25,2.63,,,,0,6,Bot,,,,,,,-9.201758251342106,-135.18528780084023,-1.0384725296347703,21.67073442419815,32.107788777954575,-25.894415790989747,3.48,1.59,,,,90.3,2362,4.9,745775,663886,664034,663697,669289,682829,668715,670770,641584,55.6,,,,,,,,41,1,Sinker,1,0,1,0,0,1,1,0,Standard,Standard,112,0.0,-0.037,,,,0.037,,1,1,0.746,0.746,32,30,32,31,1,2,5,1,,1,2.15,1.6,-1.6,10.1
