pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
FF,2024-03-23,93.6,1.52,5.79,"Montilla, Emailin",682177,692983,strikeout,called_strike,,,,,4,Daniel Schneemann called out on strikes.,S,L,L,AZ,CLE,S,2,,1,2,2024,0.75,1.01,-0.43,2.75,,,,2,8,Top,,,,,,,-6.6009650302923975,-136.31169332301616,-4.363670769336152,10.757147704309594,26.691886040109672,-18.801602865749867,3.47,1.73,,,,93.0,2003,5.7,747833,692416,665953,699232,694374,694371,694815,702258,664983,54.83,,,0.0,,0,0,,60,4,4-Seam Fastball,0,5,5,0,5,0,5,0,Standard,Standard,138,0.0,-0.18,,,,0.18,,-5,5,0.018,0.982,28,27,29,27,1,3,,,,,1.57,0.75,0.75,
SL,2024-03-23,85.7,1.43,5.89,"Montilla, Emailin",682177,692983,,foul,,,,,5,Daniel Schneemann called out on strikes.,S,L,L,AZ,CLE,S,,,1,1,2024,0.27,0.67,0.16,2.54,,,,2,8,Top,,,,,,,-3.51216112550919,-124.8651762211645,-3.003219374143164,3.51838035084903,25.009200414702164,-24.787654314623527,3.21,1.62,219,72.1,32,85.1,687,5.8,747833,692416,665953,699232,694374,694371,694815,702258,664983,54.71,,,,,,,,60,3,Slider,0,5,5,0,5,0,5,0,Standard,Standard,149,0.0,-0.064,,,,0.064,88.0,-5,5,0.018,0.982,28,27,29,27,1,3,,,,,2.43,0.27,0.27,
SL,2024-03-23,86.5,1.4,5.84,"Montilla, Emailin",682177,692983,,ball,,,,,13,Daniel Schneemann called out on strikes.,S,L,L,AZ,CLE,B,,,0,1,2024,0.23,0.35,-2.18,0.35,,,,2,8,Top,,,,,,,-8.86677223809824,-125.6274358231702,-7.564222369318515,3.999983578997565,22.341837917459667,-27.215349869103157,3.44,1.62,,,,85.8,2182,5.7,747833,692416,665953,699232,694374,694371,694815,702258,664983,54.83,,,,,,,,60,2,Slider,0,5,5,0,5,0,5,0,Standard,Standard,129,0.0,0.029,,,,-0.029,,-5,5,0.018,0.982,28,27,29,27,1,3,,,,,2.68,0.23,0.23,
FF,2024-03-23,93.8,1.47,5.88,"Montilla, Emailin",682177,692983,,swinging_strike,,,,,2,Daniel Schneemann called out on strikes.,S,L,L,AZ,CLE,S,,,0,0,2024,0.68,1.35,0.24,3.11,,,,2,8,Top,,,,,,,-4.602992996556159,-136.62691109811212,-4.437424068751878,9.493115521658222,27.81577589182934,-14.412717643908984,3.21,1.62,,,,93.0,1946,5.6,747833,692416,665953,699232,694374,694371,694815,702258,664983,54.93,,,,,,,,60,1,4-Seam Fastball,0,5,5,0,5,0,5,0,Standard,Standard,136,0.0,-0.041,,,,0.041,,-5,5,0.018,0.982,28,27,29,27,1,3,,,,,1.22,0.68,0.68,
SL,2024-03-23,85.6,1.38,6.04,"Montilla, Emailin",595978,692983,field_out,hit_into_play,,,,,5,Austin Hedges pops out to first baseman Andrés Chaparro.,S,R,L,AZ,CLE,X,3,popup,1,0,2024,0.28,0.14,-0.04,2.32,,,,1,8,Top,148.13,166.35,,,,,-3.875676297711327,-124.74246956411088,-2.8678118129781502,3.5911061540052924,21.666038743541247,-30.42009593860653,3.25,1.64,90,80.5,75,85.3,915,5.7,747833,692416,665953,699232,694374,694371,694815,702258,664983,54.76,0.003,,0.0,,0,0,3,59,2,Slider,0,5,5,0,5,0,5,0,Standard,Standard,147,0.001,-0.295,,,0.004,0.295,88.0,-5,5,0.017,0.983,28,31,29,32,1,3,,,,,2.93,0.28,-0.28,
FF,2024-03-23,93.6,1.66,5.89,"Montilla, Emailin",595978,692983,,ball,,,,,12,Austin Hedges pops out to first baseman Andrés Chaparro.,S,R,L,AZ,CLE,B,,,0,0,2024,0.64,0.99,1.53,3.51,,,,1,8,Top,,,,,,,-1.7056663544114248,-136.47372516310145,-2.657106496574146,8.359296553013065,26.65438679063419,-19.305254707034987,3.08,1.64,,,,92.9,1768,5.5,747833,692416,665953,699232,694374,694371,694815,702258,664983,55.0,,,,,,,,59,1,4-Seam Fastball,0,5,5,0,5,0,5,0,Standard,Standard,133,0.0,0.039,,,,-0.039,,-5,5,0.017,0.983,28,31,29,32,1,3,,,,,1.57,0.64,-0.64,
SL,2024-03-23,86.1,1.4,6.04,"Montilla, Emailin",664314,692983,strikeout,called_strike,,,,,6,Estevan Florial called out on strikes.,S,L,L,AZ,CLE,S,2,,1,2,2024,-0.5,0.79,0.54,2.46,,,,0,8,Top,,,,,,,-1.0200626798364534,-125.46582560008213,-3.9334261204083543,-5.158184177093474,22.823931647460793,-23.191876588502303,3.6,1.65,,,,85.7,650,5.7,747833,692416,665953,699232,694374,694371,694815,702258,664983,54.79,,,0.0,,0,0,,58,5,Slider,0,5,5,0,5,0,5,0,Standard,Standard,138,0.002,-0.186,,,,0.186,,-5,5,0.015,0.985,28,26,29,27,1,3,,,,,2.25,-0.5,-0.5,
CH,2024-03-23,86.8,1.63,5.76,"Montilla, Emailin",664314,692983,,ball,,,,,13,Estevan Florial called out on strikes.,S,L,L,AZ,CLE,B,,,0,2,2024,0.79,0.08,-1.46,-0.27,,,,0,8,Top,,,,,,,-8.891933204956336,-126.02639294638482,-8.35464707843416,10.10819931523096,23.481223787776607,-29.896658294069887,3.57,1.65,,,,86.1,2022,5.8,747833,692416,665953,699232,694374,694371,694815,702258,664983,54.72,,,,,,,,58,4,Changeup,0,5,5,0,5,0,5,0,Standard,Standard,136,0.0,0.023,,,,-0.023,,-5,5,0.015,0.985,28,26,29,27,1,3,,,,,2.94,0.79,0.79,
SL,2024-03-23,85.0,1.37,5.91,"Montilla, Emailin",664314,692983,,foul,,,,,12,Estevan Florial called out on strikes.,S,L,L,AZ,CLE,S,,,0,2,2024,0.63,0.3,1.2,3.04,,,,0,8,Top,,,,,,,-1.6482388379001345,-123.92466716236248,-1.0591873550777289,6.849814253132546,23.13866119504796,-29.0992130627046,3.25,1.64,136,64.5,16,84.5,528,5.7,747833,692416,665953,699232,694374,694371,694815,702258,664983,54.82,,,,,,,,58,3,Slider,0,5,5,0,5,0,5,0,Standard,Standard,127,0.0,0.0,,,,0.0,88.0,-5,5,0.015,0.985,28,26,29,27,1,3,,,,,2.83,0.63,0.63,
SI,2024-03-23,94.2,1.57,5.7,"Montilla, Emailin",664314,692983,,called_strike,,,,,8,Estevan Florial called out on strikes.,S,L,L,AZ,CLE,S,,,0,1,2024,0.91,0.86,0.03,1.58,,,,0,8,Top,,,,,,,-5.92267716936396,-137.0552476136711,-6.9034362922509835,12.68210500284663,26.850511231324887,-20.00877843494083,3.6,1.65,,,,93.5,1911,5.6,747833,692416,665953,699232,694374,694371,694815,702258,664983,54.86,,,,,,,,58,2,Sinker,0,5,5,0,5,0,5,0,Standard,Standard,134,0.0,-0.054,,,,0.054,,-5,5,0.015,0.985,28,26,29,27,1,3,,,,,1.68,0.91,0.91,
