pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
CU,2024-03-20,83.2,-1.8,5.6,"Moreno, Luis",677943,691032,walk,ball,,,,,11,Will Banfield walks. Colby Shade to 3rd. Carmine Lane to 2nd.,S,R,R,MIA,NYM,B,,,3,2,2024,0.9,-0.31,-0.94,3.28,,694974,689858,2,8,Bot,,,,,,,0.2176445026352519,-121.29001484035098,1.647353925195282,8.903782346473255,20.391170515130504,-35.762590721210614,3.43,1.54,,,,83.9,2833,6.4,747888,663584,679545,692944,682239,696281,666126,684519,666140,54.15,,,0.7,,0,0,,72,7,Curveball,3,5,3,5,5,3,3,5,Standard,Standard,54,0.068,0.216,,,,-0.216,,-2,-2,0.153,0.153,25,24,25,25,2,0,,,,,3.56,-0.9,-0.9,
SI,2024-03-20,94.1,-1.14,6.0,"Moreno, Luis",677943,691032,,ball,,,,,14,Will Banfield walks. Colby Shade to 3rd. Carmine Lane to 2nd.,S,R,R,MIA,NYM,B,,,2,2,2024,-0.6,0.61,1.53,1.53,,694974,689858,2,8,Bot,,,,,,,8.250751978288326,-136.91440831636442,-7.350393816754489,-9.17319702188136,24.128601677704477,-23.183387205532487,3.43,1.52,,,,94.6,2441,6.2,747888,663584,679545,692944,682239,696281,666126,684519,666140,54.34,,,,,,,,72,6,Sinker,3,5,3,5,5,3,3,5,Standard,Standard,212,0.0,0.093,,,,-0.093,,-2,-2,0.153,0.153,25,24,25,25,2,0,,,,,1.92,0.6,0.6,
SI,2024-03-20,93.4,-1.08,6.03,"Moreno, Luis",677943,691032,,foul,,,,,6,Will Banfield walks. Colby Shade to 3rd. Carmine Lane to 2nd.,S,R,R,MIA,NYM,S,,,2,2,2024,-0.81,0.6,0.28,2.61,,694974,689858,2,8,Bot,,,,,,,5.234583485232926,-136.08233184781784,-4.43924853814589,-11.142650356822632,26.85829459033934,-23.93404335142551,3.21,1.62,201,76.2,19,93.4,2450,6.0,747888,663584,679545,692944,682239,696281,666126,684519,666140,54.48,,,,,,,,72,5,Sinker,3,5,3,5,5,3,3,5,Standard,Standard,224,0.0,0.0,,,,0.0,88.0,-2,-2,0.153,0.153,25,24,25,25,2,0,,,,,1.98,0.81,0.81,
CU,2024-03-20,81.1,-0.89,6.09,"Moreno, Luis",677943,691032,,ball,,,,,14,Will Banfield walks. Colby Shade to 3rd. Carmine Lane to 2nd.,S,R,R,MIA,NYM,B,,,1,2,2024,0.63,-1.09,1.07,1.16,,694974,689858,2,8,Bot,,,,,,,3.161123357201782,-118.15708897025132,-2.312615022208713,5.323116480262235,22.94703174892235,-42.17361161928539,3.32,1.5,,,,80.9,2831,6.1,747888,663584,679545,692944,682239,696281,666126,684519,666140,54.4,,,,,,,,72,4,Curveball,3,5,3,5,5,3,3,5,Standard,Standard,11,0.0,0.016,,,,-0.016,,-2,-2,0.153,0.153,25,24,25,25,2,0,,,,,4.56,-0.63,-0.63,
CU,2024-03-20,79.9,-0.99,6.07,"Moreno, Luis",677943,691032,,foul,,,,,9,Will Banfield walks. Colby Shade to 3rd. Carmine Lane to 2nd.,S,R,R,MIA,NYM,S,,,1,1,2024,0.42,-0.79,0.32,1.59,,694974,689858,2,8,Bot,,,,,,,2.0941025250010896,-116.48022423605,-1.747504977422593,3.5323341825770993,19.21193167319992,-39.37148667816964,3.21,1.62,160,67.1,64,80.2,2741,6.2,747888,663584,679545,692944,682239,696281,666126,684519,666140,54.35,,,,,,,,72,3,Curveball,3,5,3,5,5,3,3,5,Standard,Standard,24,0.0,-0.076,,,,0.076,88.0,-2,-2,0.153,0.153,25,24,25,25,2,0,,,,,4.32,-0.42,-0.42,
CU,2024-03-20,79.6,-1.35,6.15,"Moreno, Luis",677943,691032,,called_strike,,,,,12,Will Banfield walks. Colby Shade to 3rd. Carmine Lane to 2nd.,S,R,R,MIA,NYM,S,,,1,0,2024,0.56,-0.72,0.84,3.13,,694974,689858,2,8,Bot,,,,,,,3.758025149461199,-115.97214104197518,1.3992827726090786,4.402500077477009,20.10607094358776,-39.164378845565686,3.48,1.63,,,,79.7,2773,6.1,747888,663584,679545,692944,682239,696281,666126,684519,666140,54.39,,,,,,,,72,2,Curveball,3,5,3,5,5,3,3,5,Standard,Standard,18,0.0,-0.042,,,,0.042,,-2,-2,0.153,0.153,25,24,25,25,2,0,,,,,4.29,-0.56,-0.56,
SI,2024-03-20,93.1,-1.55,5.94,"Moreno, Luis",677943,691032,,ball,,,,,14,Will Banfield walks. Colby Shade to 3rd. Carmine Lane to 2nd.,S,R,R,MIA,NYM,B,,,0,0,2024,-0.98,0.41,1.87,0.8,,694974,689858,2,8,Bot,,,,,,,10.878092157009842,-134.95740865513775,-8.292992420832139,-14.301030832622375,28.67132031598289,-25.48496368496278,3.36,1.52,,,,92.7,2366,6.2,747888,663584,679545,692944,682239,696281,666126,684519,666140,54.27,,,,,,,,72,1,Sinker,3,5,3,5,5,3,3,5,Standard,Standard,222,0.0,0.026,,,,-0.026,,-2,-2,0.153,0.153,25,24,25,25,2,0,,,,,2.24,0.98,0.98,
CU,2024-03-20,81.8,-1.79,5.54,"Moreno, Luis",689858,691032,field_error,hit_into_play,,,,,7,Carmine Lane reaches on a fielding error by first baseman Joe Suozzi. Colby Shade to 2nd.,S,R,R,MIA,NYM,X,3,ground_ball,1,1,2024,0.72,-0.51,-0.43,2.0,,,694974,2,8,Bot,152.73,162.93,,,,,1.699765812067918,-119.28054922300603,-0.4901165054398383,6.561390610298657,21.49821919603366,-37.18395199154411,3.21,1.62,19,88.8,-5,82.2,2684,6.3,747888,663584,679545,692944,682239,696281,666126,684519,666140,54.17,0.211,,0.9,,0,0,2,71,3,Curveball,3,5,3,5,5,3,3,5,Standard,Standard,53,0.04,0.431,,,0.24,-0.431,88.8,-2,-2,0.113,0.113,25,23,25,23,2,0,,,,,3.89,-0.72,-0.72,
CU,2024-03-20,82.2,-1.62,5.67,"Moreno, Luis",689858,691032,,foul,,,,,3,Carmine Lane reaches on a fielding error by first baseman Joe Suozzi. Colby Shade to 2nd.,S,R,R,MIA,NYM,S,,,1,0,2024,1.01,-0.42,0.47,3.21,,,694974,2,8,Bot,,,,,,,2.7823886298636653,-119.7362603311616,1.7134007760242984,9.270875894287162,21.090124950228304,-36.717844713796175,3.21,1.62,251,74.6,40,82.6,2789,6.3,747888,663584,679545,692944,682239,696281,666126,684519,666140,54.22,,,,,,,,71,2,Curveball,3,5,3,5,5,3,3,5,Standard,Standard,52,0.0,-0.048,,,,0.048,88.0,-2,-2,0.113,0.113,25,23,25,23,2,0,,,,,3.76,-1.01,-1.01,
SI,2024-03-20,92.8,-1.37,5.97,"Moreno, Luis",689858,691032,,ball,,,,,14,Carmine Lane reaches on a fielding error by first baseman Joe Suozzi. Colby Shade to 2nd.,S,R,R,MIA,NYM,B,,,0,0,2024,-0.96,0.25,0.85,0.4,,,694974,2,8,Bot,,,,,,,7.729189292959096,-134.74269961804487,-8.921589834389755,-13.353971113371388,29.472766900797453,-27.375388425878977,3.48,1.63,,,,92.2,2335,6.1,747888,663584,679545,692944,682239,696281,666126,684519,666140,54.44,,,,,,,,71,1,Sinker,3,5,3,5,5,3,3,5,Standard,Standard,221,0.0,0.034,,,,-0.034,,-2,-2,0.113,0.113,25,23,25,23,2,0,,,,,2.41,0.96,0.96,
