pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
SL,2024-09-24,90.2,-1.39,5.58,"Muñoz, Andrés",673237,662253,strikeout,swinging_strike,,,,,14,Yainer Diaz strikes out swinging.,R,R,R,HOU,SEA,S,2,,0,2,2024,0.54,0.15,1.81,2.13,,,608324,2,8,Bot,,,,,,,6.858387533142846,-131.20262196627476,-2.9109426840464825,4.7740663560031456,28.595043967696423,-30.061909945506052,3.16,1.47,,,,90.8,2444,6.8,746336,663728,668942,593871,660844,641487,668227,677594,645302,53.73,,0.0,0.0,1,0,0,,66,3,Slider,4,3,4,3,3,4,4,3,Standard,Standard,113,-0.014,-0.169,56.4,7.6,,0.169,,1,1,0.856,0.856,25,25,25,26,1,3,2,1,,1,2.66,-0.54,-0.54,40.4
FF,2024-09-24,100.6,-1.17,5.61,"Muñoz, Andrés",673237,662253,,swinging_strike,,,,,5,Yainer Diaz strikes out swinging.,R,R,R,HOU,SEA,S,,,0,1,2024,-0.68,1.53,-0.01,2.05,,,608324,2,8,Bot,,,,,,,4.877130630023124,-146.11456112589605,-8.155392535171016,-10.995338380557088,37.526831049557174,-8.553859832742635,3.16,1.47,,,,100.9,2449,6.8,746336,663728,668942,593871,660844,641487,668227,677594,645302,53.73,,,,,,,,66,2,4-Seam Fastball,4,3,4,3,3,4,4,3,Standard,Standard,217,0.0,-0.054,72.2,7.1,,0.054,,1,1,0.856,0.856,25,25,25,26,1,3,2,1,,1,0.75,0.68,0.68,39.2
SL,2024-09-24,86.5,-1.32,5.69,"Muñoz, Andrés",673237,662253,,called_strike,,,,,2,Yainer Diaz strikes out swinging.,R,R,R,HOU,SEA,S,,,0,0,2024,0.47,0.21,0.26,2.98,,,608324,2,8,Bot,,,,,,,2.810004338894994,-125.91058814645248,-0.650489398359964,4.395280609169318,26.62573163619798,-29.986355190992835,3.23,1.46,,,,86.6,2376,6.5,746336,663728,668942,593871,660844,641487,668227,677594,645302,54.04,,,,,,,,66,1,Slider,4,3,4,3,3,4,4,3,Standard,Standard,94,0.0,-0.047,,,,0.047,,1,1,0.856,0.856,25,25,25,26,1,3,2,1,,1,2.84,-0.47,-0.47,36.1
SI,2024-09-24,100.7,-1.47,5.5,"Muñoz, Andrés",608324,662253,single,hit_into_play,,,,,5,"Alex Bregman singles on a ground ball to pitcher Andrés Muñoz, deflected by third baseman Leo Rivas.",R,R,R,HOU,SEA,X,5,ground_ball,2,2,2024,-1.55,0.77,0.24,2.33,,,,2,8,Bot,115.01,178.96,,,,,8.457148197754575,-146.27506169378964,-5.2433107839146285,-24.219076600476477,38.40945362351553,-20.043126080543168,3.3,1.62,1,,-68,100.7,2235,6.6,746336,663728,668942,593871,660844,641487,668227,677594,645302,53.86,,,0.9,,1,0,,65,6,Sinker,4,3,4,3,3,4,4,3,Standard,Standard,219,0.007,0.37,68.1,6.4,,-0.37,,1,1,0.849,0.849,25,30,25,30,1,3,2,1,,1,1.51,1.55,1.55,36.0
SL,2024-09-24,89.8,-1.26,5.54,"Muñoz, Andrés",608324,662253,,ball,,,,,14,"Alex Bregman singles on a ground ball to pitcher Andrés Muñoz, deflected by third baseman Leo Rivas.",R,R,R,HOU,SEA,B,,,1,2,2024,0.51,0.01,2.17,1.83,,,,2,8,Bot,,,,,,,7.458950146701288,-130.50974054818874,-3.1804613051121997,4.150994141720737,29.14109793277623,-31.604936218901223,3.42,1.67,,,,90.2,2338,6.7,746336,663728,668942,593871,660844,641487,668227,677594,645302,53.76,,,,,,,,65,5,Slider,4,3,4,3,3,4,4,3,Standard,Standard,98,0.0,0.039,,,,-0.039,,1,1,0.849,0.849,25,30,25,30,1,3,2,1,,1,2.84,-0.51,-0.51,40.9
FF,2024-09-24,101.1,-1.33,5.66,"Muñoz, Andrés",608324,662253,,foul,,,,,12,"Alex Bregman singles on a ground ball to pitcher Andrés Muñoz, deflected by third baseman Leo Rivas.",R,R,R,HOU,SEA,S,,,1,2,2024,-0.83,1.39,0.83,2.9,,,,2,8,Bot,,,,,,,8.043045562375019,-146.87072045170112,-5.673836514741782,-13.949650011866392,37.05844271658931,-10.836858379104063,3.3,1.62,131,85.4,8,101.3,2440,6.7,746336,663728,668942,593871,660844,641487,668227,677594,645302,53.85,,,,,,,,65,4,4-Seam Fastball,4,3,4,3,3,4,4,3,Infield shade,Standard,219,0.0,0.0,66.7,6.0,,0.0,88.0,1,1,0.849,0.849,25,30,25,30,1,3,2,1,,1,0.85,0.83,0.83,37.7
FF,2024-09-24,100.5,-1.35,5.61,"Muñoz, Andrés",608324,662253,,called_strike,,,,,11,"Alex Bregman singles on a ground ball to pitcher Andrés Muñoz, deflected by third baseman Leo Rivas.",R,R,R,HOU,SEA,S,,,1,1,2024,-0.67,1.37,-0.86,2.65,,,,2,8,Bot,,,,,,,2.9741766965890535,-146.1924648172123,-6.114326588566588,-10.335190552707145,36.50404298813785,-11.243787640734812,3.41,1.66,,,,100.8,2381,6.6,746336,663728,668942,593871,660844,641487,668227,677594,645302,53.87,,,,,,,,65,3,4-Seam Fastball,4,3,4,3,3,4,4,3,Standard,Standard,220,0.0,-0.064,,,,0.064,,1,1,0.849,0.849,25,30,25,30,1,3,2,1,,1,0.89,0.67,0.67,36.4
SL,2024-09-24,89.2,-1.44,5.58,"Muñoz, Andrés",608324,662253,,called_strike,,,,,6,"Alex Bregman singles on a ground ball to pitcher Andrés Muñoz, deflected by third baseman Leo Rivas.",R,R,R,HOU,SEA,S,,,1,0,2024,0.55,0.04,0.32,2.34,,,,2,8,Bot,,,,,,,3.2179827565540915,-129.9005483831074,-2.1046516408052502,5.59684848760473,25.762525585368337,-31.466015744108542,3.36,1.69,,,,90.1,2342,6.7,746336,663728,668942,593871,660844,641487,668227,677594,645302,53.79,,,,,,,,65,2,Slider,4,3,4,3,3,4,4,3,Standard,Standard,96,0.0,-0.051,,,,0.051,,1,1,0.849,0.849,25,30,25,30,1,3,2,1,,1,2.8,-0.55,-0.55,36.9
SL,2024-09-24,90.5,-1.43,5.61,"Muñoz, Andrés",608324,662253,,ball,,,,,12,"Alex Bregman singles on a ground ball to pitcher Andrés Muñoz, deflected by third baseman Leo Rivas.",R,R,R,HOU,SEA,B,,,0,0,2024,0.48,0.18,1.1,2.91,,,,2,8,Bot,,,,,,,5.334069592388351,-131.82072309611294,-1.2090681811038773,4.456471463237932,27.770213442340143,-30.03376257486452,3.36,1.62,,,,91.3,2354,6.7,746336,663728,668942,593871,660844,641487,668227,677594,645302,53.82,,,,,,,,65,1,Slider,4,3,4,3,3,4,4,3,Standard,Standard,106,0.0,0.04,,,,-0.04,,1,1,0.849,0.849,25,30,25,30,1,3,2,1,,1,2.6,-0.48,-0.48,39.9
FF,2024-09-24,101.1,-1.36,5.75,"Muñoz, Andrés",663656,662253,field_out,hit_into_play,,,,,2,"Kyle Tucker grounds out, third baseman Leo Rivas to first baseman Josh Rojas.",R,L,R,HOU,SEA,X,5,ground_ball,2,2,2024,-0.77,1.45,0.0,3.54,,,,1,8,Bot,107.91,163.75,,,,,5.680221607188594,-147.0240943431606,-4.294531773624402,-12.584919979392575,38.45022901949221,-10.368501396653135,3.46,1.65,2,83.8,-58,101.2,2422,6.6,746336,663728,668942,593871,660844,641487,668227,677594,645302,53.87,0.283,0.25,0.0,1,0,0,2,64,5,4-Seam Fastball,4,3,4,3,3,4,4,3,Infield shade,Standard,218,-0.009,-0.225,57.6,5.4,0.305,0.225,88.0,1,1,0.858,0.858,25,27,25,27,1,3,2,1,,3,0.8,0.77,-0.77,41.2
