pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
SL,2024-08-21,81.5,2.97,5.56,"Nardi, Andrew",553993,677053,field_out,hit_into_play,,,,,8,Eugenio Suárez pops out to second baseman Otto Lopez.,R,R,L,MIA,AZ,X,4,popup,0,0,2024,-0.97,0.21,0.06,2.0,,666971,,2,7,Top,172.47,140.43,,,,,-4.695822843248629,-118.67711352904206,-1.8161067826374544,-8.245502779721178,23.349445184524328,-30.040298369548687,3.46,1.56,172,94.8,66,82.1,2284,6.7,746028,645305,669394,672640,681393,669364,656537,665506,682073,53.79,0.009,0.01,0.0,1,0,0,3,65,1,Slider,6,7,7,6,7,6,7,6,Infield shade,Standard,279,0.04,-0.301,74.7,8.3,0.013,0.301,94.8,-1,1,0.314,0.686,25,32,26,33,1,3,1,1,,2,3.22,-0.97,0.97,45.2
FF,2024-08-21,93.7,2.87,5.62,"Nardi, Andrew",666971,677053,double,hit_into_play,,,,,12,Lourdes Gurriel Jr.  doubles (19) on a sharp line drive to center fielder Cristian Pache.   Joc Pederson scores.    Josh Bell scores.    Randal Grichuk scores.,R,R,L,MIA,AZ,X,8,line_drive,1,2,2024,0.91,1.32,0.35,3.97,592626,605137,545341,2,7,Top,118.91,38.43,,,,,-8.611854027517516,-136.17515373299972,-1.4640552680596253,13.24616414171406,29.51243613626939,-15.57513373691755,3.64,1.7,397,101.7,21,94.5,2251,6.8,746028,645305,669394,672640,681393,669364,656537,665506,682073,53.71,0.54,0.733,1.25,1,1,1,5,64,4,4-Seam Fastball,6,4,4,6,7,6,7,6,Standard,Standard,138,-0.462,0.847,66.4,6.4,1.215,-0.847,101.7,2,-2,0.776,0.224,25,30,26,31,1,0,1,1,,2,1.28,0.91,-0.91,46.0
FF,2024-08-21,93.5,2.69,5.66,"Nardi, Andrew",666971,677053,,foul,,,,,4,Lourdes Gurriel Jr.  doubles (19) on a sharp line drive to center fielder Cristian Pache.   Joc Pederson scores.    Josh Bell scores.    Randal Grichuk scores.,R,R,L,MIA,AZ,S,,,1,1,2024,0.54,1.41,-0.81,2.53,592626,605137,545341,2,7,Top,,,,,,,-10.33560352995669,-135.6332120424767,-5.423771145690642,9.008629336867129,31.31024182684032,-13.751277885852812,3.64,1.7,134,79.4,72,94.2,2202,7.0,746028,645305,669394,672640,681393,669364,656537,665506,682073,53.49,,,,,,,,64,3,4-Seam Fastball,6,4,4,6,4,6,4,6,Standard,Standard,142,0.0,-0.05,72.7,7.4,,0.05,88.0,2,-2,0.776,0.224,25,30,26,31,1,0,1,1,,2,1.23,0.54,-0.54,44.5
FF,2024-08-21,93.3,2.88,5.58,"Nardi, Andrew",666971,677053,,foul,,,,,7,Lourdes Gurriel Jr.  doubles (19) on a sharp line drive to center fielder Cristian Pache.   Joc Pederson scores.    Josh Bell scores.    Randal Grichuk scores.,R,R,L,MIA,AZ,S,,,1,0,2024,0.79,1.38,-0.4,2.15,592626,605137,545341,2,7,Top,,,,,,,-10.317562389118155,-135.4019037390146,-6.122954118531823,12.09415092741338,31.89544150995558,-14.012352774213229,3.64,1.7,185,73.3,59,94.0,2279,7.0,746028,645305,669394,672640,681393,669364,656537,665506,682073,53.46,,,,,,,,64,2,4-Seam Fastball,6,4,4,6,4,6,4,6,Standard,Standard,142,0.0,-0.044,75.0,7.6,,0.044,88.0,2,-2,0.776,0.224,25,30,26,31,1,0,1,1,,2,1.27,0.79,-0.79,42.2
SL,2024-08-21,83.2,3.04,5.58,"Nardi, Andrew",666971,677053,,ball,,,,,14,Lourdes Gurriel Jr.  doubles (19) on a sharp line drive to center fielder Cristian Pache.   Joc Pederson scores.    Josh Bell scores.    Randal Grichuk scores.,R,R,L,MIA,AZ,B,,,0,0,2024,-0.48,0.68,0.84,0.99,592626,605137,545341,2,7,Top,,,,,,,-4.129700409695788,-120.99949149126392,-5.393366417663772,-3.84324664538242,25.764509718730707,-24.566895130230257,3.61,1.47,,,,83.6,2181,6.8,746028,645305,669394,672640,681393,669364,656537,665506,682073,53.69,,,,,,,,64,1,Slider,6,4,4,6,4,6,4,6,Standard,Standard,273,0.0,0.031,,,,-0.031,,2,-2,0.776,0.224,25,30,26,31,1,0,1,1,,2,2.64,-0.48,0.48,39.9
FF,2024-08-21,94.0,2.91,5.62,"Nardi, Andrew",545341,677053,walk,ball,,,,,11,Randal Grichuk walks.   Joc Pederson to 3rd.    Josh Bell to 2nd.,R,R,L,MIA,AZ,B,,,3,0,2024,0.65,1.41,-1.37,2.42,,592626,605137,2,7,Top,,,,,,,-12.641488830999757,-136.17634976440283,-5.686215979848146,10.950561992479708,31.5635643483213,-13.485669558322806,3.2,1.41,,,,94.5,2289,6.9,746028,645305,669394,672640,681393,669364,656537,665506,682073,53.58,,0.689131,0.7,1,0,0,,63,4,4-Seam Fastball,6,4,4,6,4,6,4,6,Standard,Standard,142,-0.053,0.085,,,,-0.085,,2,-2,0.829,0.171,25,32,26,33,1,0,1,1,,3,1.2,0.65,-0.65,44.1
SL,2024-08-21,82.6,3.05,5.54,"Nardi, Andrew",545341,677053,,ball,,,,,12,Randal Grichuk walks.   Joc Pederson to 3rd.    Josh Bell to 2nd.,R,R,L,MIA,AZ,B,,,2,0,2024,-0.66,0.52,1.64,2.41,,592626,605137,2,7,Top,,,,,,,-1.9345804150573072,-120.23510029288424,-1.630511402106822,-6.004815909605113,24.063843909266943,-27.039188041540196,3.21,1.38,,,,83.2,2257,6.8,746028,645305,669394,672640,681393,669364,656537,665506,682073,53.73,,,,,,,,63,3,Slider,6,4,4,6,4,6,4,6,Standard,Standard,275,0.0,0.08,,,,-0.08,,2,-2,0.829,0.171,25,32,26,33,1,0,1,1,,3,2.83,-0.66,0.66,44.5
FF,2024-08-21,93.7,2.85,5.65,"Nardi, Andrew",545341,677053,,ball,,,,,11,Randal Grichuk walks.   Joc Pederson to 3rd.    Josh Bell to 2nd.,R,R,L,MIA,AZ,B,,,1,0,2024,0.73,1.46,-0.14,3.41,,592626,605137,2,7,Top,,,,,,,-9.418685481985548,-136.07749842870254,-3.253943796689845,11.190885043215944,31.57602937382556,-13.491966700866048,3.23,1.41,,,,94.4,2266,6.9,746028,645305,669394,672640,681393,669364,656537,665506,682073,53.56,,,,,,,,63,2,4-Seam Fastball,6,4,4,6,4,6,4,6,Standard,Standard,139,0.0,0.044,,,,-0.044,,2,-2,0.829,0.171,25,32,26,33,1,0,1,1,,3,1.15,0.73,-0.73,41.8
FF,2024-08-21,92.3,2.94,5.66,"Nardi, Andrew",545341,677053,,ball,,,,,12,Randal Grichuk walks.   Joc Pederson to 3rd.    Josh Bell to 2nd.,R,R,L,MIA,AZ,B,,,0,0,2024,0.84,1.31,0.18,3.52,,592626,605137,2,7,Top,,,,,,,-8.978837375260497,-134.14594409033697,-2.462704497375689,12.092670305424589,30.55910907856296,-16.09288174658398,3.27,1.47,,,,93.2,2260,7.0,746028,645305,669394,672640,681393,669364,656537,665506,682073,53.47,,,,,,,,63,1,4-Seam Fastball,6,4,4,6,4,6,4,6,Standard,Standard,145,0.0,0.026,,,,-0.026,,2,-2,0.829,0.171,25,32,26,33,1,0,1,1,,3,1.39,0.84,-0.84,44.0
FF,2024-08-21,93.2,2.85,5.66,"Nardi, Andrew",605137,677053,single,hit_into_play,,,,,1,Josh Bell singles on a ground ball to left fielder Derek Hill.   Corbin Carroll scores.    Joc Pederson to 2nd.,R,R,L,MIA,AZ,X,7,ground_ball,2,1,2024,0.49,1.26,-0.46,3.25,,682998,592626,2,7,Top,101.56,153.38,,,,,-9.681612767985342,-135.47392314132287,-3.2472643017214495,8.084204344223474,28.82074942170656,-16.081067156054942,3.7,1.81,19,93.6,-8,94.2,2118,6.9,746028,645305,669394,672640,681393,669364,656537,665506,682073,53.65,0.214,0.194,0.9,1,1,0,2,62,4,4-Seam Fastball,6,3,3,6,4,6,4,6,Standard,Standard,142,-0.075,0.537,71.7,6.8,0.24,-0.537,93.6,3,-3,0.904,0.096,25,31,26,32,1,3,1,1,,2,1.36,0.49,-0.49,43.5
