pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
ST,2024-03-30,81.5,-2.55,5.96,"Ortiz, Luis F.",660670,656814,single,hit_into_play,,,,,6,Ronald Acuña Jr. singles on a sharp line drive to center fielder Johan Rojas. Jarred Kelenic to 2nd.,R,R,R,PHI,ATL,X,8,line_drive,0,2,2024,1.6,0.26,0.44,2.6,,,672284,0,6,Top,110.54,75.41,,,,,3.6195784240355326,-118.75806396182956,-1.481958916774915,14.41934321226288,22.745683850928536,-29.624011978617443,3.47,1.58,188,108.0,11,80.8,2669,5.7,745599,592663,547180,681082,664761,607208,593160,679032,592206,54.79,0.937,0.956,0.9,1,1,0,5,51,3,Sweeper,4,7,7,4,7,4,7,4,Standard,Standard,69,-0.021,0.54,,,1.256,-0.54,108.0,-3,3,0.112,0.888,28,26,29,27,1,3,,1,,1,3.16,-1.6,-1.6,33.7
ST,2024-03-30,81.7,-2.49,5.94,"Ortiz, Luis F.",660670,656814,,swinging_strike,,,,,9,Ronald Acuña Jr. singles on a sharp line drive to center fielder Johan Rojas. Jarred Kelenic to 2nd.,R,R,R,PHI,ATL,S,,,0,1,2024,1.81,0.43,0.77,1.46,,,672284,0,6,Top,,,,,,,3.846949408941481,-118.87957471515568,-4.3009850943593,16.378883352210735,22.911926122211128,-27.482268255756072,3.47,1.58,,,,80.9,2730,5.8,745599,592663,547180,681082,664761,607208,593160,679032,592206,54.73,,,,,,,,51,2,Sweeper,4,7,7,4,7,4,7,4,Standard,Standard,60,0.0,-0.048,,,,0.048,,-3,3,0.112,0.888,28,26,29,27,1,3,,1,,1,2.99,-1.81,-1.81,41.2
SI,2024-03-30,92.5,-2.31,6.24,"Ortiz, Luis F.",660670,656814,,foul,,,,,11,Ronald Acuña Jr. singles on a sharp line drive to center fielder Johan Rojas. Jarred Kelenic to 2nd.,R,R,R,PHI,ATL,S,,,0,0,2024,-1.27,0.84,-1.08,3.27,,,672284,0,6,Top,,,,,,,5.836902673997476,-134.4906280287257,-3.5377705269619892,-16.74722214757516,31.13816692899097,-21.392939365672397,3.47,1.58,182,68.7,48,91.1,2047,5.6,745599,592663,547180,681082,664761,607208,593160,679032,592206,54.86,,,,,,,,51,1,Sinker,4,7,7,4,7,4,7,4,Standard,Standard,227,0.0,-0.042,,,,0.042,88.0,-3,3,0.112,0.888,28,26,29,27,1,3,,1,,1,1.84,1.27,1.27,37.1
CU,2024-03-30,79.6,-2.22,6.17,"Ortiz, Luis F.",672284,656814,single,hit_into_play,,,,,7,Jarred Kelenic singles on a ground ball to left fielder Whit Merrifield.,R,L,R,PHI,ATL,X,7,ground_ball,1,1,2024,1.05,-0.8,-0.5,2.07,,,,0,6,Top,100.98,95.71,,,,,1.7911094723298109,-115.90202123304668,-0.7548650258040964,9.108341466263685,22.0540183230575,-39.47751343942771,3.58,1.68,74,104.6,3,78.8,2754,5.7,745599,592663,547180,681082,664761,607208,593160,679032,592206,54.75,0.551,0.5,0.9,1,1,0,4,50,3,Curveball,4,7,7,4,7,4,7,4,Strategic,Standard,49,-0.016,0.46,,,0.597,-0.46,104.6,-3,3,0.128,0.872,28,24,29,25,1,2,,1,,1,4.4,-1.05,1.05,39.2
SI,2024-03-30,93.8,-2.2,6.06,"Ortiz, Luis F.",672284,656814,,ball,,,,,12,Jarred Kelenic singles on a ground ball to left fielder Whit Merrifield.,R,L,R,PHI,ATL,B,,,0,1,2024,-1.0,0.59,1.58,2.87,,,,0,6,Top,,,,,,,11.831095354164724,-136.19431259356202,-3.8039254275861776,-14.9039289225548,27.165543202412255,-24.187908276493932,3.4,1.55,,,,93.1,2015,5.8,745599,592663,547180,681082,664761,607208,593160,679032,592206,54.73,,,,,,,,50,2,Sinker,4,7,7,4,7,4,7,4,Strategic,Standard,234,0.0,0.025,,,,-0.025,,-3,3,0.128,0.872,28,24,29,25,1,2,,1,,1,2.0,1.0,-1.0,34.8
ST,2024-03-30,79.5,-2.55,6.07,"Ortiz, Luis F.",672284,656814,,called_strike,,,,,5,Jarred Kelenic singles on a ground ball to left fielder Whit Merrifield.,R,L,R,PHI,ATL,S,,,0,0,2024,1.73,0.33,0.14,2.4,,,,0,6,Top,,,,,,,2.609039944672352,-115.7906934075852,-1.9229554116901988,15.11100141379177,21.646922990330033,-29.016711935707814,3.44,1.65,,,,78.6,2668,5.6,745599,592663,547180,681082,664761,607208,593160,679032,592206,54.92,,,,,,,,50,1,Sweeper,4,7,7,4,7,4,7,4,Strategic,Standard,71,0.0,-0.037,,,,0.037,,-3,3,0.128,0.872,28,24,29,25,1,2,,1,,1,3.27,-1.73,1.73,34.4
SI,2024-03-30,94.7,-2.24,6.07,"Ortiz, Luis F.",518595,656814,grounded_into_double_play,hit_into_play,,,,,9,"Travis d'Arnaud grounds into a double play, second baseman Bryson Stott to first baseman Bryce Harper. Orlando Arcia out at 2nd. Travis d'Arnaud out at 1st.",R,R,R,PHI,ATL,X,4,ground_ball,0,2,2024,-1.09,0.36,0.32,1.92,,671739,606115,1,5,Top,129.16,150.0,,,,,9.007397581655416,-137.47501705016992,-5.8657570667824555,-15.892506909848542,31.8662249052828,-26.40378205340911,3.48,1.58,7,104.2,-14,93.5,1849,5.8,745599,592663,547180,681082,664761,607208,593160,679032,592206,54.65,0.24,0.222,0.0,1,0,0,2,45,3,Sinker,4,7,7,4,7,4,7,4,Standard,Standard,241,0.043,-0.22,,,0.25,0.22,104.2,-3,3,0.136,0.864,28,35,29,35,1,2,,1,,2,2.2,1.09,1.09,34.9
ST,2024-03-30,80.5,-2.79,5.95,"Ortiz, Luis F.",518595,656814,,foul_tip,,,,,5,"Travis d'Arnaud grounds into a double play, second baseman Bryson Stott to first baseman Bryce Harper. Orlando Arcia out at 2nd. Travis d'Arnaud out at 1st.",R,R,R,PHI,ATL,S,,,0,1,2024,1.98,0.53,-0.13,2.75,,671739,606115,1,5,Top,,,,,,,2.139756610843208,-117.20976683115704,-1.3740522472476338,17.621497921477317,24.59443895848303,-27.285886177628186,3.48,1.58,,,,79.3,2717,5.7,745599,592663,547180,681082,664761,607208,593160,679032,592206,54.82,,,,,,,,45,2,Sweeper,4,7,7,4,7,4,7,4,Standard,Standard,64,0.0,-0.048,,,,0.048,,-3,3,0.136,0.864,28,35,29,35,1,2,,1,,2,3.02,-1.98,-1.98,34.4
ST,2024-03-30,82.1,-2.56,6.01,"Ortiz, Luis F.",518595,656814,,swinging_strike,,,,,14,"Travis d'Arnaud grounds into a double play, second baseman Bryson Stott to first baseman Bryce Harper. Orlando Arcia out at 2nd. Travis d'Arnaud out at 1st.",R,R,R,PHI,ATL,S,,,0,0,2024,1.54,0.43,1.1,2.12,,671739,606115,1,5,Top,,,,,,,5.377621432152026,-119.4910688373356,-3.0874990656251686,13.53864723633034,24.59819132632834,-27.63499576100491,3.48,1.58,,,,82.9,2540,7.0,745599,592663,547180,681082,664761,607208,593160,679032,592206,53.51,,,,,,,,45,1,Sweeper,4,7,7,4,7,4,7,4,Standard,Standard,61,0.0,-0.039,,,,0.039,,-3,3,0.136,0.864,28,35,29,35,1,2,,1,,2,2.97,-1.54,-1.54,36.0
SI,2024-03-30,94.1,-2.41,6.06,"Ortiz, Luis F.",606115,656814,single,hit_into_play,,,,,11,Orlando Arcia singles on a ground ball to right fielder Nick Castellanos. Michael Harris II to 2nd.,R,R,R,PHI,ATL,X,9,ground_ball,0,0,2024,-1.19,0.37,-1.07,3.05,,,671739,1,5,Top,169.23,138.94,,,,,6.020307091399759,-136.9030648027941,-2.8976833941920073,-16.262376408523597,30.08631425661004,-27.05171864585217,3.52,1.65,91,66.4,8,93.1,1874,5.7,745599,592663,547180,681082,664761,607208,593160,679032,592206,54.83,0.169,0.166,0.9,1,1,0,2,44,1,Sinker,4,7,7,4,7,4,7,4,Standard,Standard,239,-0.017,0.405,,,0.175,-0.405,88.0,-3,3,0.153,0.847,28,29,29,30,1,2,,1,,1,2.2,1.19,1.19,33.7
