pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
FF,2024-09-24,92.3,-2.16,5.4,"Paredes, Enoli",624641,660600,strikeout,swinging_strike,,,,,6,Edmundo Sosa strikes out swinging.,R,R,R,PHI,CHC,S,2,,1,2,2024,0.26,0.88,0.67,2.44,,,,2,9,Bot,,,,,,,6.650792957435361,-134.40498887402103,-3.7110456450077183,1.9852008190834152,25.424495007111364,-20.862229537957138,3.5,1.7,,,,93.1,2467,6.4,745526,665804,641355,663538,670623,621020,664023,691718,643565,54.05,,0.0,0.0,1,0,0,,82,4,4-Seam Fastball,4,10,4,10,10,4,4,10,Standard,Standard,196,0.0,-0.18,69.4,7.8,,0.18,,-6,-6,0.0,0.0,28,28,29,28,1,3,5,3,,3,1.76,-0.26,-0.26,45.9
SL,2024-09-24,83.4,-2.58,5.3,"Paredes, Enoli",624641,660600,,swinging_strike,,,,,14,Edmundo Sosa strikes out swinging.,R,R,R,PHI,CHC,S,,,1,1,2024,0.76,0.0,1.31,1.36,,,,2,9,Bot,,,,,,,7.451051507545241,-121.38297919669884,-2.653750381512914,6.189709866169559,22.32250429751881,-31.89582426349917,3.5,1.7,,,,83.6,2859,6.3,745526,665804,641355,663538,670623,621020,664023,691718,643565,54.24,,,,,,,,82,3,Slider,4,10,4,10,10,4,4,10,Standard,Standard,82,0.0,-0.064,74.9,9.5,,0.064,,-6,-6,0.0,0.0,28,28,29,28,1,3,5,3,,3,3.26,-0.76,-0.76,37.3
SI,2024-09-24,89.1,-2.25,5.44,"Paredes, Enoli",624641,660600,,ball,,,,,12,Edmundo Sosa strikes out swinging.,R,R,R,PHI,CHC,B,,,0,1,2024,-0.19,1.06,0.66,3.81,,,,2,9,Bot,,,,,,,7.565223578551306,-129.65827032419537,-0.2465495055238751,-3.669258169544491,25.723841221165426,-20.295573551887557,3.57,1.69,,,,89.4,2290,6.4,745526,665804,641355,663538,670623,621020,664023,691718,643565,54.13,,,,,,,,82,2,Sinker,4,10,4,10,10,4,4,10,Standard,Standard,182,0.0,0.029,,,,-0.029,,-6,-6,0.0,0.0,28,28,29,28,1,3,5,3,,3,1.8,0.19,0.19,43.1
SI,2024-09-24,90.7,-2.28,5.42,"Paredes, Enoli",624641,660600,,called_strike,,,,,6,Edmundo Sosa strikes out swinging.,R,R,R,PHI,CHC,S,,,0,0,2024,-0.65,0.81,0.38,2.77,,,,2,9,Bot,,,,,,,8.03931759695425,-131.97677329909868,-2.485684182995352,-9.293134838982883,26.344717668236612,-22.313432329076033,3.54,1.66,,,,91.0,2298,6.3,745526,665804,641355,663538,670623,621020,664023,691718,643565,54.19,,,,,,,,82,1,Sinker,4,10,4,10,10,4,4,10,Standard,Standard,201,0.0,-0.041,,,,0.041,,-6,-6,0.0,0.0,28,28,29,28,1,3,5,3,,3,1.94,0.65,0.65,45.8
FF,2024-09-24,92.6,-2.28,5.36,"Paredes, Enoli",669720,660600,strikeout,called_strike,,,,,8,Austin Hays called out on strikes.,R,R,R,PHI,CHC,S,2,,0,2,2024,-0.01,0.91,-0.02,1.78,,,,1,9,Bot,,,,,,,5.788425589481999,-134.83465860024623,-5.4186871783583275,-1.1280530883623097,24.78231781166562,-20.145304675652852,3.26,1.57,,,,93.3,2329,6.3,745526,665804,641355,663538,670623,621020,664023,691718,643565,54.2,,0.0,0.0,1,0,0,,81,3,4-Seam Fastball,4,10,4,10,10,4,4,10,Standard,Standard,207,-0.001,-0.162,,,,0.162,,-6,-6,0.001,0.001,28,28,29,29,1,3,5,23,,1,1.71,0.01,0.01,45.1
SL,2024-09-24,84.5,-2.51,5.37,"Paredes, Enoli",669720,660600,,foul,,,,,11,Austin Hays called out on strikes.,R,R,R,PHI,CHC,S,,,0,1,2024,0.69,0.04,-1.18,2.78,,,,1,9,Bot,,,,,,,1.720449709388282,-123.14063312311,0.1634480490665735,6.776045172287872,22.261072059482853,-31.957012938652536,3.16,1.47,326,103.7,24,84.6,2815,6.1,745526,665804,641355,663538,670623,621020,664023,691718,643565,54.44,,,,,,,,81,2,Slider,4,10,4,10,10,4,4,10,Standard,Standard,85,0.0,-0.057,71.5,6.8,,0.057,103.7,-6,-6,0.001,0.001,28,28,29,29,1,3,5,23,,1,3.12,-0.69,-0.69,41.9
SL,2024-09-24,80.8,-2.51,5.31,"Paredes, Enoli",669720,660600,,foul,,,,,1,Austin Hays called out on strikes.,R,R,R,PHI,CHC,S,,,0,0,2024,0.54,0.1,-0.47,2.77,,,,1,9,Bot,,,,,,,3.5174751182309425,-117.79902902266105,0.6753530654182172,4.470831980866285,19.240695032708043,-31.504611172452364,3.16,1.47,84,76.7,7,81.2,2757,6.1,745526,665804,641355,663538,670623,621020,664023,691718,643565,54.38,,,,,,,,81,1,Slider,4,10,4,10,10,4,4,10,Standard,Standard,81,0.0,-0.037,73.9,7.4,,0.037,88.0,-6,-6,0.001,0.001,28,28,29,29,1,3,5,23,,1,3.34,-0.54,-0.54,37.6
SL,2024-09-24,83.9,-2.55,5.29,"Paredes, Enoli",665019,660600,field_out,hit_into_play,,,,,7,Kody Clemens grounds out to first baseman Cody Bellinger.,R,L,R,PHI,CHC,X,3,ground_ball,0,1,2024,0.69,-0.01,-0.45,1.76,,,,0,9,Bot,159.69,164.87,,,,,3.489482924891478,-122.32248343757938,-1.8634364804151569,6.4623189170555,20.154984539998452,-32.15335185281225,3.51,1.71,4,70.5,-25,84.4,2770,6.1,745526,665804,641355,663538,670623,621020,664023,691718,643565,54.39,0.04,0.052,0.0,1,0,0,2,80,2,Slider,4,10,4,10,10,4,4,10,Infield shade,Standard,87,-0.002,-0.217,74.8,7.7,0.047,0.217,88.0,-6,-6,0.003,0.003,28,28,29,28,1,0,5,2,,1,3.19,-0.69,0.69,38.5
FF,2024-09-24,90.0,-2.41,5.42,"Paredes, Enoli",665019,660600,,called_strike,,,,,5,Kody Clemens grounds out to first baseman Cody Bellinger.,R,L,R,PHI,CHC,S,,,0,0,2024,0.58,0.62,0.23,2.97,,,,0,9,Bot,,,,,,,5.320517965692393,-131.0496409396741,-1.4882766352230496,5.71273573479254,24.700127574613106,-24.9279167715048,3.64,1.55,,,,90.5,2434,6.3,745526,665804,641355,663538,670623,621020,664023,691718,643565,54.16,,,,,,,,80,1,4-Seam Fastball,4,10,4,10,10,4,4,10,Infield shade,Standard,185,0.0,-0.037,,,,0.037,,-6,-6,0.003,0.003,28,28,29,28,1,0,5,2,,1,2.17,-0.58,0.58,38.0
SL,2024-09-19,87.1,-2.43,5.05,"Paredes, Enoli",545341,660600,field_out,hit_into_play,,,,,11,"Randal Grichuk grounds out, third baseman Andruw Monasterio to first baseman Rhys Hoskins.",R,R,R,MIL,AZ,X,5,ground_ball,3,1,2024,0.74,0.05,-1.08,2.46,,,,2,9,Top,103.85,164.05,,,,,1.7255526886477537,-126.93726726985774,-0.1882672322386865,7.722270109950173,25.13687623647396,-31.818651598770447,3.19,1.47,8,51.5,-16,87.3,2864,6.3,745937,606992,656555,668930,655316,687401,686555,663368,694192,54.22,0.097,0.086,0.0,1,0,0,1,65,5,Slider,1,5,5,1,5,1,5,1,Standard,Strategic,94,0.001,-0.414,63.5,6.2,0.103,0.414,88.0,-4,4,0.015,0.985,28,32,29,33,1,2,2,1,5,1,2.94,-0.74,-0.74,41.5
