pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
SI,2024-09-11,97.6,-2.66,5.46,"Peguero, Elvis",666464,665625,single,hit_into_play,,,,,8,Jerar Encarnacion singles on a ground ball to right fielder Garrett Mitchell.   Marco Luciano scores.    LaMonte Wade Jr.  to 2nd.,R,R,R,SF,MIL,X,9,ground_ball,0,1,2024,-1.29,0.23,-0.11,2.06,,682617,664774,1,6,Bot,158.19,108.28,,,,,10.047065312675548,-141.78439904344208,-4.2422600937159745,-19.68073071806548,32.54527792522915,-28.214516756540995,3.78,1.8,23,108.1,-4,99.8,1912,7.6,745285,606992,656555,686555,655316,687401,686217,663368,669003,52.91,0.414,0.375,0.9,1,1,0,4,60,2,Sinker,10,1,10,1,1,11,11,1,Standard,Standard,238,0.0,0.519,82.4,7.5,0.435,-0.519,108.1,9,9,0.999,0.999,27,26,27,27,2,3,3,3,,1,2.17,1.29,1.29,19.3
SI,2024-09-11,96.2,-2.55,5.52,"Peguero, Elvis",666464,665625,,called_strike,,,,,2,Jerar Encarnacion singles on a ground ball to right fielder Garrett Mitchell.   Marco Luciano scores.    LaMonte Wade Jr.  to 2nd.,R,R,R,SF,MIL,S,,,0,0,2024,-1.35,0.21,0.16,3.2,,682617,664774,1,6,Bot,,,,,,,10.52321954631312,-139.70992194196873,-1.0191643557730103,-20.064851189199462,31.279592602304856,-29.37599834478802,3.64,1.79,,,,98.5,1761,7.7,745285,606992,656555,686555,655316,687401,686217,663368,669003,52.81,,,,,,,,60,1,Sinker,10,1,10,1,1,10,10,1,Standard,Standard,239,0.0,-0.039,,,,0.039,,9,9,0.999,0.999,27,26,27,27,2,3,3,3,,1,2.26,1.35,1.35,20.7
SI,2024-09-11,96.2,-2.62,5.54,"Peguero, Elvis",664774,665625,walk,ball,,,,,11,LaMonte Wade Jr.  walks.   Marco Luciano to 2nd.,R,L,R,SF,MIL,B,,,3,0,2024,-1.3,0.4,-0.83,2.96,,,682617,1,6,Bot,,,,,,,7.866252187665104,-140.03197935793222,-2.283781878377481,-18.74082337750624,26.788756336624807,-26.58881110046989,3.23,1.61,,,,99.0,1786,7.5,745285,606992,656555,686555,655316,687401,686217,663368,669003,52.99,,0.689131,0.7,1,0,0,,59,4,Sinker,10,1,10,1,1,10,10,1,Standard,Standard,244,0.0,0.12,,,,-0.12,,9,9,0.999,0.999,27,30,27,30,1,3,3,1,,1,2.03,1.3,-1.3,23.4
SL,2024-09-11,89.1,-2.78,5.52,"Peguero, Elvis",664774,665625,,ball,,,,,11,LaMonte Wade Jr.  walks.   Marco Luciano to 2nd.,R,L,R,SF,MIL,B,,,2,0,2024,0.12,0.09,-0.55,3.64,,,682617,1,6,Bot,,,,,,,5.318031711611166,-129.78950850156454,1.1849770663172428,0.4442255419319392,23.423456982286098,-31.592638268853207,3.24,1.65,,,,91.3,2407,7.3,745285,606992,656555,686555,655316,687401,686217,663368,669003,53.23,,,,,,,,59,3,Slider,10,1,10,1,1,10,10,1,Standard,Standard,87,0.0,0.102,,,,-0.102,,9,9,0.999,0.999,27,30,27,30,1,3,3,1,,1,2.75,-0.12,0.12,22.5
SL,2024-09-11,90.1,-2.9,5.44,"Peguero, Elvis",664774,665625,,blocked_ball,,,,,14,LaMonte Wade Jr.  walks.   Marco Luciano to 2nd.,R,L,R,SF,MIL,B,,,1,0,2024,0.29,-0.08,0.18,0.91,,,682617,1,6,Bot,,,,,,,7.1264534073232255,-131.12709496095707,-5.257319884275432,2.1046606214504835,23.848777870203836,-32.35311498342329,3.24,1.68,,,,92.0,2403,7.1,745285,606992,656555,686555,655316,687401,686217,663368,669003,53.37,,,,,,,,59,2,Slider,10,1,10,1,1,10,10,1,Standard,Standard,48,0.0,0.056,,,,-0.056,,9,9,0.999,0.999,27,30,27,30,1,3,3,1,,1,2.86,-0.29,0.29,23.0
SL,2024-09-11,88.8,-2.89,5.56,"Peguero, Elvis",664774,665625,,ball,,,,,11,LaMonte Wade Jr.  walks.   Marco Luciano to 2nd.,R,L,R,SF,MIL,B,,,0,0,2024,0.4,-0.26,-0.94,3.2,,,682617,1,6,Bot,,,,,,,3.937125051963552,-129.35811871780746,0.74238395173962,3.7841885302188816,24.53856546096879,-35.42532624392554,3.22,1.62,,,,89.3,2495,6.4,745285,606992,656555,686555,655316,687401,686217,663368,669003,54.14,,,,,,,,59,1,Slider,10,1,10,1,1,10,10,1,Standard,Standard,70,0.0,0.036,,,,-0.036,,9,9,0.999,0.999,27,30,27,30,1,3,3,1,,1,3.12,-0.4,0.4,21.1
SI,2024-09-11,96.4,-2.6,5.48,"Peguero, Elvis",682617,665625,field_error,hit_into_play,,,,,7,Marco Luciano reaches on a fielding error by second baseman Isaac Collins.,R,R,R,SF,MIL,X,4,ground_ball,0,0,2024,-1.38,0.45,-0.64,2.17,,,,1,6,Bot,150.92,145.98,,,,,8.526444984711553,-140.2475271278673,-4.369072491900633,-20.01646288445533,27.75840525278584,-25.52013853701718,3.41,1.62,4,94.3,-28,99.0,1727,7.5,745285,606992,656555,686555,655316,687401,686217,663368,669003,53.03,0.083,0.068,0.9,1,0,0,2,58,1,Sinker,10,1,10,1,1,10,10,1,Standard,Standard,243,0.001,0.459,72.3,6.2,0.087,-0.459,94.3,9,9,0.998,0.998,27,22,27,23,1,0,3,1,,1,1.98,1.38,1.38,21.8
SI,2024-09-11,96.4,-2.51,5.47,"Peguero, Elvis",671218,665625,strikeout,called_strike,,,,,6,Heliot Ramos called out on strikes.,R,R,R,SF,MIL,S,2,,2,2,2024,-1.28,0.29,0.39,2.32,,,,0,6,Bot,,,,,,,10.895670178432718,-140.07418861852383,-3.616058577537431,-19.191236730622112,26.651428696453348,-27.78934489278957,3.1,1.56,,,,99.5,1755,7.7,745285,606992,656555,686555,655316,687401,686217,663368,669003,52.79,,0.0,0.0,1,0,0,,57,5,Sinker,10,1,10,1,1,10,10,1,Standard,Standard,242,-0.001,-0.227,,,,0.227,,9,9,0.999,0.999,27,24,27,25,1,3,3,1,,1,2.14,1.28,1.28,20.6
SI,2024-09-11,96.5,-2.59,5.46,"Peguero, Elvis",671218,665625,,called_strike,,,,,8,Heliot Ramos called out on strikes.,R,R,R,SF,MIL,S,,,2,1,2024,-1.18,0.18,0.02,1.66,,,,0,6,Bot,,,,,,,9.949112088932942,-140.2922036317541,-5.189569243143322,-17.649905818818645,25.20264136589873,-29.00484670758946,3.15,1.56,,,,100.3,1549,8.0,745285,606992,656555,686555,655316,687401,686217,663368,669003,52.55,,,,,,,,57,4,Sinker,10,1,10,1,1,10,10,1,Standard,Standard,242,0.0,-0.069,,,,0.069,,9,9,0.999,0.999,27,24,27,25,1,3,3,1,,1,2.24,1.18,1.18,21.5
SL,2024-09-11,89.5,-2.85,5.52,"Peguero, Elvis",671218,665625,,ball,,,,,13,Heliot Ramos called out on strikes.,R,R,R,SF,MIL,B,,,1,1,2024,0.4,-0.37,-0.9,1.1,,,,0,6,Bot,,,,,,,4.025437017224886,-130.39407586989765,-4.234449058547349,3.787375041793904,24.695179698202885,-35.84046232178801,3.13,1.56,,,,90.9,2523,6.8,745285,606992,656555,686555,655316,687401,686217,663368,669003,53.67,,,,,,,,57,3,Slider,10,1,10,1,1,10,10,1,Standard,Standard,56,0.0,0.053,,,,-0.053,,9,9,0.999,0.999,27,24,27,25,1,3,3,1,,1,3.19,-0.4,-0.4,24.4
SL,2024-09-11,91.6,-2.51,5.63,"Peguero, Elvis",671218,665625,,ball,,,,,14,Heliot Ramos called out on strikes.,R,R,R,SF,MIL,B,,,0,1,2024,0.23,0.2,1.42,0.8,,,,0,6,Bot,,,,,,,9.53524380154354,-133.10769820157762,-6.87151665030763,0.8863229769848151,26.322022585603897,-28.545130229757454,3.13,1.56,,,,92.9,2328,7.0,745285,606992,656555,686555,655316,687401,686217,663368,669003,53.51,,,,,,,,57,2,Slider,10,1,10,1,1,10,10,1,Standard,Standard,124,0.0,0.025,,,,-0.025,,9,9,0.999,0.999,27,24,27,25,1,3,3,1,,1,2.51,-0.23,-0.23,24.2
