pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
SL,2024-09-27,82.9,0.94,6.26,"Poche, Colin",680776,621363,field_out,hit_into_play,,,,,7,Jarren Duran lines out sharply to center fielder Jonny DeLuca.,R,L,L,BOS,TB,X,8,line_drive,1,2,2024,-0.52,-0.05,-0.36,1.79,663853,,678882,2,7,Bot,113.77,63.2,,,,,-1.9876490274213128,-120.76406327197266,-3.7008844551264586,-4.656934203931327,24.062287282705444,-32.11484023887391,3.62,1.74,337,101.3,17,84.3,2371,7.2,746904,666163,650490,666018,691406,676609,680700,676356,666139,53.3,0.486,0.532,0.0,1,0,0,4,56,4,Slider,1,2,1,2,2,1,1,2,Infield shade,Standard,263,-0.107,-0.206,69.7,7.9,0.771,0.206,101.3,-1,-1,0.354,0.354,30,27,30,28,1,3,3,2,,1,3.36,-0.52,-0.52,69.8
SL,2024-09-27,82.8,1.13,6.3,"Poche, Colin",680776,621363,,foul,,,,,2,Jarren Duran lines out sharply to center fielder Jonny DeLuca.,R,L,L,BOS,TB,S,,,1,1,2024,-0.7,0.25,-0.18,3.18,663853,,678882,2,7,Bot,,,,,,,-1.6536729376959618,-120.72976165539752,-1.2049139604560206,-6.581900922581698,21.59277952352752,-29.694783687862476,3.62,1.74,182,66.7,30,84.6,2377,7.1,746904,666163,650490,666018,691406,676609,680700,676356,666139,53.35,,,,,,,,56,3,Slider,1,2,1,2,2,1,1,2,Standard,Standard,250,0.0,-0.078,72.3,6.7,,0.078,88.0,-1,-1,0.354,0.354,30,27,30,28,1,3,3,2,,1,3.04,-0.7,-0.7,68.0
FF,2024-09-27,90.8,1.27,6.31,"Poche, Colin",680776,621363,,ball,,,,,11,Jarren Duran lines out sharply to center fielder Jonny DeLuca.,R,L,L,BOS,TB,B,,,0,1,2024,-0.41,1.19,-1.12,4.59,663853,,678882,2,7,Bot,,,,,,,-5.187421792849819,-132.25918029674767,-0.9588903052805272,-3.6841636934756097,28.360939656841257,-18.20091445527688,3.34,1.47,,,,92.4,2314,7.2,746904,666163,650490,666018,691406,676609,680700,676356,666139,53.3,,,,,,,,56,2,4-Seam Fastball,1,2,1,2,2,1,1,2,Standard,Standard,192,0.0,0.031,,,,-0.031,,-1,-1,0.354,0.354,30,27,30,28,1,3,3,2,,1,1.57,-0.41,-0.41,63.0
SL,2024-09-27,82.6,1.21,6.31,"Poche, Colin",680776,621363,,called_strike,,,,,5,Jarren Duran lines out sharply to center fielder Jonny DeLuca.,R,L,L,BOS,TB,S,,,0,0,2024,-0.46,-0.03,0.09,2.23,663853,,678882,2,7,Bot,,,,,,,-1.699878546022234,-120.37576187014318,-2.8296729582129645,-4.204269944734675,20.85716264325169,-32.19707339511425,3.53,1.54,,,,84.6,2422,7.3,746904,666163,650490,666018,691406,676609,680700,676356,666139,53.21,,,,,,,,56,1,Slider,1,2,1,2,2,1,1,2,Standard,Standard,267,0.0,-0.046,,,,0.046,,-1,-1,0.354,0.354,30,27,30,28,1,3,3,2,,1,3.33,-0.46,-0.46,69.9
SL,2024-09-27,82.7,1.1,6.27,"Poche, Colin",678882,621363,field_error,hit_into_play,,,,,6,Ceddanne Rafaela reaches on a fielding error by third baseman Junior Caminero. Romy Gonzalez to 3rd.,R,R,L,BOS,TB,X,5,ground_ball,1,1,2024,-0.4,0.13,0.37,2.5,,,663853,2,7,Bot,100.81,166.79,,,,,-0.8989562450827299,-120.45058870376272,-2.4137182213493733,-3.756159230176398,22.682465447688696,-30.642994391734323,3.39,1.58,17,92.1,-8,84.4,2340,7.3,746904,666163,650490,666018,691406,676609,680700,676356,666139,53.2,0.209,0.217,0.9,1,0,0,2,55,3,Slider,1,2,1,2,2,1,1,2,Infield shade,Standard,248,0.055,0.431,70.6,7.9,0.24,-0.431,92.1,-1,-1,0.299,0.299,30,23,30,24,1,2,3,3,,2,3.19,-0.4,0.4,67.4
FF,2024-09-27,90.9,1.31,6.25,"Poche, Colin",678882,621363,,ball,,,,,11,Ceddanne Rafaela reaches on a fielding error by third baseman Junior Caminero. Romy Gonzalez to 3rd.,R,R,L,BOS,TB,B,,,0,1,2024,-0.12,1.48,-0.46,4.86,,,663853,2,7,Bot,,,,,,,-4.246872916795735,-132.38333317205888,-0.7334054425927585,-0.4529436962814919,28.981792199531636,-14.818959473388658,3.66,1.6,,,,92.6,2163,7.3,746904,666163,650490,666018,691406,676609,680700,676356,666139,53.21,,,,,,,,55,2,4-Seam Fastball,1,2,1,2,2,1,1,2,Infield shade,Standard,186,0.0,0.032,,,,-0.032,,-1,-1,0.299,0.299,30,23,30,24,1,2,3,3,,2,1.28,-0.12,0.12,63.3
SL,2024-09-27,83.6,1.12,6.21,"Poche, Colin",678882,621363,,foul,,,,,7,Ceddanne Rafaela reaches on a fielding error by third baseman Junior Caminero. Romy Gonzalez to 3rd.,R,R,L,BOS,TB,S,,,0,0,2024,-0.69,0.09,-0.41,1.97,,,663853,2,7,Bot,,,,,,,-2.1894598959061353,-121.77976711774,-3.612385329027769,-6.496223792266065,23.187721089154273,-30.82448363038957,3.39,1.58,115,86.9,78,85.4,2399,7.4,746904,666163,650490,666018,691406,676609,680700,676356,666139,53.14,,,,,,,,55,1,Slider,1,2,1,2,2,1,1,2,Infield shade,Standard,256,0.0,-0.047,70.6,8.6,,0.047,88.0,-1,-1,0.299,0.299,30,23,30,24,1,2,3,3,,2,3.16,-0.69,0.69,73.6
FF,2024-09-27,91.2,1.2,6.21,"Poche, Colin",686765,621363,sac_fly,hit_into_play,,,,,5,Nick Sogard out on a sacrifice fly to right fielder Josh Lowe. Vaughn Grissom scores.,R,R,L,BOS,TB,X,9,fly_ball,1,0,2024,-0.16,1.58,-0.15,2.04,687093,,663853,1,7,Bot,199.59,119.61,,,,,-3.1198655902040286,-132.60379419684622,-8.159738186594952,-1.2318456668322058,27.11517346098816,-12.00945860140289,3.13,1.43,267,88.6,46,93.1,2282,7.4,746904,666163,650490,666018,691406,676609,680700,676356,666139,53.12,0.001,0.0,0.0,1,0,0,3,54,2,4-Seam Fastball,0,2,0,2,2,1,1,2,Infield shade,Standard,184,-0.015,-0.164,70.2,6.9,0.001,0.164,88.6,-2,-2,0.314,0.314,30,26,30,27,1,2,3,2,,2,1.16,-0.16,0.16,70.7
FF,2024-09-27,91.0,1.29,6.25,"Poche, Colin",686765,621363,,ball,,,,,11,Nick Sogard out on a sacrifice fly to right fielder Josh Lowe. Vaughn Grissom scores.,R,R,L,BOS,TB,B,,,0,0,2024,-0.45,1.3,-1.08,3.57,687093,,663853,1,7,Bot,,,,,,,-5.069253640007517,-132.49177485251298,-3.6831143063166407,-4.307625001720636,27.6801500461132,-16.228607265706003,2.83,1.23,,,,92.9,2358,7.3,746904,666163,650490,666018,691406,676609,680700,676356,666139,53.16,,,,,,,,54,1,4-Seam Fastball,0,2,0,2,2,0,0,2,Infield shade,Standard,193,0.0,0.024,,,,-0.024,,-2,-2,0.314,0.314,30,26,30,27,1,2,3,2,,2,1.44,-0.45,0.45,63.6
SL,2024-09-27,83.0,1.02,6.21,"Poche, Colin",663853,621363,single,hit_into_play,,,,,8,Romy Gonzalez singles on a ground ball to left fielder Richie Palacios. Vaughn Grissom to 3rd.,R,R,L,BOS,TB,X,7,ground_ball,1,2,2024,-0.54,0.15,-0.11,2.09,,687093,,1,7,Bot,82.06,113.56,,,,,-1.545423692760837,-120.91948820811324,-3.3327846913348957,-5.0138194623068815,22.633966359005303,-30.30195212939842,3.43,1.66,12,99.6,-10,84.7,2434,7.2,746904,666163,650490,666018,691406,676609,680700,676356,666139,53.28,0.243,0.262,0.9,1,1,0,2,53,4,Slider,0,2,0,2,2,0,0,2,Standard,Standard,247,0.077,0.634,76.1,7.1,0.254,-0.634,99.6,-2,-2,0.237,0.237,30,27,30,28,1,0,3,2,,1,3.14,-0.54,0.54,69.9
