pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
CH,2024-10-07,83.0,1.15,6.37,"Ragans, Cole",650402,666142,field_out,hit_into_play,,,,,8,Gleyber Torres lines out to third baseman Maikel Garcia.,D,R,L,NYY,KC,X,5,line_drive,1,2,2024,1.19,0.95,0.03,1.67,,,657077,2,4,Bot,97.08,159.99,,,,,-4.90553670661206,-120.65598093879385,-6.04419629293468,12.61929335216155,25.79789267363916,-21.903066282399312,3.21,1.54,165,91.8,11,82.6,1893,6.3,775332,521692,493329,686681,672580,677951,502054,641658,592669,54.21,0.751,0.693,0.0,1,0,0,4,38,4,Changeup,1,4,1,4,4,1,1,4,Standard,Standard,121,-0.023,-0.197,60.7,8.2,0.836,0.197,91.8,-3,-3,0.177,0.177,26,27,27,28,3,2,6,2,,2,2.39,1.19,-1.19,43.9
KC,2024-10-07,80.0,1.28,6.45,"Ragans, Cole",650402,666142,,blocked_ball,,,,,13,Gleyber Torres lines out to third baseman Maikel Garcia.,D,R,L,NYY,KC,B,,,0,2,2024,-1.13,-1.18,-0.21,0.59,,,657077,2,4,Bot,,,,,,,-1.1491935552391337,-116.41701076570403,-3.845566639060785,-9.90031673834747,25.675683936035306,-42.150359962883705,3.21,1.53,,,,79.2,2420,6.1,775332,521692,493329,686681,672580,677951,502054,641658,592669,54.39,,,,,,,,38,3,Knuckle Curve,1,4,1,4,4,1,1,4,Standard,Standard,341,0.0,0.027,,,,-0.027,,-3,-3,0.177,0.177,26,27,27,28,3,2,6,2,,2,4.79,-1.13,1.13,46.5
FF,2024-10-07,95.5,1.04,6.46,"Ragans, Cole",650402,666142,,foul,,,,,4,Gleyber Torres lines out to third baseman Maikel Garcia.,D,R,L,NYY,KC,S,,,0,1,2024,1.04,1.47,-0.34,2.08,,,657077,2,4,Bot,,,,,,,-5.944159964374209,-138.6509448901605,-9.092930223413502,14.777440853966873,34.22843294413967,-11.314532716988692,3.21,1.54,171,73.6,60,94.7,2582,6.2,775332,521692,493329,686681,672580,677951,502054,641658,592669,54.32,,,,,,,,38,2,4-Seam Fastball,1,4,1,4,4,1,1,4,Standard,Standard,136,0.0,-0.054,69.8,7.5,,0.054,88.0,-3,-3,0.177,0.177,26,27,27,28,3,2,6,2,,2,1.06,1.04,-1.04,44.5
KC,2024-10-07,80.0,1.28,6.41,"Ragans, Cole",650402,666142,,called_strike,,,,,5,Gleyber Torres lines out to third baseman Maikel Garcia.,D,R,L,NYY,KC,S,,,0,0,2024,-0.89,-1.37,0.2,2.1,,,657077,2,4,Bot,,,,,,,-0.6839525529541842,-116.33711403769486,-0.0677281666211448,-7.831704336584488,25.980849085975837,-44.70989139457939,3.09,1.43,,,,79.0,2513,6.1,775332,521692,493329,686681,672580,677951,502054,641658,592669,54.45,,,,,,,,38,1,Knuckle Curve,1,4,1,4,4,1,1,4,Standard,Standard,335,0.0,-0.047,,,,0.047,,-3,-3,0.177,0.177,26,27,27,28,3,2,6,2,,2,5.0,-0.89,0.89,45.7
CH,2024-10-07,82.4,1.24,6.37,"Ragans, Cole",542932,666142,field_out,hit_into_play,,,,,6,Jon Berti lines out sharply to left fielder Tommy Pham.,D,R,L,NYY,KC,X,7,line_drive,2,2,2024,1.36,1.06,0.51,2.59,,,657077,1,4,Bot,76.33,80.37,,,,,-4.293942194022385,-119.83695116702256,-4.040138847262703,13.919727697358656,25.50919898069102,-21.43622730380618,3.46,1.63,319,100.9,18,81.9,2012,6.2,775332,521692,493329,686681,672580,677951,502054,641658,592669,54.32,0.44,0.516,0.0,1,0,0,5,37,6,Changeup,1,4,1,4,4,1,1,4,Standard,Standard,120,-0.03,-0.233,79.1,7.9,0.765,0.233,100.9,-3,-3,0.207,0.207,26,34,27,34,2,1,6,8,,3,2.33,1.36,-1.36,43.1
FF,2024-10-07,95.5,1.17,6.46,"Ragans, Cole",542932,666142,,foul,,,,,4,Jon Berti lines out sharply to left fielder Tommy Pham.,D,R,L,NYY,KC,S,,,2,2,2024,0.81,1.74,-0.39,2.59,,,657077,1,4,Bot,,,,,,,-5.885410141060723,-138.55083270530938,-8.30215963570422,11.815388233754495,36.20376832194003,-8.14299966915367,3.46,1.63,163,64.8,38,94.2,2509,6.1,775332,521692,493329,686681,672580,677951,502054,641658,592669,54.4,,,,,,,,37,5,4-Seam Fastball,1,4,1,4,4,1,1,4,Standard,Standard,137,0.0,0.0,71.2,7.1,,0.0,88.0,-3,-3,0.207,0.207,26,34,27,34,2,1,6,8,,3,0.81,0.81,-0.81,45.2
CH,2024-10-07,81.7,1.31,6.29,"Ragans, Cole",542932,666142,,swinging_strike,,,,,14,Jon Berti lines out sharply to left fielder Tommy Pham.,D,R,L,NYY,KC,S,,,2,1,2024,1.18,0.92,0.35,0.96,,,657077,1,4,Bot,,,,,,,-4.423719860363605,-118.66433060070534,-7.109041171447147,11.961385440754992,24.505032342925876,-22.262364633443497,3.46,1.63,,,,81.3,1904,6.3,775332,521692,493329,686681,672580,677951,502054,641658,592669,54.17,,,,,,,,37,4,Changeup,1,4,1,4,4,1,1,4,Standard,Standard,118,0.0,-0.057,67.5,9.6,,0.057,,-3,-3,0.207,0.207,26,34,27,34,2,1,6,8,,3,2.53,1.18,-1.18,43.6
FF,2024-10-07,93.3,1.13,6.43,"Ragans, Cole",542932,666142,,ball,,,,,11,Jon Berti lines out sharply to left fielder Tommy Pham.,D,R,L,NYY,KC,B,,,1,1,2024,0.81,1.72,-1.06,3.28,,,657077,1,4,Bot,,,,,,,-7.394018819760411,-135.53450938705356,-6.020528216919114,11.697857566015568,33.576587672129975,-9.87652518665884,3.33,1.5,,,,92.5,2472,6.2,775332,521692,493329,686681,672580,677951,502054,641658,592669,54.3,,,,,,,,37,3,4-Seam Fastball,1,4,1,4,4,1,1,4,Standard,Standard,138,0.0,0.046,,,,-0.046,,-3,-3,0.207,0.207,26,34,27,34,2,1,6,8,,3,0.94,0.81,-0.81,46.4
FF,2024-10-07,94.1,1.23,6.45,"Ragans, Cole",542932,666142,,ball,,,,,12,Jon Berti lines out sharply to left fielder Tommy Pham.,D,R,L,NYY,KC,B,,,0,1,2024,0.94,1.68,0.44,3.85,,,657077,1,4,Bot,,,,,,,-4.1034324228656045,-136.7981436180279,-4.636852429817033,12.65437325779025,35.09798368902528,-10.351809815620262,3.4,1.56,,,,93.0,2435,6.1,775332,521692,493329,686681,672580,677951,502054,641658,592669,54.45,,,,,,,,37,2,4-Seam Fastball,1,4,1,4,4,1,1,4,Standard,Standard,139,0.0,0.029,,,,-0.029,,-3,-3,0.207,0.207,26,34,27,34,2,1,6,8,,3,0.93,0.94,-0.94,44.7
KC,2024-10-07,77.9,1.24,6.39,"Ragans, Cole",542932,666142,,called_strike,,,,,7,Jon Berti lines out sharply to left fielder Tommy Pham.,D,R,L,NYY,KC,S,,,0,0,2024,-0.84,-1.39,-0.77,1.74,,,657077,1,4,Bot,,,,,,,-2.7736721295258966,-113.24812476868614,-0.3827851293780397,-6.470618057577681,25.276997752619906,-44.10882496550746,3.35,1.53,,,,76.8,2420,6.1,775332,521692,493329,686681,672580,677951,502054,641658,592669,54.41,,,,,,,,37,1,Knuckle Curve,1,4,1,4,4,1,1,4,Standard,Standard,335,0.0,-0.04,,,,0.04,,-3,-3,0.207,0.207,26,34,27,34,2,1,6,8,,3,5.22,-0.84,0.84,44.6
