pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
CU,2024-04-27,70.0,-1.17,5.4,"Reyes, Pablo",543228,622569,field_out,hit_into_play,,,,,3,Yan Gomes flies out to right fielder Wilyer Abreu.,R,R,R,BOS,CHC,X,9,fly_ball,2,2,2024,0.45,0.74,0.42,2.82,,683737,672744,2,9,Top,187.02,83.26,,,,,2.285028234661027,-101.85203776012447,1.4422284550038322,2.723687086566071,17.507351373537826,-27.485883532610146,3.34,1.58,324,92.9,26,68.3,2384,5.0,746971,624512,657136,666152,666915,678882,641933,680776,677800,55.46,0.134,0.166,0.0,1,0,0,3,84,5,Curveball,17,0,0,17,0,17,0,17,Standard,Standard,115,0.0,-0.203,62.1,6.7,0.274,0.203,92.9,17,-17,1.0,0.0,30,36,31,37,1,3,,3,,2,3.93,-0.45,-0.45,22.3
FA,2024-04-27,76.3,-1.51,4.98,"Reyes, Pablo",543228,622569,,swinging_strike,,,,,13,Yan Gomes flies out to right fielder Wilyer Abreu.,R,R,R,BOS,CHC,S,,,2,1,2024,-1.15,1.08,-1.11,2.35,,683737,672744,2,9,Top,,,,,,,2.83670473364326,-111.04817426208544,-0.4495098933426927,-10.05231659327331,20.518171152033823,-23.373689054395985,3.34,1.58,,,,74.6,1933,5.1,746971,624512,657136,666152,666915,678882,641933,680776,677800,55.4,,,,,,,,84,4,Other,17,0,0,17,0,17,0,17,Standard,Standard,242,0.0,-0.102,69.0,7.3,,0.102,,17,-17,1.0,0.0,30,36,31,37,1,3,,3,,2,2.84,1.15,1.15,14.3
FA,2024-04-27,72.2,-1.31,5.32,"Reyes, Pablo",543228,622569,,called_strike,,,,,2,Yan Gomes flies out to right fielder Wilyer Abreu.,R,R,R,BOS,CHC,S,,,2,0,2024,-0.83,1.25,0.22,3.58,,683737,672744,2,9,Top,,,,,,,4.341323226880889,-105.10901298309076,1.7420771861593598,-6.8994958422405634,17.35217233802414,-23.3587335250128,3.47,1.58,,,,70.4,1904,4.8,746971,624512,657136,666152,666915,678882,641933,680776,677800,55.67,,,,,,,,84,3,Other,17,0,0,17,0,17,0,17,Standard,Standard,230,0.0,-0.043,,,,0.043,,17,-17,1.0,0.0,30,36,31,37,1,3,,3,,2,3.1,0.83,0.83,14.7
FA,2024-04-27,78.5,-1.26,5.46,"Reyes, Pablo",543228,622569,,ball,,,,,11,Yan Gomes flies out to right fielder Wilyer Abreu.,R,R,R,BOS,CHC,B,,,1,0,2024,-0.79,1.41,-0.47,4.5,,683737,672744,2,9,Top,,,,,,,3.10328047138414,-114.3228558578258,2.0874503180782704,-7.524056317123697,21.612602373994697,-20.49046470933601,3.42,1.5,,,,76.8,2031,5.1,746971,624512,657136,666152,666915,678882,641933,680776,677800,55.44,,,,,,,,84,2,Other,17,0,0,17,0,17,0,17,Standard,Standard,226,0.0,0.044,,,,-0.044,,17,-17,1.0,0.0,30,36,31,37,1,3,,3,,2,2.3,0.79,0.79,21.3
EP,2024-04-27,42.1,-0.87,6.02,"Reyes, Pablo",543228,622569,,ball,,,,,14,Yan Gomes flies out to right fielder Wilyer Abreu.,R,R,R,BOS,CHC,B,,,0,0,2024,-0.35,1.31,0.86,1.39,,683737,672744,2,9,Top,,,,,,,2.2641249802579964,-60.87037509501297,5.818464715237596,-1.0600691748294233,5.157229822780773,-29.578540776741058,3.25,1.45,,,,40.9,1134,4.8,746971,624512,657136,666152,666915,678882,641933,680776,677800,55.73,,,,,,,,84,1,Eephus,17,0,0,17,0,17,0,17,Standard,Standard,210,0.0,0.026,,,,-0.026,,17,-17,1.0,0.0,30,36,31,37,1,3,,3,,2,11.57,0.35,0.35,36.8
CU,2024-04-27,63.9,-1.38,5.49,"Reyes, Pablo",670223,622569,field_out,hit_into_play,,,,,13,Matt Mervis lines out to center fielder Jarren Duran.,R,L,R,BOS,CHC,X,8,line_drive,1,2,2024,0.59,0.37,-1.28,2.08,,683737,672744,1,9,Top,146.37,77.87,,,,,-0.6981309315152486,-93.23703302009775,1.583391113209102,3.6024764502295574,11.445917874738573,-30.345925667911494,3.5,1.67,305,86.4,22,63.1,2217,5.0,746971,624512,657136,666152,666915,678882,641933,680776,677800,55.49,0.323,0.302,0.0,1,0,0,3,83,4,Curveball,17,0,0,17,0,17,0,17,Infield shade,Standard,98,0.0,-0.175,70.9,7.9,0.399,0.175,88.0,17,-17,1.0,0.0,30,26,31,26,1,3,,1,,1,5.1,-0.59,0.59,21.4
FA,2024-04-27,75.6,-1.52,4.85,"Reyes, Pablo",670223,622569,,called_strike,,,,,8,Matt Mervis lines out to center fielder Jarren Duran.,R,L,R,BOS,CHC,S,,,1,1,2024,-1.27,1.02,-0.19,1.69,,683737,672744,1,9,Top,,,,,,,4.898023216619815,-110.04308792351362,-1.316587880715978,-11.168322504750146,19.14494318520143,-23.879354767625433,3.71,1.65,,,,73.9,2048,5.0,746971,624512,657136,666152,666915,678882,641933,680776,677800,55.51,,,,,,,,83,3,Other,17,0,0,17,0,17,0,17,Infield shade,Standard,241,0.0,-0.04,,,,0.04,,17,-17,1.0,0.0,30,26,31,26,1,3,,1,,1,2.96,1.27,-1.27,8.4
CU,2024-04-27,56.4,-1.43,5.67,"Reyes, Pablo",670223,622569,,ball,,,,,9,Matt Mervis lines out to center fielder Jarren Duran.,R,L,R,BOS,CHC,B,,,0,1,2024,0.72,0.53,0.36,1.69,,683737,672744,1,9,Top,,,,,,,1.7735154490279434,-81.99707000240024,2.5187696784711973,3.0001500545909514,10.852535039182486,-30.332171854264026,3.68,1.7,,,,54.7,1927,4.6,746971,624512,657136,666152,666915,678882,641933,680776,677800,55.87,,,,,,,,83,2,Curveball,17,0,0,17,0,17,0,17,Infield shade,Standard,113,0.0,0.015,,,,-0.015,,17,-17,1.0,0.0,30,26,31,26,1,3,,1,,1,6.65,-0.72,0.72,23.2
FA,2024-04-27,74.0,-1.39,5.38,"Reyes, Pablo",670223,622569,,foul,,,,,4,Matt Mervis lines out to center fielder Jarren Duran.,R,L,R,BOS,CHC,S,,,0,0,2024,-1.08,1.34,-0.57,2.58,,683737,672744,1,9,Top,,,,,,,3.4728710537969727,-107.8066122456943,-0.7852154887619145,-9.060770484879749,19.048870365222008,-21.82953987091768,3.5,1.67,3,63.2,-44,72.4,2041,5.0,746971,624512,657136,666152,666915,678882,641933,680776,677800,55.47,,,,,,,,83,1,Other,17,0,0,17,0,17,0,17,Infield shade,Standard,234,0.0,-0.039,76.6,7.8,,0.039,88.0,17,-17,1.0,0.0,30,26,31,26,1,3,,1,,1,2.82,1.08,-1.08,18.0
FA,2024-04-27,56.0,-1.28,5.29,"Reyes, Pablo",672744,622569,walk,ball,,,,,14,Alexander Canario walks.   Michael Busch to 2nd.,R,R,R,BOS,CHC,B,,,3,1,2024,-0.81,1.15,1.56,1.57,,,683737,1,9,Top,,,,,,,5.277462276585093,-81.5142969653453,2.037737797169385,-4.200008484250874,8.56890320610374,-27.399612411050736,3.71,1.65,,,,54.8,1597,4.7,746971,624512,657136,666152,666915,678882,641933,680776,677800,55.85,,0.689131,0.7,1,0,0,,82,5,Other,17,0,0,17,0,17,0,17,Standard,Standard,234,0.0,0.167,,,,-0.167,,17,-17,1.0,0.0,30,24,31,24,1,0,,2,,3,6.0,0.81,0.81,14.1
