pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
EP,2024-09-17,43.4,-2.34,6.7,"Rivas, Leo",657077,660844,field_out,hit_into_play,,,,,4,"Alex Verdugo grounds out, second baseman Josh Rojas to first baseman Dylan Moore.",R,L,R,SEA,NYY,X,4,ground_ball,1,0,2024,-0.06,1.66,-0.5,2.38,,,665828,2,9,Top,147.66,142.55,,,,,2.140684263403567,-62.77663623454978,5.209212277838081,-0.3692602110397427,6.232845650061716,-28.50121099925935,3.42,1.53,13,90.4,-11,41.2,1192,3.6,745205,663728,664238,668942,649966,641487,668227,677594,670042,56.89,0.14,0.124,0.0,1,0,0,2,82,2,Eephus,2,11,11,2,11,2,11,2,Infield shade,Strategic,204,0.0,-0.304,67.2,6.4,0.157,0.304,90.4,-9,9,0.0,1.0,26,28,27,28,1,4,35,3,,1,10.56,0.06,-0.06,46.9
EP,2024-09-17,43.7,-2.36,6.79,"Rivas, Leo",657077,660844,,ball,,,,,11,"Alex Verdugo grounds out, second baseman Josh Rojas to first baseman Dylan Moore.",R,L,R,SEA,NYY,B,,,0,0,2024,-0.15,1.52,-0.97,5.44,,,665828,2,9,Top,,,,,,,1.715327949276218,-62.816003451590866,8.712874151308178,-0.5741943325671213,6.45973159649537,-29.26562060291613,3.82,1.69,,,,41.1,1224,3.5,745205,663728,664238,668942,649966,641487,668227,677594,670042,56.98,,,,,,,,82,1,Eephus,2,11,11,2,11,2,11,2,Standard,Strategic,198,0.0,0.034,,,,-0.034,,-9,9,0.0,1.0,26,28,27,28,1,4,35,3,,1,10.72,0.15,-0.15,46.3
EP,2024-09-17,43.7,-1.97,6.87,"Rivas, Leo",665828,660844,single,hit_into_play,,,,,2,Oswaldo Cabrera singles on a line drive to left fielder Randy Arozarena. Jazz Chisholm Jr. scores.,R,R,R,SEA,NYY,X,7,line_drive,0,0,2024,-0.25,1.58,-0.26,3.18,,665862,,2,9,Top,71.95,102.55,,,,,2.1920369920434695,-63.25075415542865,5.834142331736481,-0.885304315012934,6.095600061393471,-28.69271047625314,3.11,1.46,157,100.0,12,41.5,1200,3.6,745205,663728,664238,668942,649966,641487,668227,677594,670042,56.9,0.943,0.911,0.9,1,1,0,4,81,1,Eephus,2,10,10,2,11,2,11,2,Standard,Strategic,199,0.0,0.671,,,1.143,-0.671,100.0,-8,8,0.0,1.0,26,25,27,25,1,4,35,2,,2,10.43,0.25,0.25,52.4
EP,2024-09-17,45.6,-2.26,6.76,"Rivas, Leo",519203,660844,field_out,hit_into_play,,,,,11,Anthony Rizzo flies out to center fielder Julio Rodríguez.,R,L,R,SEA,NYY,X,8,fly_ball,0,0,2024,-0.18,1.54,-0.49,3.87,,665862,,1,9,Top,115.4,67.72,,,,,2.281775796882325,-65.91332019214069,6.134744919821943,-0.7612142223288356,6.77803693056163,-28.509400769666204,3.59,1.72,327,95.5,25,43.2,1259,3.6,745205,663728,664238,668942,649966,641487,668227,677594,670042,56.91,0.209,0.289,0.0,1,0,0,5,80,1,Eephus,2,10,10,2,10,2,10,2,Standard,Standard,197,0.0,-0.263,,,0.468,0.263,95.5,-8,8,0.0,1.0,26,34,27,35,1,4,35,3,,1,9.53,0.18,-0.18,48.3
EP,2024-09-17,44.0,-2.11,6.76,"Rivas, Leo",691176,660844,field_out,hit_into_play,,,,,11,Jasson Domínguez pops out to shortstop J. P. Crawford.,R,R,R,SEA,NYY,X,6,popup,0,1,2024,0.01,1.36,-0.96,4.01,,665862,,0,9,Top,115.52,167.75,,,,,1.3057954009002286,-63.525098492596435,7.109088931064219,-0.116861493542227,6.681803037976793,-29.45684657344936,3.37,1.51,99,67.3,69,41.5,1192,3.5,745205,663728,664238,668942,649966,641487,668227,677594,670042,57.04,0.003,0.003,0.0,1,0,0,3,79,2,Eephus,2,10,10,2,10,2,10,2,Standard,Standard,203,0.0,-0.23,68.4,7.0,0.004,0.23,88.0,-8,8,0.0,1.0,26,21,27,21,1,4,35,2,,1,10.62,-0.01,-0.01,45.8
EP,2024-09-17,45.1,-1.85,6.83,"Rivas, Leo",691176,660844,,called_strike,,,,,12,Jasson Domínguez pops out to shortstop J. P. Crawford.,R,R,R,SEA,NYY,S,,,0,0,2024,0.06,1.54,0.03,4.46,,665862,,0,9,Top,,,,,,,2.1542345885850263,-65.17725175985778,6.916024841768103,-0.0548144537352321,6.540540649915149,-28.669821077760997,3.63,1.56,,,,42.8,1282,3.6,745205,663728,664238,668942,649966,641487,668227,677594,670042,56.91,,,,,,,,79,1,Eephus,2,10,10,2,10,2,10,2,Standard,Standard,193,0.0,-0.035,,,,0.035,,-8,8,0.0,1.0,26,21,27,21,1,4,35,2,,1,9.78,-0.06,-0.06,51.2
EP,2024-09-17,49.7,-2.44,6.46,"Rivas, Leo",665862,660844,field_error,hit_into_play,,,,,13,Jazz Chisholm Jr. reaches on a fielding error by center fielder Julio Rodríguez. Jazz Chisholm Jr. to 2nd.,R,L,R,SEA,NYY,X,8,line_drive,1,1,2024,-0.18,1.5,-1.22,2.23,,,,0,9,Top,105.34,58.13,,,,,1.7996474344625206,-72.15079301815203,3.1276457397905872,-0.8352439495391163,8.75500703987092,-27.56075857156283,3.6,1.68,352,100.9,20,47.6,1321,4.0,745205,663728,664238,668942,649966,641487,668227,677594,670042,56.48,0.397,0.491,0.9,1,0,0,5,78,3,Eephus,2,10,10,2,10,2,10,2,Infield shade,Standard,208,0.0,0.495,72.3,7.7,0.784,-0.495,100.9,-8,8,0.0,1.0,26,26,27,26,1,4,35,2,,1,7.8,0.18,-0.18,40.7
EP,2024-09-17,43.8,-2.25,6.64,"Rivas, Leo",665862,660844,,ball,,,,,14,Jazz Chisholm Jr. reaches on a fielding error by center fielder Julio Rodríguez. Jazz Chisholm Jr. to 2nd.,R,L,R,SEA,NYY,B,,,0,1,2024,0.1,1.22,1.47,1.94,,,,0,9,Top,,,,,,,4.170298516473682,-63.26796538282257,5.127473793134077,-0.1624257644875603,6.406011430815722,-29.66218741174732,3.8,1.82,,,,41.7,1162,3.9,745205,663728,664238,668942,649966,641487,668227,677594,670042,56.57,,,,,,,,78,2,Eephus,2,10,10,2,10,2,10,2,Infield shade,Standard,202,0.0,0.025,,,,-0.025,,-8,8,0.0,1.0,26,26,27,26,1,4,35,2,,1,10.83,-0.1,0.1,45.6
EP,2024-09-17,46.5,-2.26,6.66,"Rivas, Leo",665862,660844,,foul,,,,,12,Jazz Chisholm Jr. reaches on a fielding error by center fielder Julio Rodríguez. Jazz Chisholm Jr. to 2nd.,R,L,R,SEA,NYY,S,,,0,0,2024,0.26,1.43,0.9,3.0,,,,0,9,Top,,,,,,,3.577773138041767,-67.33987617823904,5.019834274411397,0.4081203754690734,7.1179180244759515,-28.582216788563972,3.6,1.68,369,98.9,31,44.3,1220,3.8,745205,663728,664238,668942,649966,641487,668227,677594,670042,56.69,,,,,,,,78,1,Eephus,2,10,10,2,10,2,10,2,Infield shade,Standard,202,0.0,-0.037,74.6,7.5,,0.037,98.9,-8,8,0.0,1.0,26,26,27,26,1,4,35,2,,1,9.19,-0.26,0.26,44.8
EP,2024-08-13,46.1,-1.92,6.57,"Rivas, Leo",668731,660844,field_out,hit_into_play,,,,,5,Akil Baddoo flies out to left fielder Dominic Canzone.,R,L,R,DET,SEA,X,7,fly_ball,0,1,2024,0.15,1.38,0.18,2.23,,656716,,2,8,Bot,62.66,86.27,,,,,2.3703727327755986,-66.90354642399139,4.242653477675568,0.2269979717436406,6.651842416767902,-28.63378531107178,3.36,1.63,319,90.7,35,43.8,1249,3.4,746435,641598,670042,668942,457759,664238,686527,645302,571745,57.15,0.009,0.008,0.0,1,0,0,3,74,2,Eephus,15,1,15,1,1,15,15,1,Infield shade,Standard,198,0.0,-0.261,78.0,6.6,0.01,0.261,90.7,14,14,1.0,1.0,26,25,27,26,1,0,,2,35,1,9.33,-0.15,0.15,44.7
