pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
FC,2024-09-29,90.3,-2.0,5.15,"Roberts, Ethan",670770,681799,field_out,hit_into_play,,,,,6,TJ Friedl flies out to right fielder Mike Tauchman.,R,L,R,CHC,CIN,X,9,fly_ball,3,2,2024,0.31,0.59,0.75,2.51,,663886,,2,10,Top,197.97,107.45,,,,,6.207666618896111,-131.56085688275016,-1.9746570993663857,2.466517625960985,25.016610533868658,-25.088399094278593,3.13,1.48,287,90.0,42,91.3,2597,6.6,746820,542194,683737,663538,670623,676679,664023,691718,643565,53.91,0.009,0.012,0.0,1,0,0,3,77,7,Cutter,0,3,3,0,3,0,3,0,Infield shade,Standard,178,-0.004,-0.298,67.1,6.4,0.022,0.298,90.0,-3,3,0.093,0.907,26,28,27,29,1,4,4,1,,,2.18,-0.31,0.31,32.6
FC,2024-09-29,89.7,-1.94,5.2,"Roberts, Ethan",670770,681799,,foul,,,,,5,TJ Friedl flies out to right fielder Mike Tauchman.,R,L,R,CHC,CIN,S,,,3,2,2024,0.24,0.7,-0.19,2.59,,663886,,2,10,Top,,,,,,,3.851590969970028,-130.79430826590524,-2.0438104074428924,2.0717772264101204,24.276472741639253,-23.8289726567506,3.13,1.48,174,72.8,66,90.7,2519,6.5,746820,542194,683737,663538,670623,676679,664023,691718,643565,53.99,,,,,,,,77,6,Cutter,0,3,3,0,3,0,3,0,Infield shade,Standard,172,0.0,0.0,66.6,6.0,,0.0,88.0,-3,3,0.093,0.907,26,28,27,29,1,4,4,1,,,2.09,-0.24,0.24,35.4
ST,2024-09-29,82.5,-2.18,4.99,"Roberts, Ethan",670770,681799,,ball,,,,,14,TJ Friedl flies out to right fielder Mike Tauchman.,R,L,R,CHC,CIN,B,,,2,2,2024,1.66,-0.04,0.77,0.43,,,663886,2,10,Top,,,,,,,3.510289785953809,-120.05527736823664,-3.761888628333896,15.285814732450316,23.8587516542855,-32.070312179002,2.87,1.35,,,,82.5,3066,6.4,746820,542194,683737,663538,670623,676679,664023,691718,643565,54.15,,,,,,,,77,5,Sweeper,0,3,3,0,3,0,3,0,Standard,Standard,64,-0.005,0.085,,,,-0.085,,-3,3,0.098,0.902,26,28,27,29,1,4,4,1,,,3.4,-1.66,1.66,32.6
FC,2024-09-29,90.0,-2.14,5.11,"Roberts, Ethan",670770,681799,,foul,,,,,9,TJ Friedl flies out to right fielder Mike Tauchman.,R,L,R,CHC,CIN,S,,,2,1,2024,0.28,0.54,0.58,1.64,,,663886,2,10,Top,,,,,,,6.184512562285375,-131.02363087914466,-3.911774602942007,2.159832934984044,23.122313744178705,-25.293814798703533,3.13,1.48,3,90.9,-30,91.0,2647,6.5,746820,542194,683737,663538,670623,676679,664023,691718,643565,53.99,,,,,,,,77,4,Cutter,0,3,3,0,3,0,3,0,Infield shade,Standard,177,0.0,-0.072,69.9,6.8,,0.072,90.9,-3,3,0.098,0.902,26,28,27,29,1,4,4,1,,,2.23,-0.28,0.28,30.2
ST,2024-09-29,81.6,-2.26,4.96,"Roberts, Ethan",670770,681799,,ball,,,,,13,TJ Friedl flies out to right fielder Mike Tauchman.,R,L,R,CHC,CIN,B,,,1,1,2024,1.37,-0.05,-1.13,1.42,,,663886,2,10,Top,,,,,,,-0.08103845717533,-118.82889304716583,-1.266281563095331,12.933392830964724,23.897949542880756,-32.58340439150203,3.13,1.54,,,,81.6,3034,6.3,746820,542194,683737,663538,670623,676679,664023,691718,643565,54.16,,,,,,,,77,3,Sweeper,0,3,3,0,3,0,3,0,Infield shade,Standard,65,0.0,0.05,,,,-0.05,,-3,3,0.098,0.902,26,28,27,29,1,4,4,1,,,3.48,-1.37,1.37,25.0
FC,2024-09-29,89.8,-2.07,5.08,"Roberts, Ethan",670770,681799,,foul,,,,,2,TJ Friedl flies out to right fielder Mike Tauchman.,R,L,R,CHC,CIN,S,,,1,0,2024,0.38,0.83,0.17,2.93,,,663886,2,10,Top,,,,,,,4.7667788516939735,-130.85035144141003,-1.1968474243323404,3.597708367696308,23.571916850953997,-22.49485144135483,3.13,1.48,170,69.6,65,90.8,2645,6.5,746820,542194,683737,663538,670623,676679,664023,691718,643565,54.03,,,,,,,,77,2,Cutter,0,3,3,0,3,0,3,0,Standard,Standard,167,0.0,-0.048,67.3,6.2,,0.048,88.0,-3,3,0.098,0.902,26,28,27,29,1,4,4,1,,,1.96,-0.38,0.38,36.8
FC,2024-09-29,89.3,-2.2,5.06,"Roberts, Ethan",670770,681799,,ball,,,,,13,TJ Friedl flies out to right fielder Mike Tauchman.,R,L,R,CHC,CIN,B,,,0,0,2024,-0.07,0.65,-0.18,1.35,,,663886,2,10,Top,,,,,,,5.133502299823566,-130.1296079042161,-4.601535709077,-1.7284455056911772,23.509419818371963,-24.071576738226156,3.15,1.56,,,,90.3,2517,6.5,746820,542194,683737,663538,670623,676679,664023,691718,643565,53.98,,,,,,,,77,1,Cutter,0,3,3,0,3,0,3,0,Standard,Standard,186,0.0,0.034,,,,-0.034,,-3,3,0.098,0.902,26,28,27,29,1,4,4,1,,,2.17,0.07,-0.07,33.8
ST,2024-09-29,82.4,-2.22,5.06,"Roberts, Ethan",668715,681799,field_out,hit_into_play,,,,,3,Spencer Steer pops out to first baseman Michael Busch.,R,R,R,CHC,CIN,X,3,popup,2,1,2024,1.74,-0.31,0.29,2.8,,,663886,1,10,Top,155.82,168.82,,,,,2.346909707946363,-120.002878757413,1.9777101954281675,16.391721203956752,22.32284881428558,-35.799868533856944,3.32,1.58,112,83.6,66,82.8,3017,6.4,746820,542194,683737,663538,670623,676679,664023,691718,643565,54.09,0.017,0.022,0.0,1,0,0,3,76,4,Sweeper,0,3,3,0,3,0,3,0,Standard,Standard,68,0.01,-0.29,75.3,7.4,0.028,0.29,88.0,-3,3,0.088,0.912,26,26,27,27,1,4,4,1,,,3.66,-1.74,-1.74,28.0
SI,2024-09-29,90.7,-2.17,5.07,"Roberts, Ethan",668715,681799,,ball,,,,,1,Spencer Steer pops out to first baseman Michael Busch.,R,R,R,CHC,CIN,B,,,1,1,2024,-0.59,0.76,-0.8,3.34,,,663886,1,10,Top,,,,,,,4.71088209457741,-132.12122231487837,-0.0611590038006705,-7.935188688251872,26.75603877166014,-23.461646260725953,3.32,1.62,,,,91.3,2334,6.5,746820,542194,683737,663538,670623,676679,664023,691718,643565,54.02,,,,,,,,76,3,Sinker,0,3,3,0,3,0,3,0,Standard,Standard,196,0.0,0.046,,,,-0.046,,-3,3,0.088,0.912,26,26,27,27,1,4,4,1,,,2.0,0.59,0.59,36.6
ST,2024-09-29,81.4,-2.39,4.96,"Roberts, Ethan",668715,681799,,foul,,,,,9,Spencer Steer pops out to first baseman Michael Busch.,R,R,R,CHC,CIN,S,,,1,0,2024,1.75,0.04,0.36,1.64,,,663886,1,10,Top,,,,,,,2.8098158222450316,-118.59268989808687,-0.9263385484331544,15.930678473562576,23.034817316691157,-31.87386017658106,3.32,1.58,2,64.0,-39,81.5,3042,6.3,746820,542194,683737,663538,670623,676679,664023,691718,643565,54.19,,,,,,,,76,2,Sweeper,0,3,3,0,3,0,3,0,Standard,Standard,65,0.0,-0.047,66.0,8.2,,0.047,88.0,-3,3,0.088,0.912,26,26,27,27,1,4,4,1,,,3.4,-1.75,-1.75,26.7
