pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
FF,2024-09-28,93.7,1.48,5.8,"Rodriguez, Eduardo",456781,593958,single,hit_into_play,,,,,5,Donovan Solano singles on a line drive to right fielder Corbin Carroll. Jurickson Profar to 2nd.,R,R,L,AZ,SD,X,9,line_drive,1,1,2024,0.64,1.09,-0.1,2.05,,,595777,2,5,Top,168.55,90.18,,,,,-5.500961718928709,-136.35462919986355,-6.450836650818941,9.085510037389453,26.295044951798857,-17.39718269422462,3.14,1.46,230,98.0,12,94.4,2358,6.4,747146,672515,572233,606466,553993,672695,666971,664983,682998,54.06,0.937,0.904,0.9,1,1,0,4,35,3,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,146,-0.027,0.372,66.7,6.6,1.14,-0.372,98.0,0,0,0.534,0.466,31,36,31,37,3,2,5,1,,1,1.48,0.64,-0.64,40.7
FC,2024-09-28,90.2,1.63,5.64,"Rodriguez, Eduardo",456781,593958,,blocked_ball,,,,,13,Donovan Solano singles on a line drive to right fielder Corbin Carroll. Jurickson Profar to 2nd.,R,R,L,AZ,SD,B,,,0,1,2024,0.03,0.61,-0.8,0.65,,,595777,2,5,Top,,,,,,,-6.110176066210821,-131.19343659550947,-7.792767812496813,1.587697364786459,25.96849728390066,-23.675557282815948,3.27,1.54,,,,90.6,2393,6.4,747146,672515,572233,606466,553993,672695,666971,664983,682998,54.09,,,,,,,,35,2,Cutter,0,0,0,0,0,0,0,0,Standard,Standard,159,0.0,0.032,,,,-0.032,,0,0,0.534,0.466,31,36,31,37,3,2,5,1,,1,2.18,0.03,-0.03,38.5
CH,2024-09-28,86.9,1.49,5.82,"Rodriguez, Eduardo",456781,593958,,called_strike,,,,,6,Donovan Solano singles on a line drive to right fielder Corbin Carroll. Jurickson Profar to 2nd.,R,R,L,AZ,SD,S,,,0,0,2024,1.46,0.35,0.71,2.47,,,595777,2,5,Top,,,,,,,-4.910019796016956,-126.54897359723576,-2.6005829011468355,16.726185881032368,25.42102301897012,-28.03976017686152,3.14,1.48,,,,87.4,2022,6.5,747146,672515,572233,606466,553993,672695,666971,664983,682998,54.0,,,,,,,,35,1,Changeup,0,0,0,0,0,0,0,0,Standard,Standard,130,0.0,-0.047,,,,0.047,,0,0,0.534,0.466,31,36,31,37,3,2,5,1,,1,2.66,1.46,-1.46,41.2
FF,2024-09-28,93.9,1.29,5.78,"Rodriguez, Eduardo",595777,593958,walk,ball,,,,,11,Jurickson Profar walks.,R,R,L,AZ,SD,B,,,3,1,2024,0.28,1.3,-1.01,2.48,,,,2,5,Top,,,,,,,-6.570386977905066,-136.5972236848466,-5.740195779900111,4.872483674640824,27.500462393922028,-14.797529655278078,3.33,1.62,,,,94.3,2313,6.3,747146,672515,572233,606466,553993,672695,666971,664983,682998,54.18,,0.689131,0.7,1,0,0,,34,5,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,149,-0.017,0.178,,,,-0.178,,0,0,0.551,0.449,31,31,31,31,3,2,5,1,,3,1.27,0.28,-0.28,40.8
FC,2024-09-28,88.7,1.51,5.73,"Rodriguez, Eduardo",595777,593958,,ball,,,,,12,Jurickson Profar walks.,R,R,L,AZ,SD,B,,,2,1,2024,-0.16,0.41,1.28,3.59,,,,2,5,Top,,,,,,,-0.2284182959915759,-129.2313879099483,-0.1011116119623352,-1.7949527126716978,24.666029187674265,-27.771995124389615,3.29,1.6,,,,89.1,2369,6.3,747146,672515,572233,606466,553993,672695,666971,664983,682998,54.19,,,,,,,,34,4,Cutter,0,0,0,0,0,0,0,0,Standard,Standard,178,0.0,0.112,,,,-0.112,,0,0,0.551,0.449,31,31,31,31,3,2,5,1,,3,2.46,-0.16,0.16,38.5
CH,2024-09-28,86.3,1.37,5.83,"Rodriguez, Eduardo",595777,593958,,swinging_strike,,,,,14,Jurickson Profar walks.,R,R,L,AZ,SD,S,,,2,0,2024,1.33,0.38,1.12,2.13,,,,2,5,Top,,,,,,,-3.2959028305812264,-125.71795085783153,-3.3944759878851753,14.758457516079172,24.817347475806212,-27.67206146509977,3.33,1.6,,,,86.8,1902,6.5,747146,672515,572233,606466,553993,672695,666971,664983,682998,54.01,,,,,,,,34,3,Changeup,0,0,0,0,0,0,0,0,Standard,Standard,132,0.0,-0.061,68.1,8.8,,0.061,,0,0,0.551,0.449,31,31,31,31,3,2,5,1,,3,2.67,1.33,-1.33,39.7
FC,2024-09-28,87.1,1.57,5.68,"Rodriguez, Eduardo",595777,593958,,ball,,,,,12,Jurickson Profar walks.,R,R,L,AZ,SD,B,,,1,0,2024,-0.09,0.36,1.32,3.36,,,,2,5,Top,,,,,,,-0.4218912612399874,-126.93768095972332,-0.1870253294043329,-0.8683065849452938,24.508816192086528,-28.467380405848864,3.33,1.61,,,,87.4,2265,6.3,747146,672515,572233,606466,553993,672695,666971,664983,682998,54.22,,,,,,,,34,2,Cutter,0,0,0,0,0,0,0,0,Standard,Standard,182,0.0,0.068,,,,-0.068,,0,0,0.551,0.449,31,31,31,31,3,2,5,1,,3,2.62,-0.09,0.09,35.3
FF,2024-09-28,93.7,1.24,5.86,"Rodriguez, Eduardo",595777,593958,,ball,,,,,11,Jurickson Profar walks.,R,R,L,AZ,SD,B,,,0,0,2024,0.59,1.14,-0.51,3.87,,,,2,5,Top,,,,,,,-5.843752849420758,-136.5437120901905,-2.01811644463542,8.63108444696884,26.70752257915431,-17.54894591370334,3.43,1.76,,,,94.4,2344,6.3,747146,672515,572233,606466,553993,672695,666971,664983,682998,54.16,,,,,,,,34,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,158,0.0,0.04,,,,-0.04,,0,0,0.551,0.449,31,31,31,31,3,2,5,1,,3,1.42,0.59,-0.59,39.2
SI,2024-09-28,93.3,1.23,5.89,"Rodriguez, Eduardo",642180,593958,field_out,hit_into_play,,,,,8,"Tyler Wade grounds out sharply, second baseman Ketel Marte to first baseman Christian Walker.",R,L,L,AZ,SD,X,4,ground_ball,1,0,2024,1.07,1.15,-0.02,1.85,,,,1,5,Top,157.62,151.52,,,,,-5.562826526416308,-135.66668774951756,-7.159182308285213,14.387890938825093,30.731757189550276,-16.529415997354146,3.22,1.55,17,104.9,-5,93.3,2419,6.4,747146,672515,572233,606466,553993,672695,666971,664983,682998,54.08,0.369,0.368,0.0,1,0,0,2,33,2,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,153,0.021,-0.295,70.5,7.0,0.398,0.295,104.9,0,0,0.53,0.47,31,29,31,30,2,1,5,21,,1,1.48,1.07,1.07,40.1
FF,2024-09-28,94.7,1.41,5.83,"Rodriguez, Eduardo",642180,593958,,ball,,,,,13,"Tyler Wade grounds out sharply, second baseman Ketel Marte to first baseman Christian Walker.",R,L,L,AZ,SD,B,,,0,0,2024,0.65,1.24,-0.82,1.29,,,,1,5,Top,,,,,,,-7.2643650988233,-137.50144807617357,-8.968748956662434,9.769467891658886,28.568514359308292,-14.597755919902257,3.19,1.53,,,,95.0,2367,6.4,747146,672515,572233,606466,553993,672695,666971,664983,682998,54.08,,,,,,,,33,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,149,0.0,0.039,,,,-0.039,,0,0,0.53,0.47,31,29,31,30,2,1,5,21,,1,1.3,0.65,0.65,38.4
