pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
CH,2024-08-07,88.0,-2.04,5.48,"Rodríguez, Yerry",623993,666720,field_out,hit_into_play,,,,,7,"Anthony Santander grounds out, first baseman Spencer Horwitz to pitcher Yerry Rodríguez.",R,L,R,TOR,BAL,X,3,ground_ball,1,0,2024,-1.48,0.75,-0.33,1.65,,,,2,9,Top,154.61,168.31,,,,,7.299763373748672,-127.83376062321254,-4.709452881820775,-17.79057953758034,29.235366912740083,-23.095179059437775,3.36,1.55,92,81.3,7,88.4,1981,6.9,744903,661531,687462,676391,665489,677870,676914,662139,543807,53.6,0.331,0.3,0.0,1,0,0,2,73,2,Changeup,3,7,7,3,7,3,7,3,Infield shade,Standard,251,0.001,-0.295,75.6,7.7,0.38,0.295,88.0,-4,4,0.015,0.985,26,29,27,30,1,4,4,1,,1,2.23,1.48,-1.48,25.6
FF,2024-08-07,94.6,-2.02,5.62,"Rodríguez, Yerry",623993,666720,,ball,,,,,14,"Anthony Santander grounds out, first baseman Spencer Horwitz to pitcher Yerry Rodríguez.",R,L,R,TOR,BAL,B,,,0,0,2024,-1.15,1.22,1.2,0.97,,,,2,9,Top,,,,,,,10.98791187770824,-137.12108687812164,-9.150409204172256,-16.98316479896408,31.274028848226585,-14.803972832887924,3.44,1.65,,,,94.7,2280,6.6,744903,661531,687462,676391,665489,677870,676914,662139,543807,53.88,,,,,,,,73,1,4-Seam Fastball,3,7,7,3,7,3,7,3,Infield shade,Standard,234,0.0,0.04,,,,-0.04,,-4,4,0.015,0.985,26,29,27,30,1,4,4,1,,1,1.35,1.15,-1.15,29.3
CH,2024-08-07,87.4,-2.09,5.42,"Rodríguez, Yerry",681297,666720,field_out,hit_into_play,,,,,8,"Colton Cowser grounds out sharply, shortstop Leo Jiménez to first baseman Spencer Horwitz.",R,L,R,TOR,BAL,X,6,ground_ball,0,1,2024,-1.44,0.47,0.0,1.74,,,,1,9,Top,118.35,141.36,,,,,8.159411925765347,-126.89701576455366,-3.645105050432437,-17.30275069091408,27.738678330930817,-26.569104019793105,3.28,1.51,72,103.2,3,88.5,1835,7.3,744903,661531,687462,676391,665489,677870,676914,662139,543807,53.22,0.56,0.512,0.0,1,0,0,4,72,2,Changeup,3,7,7,3,7,3,7,3,Infield shade,Standard,254,0.001,-0.219,68.0,6.2,0.621,0.219,103.2,-4,4,0.014,0.986,26,24,27,24,1,4,4,1,,1,2.55,1.44,-1.44,24.5
SI,2024-08-07,94.5,-2.1,5.61,"Rodríguez, Yerry",681297,666720,,foul,,,,,5,"Colton Cowser grounds out sharply, shortstop Leo Jiménez to first baseman Spencer Horwitz.",R,L,R,TOR,BAL,S,,,0,0,2024,-1.29,0.69,-0.09,2.24,,,,1,9,Top,,,,,,,8.176061798711638,-137.31408763021213,-4.6033187890032075,-18.252672719926448,34.18517631766315,-22.56776907957339,3.28,1.51,,,,94.6,2326,6.7,744903,661531,687462,676391,665489,677870,676914,662139,543807,53.82,,,,,,,,72,1,Sinker,3,7,7,3,7,3,7,3,Infield shade,Standard,232,0.0,-0.037,74.7,6.4,,0.037,,-4,4,0.014,0.986,26,24,27,24,1,4,4,1,,1,1.89,1.29,-1.29,24.6
FF,2024-08-07,96.2,-1.92,5.81,"Rodríguez, Yerry",602104,666720,strikeout,swinging_strike,,,,,11,Ramón Urías strikes out swinging.,R,R,R,TOR,BAL,S,2,,0,2,2024,-0.82,1.29,-0.09,4.06,,,,0,9,Top,,,,,,,6.746452942953606,-139.93296786888317,-1.9546804755033016,-12.284702410995251,33.63992409079562,-15.05383121864772,3.23,1.51,,,,96.5,2435,6.6,744903,661531,687462,676391,665489,677870,676914,662139,543807,53.86,,0.0,0.0,1,0,0,,71,3,4-Seam Fastball,3,7,7,3,7,3,7,3,Standard,Standard,225,0.001,-0.163,68.5,6.9,,0.163,,-4,4,0.013,0.987,26,30,27,30,1,0,4,1,,1,1.19,0.82,0.82,30.3
FF,2024-08-07,95.8,-2.11,5.79,"Rodríguez, Yerry",602104,666720,,swinging_strike,,,,,3,Ramón Urías strikes out swinging.,R,R,R,TOR,BAL,S,,,0,1,2024,-0.96,1.24,0.28,3.31,,,,0,9,Top,,,,,,,8.507303870441923,-139.2359478636301,-3.729291148143117,-14.439881890745584,32.966581984690656,-15.389883423069628,3.23,1.51,,,,96.0,2519,6.6,744903,661531,687462,676391,665489,677870,676914,662139,543807,53.88,,,,,,,,71,2,4-Seam Fastball,3,7,7,3,7,3,7,3,Standard,Standard,229,0.0,-0.054,72.5,7.0,,0.054,,-4,4,0.013,0.987,26,30,27,30,1,0,4,1,,1,1.26,0.96,0.96,28.9
FF,2024-08-07,95.9,-2.02,5.72,"Rodríguez, Yerry",602104,666720,,swinging_strike,,,,,12,Ramón Urías strikes out swinging.,R,R,R,TOR,BAL,S,,,0,0,2024,-0.99,1.15,0.55,3.5,,,,0,9,Top,,,,,,,9.067516440969351,-139.276504287156,-2.8042367146722436,-14.935776329253011,32.8974808092773,-16.834934863075123,3.23,1.51,,,,96.0,2463,6.6,744903,661531,687462,676391,665489,677870,676914,662139,543807,53.93,,,,,,,,71,1,4-Seam Fastball,3,7,7,3,7,3,7,3,Standard,Standard,229,0.0,-0.037,70.7,7.1,,0.037,,-4,4,0.013,0.987,26,30,27,30,1,0,4,1,,1,1.35,0.99,0.99,28.6
SL,2024-08-03,87.5,-1.8,5.65,"Rodríguez, Yerry",650402,666720,field_out,hit_into_play,,,,,5,Gleyber Torres flies out to second baseman Spencer Horwitz.,R,R,R,NYY,TOR,X,4,fly_ball,0,0,2024,0.74,0.28,0.22,2.21,,592450,669224,2,8,Bot,130.05,119.88,,,,,3.3900805636851388,-127.54765363343138,-2.875038106480947,7.510951717067377,23.01970852133302,-28.709907032430987,3.24,1.49,201,79.6,55,89.1,2566,6.9,745714,672386,665489,687462,676391,677870,694388,662139,680718,53.6,0.017,0.015,0.0,1,0,0,3,72,1,Slider,8,3,8,3,3,8,8,3,Standard,Standard,130,-0.001,-0.279,71.6,8.0,0.017,0.279,88.0,5,5,0.996,0.996,26,27,27,28,1,4,3,1,4,1,2.65,-0.74,-0.74,27.5
SL,2024-08-03,85.1,-1.88,5.57,"Rodríguez, Yerry",669224,666720,single,hit_into_play,,,,,7,Austin Wells singles on a line drive to right fielder Addison Barger.   Alex Verdugo scores.    Aaron Judge to 2nd.,R,L,R,NYY,TOR,X,9,line_drive,2,0,2024,0.67,0.2,-0.44,2.14,657077,,592450,2,8,Bot,180.57,96.12,,,,,2.0884369617884815,-124.07022402169991,-2.2226843552443296,6.550906894858985,22.636050932286405,-29.92924524053412,3.52,1.63,242,90.5,17,86.5,2548,6.9,745714,672386,665489,687462,676391,677870,694388,662139,680718,53.63,0.78,0.753,0.9,1,1,0,4,71,3,Slider,7,3,7,3,3,8,8,3,Infield shade,Standard,111,0.006,0.527,71.7,7.7,0.943,-0.527,90.5,4,4,0.99,0.99,26,24,27,25,1,4,3,1,4,1,2.92,-0.67,0.67,25.2
FF,2024-08-03,97.7,-1.83,5.78,"Rodríguez, Yerry",669224,666720,,ball,,,,,11,Austin Wells singles on a line drive to right fielder Addison Barger.   Alex Verdugo scores.    Aaron Judge to 2nd.,R,L,R,NYY,TOR,B,,,1,0,2024,-1.02,1.02,-1.34,3.97,657077,,592450,2,8,Bot,,,,,,,3.679794604722211,-142.34011005381112,-1.7855281228091813,-14.72079238316078,30.316784896234335,-18.01622659117563,3.38,1.6,,,,98.8,2501,6.7,745714,672386,665489,687462,676391,677870,694388,662139,680718,53.83,,,,,,,,71,2,4-Seam Fastball,7,3,7,3,3,7,7,3,Infield shade,Standard,232,0.0,0.06,,,,-0.06,,4,4,0.99,0.99,26,24,27,25,1,4,3,1,4,1,1.35,1.02,-1.02,28.4
