pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
SL,2024-10-26,87.2,2.3,6.13,"Rodón, Carlos",571970,607074,strikeout,swinging_strike,,,,,7,Max Muncy strikes out swinging.,W,L,L,LAD,NYY,S,2,,1,2,2024,-0.7,-0.23,-0.77,1.59,,,,0,4,Bot,,,,,,,-5.9087277208789075,-126.8047842301456,-4.234871063701851,-6.326060553023648,26.838484362269337,-33.99225984283947,2.96,1.46,,,,86.6,2724,6.0,775294,669224,519203,650402,665862,683011,657077,592450,665742,54.49,,0.0,0.0,1,0,0,,31,4,Slider,4,1,4,1,1,4,4,1,Strategic,Standard,289,-0.01,-0.186,68.5,7.6,,0.186,,3,3,0.868,0.868,31,33,32,34,2,1,7,1,,2,3.24,-0.7,-0.7,39.2
SL,2024-10-26,87.5,2.37,6.0,"Rodón, Carlos",571970,607074,,ball,,,,,13,Max Muncy strikes out swinging.,W,L,L,LAD,NYY,B,,,0,2,2024,-0.55,-0.25,-1.62,1.56,,,,0,4,Bot,,,,,,,-8.438049196137653,-127.08630488601764,-3.9859093132266623,-4.049731017994532,27.677968154749244,-34.20850216187823,2.91,1.5,,,,86.8,2769,6.1,775294,669224,519203,650402,665862,683011,657077,592450,665742,54.42,,,,,,,,31,3,Slider,4,1,4,1,1,4,4,1,Standard,Standard,298,0.0,0.023,,,,-0.023,,3,3,0.868,0.868,31,33,32,34,2,1,7,1,,2,3.25,-0.55,-0.55,39.5
SL,2024-10-26,87.9,2.27,6.06,"Rodón, Carlos",571970,607074,,swinging_strike,,,,,13,Max Muncy strikes out swinging.,W,L,L,LAD,NYY,S,,,0,1,2024,-0.55,0.23,-1.73,1.11,,,,0,4,Bot,,,,,,,-8.486209741885448,-127.67258434398852,-6.336317821967148,-4.329166172544394,25.679684319273512,-28.574349732657236,2.96,1.46,,,,87.5,2652,6.1,775294,669224,519203,650402,665862,683011,657077,592450,665742,54.42,,,,,,,,31,2,Slider,4,1,4,1,1,4,4,1,Standard,Standard,265,0.0,-0.054,57.0,7.3,,0.054,,3,3,0.868,0.868,31,33,32,34,2,1,7,1,,2,2.73,-0.55,-0.55,40.2
FF,2024-10-26,94.8,1.94,6.44,"Rodón, Carlos",571970,607074,,foul,,,,,11,Max Muncy strikes out swinging.,W,L,L,LAD,NYY,S,,,0,0,2024,0.58,1.5,-1.16,2.91,,,,0,4,Bot,,,,,,,-9.33973068553265,-137.67230242366824,-6.844768126210757,9.5043533667022,31.144694273006117,-11.77953619162733,2.96,1.46,2,71.5,-55,94.2,2472,6.1,775294,669224,519203,650402,665862,683011,657077,592450,665742,54.41,,,,,,,,31,1,4-Seam Fastball,4,1,4,1,1,4,4,1,Standard,Standard,148,0.0,-0.037,69.5,7.4,,0.037,88.0,3,3,0.868,0.868,31,33,32,34,2,1,7,1,,2,1.06,0.58,0.58,50.0
FF,2024-10-26,96.9,1.7,6.38,"Rodón, Carlos",571771,607074,field_out,hit_into_play,,,,,11,Enrique Hernández lines out to left fielder Alex Verdugo.,W,R,L,LAD,NYY,X,7,line_drive,1,1,2024,0.85,1.41,-1.03,3.0,669242,,,2,3,Bot,50.67,98.91,,,,,-9.150741638776818,-140.54187145565734,-6.568044208617952,13.440135633076991,35.87051477166981,-12.189675592652788,3.37,1.64,309,98.0,19,95.7,2418,6.1,775294,669224,519203,650402,665862,683011,657077,592450,665742,54.43,0.317,0.362,0.0,1,0,0,4,27,3,4-Seam Fastball,4,1,4,1,1,4,4,1,Standard,Standard,144,-0.019,-0.265,73.8,7.3,0.549,0.265,98.0,3,3,0.843,0.843,31,32,32,33,2,1,7,1,,2,1.06,0.85,-0.85,47.1
FC,2024-10-26,93.4,2.01,6.2,"Rodón, Carlos",571771,607074,,ball,,,,,11,Enrique Hernández lines out to left fielder Alex Verdugo.,W,R,L,LAD,NYY,B,,,0,1,2024,0.13,1.04,-1.43,2.43,,669242,,2,3,Bot,,,,,,,-9.037118804869204,-135.65209417250506,-6.206059770592091,3.5148916254622984,29.45171388859148,-18.07234171410444,3.19,1.6,,,,92.6,2512,5.9,775294,669224,519203,650402,665862,683011,657077,592450,665742,54.59,,,,,,,,27,2,Cutter,4,1,4,1,1,4,4,1,Standard,Standard,143,0.002,0.012,,,,-0.012,,3,3,0.841,0.841,31,32,32,33,2,1,7,1,,2,1.58,0.13,-0.13,49.1
FF,2024-10-26,97.2,1.71,6.44,"Rodón, Carlos",571771,607074,,foul,,,,,12,Enrique Hernández lines out to left fielder Alex Verdugo.,W,R,L,LAD,NYY,S,,,0,0,2024,0.88,1.62,0.39,3.51,,669242,,2,3,Bot,,,,,,,-5.530284125678839,-141.28772581819598,-5.927235701330028,13.126344067053925,35.82252704760583,-9.36356467956488,3.37,1.64,207,75.8,38,96.2,2490,6.0,775294,669224,519203,650402,665862,683011,657077,592450,665742,54.45,,,,,,,,27,1,4-Seam Fastball,4,1,4,1,1,4,4,1,Standard,Standard,149,0.0,-0.04,68.7,7.3,,0.04,88.0,3,3,0.841,0.841,31,32,32,33,2,1,7,1,,2,0.82,0.88,-0.88,48.3
FF,2024-10-26,96.4,1.8,6.41,"Rodón, Carlos",669242,607074,double,hit_into_play,,,,,8,Tommy Edman doubles (5) on a sharp line drive to center fielder Aaron Judge.,W,R,L,LAD,NYY,X,8,line_drive,0,2,2024,0.93,1.48,0.1,1.66,,,,2,3,Bot,95.66,51.01,,,,,-6.608402707925341,-139.8645688169779,-10.338146462028396,13.733787639840193,31.549014043840874,-10.522429001932805,3.28,1.5,294,106.6,9,95.8,2456,6.1,775294,669224,519203,650402,665862,683011,657077,592450,665742,54.37,0.797,0.773,1.25,1,1,1,4,26,3,4-Seam Fastball,4,1,4,1,1,4,4,1,Standard,Standard,145,0.012,0.713,73.7,7.2,0.983,-0.713,106.6,3,3,0.829,0.829,31,29,32,29,2,1,7,1,,2,0.98,0.93,-0.93,48.0
CH,2024-10-26,85.7,2.03,6.23,"Rodón, Carlos",669242,607074,,swinging_strike,,,,,6,Tommy Edman doubles (5) on a sharp line drive to center fielder Aaron Judge.,W,R,L,LAD,NYY,S,,,0,1,2024,0.8,0.35,0.35,2.09,,,,2,3,Bot,,,,,,,-5.591435890082161,-124.81058237170951,-4.269715348921508,9.474442246607651,22.774217602555964,-27.91273481826315,3.28,1.5,,,,85.9,1608,6.2,775294,669224,519203,650402,665862,683011,657077,592450,665742,54.34,,,,,,,,26,2,Changeup,4,1,4,1,1,4,4,1,Standard,Standard,139,0.0,-0.058,75.8,7.9,,0.058,,3,3,0.829,0.829,31,29,32,29,2,1,7,1,,2,2.73,0.8,-0.8,45.4
FF,2024-10-26,97.2,1.77,6.39,"Rodón, Carlos",669242,607074,,swinging_strike,,,,,6,Tommy Edman doubles (5) on a sharp line drive to center fielder Aaron Judge.,W,R,L,LAD,NYY,S,,,0,0,2024,0.91,1.52,0.72,2.65,,,,2,3,Bot,,,,,,,-4.851513517699562,-141.31989919040885,-7.881123709751921,13.248362333394144,34.535272711790064,-10.243157308822653,3.28,1.5,,,,96.6,2513,6.1,775294,669224,519203,650402,665862,683011,657077,592450,665742,54.36,,,,,,,,26,1,4-Seam Fastball,4,1,4,1,1,4,4,1,Standard,Standard,149,0.0,-0.041,75.6,7.4,,0.041,,3,3,0.829,0.829,31,29,32,29,2,1,7,1,,2,0.91,0.91,-0.91,48.4
