pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
SI,2024-09-29,91.7,2.11,5.74,"Rogers, Taylor",663457,573124,strikeout,called_strike,,,,,1,Lars Nootbaar called out on strikes.,R,L,L,SF,STL,S,2,,2,2,2024,1.41,0.61,-0.71,3.37,,680977,676475,2,5,Top,,,,,,,-10.07749274343234,-133.1687544260072,-1.439606512173801,18.973579777892752,27.701838323236004,-24.797998691625526,3.47,1.76,,,,90.9,1990,5.9,745282,592200,664774,689172,669477,666149,666464,687529,573262,54.64,,0.0,0.0,1,0,0,,35,5,Sinker,0,3,3,0,3,0,3,0,Standard,Standard,130,0.022,-0.204,,,,0.204,,-3,3,0.157,0.843,33,26,34,27,1,2,2,1,,,2.1,1.41,1.41,27.8
ST,2024-09-29,77.0,2.4,5.65,"Rogers, Taylor",663457,573124,,called_strike,,,,,3,Lars Nootbaar called out on strikes.,R,L,L,SF,STL,S,,,2,1,2024,-1.36,-0.06,0.7,3.03,,680977,676475,2,5,Top,,,,,,,-1.1534669655943854,-112.09332860693272,1.510334679526987,-11.178730357315514,21.37864138828185,-33.182979574550735,3.42,1.63,,,,75.9,2622,5.6,745282,592200,664774,689172,669477,666149,666464,687529,573262,54.9,,,,,,,,35,4,Sweeper,0,3,3,0,3,0,3,0,Standard,Standard,278,0.0,-0.102,,,,0.102,,-3,3,0.157,0.843,33,26,34,27,1,2,2,1,,,3.92,-1.36,-1.36,29.1
ST,2024-09-29,77.8,2.25,5.59,"Rogers, Taylor",663457,573124,,ball,,,,,13,Lars Nootbaar called out on strikes.,R,L,L,SF,STL,B,,,1,1,2024,-1.43,0.29,-1.13,2.42,,680977,676475,2,5,Top,,,,,,,-4.574531099401864,-113.13191110023163,-0.3678273987086939,-11.257889435803932,22.693740063535387,-29.88418882001136,3.38,1.64,,,,76.4,2702,5.6,745282,592200,664774,689172,669477,666149,666464,687529,573262,54.92,,,,,,,,35,3,Sweeper,0,3,3,0,3,0,3,0,Standard,Standard,286,0.0,0.042,,,,-0.042,,-3,3,0.157,0.843,33,26,34,27,1,2,2,1,,,3.51,-1.43,-1.43,28.3
SI,2024-09-29,91.7,2.23,5.72,"Rogers, Taylor",663457,573124,,foul,,,,,6,Lars Nootbaar called out on strikes.,R,L,L,SF,STL,S,,,1,0,2024,1.59,0.92,0.54,2.31,,680977,676475,2,5,Top,,,,,,,-7.618085573906287,-133.18858168706964,-4.679414601640257,20.537304848921504,30.63440092249766,-20.34327278025957,3.46,1.69,4,81.0,-32,90.6,2121,5.9,745282,592200,664774,689172,669477,666149,666464,687529,573262,54.64,,,,,,,,35,2,Sinker,0,3,3,0,3,0,3,0,Standard,Standard,129,0.0,-0.042,73.8,6.8,,0.042,88.0,-3,3,0.157,0.843,33,26,34,27,1,2,2,1,,,1.81,1.59,1.59,28.4
SI,2024-09-29,91.0,2.06,5.69,"Rogers, Taylor",663457,573124,,ball,,,,,11,Lars Nootbaar called out on strikes.,R,L,L,SF,STL,B,,,0,0,2024,1.46,0.54,-1.13,3.15,,680977,676475,2,5,Top,,,,,,,-10.983361983151314,-132.01242848584772,-1.5724329516639777,19.50132459456884,29.63190417206351,-25.72890765397276,3.55,1.75,,,,89.7,2092,5.8,745282,592200,664774,689172,669477,666149,666464,687529,573262,54.73,,,,,,,,35,1,Sinker,0,3,3,0,3,0,3,0,Standard,Standard,128,0.0,0.026,,,,-0.026,,-3,3,0.157,0.843,33,26,34,27,1,2,2,1,,,2.24,1.46,1.46,27.5
ST,2024-09-29,77.1,2.16,5.7,"Rogers, Taylor",663609,573124,field_out,hit_into_play,,,,,5,Luken Baker lines out to shortstop Tyler Fitzgerald.,R,R,L,SF,STL,X,6,line_drive,0,2,2024,-1.43,0.15,0.21,2.62,,680977,676475,1,5,Top,104.33,149.3,,,,,-1.5426628195413057,-112.26838960034084,0.1297002491173779,-11.75255678573302,20.78635910186923,-31.17936478139099,3.71,1.67,141,72.4,13,76.1,2744,5.6,745282,592200,664774,689172,669477,666149,666464,687529,573262,54.93,0.366,0.329,0.0,1,0,0,4,34,3,Sweeper,0,3,3,0,3,0,3,0,Standard,Standard,275,0.021,-0.153,59.6,7.3,0.371,0.153,88.0,-3,3,0.136,0.864,33,27,34,27,1,0,2,8,,,3.69,-1.43,1.43,23.4
SI,2024-09-29,90.2,2.18,5.72,"Rogers, Taylor",663609,573124,,called_strike,,,,,4,Luken Baker lines out to shortstop Tyler Fitzgerald.,R,R,L,SF,STL,S,,,0,1,2024,1.59,0.59,-0.62,2.51,,680977,676475,1,5,Top,,,,,,,-10.18810109938164,-130.94349965817716,-3.203957147798588,20.478441960493413,29.27905698269379,-24.864433001682972,3.78,1.82,,,,88.7,2044,5.7,745282,592200,664774,689172,669477,666149,666464,687529,573262,54.85,,,,,,,,34,2,Sinker,0,3,3,0,3,0,3,0,Standard,Standard,131,0.0,-0.048,,,,0.048,,-3,3,0.136,0.864,33,27,34,27,1,0,2,8,,,2.24,1.59,-1.59,27.9
SI,2024-09-29,90.1,2.2,5.71,"Rogers, Taylor",663609,573124,,called_strike,,,,,9,Luken Baker lines out to shortstop Tyler Fitzgerald.,R,R,L,SF,STL,S,,,0,0,2024,1.39,0.8,0.69,2.32,,680977,676475,1,5,Top,,,,,,,-6.609231184373732,-131.00035947746443,-4.108449745969913,17.382653392180288,27.2325156157601,-22.28585690244492,3.81,1.76,,,,89.1,2029,5.6,745282,592200,664774,689172,669477,666149,666464,687529,573262,54.85,,,,,,,,34,1,Sinker,0,3,3,0,3,0,3,0,Standard,Standard,130,0.0,-0.039,,,,0.039,,-3,3,0.136,0.864,33,27,34,27,1,0,2,8,,,2.01,1.39,-1.39,27.3
ST,2024-09-27,77.5,1.93,5.72,"Rogers, Taylor",680977,573124,field_out,hit_into_play,,,,,6,Brendan Donovan flies out to center fielder Mike Yastrzemski.,R,L,L,SF,STL,X,8,fly_ball,3,2,2024,-1.43,-0.37,0.43,2.57,,,691026,2,5,Top,137.63,84.96,,,,,-0.5777786193625424,-112.91369230050032,0.8733539029520179,-12.052274221357594,21.963330032766407,-35.69188302847394,3.3,1.6,293,89.8,45,76.5,2859,5.6,745280,672275,664774,689172,656305,666149,671218,573262,666464,54.86,0.006,0.008,0.0,1,0,0,3,49,6,Sweeper,3,6,6,3,6,3,6,3,Strategic,Standard,286,0.012,-0.32,67.3,6.7,0.013,0.32,89.8,-3,3,0.167,0.833,33,27,34,27,1,3,2,1,2,1,4.17,-1.43,-1.43,28.8
SI,2024-09-27,92.2,1.8,5.78,"Rogers, Taylor",680977,573124,,ball,,,,,11,Brendan Donovan flies out to center fielder Mike Yastrzemski.,R,L,L,SF,STL,B,,,2,2,2024,0.98,0.68,-1.36,2.53,,,691026,2,5,Top,,,,,,,-10.047441560044804,-133.94247820838115,-3.8927989442438617,13.848056931053808,27.011880210148757,-23.352672282979555,3.37,1.66,,,,91.5,2122,5.8,745280,672275,664774,689172,656305,666149,671218,573262,666464,54.68,,,,,,,,49,5,Sinker,3,6,6,3,6,3,6,3,Standard,Standard,133,0.0,0.085,,,,-0.085,,-3,3,0.167,0.833,33,27,34,27,1,3,2,1,2,1,2.0,0.98,0.98,31.1
