pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
SI,2024-09-28,82.7,-3.66,1.19,"Rogers, Tyler",691026,643511,field_out,hit_into_play,,,,,5,Masyn Winn flies out to right fielder Mike Yastrzemski.,R,R,R,SF,STL,X,9,fly_ball,2,2,2024,-0.02,-1.01,0.17,2.45,663457,695336,686780,2,7,Top,190.68,130.11,,,,,8.710017424358195,-119.53951105984876,11.34721722775994,-1.861703399529906,22.630307344839064,-44.35358813914414,3.49,1.64,235,81.5,47,82.1,1947,6.2,745281,672275,664774,689172,656305,666149,671218,687529,573262,54.31,0.02,0.018,0.0,1,0,0,3,65,5,Sinker,5,5,5,5,5,5,5,5,Strategic,Standard,334,0.121,-0.265,80.6,7.2,0.026,0.265,88.0,0,0,0.465,0.535,33,22,34,22,1,4,6,1,,,4.38,0.02,0.02,-68.9
SL,2024-09-28,72.9,-3.63,1.17,"Rogers, Tyler",691026,643511,,ball,,,,,12,Masyn Winn flies out to right fielder Mike Yastrzemski.,R,R,R,SF,STL,B,,,1,2,2024,0.71,1.45,1.28,3.51,663457,695336,686780,2,7,Top,,,,,,,8.585939782681724,-105.28604816675922,9.651405359419156,3.776120407488701,18.28790809214532,-23.411262265291143,3.47,1.66,,,,72.2,2342,6.3,745281,672275,664774,689172,656305,666149,671218,687529,573262,54.25,,,,,,,,65,4,Slider,5,5,5,5,5,5,5,5,Strategic,Standard,128,0.0,0.052,,,,-0.052,,0,0,0.465,0.535,33,22,34,22,1,4,6,1,,,2.91,-0.71,-0.71,-68.1
SI,2024-09-28,82.7,-3.75,1.28,"Rogers, Tyler",691026,643511,,called_strike,,,,,5,Masyn Winn flies out to right fielder Mike Yastrzemski.,R,R,R,SF,STL,S,,,1,1,2024,0.04,-1.12,0.06,2.64,663457,695336,686780,2,7,Top,,,,,,,8.527489489756322,-119.47697082376462,11.799429400544254,-1.344455651935704,23.877758671843516,-45.57726599039163,3.5,1.68,54,,,81.8,1941,6.2,745281,672275,664774,689172,656305,666149,671218,687529,573262,54.32,,,,,,,,65,3,Sinker,5,5,5,5,5,5,5,5,Strategic,Standard,338,0.0,-0.05,,,,0.05,88.0,0,0,0.465,0.535,33,22,34,22,1,4,6,1,,,4.51,-0.04,-0.04,-65.3
SL,2024-09-28,72.7,-3.71,1.21,"Rogers, Tyler",691026,643511,,ball,,,,,12,Masyn Winn flies out to right fielder Mike Yastrzemski.,R,R,R,SF,STL,B,,,0,1,2024,1.05,1.41,1.06,3.11,663457,695336,686780,2,7,Top,,,,,,,7.688171234208061,-105.10751781069524,8.863315182032869,6.30883791649909,19.13547624869961,-23.682359936587563,3.5,1.66,,,,71.8,2329,6.1,745281,672275,664774,689172,656305,666149,671218,687529,573262,54.35,,,,,,,,65,2,Slider,5,5,5,5,5,5,5,5,Strategic,Standard,119,0.0,0.031,,,,-0.031,,0,0,0.465,0.535,33,22,34,22,1,4,6,1,,,2.98,-1.05,-1.05,-66.3
SI,2024-09-28,82.2,-3.71,1.14,"Rogers, Tyler",691026,643511,,called_strike,,,,,7,Masyn Winn flies out to right fielder Mike Yastrzemski.,R,R,R,SF,STL,S,,,0,0,2024,0.09,-1.05,-0.65,2.01,663457,695336,686780,2,7,Top,,,,,,,6.704688034718074,-118.99266347355696,10.523840996682244,-0.4192810452066456,22.251060979226953,-44.39925320700647,3.47,1.6,,,,81.7,1867,6.2,745281,672275,664774,689172,656305,666149,671218,687529,573262,54.34,,,,,,,,65,1,Sinker,5,5,5,5,5,5,5,5,Standard,Standard,337,0.0,-0.044,,,,0.044,,0,0,0.465,0.535,33,22,34,22,1,4,6,1,,,4.45,-0.09,-0.09,-66.3
SI,2024-09-28,83.2,-3.69,1.21,"Rogers, Tyler",672279,643511,strikeout,swinging_strike,,,,,6,Michael Siani strikes out swinging.,R,L,R,SF,STL,S,2,,0,2,2024,0.15,-0.99,0.71,2.43,663457,695336,686780,1,7,Top,,,,,,,9.692766857650748,-120.20345833814132,11.14633672567275,-0.2375859032504675,21.034421034852652,-44.20429382736678,3.33,1.56,,,,82.8,1916,6.2,745281,672275,664774,689172,656305,666149,671218,687529,573262,54.33,,0.0,0.0,1,0,0,,64,3,Sinker,5,5,5,5,5,5,5,5,Standard,Standard,353,0.122,-0.16,60.8,5.7,,0.16,,0,0,0.343,0.657,33,24,34,25,1,3,6,1,,1,4.31,-0.15,0.15,-68.4
SL,2024-09-28,73.0,-3.76,1.18,"Rogers, Tyler",672279,643511,,foul,,,,,3,Michael Siani strikes out swinging.,R,L,R,SF,STL,S,,,0,1,2024,0.91,1.62,0.44,3.35,663457,695336,686780,1,7,Top,,,,,,,6.811657931246704,-105.55061180247,9.046437014077654,5.358736108231661,20.688586561719287,-22.313976768786898,3.33,1.56,,,,71.8,2524,6.0,745281,672275,664774,689172,656305,666149,671218,687529,573262,54.46,,,,,,,,64,2,Slider,5,5,5,5,5,5,5,5,Standard,Standard,107,0.0,-0.072,,,,0.072,,0,0,0.343,0.657,33,24,34,25,1,3,6,1,,1,2.77,-0.91,0.91,-65.0
SI,2024-09-28,82.5,-3.62,1.17,"Rogers, Tyler",672279,643511,,swinging_strike,,,,,9,Michael Siani strikes out swinging.,R,L,R,SF,STL,S,,,0,0,2024,0.23,-1.05,0.29,1.95,663457,695336,686780,1,7,Top,,,,,,,8.363755547627878,-119.23188978096412,10.36592878594937,0.4382228824081438,24.637322540759193,-44.613688453046024,3.33,1.56,,,,81.4,1871,6.1,745281,672275,664774,689172,656305,666149,671218,687529,573262,54.41,,,,,,,,64,1,Sinker,5,5,5,5,5,5,5,5,Standard,Standard,340,0.0,-0.041,72.3,6.9,,0.041,,0,0,0.343,0.657,33,24,34,25,1,3,6,1,,1,4.46,-0.23,0.23,-69.5
SI,2024-09-28,81.1,-3.61,1.17,"Rogers, Tyler",686780,643511,walk,ball,,,,,12,Pedro Pagés walks. Thomas Saggese to 2nd.,R,R,R,SF,STL,B,,,3,1,2024,0.0,-0.76,1.04,3.08,663457,,695336,1,7,Top,,,,,,,10.304948663480898,-117.10268473094732,12.284167669241633,-1.6031008577171495,18.43220752995684,-41.59655580653707,3.13,1.54,,,,81.0,1829,6.3,745281,672275,664774,689172,656305,666149,671218,687529,573262,54.21,,0.689131,0.7,1,0,0,,63,5,Sinker,5,5,5,5,5,5,5,5,Standard,Standard,348,-0.041,0.112,,,,-0.112,,0,0,0.384,0.616,33,25,34,26,1,3,6,2,,1,4.23,0.0,0.0,-69.0
SI,2024-09-28,81.6,-3.65,1.21,"Rogers, Tyler",686780,643511,,called_strike,,,,,6,Pedro Pagés walks. Thomas Saggese to 2nd.,R,R,R,SF,STL,S,,,3,0,2024,0.26,-1.01,0.78,2.62,663457,,695336,1,7,Top,,,,,,,9.375953390532173,-117.88511120663011,11.695220731101822,0.8005603830682877,21.09932712510594,-44.13436949855497,3.16,1.57,,,,81.1,1886,6.2,745281,672275,664774,689172,656305,666149,671218,687529,573262,54.29,,,,,,,,63,4,Sinker,5,5,5,5,5,5,5,5,Standard,Standard,344,0.0,-0.059,,,,0.059,,0,0,0.384,0.616,33,25,34,26,1,3,6,2,,1,4.47,-0.26,-0.26,-67.4
