pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
SL,2024-05-29,85.0,-1.57,6.18,"Romano, Jordan",657557,605447,field_out,hit_into_play,,,,,5,Paul DeJong lines out sharply to left fielder Daulton Varsho.,R,R,R,CWS,TOR,X,7,line_drive,1,1,2024,0.07,-0.23,-0.14,2.78,,,,2,9,Bot,40.55,92.35,,,,,3.278859550754005,-123.75565065776736,-1.1516100973797232,0.0230642606825106,26.69632831398999,-34.543299206764466,3.45,1.52,336,107.2,19,86.6,2106,7.5,746790,672386,624415,676914,643396,666182,662139,595281,543807,53.05,0.671,0.928,0.0,1,0,0,6,72,3,Slider,1,3,1,3,3,1,1,3,Standard,Standard,53,-0.014,-0.244,73.0,6.6,1.545,0.244,107.2,-2,-2,0.014,0.014,31,30,31,31,1,3,3,1,,2,3.41,-0.07,-0.07,53.6
SL,2024-05-29,83.9,-1.96,6.1,"Romano, Jordan",657557,605447,,called_strike,,,,,1,Paul DeJong lines out sharply to left fielder Daulton Varsho.,R,R,R,CWS,TOR,S,,,1,0,2024,0.15,-0.2,-0.42,3.17,,,,2,9,Bot,,,,,,,3.344945607108089,-122.27183783116833,-0.0034201142367797,0.8456491326157222,23.19202596591775,-34.36411114436773,3.4,1.47,,,,86.0,2056,7.5,746790,672386,624415,676914,643396,666182,662139,595281,543807,53.05,,,,,,,,72,2,Slider,1,3,1,3,3,1,1,3,Standard,Standard,58,0.0,-0.051,,,,0.051,,-2,-2,0.014,0.014,31,30,31,31,1,3,3,1,,2,3.42,-0.15,-0.15,47.7
SL,2024-05-29,85.8,-1.46,6.18,"Romano, Jordan",657557,605447,,ball,,,,,14,Paul DeJong lines out sharply to left fielder Daulton Varsho.,R,R,R,CWS,TOR,B,,,0,0,2024,0.09,-0.1,1.09,1.11,,,,2,9,Bot,,,,,,,5.973567159736234,-124.70384535827694,-5.5897400422193915,-0.3303968012752286,26.12039663029444,-32.25321691548183,3.45,1.53,,,,87.5,1934,7.5,746790,672386,624415,676914,643396,666182,662139,595281,543807,52.97,,,,,,,,72,1,Slider,1,3,1,3,3,1,1,3,Standard,Standard,71,0.0,0.04,,,,-0.04,,-2,-2,0.014,0.014,31,30,31,31,1,3,3,1,,2,3.22,-0.09,-0.09,53.3
FF,2024-05-29,94.1,-1.59,6.2,"Romano, Jordan",686676,605447,home_run,hit_into_play,,,,,2,Korey Lee homers (5) on a fly ball to left center field.,R,R,R,CWS,TOR,X,,fly_ball,2,2,2024,-0.51,1.66,-0.13,3.46,,,,2,9,Bot,78.17,44.06,,,,,5.046469060384089,-136.8910424332355,-5.2435742491199315,-7.46678464423336,28.559123819208303,-10.264191636618644,3.56,1.61,401,107.3,36,96.5,2213,7.5,746790,672386,624415,676914,643396,666182,662139,595281,543807,52.95,0.746,1.538,2.0,1,0,3,6,71,5,4-Seam Fastball,0,3,0,3,3,1,1,3,Standard,Standard,206,0.009,2.631,73.8,6.8,2.97,-2.631,107.3,-3,-3,0.005,0.005,31,25,31,26,1,3,3,1,,2,0.9,0.51,0.51,54.3
SL,2024-05-29,86.8,-1.3,6.33,"Romano, Jordan",686676,605447,,ball,,,,,14,Korey Lee homers (5) on a fly ball to left center field.,R,R,R,CWS,TOR,B,,,1,2,2024,0.06,-0.22,1.38,1.39,,,,2,9,Bot,,,,,,,6.423383251228212,-126.45124303696213,-5.3993128863435,-0.4220901858597227,21.131576017809415,-33.79799455929565,3.48,1.55,,,,89.4,2128,7.4,746790,672386,624415,676914,643396,666182,662139,595281,543807,53.06,,,,,,,,71,4,Slider,0,3,0,3,3,0,0,3,Standard,Standard,43,0.0,0.039,,,,-0.039,,-3,-3,0.005,0.005,31,25,31,26,1,3,3,1,,2,3.19,-0.06,-0.06,58.4
SL,2024-05-29,85.9,-1.83,6.16,"Romano, Jordan",686676,605447,,foul,,,,,8,Korey Lee homers (5) on a fly ball to left center field.,R,R,R,CWS,TOR,S,,,1,1,2024,0.04,-0.21,0.03,1.96,,,,2,9,Bot,,,,,,,4.438476384058942,-125.03329725362693,-3.3736620194842457,-0.3999419583023394,23.782745664987928,-33.98118899944495,3.56,1.61,3,72.7,-40,88.5,2038,7.8,746790,672386,624415,676914,643396,666182,662139,595281,543807,52.75,,,,,,,,71,3,Slider,0,3,0,3,3,0,0,3,Standard,Standard,57,0.0,-0.064,73.8,8.0,,0.064,88.0,-3,-3,0.005,0.005,31,25,31,26,1,3,3,1,,2,3.29,-0.04,-0.04,53.7
FF,2024-05-29,94.8,-1.65,6.11,"Romano, Jordan",686676,605447,,foul,,,,,11,Korey Lee homers (5) on a fly ball to left center field.,R,R,R,CWS,TOR,S,,,1,0,2024,-0.66,1.5,-0.96,2.72,,,,2,9,Bot,,,,,,,3.373110495117968,-137.87347910935233,-6.71091185619657,-9.107082346357366,30.698000167779284,-11.809271662420876,3.56,1.61,117,79.6,72,97.4,2179,7.8,746790,672386,624415,676914,643396,666182,662139,595281,543807,52.72,,,,,,,,71,2,4-Seam Fastball,0,3,0,3,3,0,0,3,Standard,Standard,206,0.0,-0.051,70.4,6.5,,0.051,88.0,-3,-3,0.005,0.005,31,25,31,26,1,3,3,1,,2,1.04,0.66,0.66,51.5
FF,2024-05-29,95.8,-1.45,6.3,"Romano, Jordan",686676,605447,,ball,,,,,12,Korey Lee homers (5) on a fly ball to left center field.,R,R,R,CWS,TOR,B,,,0,0,2024,-0.31,1.51,0.78,3.7,,,,2,9,Bot,,,,,,,6.761885805797192,-139.31053078160286,-4.7634189085215635,-5.62559406887467,31.756787109278847,-11.57374352631298,3.48,1.55,,,,97.9,2248,7.5,746790,672386,624415,676914,643396,666182,662139,595281,543807,52.96,,,,,,,,71,1,4-Seam Fastball,0,3,0,3,3,0,0,3,Standard,Standard,196,0.0,0.04,,,,-0.04,,-3,-3,0.005,0.005,31,25,31,26,1,3,3,1,,2,0.98,0.31,0.31,60.8
SL,2024-05-29,86.7,-1.78,6.09,"Romano, Jordan",683734,605447,strikeout,swinging_strike,,,,,14,Andrew Vaughn strikes out swinging.,R,R,R,CWS,TOR,S,2,,3,2,2024,0.15,-0.14,0.95,1.16,,,,1,9,Bot,,,,,,,6.368935648869307,-126.20541683956932,-5.511204400680864,0.5017268404927595,22.377489220717617,-32.826534474632076,3.28,1.52,,,,89.2,1976,7.5,746790,672386,624415,676914,643396,666182,662139,595281,543807,52.98,,0.0,0.0,1,0,0,,70,6,Slider,0,3,0,3,3,0,0,3,Standard,Standard,112,-0.012,-0.332,54.9,7.8,,0.332,,-3,-3,0.017,0.017,31,26,31,26,1,3,3,1,,6,3.13,-0.15,-0.15,51.0
FF,2024-05-29,93.7,-1.92,5.85,"Romano, Jordan",683734,605447,,called_strike,,,,,9,Andrew Vaughn strikes out swinging.,R,R,R,CWS,TOR,S,,,3,1,2024,-0.73,1.49,0.43,1.61,,,,1,9,Bot,,,,,,,7.8596805372853265,-135.97120626166011,-8.68606745233769,-10.795085740013,29.585183030715683,-11.98477497075275,3.26,1.47,,,,95.8,2175,7.6,746790,672386,624415,676914,643396,666182,662139,595281,543807,52.88,,,,,,,,70,5,4-Seam Fastball,0,3,0,3,3,0,0,3,Standard,Standard,212,0.0,-0.092,,,,0.092,,-3,-3,0.017,0.017,31,26,31,26,1,3,3,1,,6,1.12,0.73,0.73,46.8
