pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
CU,2024-10-18,79.8,1.35,6.1,"Sabrowski, Erik",683011,681870,field_out,hit_into_play,,,,,5,Anthony Volpe flies out to center fielder Lane Thomas.,L,R,L,CLE,NYY,X,8,fly_ball,2,2,2024,-0.17,-1.16,-0.13,2.5,,,519203,2,4,Top,113.71,67.65,,,,,-2.9569000244849266,-116.0688064855184,1.076242782615093,-0.9274842160001338,23.540787133774355,-43.0280951947701,3.38,1.58,327,92.5,37,79.9,2698,6.6,775311,595978,647304,665926,608070,677587,680757,657041,682177,53.89,0.031,0.051,0.0,1,0,0,3,31,5,Curveball,2,3,3,2,3,2,3,2,Strategic,Standard,335,0.024,-0.234,70.0,7.2,0.098,0.234,92.5,-1,1,0.397,0.603,26,23,27,23,1,1,3,1,,1,4.76,-0.17,0.17,55.6
FF,2024-10-18,91.6,1.51,5.9,"Sabrowski, Erik",683011,681870,,called_strike,,,,,9,Anthony Volpe flies out to center fielder Lane Thomas.,L,R,L,CLE,NYY,S,,,2,1,2024,0.78,1.65,0.38,2.08,,,519203,2,4,Top,,,,,,,-4.573354973165231,-133.19046771070353,-7.342524264174847,10.304310913892436,30.582090521816596,-11.211469494397884,3.39,1.64,,,,92.1,2513,6.8,775311,595978,647304,665926,608070,677587,680757,657041,682177,53.7,,,,,,,,31,4,4-Seam Fastball,2,3,3,2,3,2,3,2,Standard,Standard,153,0.0,-0.072,,,,0.072,,-1,1,0.397,0.603,26,23,27,23,1,1,3,1,,1,1.09,0.78,-0.78,45.8
SL,2024-10-18,85.3,1.81,5.94,"Sabrowski, Erik",683011,681870,,called_strike,,,,,3,Anthony Volpe flies out to center fielder Lane Thomas.,L,R,L,CLE,NYY,S,,,2,0,2024,-0.22,0.94,0.34,3.4,,,519203,2,4,Top,,,,,,,-3.0576072437311708,-124.3144840280052,-1.6378061017839645,-1.6853001270728605,23.092508142560096,-22.290295524146764,3.38,1.6,,,,86.6,2388,6.9,775311,595978,647304,665926,608070,677587,680757,657041,682177,53.6,,,,,,,,31,3,Slider,2,3,3,2,3,2,3,2,Standard,Standard,172,0.0,-0.048,,,,0.048,,-1,1,0.397,0.603,26,23,27,23,1,1,3,1,,1,2.17,-0.22,0.22,47.1
FF,2024-10-18,91.9,1.43,5.89,"Sabrowski, Erik",683011,681870,,ball,,,,,13,Anthony Volpe flies out to center fielder Lane Thomas.,L,R,L,CLE,NYY,B,,,1,0,2024,0.74,1.84,-1.07,1.42,,,519203,2,4,Top,,,,,,,-7.983088414086088,-133.24673898691452,-9.441271353440316,10.547171827053615,30.588030804754755,-8.394596112337245,3.39,1.62,,,,92.2,2533,6.8,775311,595978,647304,665926,608070,677587,680757,657041,682177,53.7,,,,,,,,31,2,4-Seam Fastball,2,3,3,2,3,2,3,2,Standard,Standard,152,0.0,0.05,,,,-0.05,,-1,1,0.397,0.603,26,23,27,23,1,1,3,1,,1,0.9,0.74,-0.74,48.2
SL,2024-10-18,86.0,1.45,6.09,"Sabrowski, Erik",683011,681870,,ball,,,,,11,Anthony Volpe flies out to center fielder Lane Thomas.,L,R,L,CLE,NYY,B,,,0,0,2024,-0.37,0.86,-0.78,4.23,,,519203,2,4,Top,,,,,,,-4.5657667839400515,-125.24260651555764,0.0556731242148066,-3.0904765888342003,23.74929985962507,-23.30138724012414,3.38,1.59,,,,86.9,2352,6.7,775311,595978,647304,665926,608070,677587,680757,657041,682177,53.82,,,,,,,,31,1,Slider,2,3,3,2,3,2,3,2,Standard,Standard,188,0.0,0.034,,,,-0.034,,-1,1,0.397,0.603,26,23,27,23,1,1,3,1,,1,2.2,-0.37,0.37,54.9
SL,2024-10-18,85.6,1.68,5.93,"Sabrowski, Erik",519203,681870,single,hit_into_play,,,,,13,Anthony Rizzo singles on a line drive to center fielder Lane Thomas.,L,L,L,CLE,NYY,X,8,line_drive,1,2,2024,-0.05,0.38,-0.69,1.13,,,,2,4,Top,103.06,108.72,,,,,-5.508674264177745,-124.57203369129824,-5.866288015727432,0.4968522904787849,24.08773928035055,-27.283296105340703,3.59,1.76,212,71.3,24,86.3,2481,6.6,775311,595978,647304,665926,608070,677587,680757,657041,682177,53.86,0.983,0.899,0.9,1,1,0,4,30,4,Slider,2,3,3,2,3,2,3,2,Strategic,Standard,247,-0.013,0.408,66.8,6.8,1.041,-0.408,88.0,-1,1,0.41,0.59,26,34,27,35,1,1,3,1,,1,2.72,-0.05,-0.05,48.3
CU,2024-10-18,80.6,1.26,6.1,"Sabrowski, Erik",519203,681870,,ball,,,,,13,Anthony Rizzo singles on a line drive to center fielder Lane Thomas.,L,L,L,CLE,NYY,B,,,0,2,2024,-0.2,-1.17,-1.51,-1.6,,,,2,4,Top,,,,,,,-5.80210659762211,-117.05191715128323,-8.204430581280086,-0.7032850738801179,23.427836372302973,-41.47763031719222,3.5,1.7,,,,80.9,2621,6.8,775311,595978,647304,665926,608070,677587,680757,657041,682177,53.73,,,,,,,,30,3,Curveball,2,3,3,2,3,2,3,2,Strategic,Standard,346,0.0,0.023,,,,-0.023,,-1,1,0.41,0.59,26,34,27,35,1,1,3,1,,1,4.71,-0.2,-0.2,57.4
CU,2024-10-18,78.2,1.37,6.09,"Sabrowski, Erik",519203,681870,,foul,,,,,8,Anthony Rizzo singles on a line drive to center fielder Lane Thomas.,L,L,L,CLE,NYY,S,,,0,1,2024,-0.71,-1.19,-0.18,2.21,,,,2,4,Top,,,,,,,-2.044047708027411,-113.84248715303724,0.7553164122374307,-5.727759692240969,22.606585771705276,-42.8342936429737,3.59,1.76,3,69.9,-44,78.3,2548,6.5,775311,595978,647304,665926,608070,677587,680757,657041,682177,53.98,,,,,,,,30,2,Curveball,2,3,3,2,3,2,3,2,Standard,Standard,339,0.0,-0.058,70.3,6.8,,0.058,88.0,-1,1,0.41,0.59,26,34,27,35,1,1,3,1,,1,4.94,-0.71,-0.71,53.9
FF,2024-10-18,92.9,1.36,5.98,"Sabrowski, Erik",519203,681870,,foul,,,,,1,Anthony Rizzo singles on a line drive to center fielder Lane Thomas.,L,L,L,CLE,NYY,S,,,0,0,2024,0.63,1.83,-0.3,3.61,,,,2,4,Top,,,,,,,-5.67197142627756,-135.13612520671273,-4.269686202003267,9.00046439230309,31.807606624903418,-9.119104541220684,3.59,1.76,,,,93.2,2590,6.6,775311,595978,647304,665926,608070,677587,680757,657041,682177,53.85,,,,,,,,30,1,4-Seam Fastball,2,3,3,2,3,2,3,2,Standard,Standard,157,0.0,-0.041,64.3,5.8,,0.041,,-1,1,0.41,0.59,26,34,27,35,1,1,3,1,,1,0.83,0.63,0.63,49.7
FF,2024-10-18,94.1,1.57,5.91,"Sabrowski, Erik",519317,681870,strikeout,called_strike,,,,,8,Giancarlo Stanton called out on strikes.,L,R,L,CLE,NYY,S,2,,3,2,2024,0.82,1.69,-0.15,2.4,,,,1,4,Top,,,,,,,-6.301101667111277,-136.71634478757622,-7.156480120546888,11.667944659502089,32.16815783358432,-9.56461826025012,3.79,1.83,,,,94.5,2594,6.8,775311,595978,647304,665926,608070,677587,680757,657041,682177,53.73,,0.0,0.0,1,0,0,,29,7,4-Seam Fastball,2,3,3,2,3,2,3,2,Infield shade,Strategic,153,0.016,-0.332,,,,0.332,,-1,1,0.394,0.606,26,34,27,35,1,1,3,1,,1,0.9,0.82,-0.82,46.6
