pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
FF,2024-09-28,95.8,-1.81,6.43,"Senzatela, Antonio",666158,622608,walk,ball,,,,,11,Gavin Lux walks.,R,L,R,COL,LAD,B,,,3,1,2024,-0.36,0.93,-1.08,3.28,660271,,,1,5,Top,,,,,,,2.7321101745974814,-139.6146462161729,-4.869560883555696,-5.303108647319734,28.275251513270153,-19.130167235469425,3.26,1.47,,,,95.8,2177,6.0,746499,696100,669911,668845,641857,678662,666134,656541,595909,54.51,,0.689131,0.7,1,0,0,,36,5,4-Seam Fastball,2,5,5,2,5,2,5,2,Strategic,Standard,205,-0.004,0.112,,,,-0.112,,-3,3,0.124,0.876,29,26,29,27,3,2,6,1,,7,1.53,0.36,-0.36,55.4
FF,2024-09-28,94.0,-2.38,5.98,"Senzatela, Antonio",666158,622608,,ball,,,,,12,Gavin Lux walks.,R,L,R,COL,LAD,B,,,2,1,2024,-0.3,0.81,0.97,3.19,660271,,,1,5,Top,,,,,,,9.330917500902668,-136.6833675089514,-3.3461889401143674,-5.7027373040696485,27.117734267625472,-21.451397195656387,3.35,1.6,,,,94.1,2155,6.1,746499,696100,669911,668845,641857,678662,666134,656541,595909,54.35,,,,,,,,36,4,4-Seam Fastball,2,5,5,2,5,2,5,2,Strategic,Standard,212,0.0,0.084,,,,-0.084,,-3,3,0.124,0.876,29,26,29,27,3,2,6,1,,7,1.75,0.3,-0.3,43.2
FF,2024-09-28,94.4,-1.9,6.41,"Senzatela, Antonio",666158,622608,,foul,,,,,5,Gavin Lux walks.,R,L,R,COL,LAD,S,,,2,0,2024,-0.08,1.03,-0.26,2.37,660271,,,1,5,Top,,,,,,,4.418860625861588,-137.40718060271152,-7.172523394668241,-1.787529138336592,25.42798173965164,-17.82325609000072,3.24,1.56,249,84.8,55,94.7,2217,6.1,746499,696100,669911,668845,641857,678662,666134,656541,595909,54.45,,,,,,,,36,3,4-Seam Fastball,2,5,5,2,5,2,5,2,Strategic,Standard,203,0.0,-0.065,74.0,7.1,,0.065,88.0,-3,3,0.124,0.876,29,26,29,27,3,2,6,1,,7,1.49,0.08,-0.08,53.4
CH,2024-09-28,87.4,-2.41,6.08,"Senzatela, Antonio",666158,622608,,ball,,,,,11,Gavin Lux walks.,R,L,R,COL,LAD,B,,,1,0,2024,-0.75,0.57,-1.55,2.65,660271,,,1,5,Top,,,,,,,3.582222312549666,-127.2935637847356,-3.357390215554501,-8.85928736381206,23.710868406534164,-25.447691384389017,3.33,1.53,,,,87.3,2121,6.0,746499,696100,669911,668845,641857,678662,666134,656541,595909,54.5,,,,,,,,36,2,Changeup,2,5,5,2,5,2,5,2,Strategic,Standard,207,0.0,0.022,,,,-0.022,,-3,3,0.124,0.876,29,26,29,27,3,2,6,1,,7,2.38,0.75,-0.75,42.0
FF,2024-09-28,94.1,-1.81,6.38,"Senzatela, Antonio",666158,622608,,ball,,,,,14,Gavin Lux walks.,R,L,R,COL,LAD,B,,,0,0,2024,-0.02,0.98,0.78,0.99,660271,,,1,5,Top,,,,,,,6.748953360771098,-136.7808348958996,-10.49128877680342,-1.5621985745759508,25.780484754004405,-17.8389764456436,3.3,1.51,,,,94.3,2304,6.1,746499,696100,669911,668845,641857,678662,666134,656541,595909,54.35,,,,,,,,36,1,4-Seam Fastball,2,5,5,2,5,2,5,2,Strategic,Standard,200,0.0,0.038,,,,-0.038,,-3,3,0.124,0.876,29,26,29,27,3,2,6,1,,7,1.57,0.02,-0.02,53.0
FF,2024-09-28,94.7,-2.46,5.89,"Senzatela, Antonio",605141,622608,field_out,hit_into_play,,,,,5,Mookie Betts flies out to center fielder Sam Hilliard. Shohei Ohtani to 3rd.,R,R,R,COL,LAD,X,8,fly_ball,3,1,2024,-0.42,0.94,0.27,2.16,,660271,,0,5,Top,137.63,65.16,,,,,8.039380707741731,-137.81012049191327,-6.265295408505462,-6.907983805882212,25.85593333119369,-19.002047724862365,3.14,1.42,379,98.4,23,95.2,2197,6.2,746499,696100,669911,668845,641857,678662,666134,656541,595909,54.28,0.311,0.425,0.0,1,0,0,5,35,5,4-Seam Fastball,2,5,5,2,5,2,5,2,Strategic,Standard,221,0.003,-0.4,70.5,7.0,0.725,0.4,98.4,-3,3,0.121,0.879,29,31,29,32,3,2,6,1,,1,1.57,0.42,0.42,38.1
FF,2024-09-28,93.4,-2.47,6.0,"Senzatela, Antonio",605141,622608,,called_strike,,,,,6,Mookie Betts flies out to center fielder Sam Hilliard. Shohei Ohtani to 3rd.,R,R,R,COL,LAD,S,,,3,0,2024,-0.24,0.83,0.61,2.25,,660271,,0,5,Top,,,,,,,8.395551267471003,-135.91405395796463,-5.808844079365492,-4.506130127922037,24.730306723751063,-20.773856760194256,3.14,1.33,,,,93.5,2162,6.0,746499,696100,669911,668845,641857,678662,666134,656541,595909,54.54,,,,,,,,35,4,4-Seam Fastball,2,5,5,2,5,2,5,2,Infield shade,Standard,218,0.0,-0.043,,,,0.043,,-3,3,0.121,0.879,29,31,29,32,3,2,6,1,,1,1.74,0.24,0.24,39.0
SL,2024-09-28,87.6,-2.48,6.2,"Senzatela, Antonio",605141,622608,,ball,,,,,11,Mookie Betts flies out to center fielder Sam Hilliard. Shohei Ohtani to 3rd.,R,R,R,COL,LAD,B,,,2,0,2024,0.35,0.4,-0.2,3.69,,660271,,0,5,Top,,,,,,,4.766181411614182,-127.7389708190382,-0.9203476474794442,3.1217020654861125,20.848169140559,-27.69711487115636,3.14,1.32,,,,87.9,2157,5.9,746499,696100,669911,668845,641857,678662,666134,656541,595909,54.57,,,,,,,,35,3,Slider,2,5,5,2,5,2,5,2,Strategic,Standard,184,0.0,0.091,,,,-0.091,,-3,3,0.121,0.879,29,31,29,32,3,2,6,1,,1,2.5,-0.35,-0.35,42.2
FF,2024-09-28,94.3,-2.54,5.94,"Senzatela, Antonio",605141,622608,,ball,,,,,14,Mookie Betts flies out to center fielder Sam Hilliard. Shohei Ohtani to 3rd.,R,R,R,COL,LAD,B,,,1,0,2024,-0.21,0.85,0.84,0.69,,,660271,0,5,Top,,,,,,,9.182934067929915,-136.94854242276529,-9.86794349273942,-4.324556665087101,24.81170392055376,-19.63524508753566,3.14,1.37,,,,94.5,2205,6.1,746499,696100,669911,668845,641857,678662,666134,656541,595909,54.41,,,,,,,,35,2,4-Seam Fastball,2,5,5,2,5,2,5,2,Standard,Standard,221,0.0,0.068,,,,-0.068,,-3,3,0.136,0.864,29,31,29,32,3,2,6,1,,1,1.69,0.21,0.21,38.1
FF,2024-09-28,93.5,-2.02,6.35,"Senzatela, Antonio",605141,622608,,ball,,,,,14,Mookie Betts flies out to center fielder Sam Hilliard. Shohei Ohtani to 3rd.,R,R,R,COL,LAD,B,,,0,0,2024,-0.2,0.76,0.9,1.71,,,660271,0,5,Top,,,,,,,7.91492541503924,-135.93002941942507,-7.9367642688857565,-3.92901429744603,24.724230528389043,-21.297167453720295,3.14,1.38,,,,93.5,2161,6.0,746499,696100,669911,668845,641857,678662,666134,656541,595909,54.51,,,,,,,,35,1,4-Seam Fastball,2,5,5,2,5,2,5,2,Strategic,Standard,206,0.0,0.042,,,,-0.042,,-3,3,0.136,0.864,29,31,29,32,3,2,6,1,,1,1.82,0.2,0.2,51.6
