pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
SL,2024-10-09,85.3,-1.37,5.38,"Singer, Brady",592450,663903,strikeout,swinging_strike,,,,,14,Aaron Judge strikes out swinging.,D,R,R,KC,NYY,S,2,,3,2,2024,0.34,-0.05,0.92,1.56,,,665742,2,7,Top,,,,,,,4.76168454557472,-124.30093808455156,-2.6852787781737426,2.7109220887688132,22.2438066439847,-32.43804694354856,3.96,1.81,,,,86.7,2539,6.9,775329,521692,493329,686681,672580,677951,669004,664728,624428,53.63,,0.0,0.0,1,0,0,,54,6,Slider,2,2,2,2,2,2,2,2,Standard,Standard,92,0.041,-0.319,24.0,7.2,,0.319,,0,0,0.545,0.455,27,32,28,32,1,3,12,2,,1,3.15,-0.34,-0.34,33.1
SL,2024-10-09,84.1,-1.45,5.13,"Singer, Brady",592450,663903,,blocked_ball,,,,,14,Aaron Judge strikes out swinging.,D,R,R,KC,NYY,B,,,2,2,2024,0.64,0.17,1.75,0.45,,,665742,2,7,Top,,,,,,,6.246095963373772,-122.40668914928844,-4.873722403272928,5.290114778507211,22.310736899925654,-29.763572766096065,4.12,1.88,,,,85.2,2456,6.8,775329,521692,493329,686681,672580,677951,669004,664728,624428,53.66,,,,,,,,54,5,Slider,2,2,2,2,2,2,2,2,Standard,Standard,60,0.0,0.085,,,,-0.085,,0,0,0.545,0.455,27,32,28,32,1,3,12,2,,1,3.03,-0.64,-0.64,19.4
SI,2024-10-09,93.9,-1.21,5.17,"Singer, Brady",592450,663903,,ball,,,,,14,Aaron Judge strikes out swinging.,D,R,R,KC,NYY,B,,,1,2,2024,-1.18,0.65,0.75,1.53,,,665742,2,7,Top,,,,,,,7.812568592343547,-136.50865297909613,-5.229552833898229,-16.491926600468997,28.543784340784693,-23.0918717785068,4.18,1.89,,,,95.6,2338,7.2,775329,521692,493329,686681,672580,677951,669004,664728,624428,53.31,,,,,,,,54,4,Sinker,2,2,2,2,2,2,2,2,Standard,Standard,216,0.0,0.038,,,,-0.038,,0,0,0.545,0.455,27,32,28,32,1,3,12,2,,1,1.93,1.18,1.18,25.8
SL,2024-10-09,85.0,-1.35,5.25,"Singer, Brady",592450,663903,,blocked_ball,,,,,14,Aaron Judge strikes out swinging.,D,R,R,KC,NYY,B,,,0,2,2024,0.29,0.2,2.06,-0.11,,,665742,2,7,Top,,,,,,,7.505521072672925,-123.59523612601907,-6.806580294761145,1.676904612649027,21.479303594249902,-29.037351211492176,4.1,1.81,,,,86.6,2549,7.1,775329,521692,493329,686681,672580,677951,669004,664728,624428,53.45,,,,,,,,54,3,Slider,2,2,2,2,2,2,2,2,Standard,Standard,96,0.0,0.027,,,,-0.027,,0,0,0.545,0.455,27,32,28,32,1,3,12,2,,1,2.92,-0.29,-0.29,27.6
FF,2024-10-09,91.1,-1.24,5.36,"Singer, Brady",592450,663903,,foul,,,,,2,Aaron Judge strikes out swinging.,D,R,R,KC,NYY,S,,,0,1,2024,-0.02,1.17,0.24,3.85,,,665742,2,7,Top,,,,,,,3.817883558762411,-132.76267233423914,-0.4967321568771071,-0.9942502472600536,25.33571228988752,-18.350710553676283,3.96,1.81,256,97.3,56,92.7,2472,6.9,775329,521692,493329,686681,672580,677951,669004,664728,624428,53.58,,,,,,,,54,2,4-Seam Fastball,2,2,2,2,2,2,2,2,Standard,Standard,200,0.0,-0.054,68.5,7.0,,0.054,97.3,0,0,0.545,0.455,27,32,28,32,1,3,12,2,,1,1.55,0.02,0.02,32.3
SI,2024-10-09,92.1,-1.27,5.26,"Singer, Brady",592450,663903,,called_strike,,,,,8,Aaron Judge strikes out swinging.,D,R,R,KC,NYY,S,,,0,0,2024,-1.0,0.7,0.07,2.15,,,665742,2,7,Top,,,,,,,5.666472799063362,-134.0920852016994,-3.7064966745368,-13.276736625770916,25.31942985725456,-23.16009254521833,4.17,1.81,,,,94.0,2475,7.1,775329,521692,493329,686681,672580,677951,669004,664728,624428,53.41,,,,,,,,54,1,Sinker,2,2,2,2,2,2,2,2,Standard,Standard,207,0.0,-0.047,,,,0.047,,0,0,0.545,0.455,27,32,28,32,1,3,12,2,,1,1.96,1.0,1.0,26.4
SL,2024-09-27,82.8,-1.4,5.34,"Singer, Brady",570482,663903,strikeout,swinging_strike,,,,,14,Gio Urshela strikes out swinging.,R,R,R,ATL,KC,S,2,,0,2,2024,0.61,0.04,1.59,0.9,624585,657656,,2,6,Bot,,,,,,,5.716413989027376,-120.52407101742796,-3.8491281055145423,5.025915821212514,21.02314279805101,-31.241489664764224,3.4,1.6,,,,84.2,2509,7.0,747065,521692,493329,686681,641658,677951,502054,664728,592669,53.53,,0.0,0.0,1,0,0,,46,4,Slider,2,0,2,0,0,2,2,0,Standard,Standard,60,-0.032,-0.176,56.1,8.5,,0.176,,2,2,0.856,0.856,27,32,28,33,3,2,6,3,12,1,3.25,-0.61,-0.61,26.8
ST,2024-09-27,84.3,-1.59,5.12,"Singer, Brady",570482,663903,,foul,,,,,14,Gio Urshela strikes out swinging.,R,R,R,ATL,KC,S,,,0,2,2024,0.59,0.37,0.89,2.34,624585,657656,,2,6,Bot,,,,,,,4.660718507967407,-122.73921740728052,-0.8771162385387827,5.145346284118286,22.214969533051573,-28.464442908533783,3.4,1.6,249,78.1,32,86.0,2425,7.2,747065,521692,493329,686681,641658,677951,502054,664728,592669,53.35,,,,,,,,46,3,Sweeper,2,0,2,0,0,2,2,0,Standard,Standard,88,0.0,0.0,65.2,6.2,,0.0,88.0,2,2,0.856,0.856,27,32,28,33,3,2,6,3,12,1,2.81,-0.59,-0.59,18.2
ST,2024-09-27,83.4,-1.54,5.17,"Singer, Brady",570482,663903,,foul,,,,,6,Gio Urshela strikes out swinging.,R,R,R,ATL,KC,S,,,0,1,2024,0.65,0.32,0.77,2.42,624585,657656,,2,6,Bot,,,,,,,4.065068556733957,-121.34647814074302,-0.475173884338228,5.564807564375244,25.457175717168106,-29.139358197523094,3.4,1.6,1,65.1,-59,84.2,2509,7.0,747065,521692,493329,686681,641658,677951,502054,664728,592669,53.52,,,,,,,,46,2,Sweeper,2,0,2,0,0,2,2,0,Standard,Standard,77,0.0,-0.059,64.9,7.4,,0.059,88.0,2,2,0.856,0.856,27,32,28,33,3,2,6,3,12,1,2.97,-0.65,-0.65,21.4
SI,2024-09-27,92.0,-1.48,5.27,"Singer, Brady",570482,663903,,called_strike,,,,,4,Gio Urshela strikes out swinging.,R,R,R,ATL,KC,S,,,0,0,2024,-0.95,0.72,-0.55,2.79,624585,657656,,2,6,Bot,,,,,,,4.503110625423681,-133.91028736281402,-2.02495066881952,-12.443845091668836,29.141459423712178,-23.336557953842508,3.37,1.63,,,,93.3,2338,7.1,747065,521692,493329,686681,641658,677951,502054,664728,592669,53.44,,,,,,,,46,1,Sinker,2,0,2,0,0,2,2,0,Standard,Standard,209,0.0,-0.046,,,,0.046,,2,2,0.856,0.856,27,32,28,33,3,2,6,3,12,1,1.98,0.95,0.95,26.1
