pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
FF,2024-10-19,94.1,-2.31,5.93,"Smith, Cade",683011,671922,field_out,hit_into_play,,,,,2,Anthony Volpe flies out to center fielder Lane Thomas.,L,R,R,CLE,NYY,X,8,fly_ball,2,1,2024,-0.83,1.21,0.19,3.08,,,665828,0,7,Top,142.84,61.26,,,,,8.516786985290345,-136.65101026133846,-4.3710072792073555,-12.451506607975292,33.468797983888926,-16.269321315135397,3.37,1.57,344,94.7,26,95.5,2092,7.5,775309,666310,647304,665926,608070,677587,680757,657041,678877,53.02,0.211,0.299,0.0,1,0,0,5,51,4,4-Seam Fastball,2,2,2,2,2,2,2,2,Standard,Standard,214,0.055,-0.282,68.9,7.3,0.511,0.282,94.7,0,0,0.441,0.559,25,23,25,23,1,2,1,1,,6,1.4,0.83,0.83,42.8
ST,2024-10-19,80.0,-2.67,5.84,"Smith, Cade",683011,671922,,ball,,,,,11,Anthony Volpe flies out to center fielder Lane Thomas.,L,R,R,CLE,NYY,B,,,1,1,2024,0.9,0.51,-0.42,4.4,,,665828,0,7,Top,,,,,,,3.31759970433509,-116.40416112109678,2.6882424384160784,7.446797713583185,23.130269356651905,-28.31417036415522,3.29,1.56,,,,81.0,1936,7.1,775309,666310,647304,665926,608070,677587,680757,657041,678877,53.4,,,,,,,,51,3,Sweeper,2,2,2,2,2,2,2,2,Standard,Standard,75,0.0,0.043,,,,-0.043,,0,0,0.441,0.559,25,23,25,23,1,2,1,1,,6,3.07,-0.9,-0.9,38.7
FS,2024-10-19,85.9,-2.45,5.89,"Smith, Cade",683011,671922,,called_strike,,,,,4,Anthony Volpe flies out to center fielder Lane Thomas.,L,R,R,CLE,NYY,S,,,1,0,2024,-0.96,-0.34,-0.55,2.55,,,665828,0,7,Top,,,,,,,6.555739716433059,-124.88570287688133,-0.911085955187215,-11.412183740047867,27.44488153706976,-35.70598158335592,3.29,1.57,,,,87.0,892,7.2,775309,666310,647304,665926,608070,677587,680757,657041,678877,53.26,,,,,,,,51,2,Split-Finger,2,2,2,2,2,2,2,2,Standard,Standard,252,0.0,-0.049,,,,0.049,,0,0,0.441,0.559,25,23,25,23,1,2,1,1,,6,3.45,0.96,0.96,38.9
FF,2024-10-19,93.7,-2.38,6.05,"Smith, Cade",683011,671922,,ball,,,,,11,Anthony Volpe flies out to center fielder Lane Thomas.,L,R,R,CLE,NYY,B,,,0,0,2024,-0.93,1.32,-1.41,4.17,,,665828,0,7,Top,,,,,,,4.6398488906281905,-136.24111915466787,-1.9737800106564616,-12.629662686096088,34.181559405440346,-15.61836260719813,3.32,1.6,,,,94.6,2244,7.2,775309,666310,647304,665926,608070,677587,680757,657041,678877,53.31,,,,,,,,51,1,4-Seam Fastball,2,2,2,2,2,2,2,2,Standard,Standard,214,0.0,0.042,,,,-0.042,,0,0,0.441,0.559,25,23,25,23,1,2,1,1,,6,1.31,0.93,0.93,43.2
FF,2024-10-19,94.4,-2.83,5.93,"Smith, Cade",519203,671922,single,hit_into_play,,,,,4,Anthony Rizzo singles on a line drive to left fielder Steven Kwan.,L,L,R,CLE,NYY,X,7,line_drive,1,0,2024,-0.74,1.2,-0.29,2.95,,,,0,7,Top,64.04,96.01,,,,,8.37929845866853,-137.10557424114648,-4.741602731776263,-11.325695222387347,32.622664371200166,-16.184171395413653,3.59,1.76,252,99.6,14,95.2,2167,7.0,775309,666310,647304,665926,608070,677587,680757,657041,678877,53.45,0.826,0.812,0.9,1,1,0,4,50,2,4-Seam Fastball,2,2,2,2,2,2,2,2,Strategic,Strategic,217,-0.059,0.41,,,1.048,-0.41,99.6,0,0,0.5,0.5,25,34,25,35,1,2,1,1,,6,1.38,0.74,-0.74,40.2
FF,2024-10-19,92.8,-2.96,5.98,"Smith, Cade",519203,671922,,ball,,,,,11,Anthony Rizzo singles on a line drive to left fielder Steven Kwan.,L,L,R,CLE,NYY,B,,,0,0,2024,-0.8,1.25,-1.0,4.03,,,,0,7,Top,,,,,,,6.881214381287022,-135.0042822773838,-1.9125971304528595,-11.379776788176017,31.02671607639159,-16.770615710057186,3.62,1.65,,,,93.8,2068,7.0,775309,666310,647304,665926,608070,677587,680757,657041,678877,53.48,,,,,,,,50,1,4-Seam Fastball,2,2,2,2,2,2,2,2,Standard,Strategic,217,0.0,0.038,,,,-0.038,,0,0,0.5,0.5,25,34,25,35,1,2,1,1,,6,1.41,0.8,-0.8,40.4
FF,2024-10-19,95.8,-2.51,6.0,"Smith, Cade",665862,671922,strikeout,swinging_strike,,,,,1,Jazz Chisholm Jr.  strikes out swinging.,L,L,R,CLE,NYY,S,2,,2,2,2024,-0.83,1.1,-0.64,3.6,,,,2,6,Top,,,,,,,6.954866059475389,-139.25104750313488,-3.23724224508539,-12.412776676701506,33.085003396820355,-17.353778232910603,3.64,1.74,,,,97.2,2085,7.2,775309,666310,647304,665926,608070,677587,680757,657041,678877,53.25,,0.0,0.0,1,0,0,,45,5,4-Seam Fastball,2,2,2,2,2,2,2,2,Strategic,Standard,215,0.016,-0.219,68.9,6.4,,0.219,,0,0,0.558,0.442,25,26,25,26,1,2,1,1,,6,1.4,0.83,-0.83,39.4
FS,2024-10-19,85.9,-2.9,5.83,"Smith, Cade",665862,671922,,ball,,,,,11,Jazz Chisholm Jr.  strikes out swinging.,L,L,R,CLE,NYY,B,,,1,2,2024,-0.76,-0.17,-0.92,3.14,,,,2,6,Top,,,,,,,6.291114989388987,-124.8815140851334,0.3145644118801587,-9.272201686968309,27.320131448611033,-34.282998031439575,3.54,1.61,,,,86.5,721,6.9,775309,666310,647304,665926,608070,677587,680757,657041,678877,53.56,,,,,,,,45,4,Split-Finger,2,2,2,2,2,2,2,2,Strategic,Standard,261,0.0,0.039,,,,-0.039,,0,0,0.558,0.442,25,26,25,26,1,2,1,1,,6,3.29,0.76,-0.76,35.9
FS,2024-10-19,86.8,-3.13,5.77,"Smith, Cade",665862,671922,,ball,,,,,13,Jazz Chisholm Jr.  strikes out swinging.,L,L,R,CLE,NYY,B,,,0,2,2024,-0.68,-0.51,-1.12,1.67,,,,2,6,Top,,,,,,,6.27590496740938,-126.23756091636066,-2.4935156788664674,-8.6382274123475,29.14605662023396,-37.25598194649048,3.56,1.63,,,,87.3,669,7.0,775309,666310,647304,665926,608070,677587,680757,657041,678877,53.54,,,,,,,,45,3,Split-Finger,2,2,2,2,2,2,2,2,Strategic,Standard,275,0.0,0.023,,,,-0.023,,0,0,0.558,0.442,25,26,25,26,1,2,1,1,,6,3.57,0.68,-0.68,33.4
FF,2024-10-19,94.3,-2.93,5.87,"Smith, Cade",665862,671922,,foul,,,,,1,Jazz Chisholm Jr.  strikes out swinging.,L,L,R,CLE,NYY,S,,,0,1,2024,-0.87,1.38,-0.43,3.38,,,,2,6,Top,,,,,,,8.597605992905342,-137.0662280902993,-3.866208163717294,-12.93294256255281,31.499585146721508,-14.102753586664369,3.64,1.74,248,78.7,28,95.6,2300,7.2,775309,666310,647304,665926,608070,677587,680757,657041,678877,53.3,,,,,,,,45,2,4-Seam Fastball,2,2,2,2,2,2,2,2,Standard,Standard,221,0.0,-0.058,72.6,7.5,,0.058,88.0,0,0,0.558,0.442,25,26,25,26,1,2,1,1,,6,1.2,0.87,-0.87,39.0
