pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
ST,2024-09-24,81.2,-2.68,5.17,"Spiers, Carson",677587,686730,strikeout,called_strike,,,,,8,Brayan Rocchio called out on strikes.,R,L,R,CLE,CIN,S,2,,0,2,2024,1.51,0.36,0.0,1.6,,,,2,4,Bot,,,,,,,3.138308117530068,-118.27539863000808,-2.079401133102131,13.491560280349344,23.20068094336203,-28.65822240536827,3.05,1.4,,,,81.7,2812,6.7,746581,663886,664034,663697,669289,682829,668715,670770,641584,53.84,,0.0,0.0,1,0,0,,34,4,Sweeper,3,1,3,1,1,3,3,1,Infield shade,Standard,78,-0.007,-0.157,,,,0.157,,2,2,0.768,0.768,26,23,27,23,2,1,7,2,,1,3.1,-1.51,1.51,27.1
FF,2024-09-24,92.8,-2.3,5.47,"Spiers, Carson",677587,686730,,foul,,,,,1,Brayan Rocchio called out on strikes.,R,L,R,CLE,CIN,S,,,0,2,2024,-0.59,1.31,-0.68,3.0,,,,2,4,Bot,,,,,,,5.480524912523572,-135.06475095330205,-3.4612580283845857,-8.361784408038226,26.765941190070524,-15.494011908988432,3.11,1.43,228,78.3,50,93.9,2405,6.7,746581,663886,664034,663697,669289,682829,668715,670770,641584,53.79,,,,,,,,34,3,4-Seam Fastball,3,1,3,1,1,3,3,1,Infield shade,Standard,214,0.0,0.0,64.9,6.5,,0.0,88.0,2,2,0.768,0.768,26,23,27,23,2,1,7,2,,1,1.31,0.59,-0.59,35.9
ST,2024-09-24,81.2,-2.72,5.0,"Spiers, Carson",677587,686730,,swinging_strike,,,,,14,Brayan Rocchio called out on strikes.,R,L,R,CLE,CIN,S,,,0,1,2024,1.43,-0.02,1.13,1.21,,,,2,4,Bot,,,,,,,5.909708576232799,-118.20319374652875,-1.858806608259297,12.30692192281164,22.469193477367075,-32.21562163709253,3.11,1.43,,,,82.0,2935,6.8,746581,663886,664034,663697,669289,682829,668715,670770,641584,53.7,,,,,,,,34,2,Sweeper,3,1,3,1,1,3,3,1,Infield shade,Standard,74,0.0,-0.058,67.2,8.4,,0.058,,2,2,0.768,0.768,26,23,27,23,2,1,7,2,,1,3.47,-1.43,1.43,23.7
FC,2024-09-24,88.8,-2.53,5.29,"Spiers, Carson",677587,686730,,called_strike,,,,,11,Brayan Rocchio called out on strikes.,R,L,R,CLE,CIN,S,,,0,0,2024,0.01,0.64,-0.51,3.34,,,,2,4,Bot,,,,,,,4.924487475829197,-129.4648704214815,-0.1858749766690136,-0.7346681248467465,22.809918593498324,-24.993972665319777,3.18,1.53,,,,89.8,2539,6.5,746581,663886,664034,663697,669289,682829,668715,670770,641584,54.03,,,,,,,,34,1,Cutter,3,1,3,1,1,3,3,1,Standard,Standard,192,0.0,-0.041,,,,0.041,,2,2,0.768,0.768,26,23,27,23,2,1,7,2,,1,2.2,-0.01,0.01,31.6
ST,2024-09-24,81.6,-2.69,5.21,"Spiers, Carson",666310,686730,field_out,hit_into_play,,,,,1,Bo Naylor grounds out to first baseman Ty France.,R,L,R,CLE,CIN,X,3,ground_ball,1,2,2024,1.28,0.01,-0.43,3.11,,,,1,4,Bot,159.47,164.53,,,,,2.661687643405748,-118.82692647280616,1.7935863035807893,11.709517635341216,21.10448034757229,-32.60365333980572,3.26,1.55,36,88.4,-3,82.6,2948,6.8,746581,663886,664034,663697,669289,682829,668715,670770,641584,53.75,0.229,0.203,0.0,1,0,0,2,33,4,Sweeper,3,1,3,1,1,3,3,1,Infield shade,Standard,77,-0.011,-0.182,64.1,8.1,0.276,0.182,88.4,2,2,0.779,0.779,26,24,27,24,2,1,7,3,,1,3.39,-1.28,1.28,27.8
ST,2024-09-24,80.3,-2.71,5.19,"Spiers, Carson",666310,686730,,called_strike,,,,,8,Bo Naylor grounds out to first baseman Ty France.,R,L,R,CLE,CIN,S,,,1,1,2024,1.41,0.17,-0.23,1.96,,,,1,4,Bot,,,,,,,2.8169861741337376,-116.9435439614794,-0.7656146761916572,12.373569768215624,22.77376657190792,-30.730894448004687,3.44,1.63,,,,80.8,2785,6.7,746581,663886,664034,663697,669289,682829,668715,670770,641584,53.83,,,,,,,,33,3,Sweeper,3,1,3,1,1,3,3,1,Infield shade,Standard,68,0.0,-0.061,,,,0.061,,2,2,0.779,0.779,26,24,27,24,2,1,7,3,,1,3.37,-1.41,1.41,29.4
FC,2024-09-24,86.4,-2.55,5.39,"Spiers, Carson",666310,686730,,called_strike,,,,,6,Bo Naylor grounds out to first baseman Ty France.,R,L,R,CLE,CIN,S,,,1,0,2024,0.18,0.51,0.64,2.82,,,686823,0,4,Bot,,,,,,,7.298389454889373,-125.76222936472762,-0.9565866186766436,0.4599336731082017,24.62874448812289,-26.719167457220333,3.4,1.63,,,,87.1,2548,6.6,746581,663886,664034,663697,669289,682829,668715,670770,641584,53.85,,,,,,,,33,2,Cutter,3,1,3,1,1,3,3,1,Infield shade,Standard,175,-0.037,-0.049,,,,0.049,,2,2,0.816,0.816,26,24,27,24,2,1,7,3,,1,2.53,-0.18,0.18,31.4
FF,2024-09-24,91.8,-2.51,5.43,"Spiers, Carson",666310,686730,,ball,,,,,13,Bo Naylor grounds out to first baseman Ty France.,R,L,R,CLE,CIN,B,,,0,0,2024,-0.72,1.27,-1.82,2.41,,,686823,0,4,Bot,,,,,,,3.3467960691265155,-133.67781621046709,-4.593646932024813,-9.37645861386447,27.744796561910775,-16.177827247247517,3.43,1.67,,,,92.7,2378,6.7,746581,663886,664034,663697,669289,682829,668715,670770,641584,53.78,,,,,,,,33,1,4-Seam Fastball,3,1,3,1,1,3,3,1,Standard,Standard,220,0.0,0.042,,,,-0.042,,2,2,0.816,0.816,26,24,27,24,2,1,7,3,,1,1.43,0.72,-0.72,32.8
CH,2024-09-24,85.6,-2.47,5.26,"Spiers, Carson",686823,686730,single,hit_into_play,,,,,6,Will Brennan singles on a line drive to right fielder Jake Fraley.,R,L,R,CLE,CIN,X,9,line_drive,0,0,2024,-1.16,0.51,0.67,2.14,,,,0,4,Bot,175.35,104.45,,,,,9.792051217840616,-124.40285391271854,-2.1801177172695207,-13.861250216801425,21.933059052705097,-26.591987760298775,3.27,1.52,226,85.7,15,86.4,1731,6.6,746581,663886,664034,663697,669289,682829,668715,670770,641584,53.91,0.96,0.91,0.9,1,1,0,4,32,1,Changeup,3,1,3,1,1,3,3,1,Standard,Standard,247,0.023,0.448,72.5,7.0,1.112,-0.448,88.0,2,2,0.793,0.793,26,26,27,26,2,1,7,2,,1,2.58,1.16,-1.16,29.4
SI,2024-09-24,91.4,-2.43,5.24,"Spiers, Carson",665926,686730,field_out,hit_into_play,,,,,14,"Andrés Giménez grounds out, second baseman Jonathan India to first baseman Ty France.",R,L,R,CLE,CIN,X,4,ground_ball,1,1,2024,-1.29,0.4,0.1,1.27,,,647304,2,3,Bot,158.81,158.77,,,,,9.201147781203357,-132.8129817799962,-5.034415353320048,-17.217299692285785,27.21332860660584,-26.56511751403209,3.19,1.45,4,90.7,-18,92.0,2155,6.6,746581,663886,664034,663697,669289,682829,668715,670770,641584,53.89,0.077,0.076,0.0,1,0,0,2,26,3,Sinker,3,0,3,0,0,3,3,0,Standard,Standard,230,-0.011,-0.256,75.1,7.2,0.077,0.256,90.7,3,3,0.835,0.835,26,25,27,26,2,1,7,3,,1,2.33,1.29,-1.29,27.6
