pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
SL,2024-09-24,83.1,2.06,6.4,"Steele, Justin",624641,657006,field_out,hit_into_play,,,,,5,Edmundo Sosa pops out to first baseman Cody Bellinger.,R,R,L,PHI,CHC,X,3,popup,1,2,2024,-0.81,0.14,-0.18,2.49,,,669720,2,4,Bot,146.55,167.17,,,,,-3.52279726215831,-120.92071175866458,-2.753276012082865,-7.243722147220365,24.7703347652968,-30.422443311472573,3.5,1.7,81,53.1,68,82.7,2579,6.2,745526,665804,641355,663538,670623,621020,664023,691718,643565,54.34,0.001,0.0,0.0,1,0,0,1,39,12,Slider,2,6,2,6,6,2,2,6,Standard,Standard,314,-0.017,-0.197,75.0,8.3,0.001,0.197,88.0,-4,-4,0.112,0.112,28,28,29,28,2,1,6,3,,3,3.17,-0.81,0.81,51.5
FF,2024-09-24,92.1,2.28,6.24,"Steele, Justin",624641,657006,,foul,,,,,5,Edmundo Sosa pops out to first baseman Cody Bellinger.,R,R,L,PHI,CHC,S,,,1,2,2024,0.08,1.01,-0.15,2.35,,,669720,2,4,Bot,,,,,,,-6.350093343172715,-133.97390777493266,-6.305674270554709,2.144615292781495,24.751854013941472,-18.84345090518771,3.5,1.7,67,92.3,3,92.7,2312,6.3,745526,665804,641355,663538,670623,621020,664023,691718,643565,54.17,,,,,,,,39,11,4-Seam Fastball,2,6,2,6,6,2,2,6,Standard,Standard,154,0.0,0.0,79.4,8.6,,0.0,92.3,-4,-4,0.112,0.112,28,28,29,28,2,1,6,3,,3,1.65,0.08,-0.08,41.0
SL,2024-09-24,83.2,2.2,6.37,"Steele, Justin",624641,657006,,foul,,,,,4,Edmundo Sosa pops out to first baseman Cody Bellinger.,R,R,L,PHI,CHC,S,,,1,2,2024,-0.87,0.51,-0.41,2.27,,,669720,2,4,Bot,,,,,,,-4.277266899831891,-121.10038622264584,-3.885181304282529,-7.574742591392616,25.561366231742525,-26.609409403442495,3.5,1.7,227,76.3,51,82.7,2670,6.1,745526,665804,641355,663538,670623,621020,664023,691718,643565,54.36,,,,,,,,39,10,Slider,2,6,2,6,6,2,2,6,Standard,Standard,303,0.0,0.0,71.5,9.6,,0.0,88.0,-4,-4,0.112,0.112,28,28,29,28,2,1,6,3,,3,2.8,-0.87,0.87,42.2
FF,2024-09-24,90.9,2.27,6.2,"Steele, Justin",624641,657006,,foul,,,,,1,Edmundo Sosa pops out to first baseman Cody Bellinger.,R,R,L,PHI,CHC,S,,,1,2,2024,0.29,1.35,-0.38,3.22,,,669720,2,4,Bot,,,,,,,-7.259739089558272,-132.20104324444196,-4.469680349580726,4.918176109471133,27.316784862339308,-15.533139586603491,3.5,1.7,120,51.1,59,91.0,2288,6.3,745526,665804,641355,663538,670623,621020,664023,691718,643565,54.17,,,,,,,,39,9,4-Seam Fastball,2,6,2,6,6,2,2,6,Standard,Standard,161,0.0,0.0,73.5,7.3,,0.0,88.0,-4,-4,0.112,0.112,28,28,29,28,2,1,6,3,,3,1.4,0.29,-0.29,41.2
FF,2024-09-24,92.4,2.2,6.2,"Steele, Justin",624641,657006,,foul,,,,,11,Edmundo Sosa pops out to first baseman Cody Bellinger.,R,R,L,PHI,CHC,S,,,1,2,2024,0.18,1.24,-1.22,2.84,,,669720,2,4,Bot,,,,,,,-9.100017161560416,-134.22192704239123,-5.451389250188965,4.055342263335133,27.043832094636297,-16.160893425859243,3.5,1.7,,,,92.6,2421,6.4,745526,665804,641355,663538,670623,621020,664023,691718,643565,54.14,,,,,,,,39,8,4-Seam Fastball,2,6,2,6,6,2,2,6,Standard,Standard,160,0.0,0.0,,,,0.0,,-4,-4,0.112,0.112,28,28,29,28,2,1,6,3,,3,1.42,0.18,-0.18,42.3
CH,2024-09-24,85.2,2.27,6.31,"Steele, Justin",624641,657006,,foul,,,,,14,Edmundo Sosa pops out to first baseman Cody Bellinger.,R,R,L,PHI,CHC,S,,,1,2,2024,1.32,0.65,1.22,1.64,,,669720,2,4,Bot,,,,,,,-5.099649899390184,-123.91675797638202,-6.008938798286629,14.613802108137676,22.95184804141221,-24.45972855930308,3.5,1.7,4,72.1,-23,85.4,1540,6.3,745526,665804,641355,663538,670623,621020,664023,691718,643565,54.23,,,,,,,,39,7,Changeup,2,6,2,6,6,2,2,6,Standard,Standard,147,0.0,0.0,70.9,9.4,,0.0,88.0,-4,-4,0.112,0.112,28,28,29,28,2,1,6,3,,3,2.47,1.32,-1.32,41.4
SL,2024-09-24,81.8,2.01,6.44,"Steele, Justin",624641,657006,,foul,,,,,7,Edmundo Sosa pops out to first baseman Cody Bellinger.,R,R,L,PHI,CHC,S,,,1,2,2024,-0.37,-0.18,-0.64,2.21,,,669720,2,4,Bot,,,,,,,-5.2620099475356845,-119.15269836479868,-2.6660108133068663,-2.5630968550751043,22.15506103411168,-33.55657131849329,3.5,1.7,29,58.9,-1,81.9,2791,6.2,745526,665804,641355,663538,670623,621020,664023,691718,643565,54.25,,,,,,,,39,6,Slider,2,6,2,6,6,2,2,6,Standard,Standard,309,0.0,0.0,62.6,9.0,,0.0,88.0,-4,-4,0.112,0.112,28,28,29,28,2,1,6,3,,3,3.57,-0.37,0.37,47.9
FF,2024-09-24,90.9,2.32,6.28,"Steele, Justin",624641,657006,,foul,,,,,2,Edmundo Sosa pops out to first baseman Cody Bellinger.,R,R,L,PHI,CHC,S,,,1,2,2024,0.45,1.14,0.24,3.43,,,669720,2,4,Bot,,,,,,,-6.144281850698507,-132.27471795557295,-3.711958937134706,6.473846277675638,26.061199779946325,-18.200310980392008,3.5,1.7,291,94.0,23,90.9,2237,6.1,745526,665804,641355,663538,670623,621020,664023,691718,643565,54.38,,,,,,,,39,5,4-Seam Fastball,2,6,2,6,6,2,2,6,Standard,Standard,149,0.0,0.0,73.9,8.5,,0.0,94.0,-4,-4,0.112,0.112,28,28,29,28,2,1,6,3,,3,1.6,0.45,-0.45,40.4
FF,2024-09-24,92.0,2.36,6.15,"Steele, Justin",624641,657006,,foul,,,,,8,Edmundo Sosa pops out to first baseman Cody Bellinger.,R,R,L,PHI,CHC,S,,,1,2,2024,0.29,1.32,-0.27,2.21,,,669720,2,4,Bot,,,,,,,-7.287435848713737,-133.6223482651726,-6.993561660016134,5.04631193336836,28.47332709702809,-15.014303607169316,3.5,1.7,130,49.4,37,91.9,2442,6.3,745526,665804,641355,663538,670623,621020,664023,691718,643565,54.21,,,,,,,,39,4,4-Seam Fastball,2,6,2,6,6,2,2,6,Standard,Standard,149,0.0,0.0,75.5,7.8,,0.0,88.0,-4,-4,0.112,0.112,28,28,29,28,2,1,6,3,,3,1.38,0.29,-0.29,38.2
FF,2024-09-24,91.1,2.29,6.17,"Steele, Justin",624641,657006,,ball,,,,,7,Edmundo Sosa pops out to first baseman Cody Bellinger.,R,R,L,PHI,CHC,B,,,0,2,2024,0.25,1.16,-0.82,2.22,,,669720,2,4,Bot,,,,,,,-8.362772944202215,-132.39155062861363,-6.50124460810199,4.772618108411725,28.158293355412795,-17.292151186978305,3.45,1.68,,,,91.2,2476,6.4,745526,665804,641355,663538,670623,621020,664023,691718,643565,54.11,,,,,,,,39,3,4-Seam Fastball,2,6,2,6,6,2,2,6,Standard,Standard,153,0.0,0.027,,,,-0.027,,-4,-4,0.112,0.112,28,28,29,28,2,1,6,3,,3,1.59,0.25,-0.25,38.9
SL,2024-09-24,82.7,2.25,6.31,"Steele, Justin",624641,657006,,swinging_strike,,,,,2,Edmundo Sosa pops out to first baseman Cody Bellinger.,R,R,L,PHI,CHC,S,,,0,1,2024,-0.61,0.32,0.13,3.0,,,669720,2,4,Bot,,,,,,,-3.6353187164325496,-120.4322854161876,-1.6895376504987398,-5.244887015839333,24.0788190105192,-28.91786586229107,3.5,1.7,,,,82.5,2651,6.2,745526,665804,641355,663538,670623,621020,664023,691718,643565,54.33,,,,,,,,39,2,Slider,2,6,2,6,6,2,2,6,Standard,Standard,294,0.0,-0.054,77.7,8.3,,0.054,,-4,-4,0.112,0.112,28,28,29,28,2,1,6,3,,3,3.01,-0.61,0.61,40.9
FF,2024-09-24,89.3,2.33,6.23,"Steele, Justin",624641,657006,,called_strike,,,,,4,Edmundo Sosa pops out to first baseman Cody Bellinger.,R,R,L,PHI,CHC,S,,,0,0,2024,0.32,1.16,-0.64,2.78,,,669720,2,4,Bot,,,,,,,-7.959755826931625,-129.84916880088238,-4.932071193124411,5.199437290956737,26.09306353667768,-18.165849632411543,3.68,1.69,,,,89.3,2391,6.2,745526,665804,641355,663538,670623,621020,664023,691718,643565,54.28,,,,,,,,39,1,4-Seam Fastball,2,6,2,6,6,2,2,6,Standard,Standard,156,0.0,-0.047,,,,0.047,,-4,-4,0.112,0.112,28,28,29,28,2,1,6,3,,3,1.69,0.32,-0.32,39.3
SL,2024-09-24,83.0,2.25,6.32,"Steele, Justin",669720,657006,single,hit_into_play,,,,,14,Austin Hays singles on a ground ball to third baseman Isaac Paredes.,R,R,L,PHI,CHC,X,5,ground_ball,1,2,2024,-0.57,0.26,0.4,1.25,,,,2,4,Bot,105.86,172.77,,,,,-3.0881452980362436,-120.79028961505624,-5.6002121409109815,-4.969175829184056,24.39399654675516,-28.70287662346508,3.16,1.47,2,75.7,-43,82.5,2715,6.0,745526,665804,641355,663538,670623,621020,664023,691718,643565,54.47,0.103,0.105,0.9,1,1,0,2,38,4,Slider,2,6,2,6,6,2,2,6,Strategic,Standard,301,0.01,0.408,65.4,7.1,0.103,-0.408,88.0,-4,-4,0.102,0.102,28,28,29,29,2,1,6,23,,1,3.06,-0.57,0.57,40.4
FF,2024-09-24,89.4,2.32,6.22,"Steele, Justin",669720,657006,,called_strike,,,,,4,Austin Hays singles on a ground ball to third baseman Isaac Paredes.,R,R,L,PHI,CHC,S,,,1,1,2024,0.22,1.32,-0.72,2.22,,,,2,4,Bot,,,,,,,-7.922957309485489,-129.77797840495455,-6.582398373811379,4.136805314166999,27.98604267228855,-15.98460284216625,3.32,1.51,,,,88.9,2379,6.2,745526,665804,641355,663538,670623,621020,664023,691718,643565,54.33,,,,,,,,38,3,4-Seam Fastball,2,6,2,6,6,2,2,6,Standard,Standard,148,0.0,-0.064,,,,0.064,,-4,-4,0.102,0.102,28,28,29,29,2,1,6,23,,1,1.55,0.22,-0.22,38.7
