pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
FF,2024-09-28,94.2,-3.06,5.59,"Strickland, Hunter",665750,519326,walk,ball,,,,,13,Leody Taveras walks.,R,L,R,LAA,TEX,B,,,3,2,2024,-0.36,1.22,-1.16,2.53,,,,2,6,Top,,,,,,,5.721172417276418,-137.08535303540936,-4.951001884505939,-5.858344639873193,30.411397073416328,-15.85818957553868,3.7,1.86,,,,93.9,2416,6.1,746171,681351,694359,683021,676572,605346,621493,607680,672569,54.41,,0.689131,0.7,1,0,0,,49,6,4-Seam Fastball,7,3,3,7,3,7,3,7,Infield shade,Standard,241,-0.008,0.267,,,,-0.267,,4,-4,0.951,0.049,35,25,36,26,1,2,4,2,,1,1.35,0.36,-0.36,21.7
FF,2024-09-28,94.5,-3.15,5.54,"Strickland, Hunter",665750,519326,,ball,,,,,11,Leody Taveras walks.,R,L,R,LAA,TEX,B,,,2,2,2024,-0.66,1.23,-0.78,4.08,,,,2,6,Top,,,,,,,7.55776066540496,-137.44702162320257,-0.8550924378337362,-10.04130418974715,31.205578748739324,-16.636213454861476,3.7,1.85,,,,93.7,2391,5.9,746171,681351,694359,683021,676572,605346,621493,607680,672569,54.61,,,,,,,,49,5,4-Seam Fastball,7,3,3,7,3,7,3,7,Infield shade,Standard,234,0.0,0.106,,,,-0.106,,4,-4,0.951,0.049,35,25,36,26,1,2,4,2,,1,1.33,0.66,-0.66,23.9
FF,2024-09-28,94.2,-3.13,5.67,"Strickland, Hunter",665750,519326,,swinging_strike,,,,,5,Leody Taveras walks.,R,L,R,LAA,TEX,S,,,2,1,2024,-0.63,1.23,0.04,2.68,,,,2,6,Top,,,,,,,9.577211077392546,-136.80128217385104,-4.74664036540143,-10.088223453046174,31.279385776396893,-15.83227224935106,3.66,1.75,,,,93.5,2490,6.1,746171,681351,694359,683021,676572,605346,621493,607680,672569,54.41,,,,,,,,49,4,4-Seam Fastball,7,3,3,7,3,7,3,7,Infield shade,Standard,215,0.0,-0.084,74.1,7.7,,0.084,,4,-4,0.951,0.049,35,25,36,26,1,2,4,2,,1,1.35,0.63,-0.63,30.3
ST,2024-09-28,81.1,-3.08,5.94,"Strickland, Hunter",665750,519326,,ball,,,,,13,Leody Taveras walks.,R,L,R,LAA,TEX,B,,,1,1,2024,1.27,-0.26,-0.26,1.07,,,,2,6,Top,,,,,,,3.8399019257826983,-117.94451946767958,-3.644002571323024,10.90717858059574,25.54874794036464,-34.02660080701844,3.67,1.82,,,,80.1,2887,5.9,746171,681351,694359,683021,676572,605346,621493,607680,672569,54.57,,,,,,,,49,3,Sweeper,7,3,3,7,3,7,3,7,Infield shade,Standard,45,0.0,0.058,,,,-0.058,,4,-4,0.951,0.049,35,25,36,26,1,2,4,2,,1,3.77,-1.27,1.27,33.6
FF,2024-09-28,92.9,-3.06,5.77,"Strickland, Hunter",665750,519326,,ball,,,,,11,Leody Taveras walks.,R,L,R,LAA,TEX,B,,,0,1,2024,-0.56,1.3,-1.52,2.97,,,,2,6,Top,,,,,,,5.118064928268147,-135.1387059065428,-4.171861351495549,-7.960888537897832,30.833272040847717,-15.512021518038392,3.69,1.84,,,,91.8,2436,5.8,746171,681351,694359,683021,676572,605346,621493,607680,672569,54.73,,,,,,,,49,2,4-Seam Fastball,7,3,3,7,3,7,3,7,Infield shade,Standard,233,0.0,0.029,,,,-0.029,,4,-4,0.951,0.049,35,25,36,26,1,2,4,2,,1,1.35,0.56,-0.56,32.9
FF,2024-09-28,92.1,-2.89,6.01,"Strickland, Hunter",665750,519326,,called_strike,,,,,4,Leody Taveras walks.,R,L,R,LAA,TEX,S,,,0,0,2024,-0.46,1.33,-0.76,3.13,,,,2,6,Top,,,,,,,6.353226687617888,-133.89594928331016,-4.313632592725058,-6.923071469898688,30.12058602301162,-15.432009826967947,3.73,1.85,,,,91.1,2336,5.9,746171,681351,694359,683021,676572,605346,621493,607680,672569,54.65,,,,,,,,49,1,4-Seam Fastball,7,3,3,7,3,7,3,7,Infield shade,Standard,236,0.0,-0.041,,,,0.041,,4,-4,0.951,0.049,35,25,36,26,1,2,4,2,,1,1.37,0.46,-0.46,36.0
FF,2024-09-28,93.3,-2.95,5.96,"Strickland, Hunter",663993,519326,field_out,hit_into_play,,,,,12,"Nathaniel Lowe grounds out softly, second baseman Michael Stefanic to first baseman Niko Kavadas.",R,L,R,LAA,TEX,X,4,ground_ball,1,1,2024,-0.45,1.16,0.92,3.43,,,,1,6,Top,146.84,152.33,,,,,10.835943569507434,-135.4907549415446,-3.2876798618738645,-7.882493362752041,28.972844675588867,-17.307128944322663,3.41,1.57,40,59.7,1,92.6,2365,5.9,746171,681351,694359,683021,676572,605346,621493,607680,672569,54.59,0.106,0.099,0.0,1,0,0,2,48,3,4-Seam Fastball,7,3,3,7,3,7,3,7,Infield shade,Standard,225,0.01,-0.243,73.7,6.8,0.106,0.243,88.0,4,-4,0.941,0.059,35,28,36,29,1,2,4,1,,1,1.46,0.45,-0.45,29.7
CH,2024-09-28,87.3,-2.88,6.15,"Strickland, Hunter",663993,519326,,ball,,,,,13,"Nathaniel Lowe grounds out softly, second baseman Michael Stefanic to first baseman Niko Kavadas.",R,L,R,LAA,TEX,B,,,0,1,2024,-1.32,0.6,-0.53,0.81,,,,1,6,Top,,,,,,,8.308338106223983,-126.802106001157,-7.910361824152139,-15.927718467252085,24.604957991391807,-24.298776467802753,3.56,1.61,,,,86.9,2047,6.0,746171,681351,694359,683021,676572,605346,621493,607680,672569,54.45,,,,,,,,48,2,Changeup,7,3,3,7,3,7,3,7,Infield shade,Standard,224,0.0,0.024,,,,-0.024,,4,-4,0.941,0.059,35,28,36,29,1,2,4,1,,1,2.39,1.32,-1.32,33.1
FF,2024-09-28,94.0,-2.82,6.02,"Strickland, Hunter",663993,519326,,foul,,,,,9,"Nathaniel Lowe grounds out softly, second baseman Michael Stefanic to first baseman Niko Kavadas.",R,L,R,LAA,TEX,S,,,0,0,2024,-0.64,1.22,0.49,1.95,,,,1,6,Top,,,,,,,9.893982901208076,-136.43523187337755,-7.433168981711734,-10.20872801932942,31.10514240439558,-15.368134369467574,3.41,1.57,221,71.2,33,93.0,2424,5.9,746171,681351,694359,683021,676572,605346,621493,607680,672569,54.58,,,,,,,,48,1,4-Seam Fastball,7,3,3,7,3,7,3,7,Infield shade,Standard,224,0.0,-0.037,78.0,7.8,,0.037,88.0,4,-4,0.941,0.059,35,28,36,29,1,2,4,1,,1,1.38,0.64,-0.64,32.3
SL,2024-09-28,83.1,-3.19,5.77,"Strickland, Hunter",666969,519326,field_out,hit_into_play,,,,,13,"Rangers challenged (play at 1st), call on the field was upheld: Adolis García grounds out, pitcher Hunter Strickland to first baseman Niko Kavadas.",R,R,R,LAA,TEX,X,1,ground_ball,1,2,2024,0.87,-0.31,-0.05,0.94,,,,0,6,Top,121.19,190.89,,,,,5.473415775925896,-121.00028531495008,-4.018610597334041,7.565633997072492,22.541221875622064,-34.644209880844556,3.49,1.72,0,61.9,-88,82.9,2777,6.0,746171,681351,694359,683021,676572,605346,621493,607680,672569,54.48,0.174,0.177,0.0,1,0,0,2,47,5,Slider,7,3,3,7,3,7,3,7,Infield shade,Standard,66,0.015,-0.186,67.4,8.3,0.174,0.186,88.0,4,-4,0.926,0.074,35,31,36,31,1,2,4,1,,,3.59,-0.87,-0.87,32.3
