pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
CH,2024-07-31,83.2,-1.23,6.09,"Thorpe, Drew",669004,689672,field_out,hit_into_play,,,,,13,MJ Melendez grounds out to first baseman Andrew Vaughn.,R,L,R,CWS,KC,X,3,ground_ball,1,2,2024,-1.16,0.94,-1.01,1.75,521692,,,2,5,Top,147.0,171.0,,,,,2.7881823539564388,-121.1282573129286,-5.404195487378476,-11.995552618686244,21.613208689373906,-22.125154906644298,3.38,1.65,14,70.6,-6,83.7,2050,6.4,746764,642020,683734,672820,669222,670032,678246,666150,657757,54.11,0.06,0.059,0.0,1,0,0,2,41,5,Changeup,3,6,6,3,6,3,6,3,Infield shade,Standard,222,0.021,-0.199,65.4,8.2,0.069,0.199,88.0,-3,3,0.158,0.842,23,25,24,26,3,2,5,1,,3,2.33,1.16,-1.16,52.9
CH,2024-07-31,81.7,-1.24,6.09,"Thorpe, Drew",669004,689672,,foul,,,,,13,MJ Melendez grounds out to first baseman Andrew Vaughn.,R,L,R,CWS,KC,S,,,1,2,2024,-1.1,1.24,-1.29,2.02,521692,,,2,5,Top,,,,,,,2.0224972234219343,-118.8967695879912,-4.995993022607992,-10.855908796958325,22.477217752865993,-19.689025088017782,3.38,1.65,2,46.5,-52,81.9,2041,6.4,746764,642020,683734,672820,669222,670032,678246,666150,657757,54.13,,,,,,,,41,4,Changeup,3,6,6,3,6,3,6,3,Infield shade,Standard,224,0.0,0.0,67.2,8.6,,0.0,88.0,-3,3,0.158,0.842,23,25,24,26,3,2,5,1,,3,2.17,1.1,-1.1,51.5
CH,2024-07-31,81.4,-1.2,6.13,"Thorpe, Drew",669004,689672,,swinging_strike,,,,,5,MJ Melendez grounds out to first baseman Andrew Vaughn.,R,L,R,CWS,KC,S,,,1,1,2024,-1.08,1.11,-0.27,2.47,521692,,,2,5,Top,,,,,,,4.189014642792243,-118.4551062858762,-3.779398721617694,-11.005133004199626,21.343748100652757,-21.163147258511177,3.38,1.65,,,,81.8,2078,6.4,746764,642020,683734,672820,669222,670032,678246,666150,657757,54.07,,,,,,,,41,3,Changeup,3,6,6,3,6,3,6,3,Infield shade,Standard,226,0.0,-0.073,70.5,9.2,,0.073,,-3,3,0.158,0.842,23,25,24,26,3,2,5,1,,3,2.31,1.08,-1.08,50.5
CH,2024-07-31,81.6,-1.17,6.15,"Thorpe, Drew",669004,689672,,swinging_strike,,,,,8,MJ Melendez grounds out to first baseman Andrew Vaughn.,R,L,R,CWS,KC,S,,,1,0,2024,-1.09,1.23,-0.08,1.92,521692,,,2,5,Top,,,,,,,4.5623819241526,-118.78828079945929,-5.386897299167204,-11.179296611546212,20.817807759352117,-19.69264995758798,3.38,1.65,,,,82.2,2064,6.5,746764,642020,683734,672820,669222,670032,678246,666150,657757,53.99,,,,,,,,41,2,Changeup,3,6,6,3,6,3,6,3,Standard,Standard,228,0.0,-0.039,66.4,9.4,,0.039,,-3,3,0.158,0.842,23,25,24,26,3,2,5,1,,3,2.17,1.09,-1.09,53.5
CH,2024-07-31,81.4,-1.24,6.13,"Thorpe, Drew",669004,689672,,ball,,,,,13,MJ Melendez grounds out to first baseman Andrew Vaughn.,R,L,R,CWS,KC,B,,,0,0,2024,-1.04,1.13,-0.3,1.0,521692,,,2,5,Top,,,,,,,4.122518145774174,-118.43471929292582,-7.163580053422553,-10.582523691540828,20.73760083808125,-20.386493551180347,3.29,1.62,,,,81.9,2068,6.5,746764,642020,683734,672820,669222,670032,678246,666150,657757,54.05,,,,,,,,41,1,Changeup,3,6,6,3,6,3,6,3,Standard,Standard,226,0.0,0.032,,,,-0.032,,-3,3,0.158,0.842,23,25,24,26,3,2,5,1,,3,2.29,1.04,-1.04,50.1
FF,2024-07-31,91.4,-1.02,6.35,"Thorpe, Drew",592669,689672,sac_fly,hit_into_play,,,,,2,Hunter Renfroe out on a sacrifice fly to center fielder Dominic Fletcher.   Bobby Witt Jr.  scores.    Salvador Perez to 3rd.,R,R,R,CWS,KC,X,8,fly_ball,1,1,2024,-0.34,1.29,-0.2,3.0,677951,521692,,1,5,Top,141.8,52.76,,,,,2.7945674092068806,-133.0434597079575,-5.373156739440823,-4.691856362123189,28.261789959601092,-15.84906231123136,3.4,1.61,364,96.4,34,91.7,2046,6.4,746764,642020,683734,672820,669222,670032,678246,666150,657757,54.08,0.183,0.35,0.0,1,0,0,3,40,3,4-Seam Fastball,3,5,5,3,6,3,6,3,Strategic,Standard,199,-0.016,-0.194,76.1,6.6,0.667,0.194,96.4,-2,2,0.174,0.826,23,32,24,32,3,2,5,1,,1,1.43,0.34,0.34,55.0
CH,2024-07-31,82.7,-1.2,6.12,"Thorpe, Drew",592669,689672,,foul,,,,,8,Hunter Renfroe out on a sacrifice fly to center fielder Dominic Fletcher.   Bobby Witt Jr.  scores.    Salvador Perez to 3rd.,R,R,R,CWS,KC,S,,,1,0,2024,-0.8,1.32,0.05,1.72,677951,521692,,1,5,Top,,,,,,,4.41415670550876,-120.26581548770936,-6.0952328242416955,-8.584119570834837,23.668071520251353,-18.3769650351144,3.4,1.61,,,,82.9,2057,6.5,746764,642020,683734,672820,669222,670032,678246,666150,657757,54.03,,,,,,,,40,2,Changeup,3,5,5,3,5,3,5,3,Strategic,Standard,224,0.0,-0.062,75.4,8.1,,0.062,,-2,2,0.174,0.826,23,32,24,32,3,2,5,1,,1,2.02,0.8,0.8,50.9
CH,2024-07-31,82.1,-1.11,6.09,"Thorpe, Drew",592669,689672,,ball,,,,,14,Hunter Renfroe out on a sacrifice fly to center fielder Dominic Fletcher.   Bobby Witt Jr.  scores.    Salvador Perez to 3rd.,R,R,R,CWS,KC,B,,,0,0,2024,-0.79,1.34,0.98,1.74,677951,521692,,1,5,Top,,,,,,,6.276284102708766,-119.33347246646969,-5.939988652157408,-8.763791874521004,22.294036046724724,-18.3990406475888,3.37,1.51,,,,82.6,2082,6.6,746764,642020,683734,672820,669222,670032,678246,666150,657757,53.9,,,,,,,,40,1,Changeup,3,5,5,3,5,3,5,3,Strategic,Standard,225,0.0,0.025,,,,-0.025,,-2,2,0.174,0.826,23,32,24,32,3,2,5,1,,1,2.04,0.79,0.79,51.9
SL,2024-07-31,80.1,-0.93,6.2,"Thorpe, Drew",521692,689672,double,hit_into_play,,,,,14,Salvador Perez doubles (17) on a sharp line drive to center fielder Dominic Fletcher.   Maikel Garcia scores.    Bobby Witt Jr.  to 3rd.,R,R,R,CWS,KC,X,8,line_drive,1,1,2024,0.37,-0.22,1.09,2.32,672580,677951,,1,5,Top,103.8,47.24,,,,,3.78839455078228,-116.62451155500496,-1.4722394729623476,2.750553670122025,20.8458571075495,-34.1635100371956,3.62,1.7,379,103.0,20,80.6,2406,6.5,746764,642020,683734,672820,669222,670032,678246,666150,657757,54.0,0.506,0.651,1.25,1,1,1,5,39,3,Slider,3,4,4,3,5,3,5,3,Strategic,Standard,61,-0.09,0.732,76.8,7.9,1.058,-0.732,103.0,-1,1,0.264,0.736,23,34,24,34,3,2,5,1,,1,3.76,-0.37,-0.37,54.5
SL,2024-07-31,81.2,-1.02,6.14,"Thorpe, Drew",521692,689672,,ball,,,,,14,Salvador Perez doubles (17) on a sharp line drive to center fielder Dominic Fletcher.   Maikel Garcia scores.    Bobby Witt Jr.  to 3rd.,R,R,R,CWS,KC,B,,,0,1,2024,0.26,-0.16,1.52,1.82,672580,677951,,1,5,Top,,,,,,,5.229080249468362,-118.24634465559411,-2.8196418809809565,1.5732153783086409,20.892579276990627,-33.335574387338376,3.56,1.63,,,,82.1,2423,6.7,746764,642020,683734,672820,669222,670032,678246,666150,657757,53.81,,,,,,,,39,2,Slider,3,4,4,3,4,3,4,3,Strategic,Standard,63,0.0,0.017,,,,-0.017,,-1,1,0.264,0.736,23,34,24,34,3,2,5,1,,1,3.59,-0.26,-0.26,52.1
SL,2024-07-31,80.8,-1.02,6.17,"Thorpe, Drew",521692,689672,,swinging_strike,,,,,14,Salvador Perez doubles (17) on a sharp line drive to center fielder Dominic Fletcher.   Maikel Garcia scores.    Bobby Witt Jr.  to 3rd.,R,R,R,CWS,KC,S,,,0,0,2024,0.3,-0.17,1.29,1.33,672580,677951,,1,5,Top,,,,,,,4.60132144969202,-117.72377022410066,-3.916749616180918,2.037527626889995,20.01105051167144,-33.25333635940693,3.62,1.7,,,,81.5,2301,6.5,746764,642020,683734,672820,669222,670032,678246,666150,657757,54.03,,,,,,,,39,1,Slider,3,4,4,3,4,3,4,3,Strategic,Standard,67,0.0,-0.054,66.3,8.6,,0.054,,-1,1,0.264,0.736,23,34,24,34,3,2,5,1,,1,3.62,-0.3,-0.3,54.2
FC,2024-07-31,88.6,-1.21,6.23,"Thorpe, Drew",686469,689672,field_out,hit_into_play,,,,,5,Vinnie Pasquantino grounds out sharply to first baseman Andrew Vaughn.   Maikel Garcia to 3rd.    Bobby Witt Jr.  to 2nd.,R,L,R,CWS,KC,X,3,ground_ball,1,0,2024,0.22,0.7,0.16,2.68,,672580,677951,0,5,Top,157.59,171.54,,,,,2.898463874330598,-129.13432020685724,-4.201254775167945,1.989136444201996,23.20021337636502,-23.65371527095,3.5,1.62,4,100.1,-36,89.5,2416,6.5,746764,642020,683734,672820,669222,670032,678246,666150,657757,54.05,0.066,0.064,0.0,1,0,0,2,38,2,Cutter,3,4,4,3,4,3,4,3,Standard,Standard,186,-0.003,-0.361,72.8,6.6,0.066,0.361,100.1,-1,1,0.267,0.733,23,26,24,27,3,2,5,1,,1,2.16,-0.22,0.22,50.3
CH,2024-07-31,82.6,-1.15,6.16,"Thorpe, Drew",686469,689672,,ball,,,,,14,Vinnie Pasquantino grounds out sharply to first baseman Andrew Vaughn.   Maikel Garcia to 3rd.    Bobby Witt Jr.  to 2nd.,R,L,R,CWS,KC,B,,,0,0,2024,-0.83,1.35,0.54,1.62,,672580,677951,0,5,Top,,,,,,,5.4867940588525315,-120.16082512441638,-6.522341552213054,-9.056976686433565,22.385484725712892,-17.980509131566535,3.56,1.76,,,,83.1,2125,6.5,746764,642020,683734,672820,669222,670032,678246,666150,657757,53.98,,,,,,,,38,1,Changeup,3,4,4,3,4,3,4,3,Standard,Standard,223,0.0,0.045,,,,-0.045,,-1,1,0.267,0.733,23,26,24,27,3,2,5,1,,1,1.98,0.83,-0.83,51.9
SL,2024-07-31,81.6,-1.06,6.17,"Thorpe, Drew",677951,689672,single,hit_into_play,,,,,8,Bobby Witt Jr.  singles on a sharp ground ball to third baseman Nick Senzel.   Maikel Garcia to 2nd.,R,R,R,CWS,KC,X,5,ground_ball,0,0,2024,0.34,-0.53,0.04,2.12,,,672580,0,5,Top,94.52,170.3,,,,,1.836377220785557,-119.00350740723842,-1.5924517915637593,2.947866777243092,20.759258371575015,-37.176618711568494,3.52,1.65,4,109.7,-28,82.1,2346,6.3,746764,642020,683734,672820,669222,670032,678246,666150,657757,54.18,0.149,0.165,0.9,1,1,0,2,37,1,Slider,3,4,4,3,4,3,4,3,Standard,Standard,75,-0.052,0.449,81.3,7.1,0.169,-0.449,109.7,-1,1,0.319,0.681,23,24,24,24,3,2,5,1,,1,3.91,-0.34,-0.34,54.6
CH,2024-07-31,81.6,-1.16,6.19,"Thorpe, Drew",672580,689672,single,hit_into_play,,,,,6,Maikel Garcia singles on a fly ball to center fielder Dominic Fletcher.,R,R,R,CWS,KC,X,8,fly_ball,2,1,2024,-0.64,1.27,0.55,2.32,,,,0,5,Top,110.19,102.45,,,,,5.08633031659945,-118.6899106098066,-4.599721808100808,-7.002016814774279,21.117268774949228,-19.48989034680947,3.58,1.72,239,71.9,35,82.1,2105,6.5,746764,642020,683734,672820,669222,670032,678246,666150,657757,53.99,0.466,0.448,0.9,1,1,0,3,36,4,Changeup,3,4,4,3,4,3,4,3,Standard,Standard,219,-0.037,0.407,73.7,8.2,0.527,-0.407,88.0,-1,1,0.356,0.644,23,24,24,24,3,2,5,1,,1,2.14,0.64,0.64,51.3
FC,2024-07-31,86.2,-1.13,6.1,"Thorpe, Drew",672580,689672,,ball,,,,,14,Maikel Garcia singles on a fly ball to center fielder Dominic Fletcher.,R,R,R,CWS,KC,B,,,1,1,2024,0.34,0.42,0.44,0.92,,,,0,5,Top,,,,,,,3.060760593671053,-125.51599592257332,-7.05557433441675,3.0463847009984018,22.54075450039196,-26.56833080528801,3.57,1.74,,,,87.2,2226,6.6,746764,642020,683734,672820,669222,670032,678246,666150,657757,53.89,,,,,,,,36,3,Cutter,3,4,4,3,4,3,4,3,Standard,Standard,177,0.0,0.053,,,,-0.053,,-1,1,0.356,0.644,23,24,24,24,3,2,5,1,,1,2.61,-0.34,-0.34,49.0
