pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
CH,2024-03-21,84.4,2.47,5.37,"Tiedemann, Ricky",663647,694357,walk,ball,,,,,13,Ke'Bryan Hayes walks.,S,R,L,PIT,TOR,B,,,3,2,2024,1.35,0.35,-1.13,0.78,,,,0,4,Bot,,,,,,,-11.053344618506957,-122.34558055254288,-4.983613647148529,15.723566597765942,23.926772965342927,-27.829562867948148,3.17,1.6,,,,84.5,1702,6.5,747873,672386,687462,672463,457759,666182,676914,595281,624415,53.95,,,0.7,,0,0,,28,6,Changeup,1,3,1,3,3,1,1,3,Standard,Standard,115,0.047,0.371,,,,-0.371,,-2,-2,0.3,0.3,21,27,22,27,2,1,,,,,2.87,1.35,-1.35,
SI,2024-03-21,96.3,2.3,5.85,"Tiedemann, Ricky",663647,694357,,ball,,,,,11,Ke'Bryan Hayes walks.,S,R,L,PIT,TOR,B,,,2,2,2024,1.16,1.02,-1.45,2.88,,,,0,4,Bot,,,,,,,-12.542248211187704,-139.64731785729973,-4.5712397061893615,18.043466154222585,31.87612770600801,-17.967563098665217,3.17,1.6,,,,96.0,2432,6.3,747873,672386,687462,672463,457759,666182,676914,595281,624415,54.17,,,,,,,,28,5,Sinker,1,3,1,3,3,1,1,3,Standard,Standard,127,0.0,0.107,,,,-0.107,,-2,-2,0.3,0.3,21,27,22,27,2,1,,,,,1.46,1.16,-1.16,
SL,2024-03-21,81.7,2.8,5.52,"Tiedemann, Ricky",663647,694357,,called_strike,,,,,8,Ke'Bryan Hayes walks.,S,R,L,PIT,TOR,S,,,2,1,2024,-1.23,0.19,0.09,1.81,,,,0,4,Bot,,,,,,,-3.741735923089661,-118.90734685845456,-2.088453402053241,-10.780781248031614,24.61767298215652,-30.219566855387473,3.17,1.6,,,,81.6,2694,6.4,747873,672386,687462,672463,457759,666182,676914,595281,624415,54.11,,,,,,,,28,4,Slider,1,3,1,3,3,1,1,3,Standard,Standard,302,0.0,-0.069,,,,0.069,,-2,-2,0.3,0.3,21,27,22,27,2,1,,,,,3.25,-1.23,1.23,
SL,2024-03-21,81.8,2.68,5.5,"Tiedemann, Ricky",663647,694357,,ball,,,,,14,Ke'Bryan Hayes walks.,S,R,L,PIT,TOR,B,,,1,1,2024,-1.23,0.38,0.84,1.65,,,,0,4,Bot,,,,,,,-1.750582432341553,-119.1051481344428,-2.823103091384641,-11.335717699450631,24.054557141807816,-28.242073311317903,3.17,1.6,,,,81.7,2623,6.3,747873,672386,687462,672463,457759,666182,676914,595281,624415,54.23,,,,,,,,28,3,Slider,1,3,1,3,3,1,1,3,Standard,Standard,292,0.0,0.053,,,,-0.053,,-2,-2,0.3,0.3,21,27,22,27,2,1,,,,,3.04,-1.23,1.23,
CH,2024-03-21,84.5,2.58,5.39,"Tiedemann, Ricky",663647,694357,,called_strike,,,,,12,Ke'Bryan Hayes walks.,S,R,L,PIT,TOR,S,,,1,0,2024,1.53,0.18,0.99,2.53,,,,0,4,Bot,,,,,,,-6.721018938117107,-122.86236329530874,-0.6268221585482143,16.86951565739684,24.89225355650451,-30.472594620620796,3.17,1.6,,,,84.1,1707,6.1,747873,672386,687462,672463,457759,666182,676914,595281,624415,54.36,,,,,,,,28,2,Changeup,1,3,1,3,3,1,1,3,Standard,Standard,109,0.0,-0.049,,,,0.049,,-2,-2,0.3,0.3,21,27,22,27,2,1,,,,,3.03,1.53,-1.53,
SL,2024-03-21,81.5,2.66,5.48,"Tiedemann, Ricky",663647,694357,,ball,,,,,12,Ke'Bryan Hayes walks.,S,R,L,PIT,TOR,B,,,0,0,2024,-1.03,0.65,0.53,3.74,,,,0,4,Bot,,,,,,,-2.780390185278697,-118.63994739260866,1.4314846914782144,-9.210755445295923,23.265791997741783,-26.532169940243925,3.17,1.6,,,,81.4,2628,6.2,747873,672386,687462,672463,457759,666182,676914,595281,624415,54.25,,,,,,,,28,1,Slider,1,3,1,3,3,1,1,3,Standard,Standard,280,0.0,0.038,,,,-0.038,,-2,-2,0.3,0.3,21,27,22,27,2,1,,,,,2.78,-1.03,1.03,
SI,2024-03-21,93.9,2.42,5.71,"Tiedemann, Ricky",668804,694357,home_run,hit_into_play,,,,,4,Bryan Reynolds homers (4) on a fly ball to left center field.,S,R,L,PIT,TOR,X,,fly_ball,1,0,2024,0.81,1.1,-0.31,2.51,,,,0,4,Bot,47.89,63.14,,,,,-8.854931016287932,-136.37625553642798,-4.981138774634593,12.10414797617338,29.817580265831804,-17.54362927769509,3.3,1.67,387,109.6,24,93.9,2493,6.4,747873,672386,687462,672463,457759,666182,676914,595281,624415,54.1,0.989,,2.0,,0,3,6,27,2,Sinker,0,3,0,3,3,1,1,3,Standard,Standard,130,0.097,1.076,,,3.808,-1.076,109.6,-3,-3,0.203,0.203,21,29,22,29,2,1,,,,,1.5,0.81,-0.81,
SI,2024-03-21,94.5,2.56,5.68,"Tiedemann, Ricky",668804,694357,,ball,,,,,14,Bryan Reynolds homers (4) on a fly ball to left center field.,S,R,L,PIT,TOR,B,,,0,0,2024,1.4,1.09,0.47,1.22,,,,0,4,Bot,,,,,,,-8.557159000263937,-137.21132612747985,-8.357510415025734,19.61211625353166,30.60044434915159,-16.647187278860144,3.3,1.67,,,,94.5,2422,6.4,747873,672386,687462,672463,457759,666182,676914,595281,624415,54.05,,,,,,,,27,1,Sinker,0,3,0,3,3,0,0,3,Standard,Standard,121,0.0,0.038,,,,-0.038,,-3,-3,0.203,0.203,21,29,22,29,2,1,,,,,1.47,1.4,-1.4,
SL,2024-03-21,82.4,2.73,5.61,"Tiedemann, Ricky",665833,694357,strikeout,swinging_strike,,,,,7,Oneil Cruz strikes out swinging.,S,L,L,PIT,TOR,S,2,,0,2,2024,-1.24,0.17,-0.52,2.21,,,641511,2,3,Bot,,,,,,,-4.957811434878511,-119.97896740724312,-1.4883657246484585,-10.899525433147264,24.926283052218917,-30.488449589657034,3.52,1.78,,,,82.2,2800,6.3,747873,672386,687462,672463,457759,666182,676914,595281,624415,54.18,,,0.0,,0,0,,23,3,Slider,0,3,0,3,3,0,0,3,Infield shade,Standard,292,-0.022,-0.169,,,,0.169,,-3,-3,0.198,0.198,21,25,22,26,2,1,,,,,3.21,-1.24,-1.24,
SI,2024-03-21,96.5,2.54,6.0,"Tiedemann, Ricky",665833,694357,,foul,,,,,6,Oneil Cruz strikes out swinging.,S,L,L,PIT,TOR,S,,,0,1,2024,1.06,1.11,0.77,2.88,,,641511,2,3,Bot,,,,,,,-7.12310694519445,-140.2935511741772,-5.2395298555563095,15.647993862552214,32.406090695618424,-16.535339955260802,3.52,1.78,114,79.3,8,96.6,2444,6.5,747873,672386,687462,672463,457759,666182,676914,595281,624415,54.03,,,,,,,,23,2,Sinker,0,3,0,3,3,0,0,3,Infield shade,Standard,127,0.0,-0.054,,,,0.054,88.0,-3,-3,0.198,0.198,21,25,22,26,2,1,,,,,1.35,1.06,1.06,
SI,2024-03-21,95.9,2.49,5.96,"Tiedemann, Ricky",665833,694357,,swinging_strike,,,,,3,Oneil Cruz strikes out swinging.,S,L,L,PIT,TOR,S,,,0,0,2024,1.05,1.21,0.81,3.41,,,641511,2,3,Bot,,,,,,,-6.847802107979426,-139.4829799043905,-3.8776790976348137,15.24346208372362,31.94237973374447,-15.732509991664688,3.52,1.78,,,,96.1,2440,6.5,747873,672386,687462,672463,457759,666182,676914,595281,624415,54.05,,,,,,,,23,1,Sinker,0,3,0,3,3,0,0,3,Infield shade,Standard,130,0.0,-0.047,,,,0.047,,-3,-3,0.198,0.198,21,25,22,26,2,1,,,,,1.28,1.05,1.05,
SI,2024-03-21,97.8,2.28,5.89,"Tiedemann, Ricky",641511,694357,walk,ball,,,,,13,Jason Delay walks.,S,R,L,PIT,TOR,B,,,3,2,2024,1.13,1.16,-1.84,1.97,,,,2,3,Bot,,,,,,,-13.729006060205611,-141.70461192356532,-7.770833463473712,18.33680722688082,30.890792199623387,-14.757332473005365,3.17,1.6,,,,97.9,2449,6.5,747873,672386,687462,672463,457759,666182,676914,595281,624415,54.02,,,0.7,,0,0,,22,7,Sinker,0,3,0,3,3,0,0,3,Standard,Standard,128,0.013,0.267,,,,-0.267,,-3,-3,0.185,0.185,21,29,22,29,1,0,,,,,1.23,1.13,-1.13,
SL,2024-03-21,81.8,2.79,5.5,"Tiedemann, Ricky",641511,694357,,ball,,,,,12,Jason Delay walks.,S,R,L,PIT,TOR,B,,,2,2,2024,-1.19,0.47,1.51,3.58,,,,2,3,Bot,,,,,,,-0.5852462003741741,-119.17251250179412,1.3313666365261805,-11.230692416234618,23.96814436531943,-28.157325201821056,3.17,1.6,,,,81.6,2714,6.2,747873,672386,687462,672463,457759,666182,676914,595281,624415,54.28,,,,,,,,22,6,Slider,0,3,0,3,3,0,0,3,Standard,Standard,298,0.0,0.106,,,,-0.106,,-3,-3,0.185,0.185,21,29,22,29,1,0,,,,,2.94,-1.19,1.19,
SI,2024-03-21,97.1,2.48,5.77,"Tiedemann, Ricky",641511,694357,,ball,,,,,3,Jason Delay walks.,S,R,L,PIT,TOR,B,,,1,2,2024,1.17,1.11,0.83,3.02,,,,2,3,Bot,,,,,,,-7.093085158874069,-141.15272870303332,-4.361409950617819,17.23737553719272,32.47483116103302,-16.57417379988932,3.17,1.6,,,,97.1,2404,6.3,747873,672386,687462,672463,457759,666182,676914,595281,624415,54.15,,,,,,,,22,5,Sinker,0,3,0,3,3,0,0,3,Standard,Standard,125,0.0,0.039,,,,-0.039,,-3,-3,0.185,0.185,21,29,22,29,1,0,,,,,1.32,1.17,-1.17,
SI,2024-03-21,98.1,2.45,5.87,"Tiedemann, Ricky",641511,694357,,foul,,,,,5,Jason Delay walks.,S,R,L,PIT,TOR,S,,,1,2,2024,1.01,1.2,-0.05,2.22,,,,2,3,Bot,,,,,,,-9.115193247250902,-142.42592153900011,-7.119101250575561,15.954682550107046,34.18986471917232,-14.359074528235364,3.17,1.6,192,78.9,18,97.9,2599,6.4,747873,672386,687462,672463,457759,666182,676914,595281,624415,54.09,,,,,,,,22,4,Sinker,0,3,0,3,3,0,0,3,Standard,Standard,127,0.0,0.0,,,,0.0,88.0,-3,-3,0.185,0.185,21,29,22,29,1,0,,,,,1.19,1.01,-1.01,
SI,2024-03-21,97.5,2.51,5.86,"Tiedemann, Ricky",641511,694357,,ball,,,,,11,Jason Delay walks.,S,R,L,PIT,TOR,B,,,0,2,2024,0.78,1.05,-1.24,2.85,,,,2,3,Bot,,,,,,,-11.853010204411904,-141.45086492869643,-4.952159601896628,13.173888521858691,32.80684107912762,-17.11578567947106,3.17,1.6,,,,97.4,2391,6.4,747873,672386,687462,672463,457759,666182,676914,595281,624415,54.06,,,,,,,,22,3,Sinker,0,3,0,3,3,0,0,3,Standard,Standard,119,0.0,0.023,,,,-0.023,,-3,-3,0.185,0.185,21,29,22,29,1,0,,,,,1.37,0.78,-0.78,
SL,2024-03-21,82.6,2.77,5.51,"Tiedemann, Ricky",641511,694357,,swinging_strike,,,,,6,Jason Delay walks.,S,R,L,PIT,TOR,S,,,0,1,2024,-0.92,0.43,0.44,2.4,,,,2,3,Bot,,,,,,,-3.517181434956288,-120.21258895775776,-1.3722424122695478,-8.10930406970809,24.768438014019257,-28.00815470836635,3.17,1.6,,,,82.3,2666,6.2,747873,672386,687462,672463,457759,666182,676914,595281,624415,54.26,,,,,,,,22,2,Slider,0,3,0,3,3,0,0,3,Standard,Standard,291,0.0,-0.058,,,,0.058,,-3,-3,0.185,0.185,21,29,22,29,1,0,,,,,2.93,-0.92,0.92,
SI,2024-03-21,96.2,2.47,5.85,"Tiedemann, Ricky",641511,694357,,foul,,,,,11,Jason Delay walks.,S,R,L,PIT,TOR,S,,,0,0,2024,0.76,1.3,-0.25,3.34,,,,2,3,Bot,,,,,,,-8.942707146218924,-139.79474551571354,-4.040143412955274,12.007975445512493,31.72502401762949,-14.33794199931632,3.17,1.6,,,,96.4,2395,6.5,747873,672386,687462,672463,457759,666182,676914,595281,624415,54.03,,,,,,,,22,1,Sinker,0,3,0,3,3,0,0,3,Standard,Strategic,127,0.0,-0.041,,,,0.041,,-3,-3,0.185,0.185,21,29,22,29,1,0,,,,,1.17,0.76,-0.76,
SL,2024-03-21,83.4,2.66,5.59,"Tiedemann, Ricky",678894,694357,field_out,hit_into_play,,,,,5,Liover Peguero lines out to third baseman Justin Turner.,S,R,L,PIT,TOR,X,5,line_drive,1,2,2024,-1.34,0.42,-0.05,2.46,,,,1,3,Bot,96.62,161.56,,,,,-3.604258227037723,-121.34415278329271,-1.5283650752880953,-12.424096297939936,25.32740359571141,-27.91542767462347,3.21,1.62,124,79.5,11,83.0,2821,6.2,747873,672386,687462,672463,457759,666182,676914,595281,624415,54.3,0.4,,0.0,,0,0,4,21,4,Slider,0,3,0,3,3,0,0,3,,,286,-0.016,-0.182,,,0.414,0.182,88.0,-3,-3,0.201,0.201,21,23,22,24,1,0,,,,,2.87,-1.34,1.34,
CH,2024-03-21,86.1,2.56,5.42,"Tiedemann, Ricky",678894,694357,,foul,,,,,8,Liover Peguero lines out to third baseman Justin Turner.,S,R,L,PIT,TOR,S,,,1,1,2024,1.51,0.29,-0.11,1.9,,,,1,3,Bot,,,,,,,-9.35173870833425,-124.94531073937064,-2.635014452373712,17.749746230924575,26.4493205819284,-28.837998803747496,3.21,1.62,,,,85.6,1850,6.3,747873,672386,687462,672463,457759,666182,676914,595281,624415,54.25,,,,,,,,21,3,Changeup,0,3,0,3,3,0,0,3,Standard,Standard,111,0.0,-0.061,,,,0.061,,-3,-3,0.201,0.201,21,23,22,24,1,0,,,,,2.82,1.51,-1.51,
CH,2024-03-21,85.0,2.57,5.41,"Tiedemann, Ricky",678894,694357,,swinging_strike,,,,,14,Liover Peguero lines out to third baseman Justin Turner.,S,R,L,PIT,TOR,S,,,1,0,2024,1.59,0.33,0.87,2.38,,,,1,3,Bot,,,,,,,-7.170836116687852,-123.5960326090365,-1.389286889021354,17.74116654642265,25.921516830205853,-28.759189778657348,3.21,1.62,,,,84.7,1888,6.3,747873,672386,687462,672463,457759,666182,676914,595281,624415,54.22,,,,,,,,21,2,Changeup,0,3,0,3,3,0,0,3,Standard,Standard,110,0.0,-0.051,,,,0.051,,-3,-3,0.201,0.201,21,23,22,24,1,0,,,,,2.85,1.59,-1.59,
SL,2024-03-21,81.3,2.75,5.44,"Tiedemann, Ricky",678894,694357,,ball,,,,,13,Liover Peguero lines out to third baseman Justin Turner.,S,R,L,PIT,TOR,B,,,0,0,2024,-1.01,0.43,-0.55,0.34,,,,1,3,Bot,,,,,,,-5.46502757290118,-118.21692171184118,-5.618987167664977,-8.349968461190803,24.039678246855075,-27.19752991949057,3.21,1.62,,,,81.0,2686,6.3,747873,672386,687462,672463,457759,666182,676914,595281,624415,54.19,,,,,,,,21,1,Slider,0,3,0,3,3,0,0,3,Standard,Standard,300,0.0,0.039,,,,-0.039,,-3,-3,0.201,0.201,21,23,22,24,1,0,,,,,3.04,-1.01,1.01,
