pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
FC,2024-09-28,91.8,-2.58,5.31,"Topa, Justin",677008,623437,field_out,hit_into_play,,,,,6,Heston Kjerstad pops out to shortstop Brooks Lee.,R,L,R,MIN,BAL,X,6,popup,0,0,2024,-0.52,0.76,0.78,3.11,,,,2,8,Top,114.9,129.22,,,,,9.568393876484928,-133.44305581516298,-1.403606651452199,-8.056543495700565,24.735772181750068,-22.95505971268144,3.87,1.83,182,59.2,43,91.8,2153,6.0,745849,680777,467793,666397,571657,686797,650489,668885,622534,54.47,0.194,0.175,0.0,1,0,0,1,69,1,Cutter,0,9,9,0,9,0,9,0,Infield shade,Standard,237,0.0,-0.256,66.8,6.2,0.194,0.256,88.0,-9,9,0.001,0.999,33,25,33,25,1,4,2,2,,1,1.92,0.52,-0.52,16.4
SI,2024-09-28,92.3,-2.43,5.17,"Topa, Justin",663624,623437,field_out,hit_into_play,,,,,13,"Ryan Mountcastle grounds out, pitcher Justin Topa to first baseman Carlos Santana.",R,R,R,MIN,BAL,X,1,ground_ball,0,0,2024,-1.54,-0.02,-0.99,2.28,,,,1,8,Top,126.88,174.73,,,,,6.9401769117803305,-134.3273816219849,-1.519754160801453,-20.108284454400113,27.107058711433268,-32.36094164651127,3.61,1.81,3,82.1,-35,91.6,1948,5.7,745849,680777,467793,666397,571657,686797,650489,668885,622534,54.79,0.063,0.058,0.0,1,0,0,2,68,1,Sinker,0,9,9,0,9,0,9,0,Standard,Standard,251,0.0,-0.256,67.1,6.4,0.071,0.256,88.0,-9,9,0.001,0.999,33,27,33,27,1,4,2,1,,1,2.68,1.54,1.54,13.1
ST,2024-09-28,81.9,-2.57,5.19,"Topa, Justin",656811,623437,field_out,hit_into_play,,,,,2,Ryan O'Hearn grounds out to first baseman Carlos Santana.,R,L,R,MIN,BAL,X,3,ground_ball,2,2,2024,0.97,0.22,0.22,3.27,,,,0,8,Top,153.05,163.67,,,,,4.39936310420811,-119.26610074751936,1.7734635931601257,8.358074977717996,23.14323624818617,-30.630338647933645,3.43,1.63,8,88.7,-21,81.1,2477,5.7,745849,680777,467793,666397,571657,686797,650489,668885,622534,54.81,0.069,0.062,0.0,1,0,0,2,67,5,Sweeper,0,9,9,0,9,0,9,0,Strategic,Standard,82,0.0,-0.227,83.3,7.0,0.078,0.227,88.7,-9,9,0.001,0.999,33,30,33,31,1,4,2,1,,1,3.17,-0.97,0.97,11.7
CH,2024-09-28,84.9,-2.52,5.11,"Topa, Justin",656811,623437,,ball,,,,,14,Ryan O'Hearn grounds out to first baseman Carlos Santana.,R,L,R,MIN,BAL,B,,,1,2,2024,-1.71,0.19,0.06,0.89,,,,0,8,Top,,,,,,,9.3844240356321,-123.34960320695131,-3.911853099534664,-19.31021021949457,23.216107315935876,-29.65478565064255,3.4,1.59,,,,84.5,2178,6.0,745849,680777,467793,666397,571657,686797,650489,668885,622534,54.51,,,,,,,,67,4,Changeup,0,9,9,0,9,0,9,0,Strategic,Standard,271,0.0,0.04,,,,-0.04,,-9,9,0.001,0.999,33,30,33,31,1,4,2,1,,1,2.97,1.71,-1.71,12.3
CH,2024-09-28,84.1,-2.5,5.15,"Topa, Justin",656811,623437,,swinging_strike,,,,,5,Ryan O'Hearn grounds out to first baseman Carlos Santana.,R,L,R,MIN,BAL,S,,,1,1,2024,-1.81,0.2,-0.05,2.56,,,,0,8,Top,,,,,,,9.183488755514867,-122.20434713817276,-0.0073133907424212,-19.975141522481785,24.07532701296531,-30.44259755465093,3.43,1.63,,,,83.4,2148,5.9,745849,680777,467793,666397,571657,686797,650489,668885,622534,54.58,,,,,,,,67,3,Changeup,0,9,9,0,9,0,9,0,Strategic,Standard,267,0.0,-0.056,73.1,8.0,,0.056,,-9,9,0.001,0.999,33,30,33,31,1,4,2,1,,1,3.04,1.81,-1.81,13.2
CH,2024-09-28,83.1,-2.63,5.17,"Topa, Justin",656811,623437,,ball,,,,,9,Ryan O'Hearn grounds out to first baseman Carlos Santana.,R,L,R,MIN,BAL,B,,,0,1,2024,-1.76,-0.04,0.63,1.49,,,,0,8,Top,,,,,,,10.757398653094205,-120.50316070091289,-1.842540045855051,-19.19252835551419,23.349212349022626,-32.37090955085584,3.41,1.6,,,,82.1,2188,5.8,745849,680777,467793,666397,571657,686797,650489,668885,622534,54.71,,,,,,,,67,2,Changeup,0,9,9,0,9,0,9,0,Strategic,Standard,267,0.0,0.025,,,,-0.025,,-9,9,0.001,0.999,33,30,33,31,1,4,2,1,,1,3.36,1.76,-1.76,12.0
ST,2024-09-28,82.0,-2.75,5.21,"Topa, Justin",656811,623437,,called_strike,,,,,5,Ryan O'Hearn grounds out to first baseman Carlos Santana.,R,L,R,MIN,BAL,S,,,0,0,2024,1.2,0.61,-0.07,2.35,,,,0,8,Top,,,,,,,3.691144505379632,-119.34226955014482,-1.0792784105819742,10.71524780973532,24.06290774997142,-26.381269547071167,3.38,1.58,,,,80.8,2491,5.6,745849,680777,467793,666397,571657,686797,650489,668885,622534,54.9,,,,,,,,67,1,Sweeper,0,9,9,0,9,0,9,0,Strategic,Standard,87,0.0,-0.037,,,,0.037,,-9,9,0.001,0.999,33,30,33,31,1,4,2,1,,1,2.79,-1.2,1.2,11.2
ST,2024-09-26,82.1,-2.74,5.11,"Topa, Justin",660821,623437,strikeout,swinging_strike_blocked,,,,,14,"Jesús Sánchez strikes out swinging, catcher Ryan Jeffers to first baseman Carlos Santana.",R,L,R,MIN,MIA,S,2,,1,2,2024,1.49,0.17,2.0,2.3,,681393,665052,2,13,Top,,,,,,,7.749829733308681,-119.40009659406816,-0.0907675292482506,12.588738657040324,24.92507894301114,-30.819742676609017,3.45,1.67,,,,81.0,2443,5.8,745853,680777,467793,686797,650489,621043,668885,621439,663616,54.73,,0.0,0.0,1,0,0,,111,4,Sweeper,5,8,8,5,8,5,8,5,Standard,Standard,73,-0.001,-0.189,78.9,8.5,,0.189,,-3,3,0.09,0.91,33,26,33,27,1,6,1,1,2,1,3.24,-1.49,1.49,13.6
CH,2024-09-26,84.2,-2.7,5.15,"Topa, Justin",660821,623437,,ball,,,,,14,"Jesús Sánchez strikes out swinging, catcher Ryan Jeffers to first baseman Carlos Santana.",R,L,R,MIN,MIA,B,,,0,2,2024,-1.52,0.13,0.17,1.0,,681393,665052,2,13,Top,,,,,,,9.566910087242205,-122.20175081432336,-3.4796693099871145,-17.125676645305898,23.15034109121308,-30.35739737591798,3.65,1.86,,,,83.4,2178,5.8,745853,680777,467793,686797,650489,621043,668885,621439,663616,54.69,,,,,,,,111,3,Changeup,5,8,8,5,8,5,8,5,Standard,Standard,263,0.0,0.003,,,,-0.003,,-3,3,0.09,0.91,33,26,33,27,1,6,1,1,2,1,3.09,1.52,-1.52,12.4
CH,2024-09-26,84.1,-2.67,5.07,"Topa, Justin",660821,623437,,foul,,,,,8,"Jesús Sánchez strikes out swinging, catcher Ryan Jeffers to first baseman Carlos Santana.",R,L,R,MIN,MIA,S,,,0,1,2024,-1.24,-0.24,-0.26,1.73,,681393,665052,2,13,Top,,,,,,,7.980543243638631,-122.30508299290987,-0.8881672313326032,-14.026690511394165,23.38382310213129,-34.67791225739504,3.45,1.67,172,67.2,60,83.6,2097,5.9,745853,680777,467793,686797,650489,621043,668885,621439,663616,54.56,,,,,,,,111,2,Changeup,5,8,8,5,8,5,8,5,Standard,Standard,262,0.0,-0.046,79.5,7.5,,0.046,88.0,-3,3,0.09,0.91,33,26,33,27,1,6,1,1,2,1,3.46,1.24,-1.24,12.4
