pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
,2024-03-24,,,,"Torres Jr., Lenny",546990,678013,strikeout,called_strike,,,,,,Anthony Alford called out on strikes.,S,R,R,CIN,CLE,S,2,,0,2,2024,,,,,,685127,687331,2,9,Bot,,,,,,,,,,,,,,,,,,,,,747818,814816,691408,696135,682177,691410,805865,809945,688907,,,,0.0,,0,0,,84,3,,7,10,7,10,10,7,7,10,,,,-0.041,-0.186,,,,0.186,,-3,-3,0.041,0.041,23,29,24,30,1,1,,,,,,,,
,2024-03-24,,,,"Torres Jr., Lenny",546990,678013,,called_strike,,,,,,Anthony Alford called out on strikes.,S,R,R,CIN,CLE,S,,,0,1,2024,,,,,,685127,687331,2,9,Bot,,,,,,,,,,,,,,,,,,,,,747818,814816,691408,696135,682177,691410,805865,809945,688907,,,,,,,,,84,2,,7,10,7,10,10,7,7,10,,,,0.0,-0.046,,,,0.046,,-3,-3,0.041,0.041,23,29,24,30,1,1,,,,,,,,
,2024-03-24,,,,"Torres Jr., Lenny",546990,678013,,called_strike,,,,,,Anthony Alford called out on strikes.,S,R,R,CIN,CLE,S,,,0,0,2024,,,,,,685127,687331,2,9,Bot,,,,,,,,,,,,,,,,,,,,,747818,814816,691408,696135,682177,691410,805865,809945,688907,,,,,,,,,84,1,,7,10,7,10,10,7,7,10,,,,0.0,-0.048,,,,0.048,,-3,-3,0.041,0.041,23,29,24,30,1,1,,,,,,,,
,2024-03-24,,,,"Torres Jr., Lenny",687331,678013,hit_by_pitch,hit_by_pitch,,,,,,Quincy McAfee hit by pitch.,S,R,R,CIN,CLE,B,,,0,1,2024,,,,,,685127,,2,9,Bot,,,,,,,,,,,,,,,,,,,,,747818,814816,691408,696135,682177,691410,805865,809945,688907,,,,0.7,,0,0,,83,2,,7,10,7,10,10,7,7,10,,,,0.025,0.153,,,,-0.153,,-3,-3,0.016,0.016,23,26,24,27,1,1,,,,,,,,
,2024-03-24,,,,"Torres Jr., Lenny",687331,678013,,called_strike,,,,,,Quincy McAfee hit by pitch.,S,R,R,CIN,CLE,S,,,0,0,2024,,,,,,,685127,2,9,Bot,,,,,,,,,,,,,,,,,,,,,747818,814816,691408,696135,682177,691410,805865,809945,688907,,,,,,,,,83,1,,7,10,7,10,10,7,7,10,,,,0.002,-0.047,,,,0.047,,-3,-3,0.014,0.014,23,26,24,27,1,1,,,,,,,,
,2024-03-24,,,,"Torres Jr., Lenny",685127,678013,walk,ball,,,,,,Alex McGarry walks.,S,L,R,CIN,CLE,B,,,3,0,2024,,,,,,,,2,9,Bot,,,,,,,,,,,,,,,,,,,,,747818,814816,691408,696135,682177,691410,805865,809945,688907,,,,0.7,,0,0,,82,4,,7,10,7,10,10,7,7,10,,,,0.009,0.12,,,,-0.12,,-3,-3,0.005,0.005,23,26,24,26,1,1,,,,,,,,
,2024-03-24,,,,"Torres Jr., Lenny",685127,678013,,ball,,,,,,Alex McGarry walks.,S,L,R,CIN,CLE,B,,,2,0,2024,,,,,,,,2,9,Bot,,,,,,,,,,,,,,,,,,,,,747818,814816,691408,696135,682177,691410,805865,809945,688907,,,,,,,,,82,3,,7,10,7,10,10,7,7,10,,,,0.0,0.109,,,,-0.109,,-3,-3,0.005,0.005,23,26,24,26,1,1,,,,,,,,
,2024-03-24,,,,"Torres Jr., Lenny",685127,678013,,ball,,,,,,Alex McGarry walks.,S,L,R,CIN,CLE,B,,,1,0,2024,,,,,,,,2,9,Bot,,,,,,,,,,,,,,,,,,,,,747818,814816,691408,696135,682177,691410,805865,809945,688907,,,,,,,,,82,2,,7,10,7,10,10,7,7,10,,,,0.0,0.068,,,,-0.068,,-3,-3,0.005,0.005,23,26,24,26,1,1,,,,,,,,
,2024-03-24,,,,"Torres Jr., Lenny",685127,678013,,ball,,,,,,Alex McGarry walks.,S,L,R,CIN,CLE,B,,,0,0,2024,,,,,,,,2,9,Bot,,,,,,,,,,,,,,,,,,,,,747818,814816,691408,696135,682177,691410,805865,809945,688907,,,,,,,,,82,1,,7,10,7,10,10,7,7,10,,,,0.0,0.04,,,,-0.04,,-3,-3,0.005,0.005,23,26,24,26,1,1,,,,,,,,
,2024-03-24,,,,"Torres Jr., Lenny",677956,678013,field_out,hit_into_play,,,,,,"Rece Hinds grounds out, third baseman Daniel Schneemann to first baseman Maick Collado.",S,R,R,CIN,CLE,X,5,ground_ball,0,0,2024,,,,,,,,1,9,Bot,106.9,164.96,,,,,,,,,,,,,,,,,,,747818,814816,691408,696135,682177,691410,805865,809945,688907,,,,0.0,,0,0,,81,1,,7,10,7,10,10,7,7,10,,,,-0.012,-0.256,,,,0.256,,-3,-3,0.017,0.017,23,23,24,24,1,1,,,,,,,,
,2024-03-24,,,,"Torres Jr., Lenny",668843,678013,strikeout,called_strike,,,,,,Conner Capel called out on strikes.,S,L,R,CIN,CLE,S,2,,0,2,2024,,,,,,,,0,9,Bot,,,,,,,,,,,,,,,,,,,,,747818,814816,691408,696135,682177,691410,805865,809945,688907,,,,0.0,,0,0,,80,3,,7,10,7,10,10,7,7,10,,,,-0.021,-0.163,,,,0.163,,-3,-3,0.038,0.038,23,27,24,27,1,1,,,,,,,,
,2024-03-24,,,,"Torres Jr., Lenny",668843,678013,,called_strike,,,,,,Conner Capel called out on strikes.,S,L,R,CIN,CLE,S,,,0,1,2024,,,,,,,,0,9,Bot,,,,,,,,,,,,,,,,,,,,,747818,814816,691408,696135,682177,691410,805865,809945,688907,,,,,,,,,80,2,,7,10,7,10,10,7,7,10,,,,0.0,-0.054,,,,0.054,,-3,-3,0.038,0.038,23,27,24,27,1,1,,,,,,,,
,2024-03-24,,,,"Torres Jr., Lenny",668843,678013,,called_strike,,,,,,Conner Capel called out on strikes.,S,L,R,CIN,CLE,S,,,0,0,2024,,,,,,,,0,9,Bot,,,,,,,,,,,,,,,,,,,,,747818,814816,691408,696135,682177,691410,805865,809945,688907,,,,,,,,,80,1,,7,10,7,10,10,7,7,10,,,,0.0,-0.037,,,,0.037,,-3,-3,0.038,0.038,23,27,24,27,1,1,,,,,,,,
,2024-03-21,,,,"Torres Jr., Lenny",680837,678013,strikeout,called_strike,,,,,,Ryan Fitzgerald called out on strikes.,S,L,R,CLE,KC,S,2,,0,2,2024,,,,,,,682515,2,9,Top,,,,,,,,,,,,,,,,,,,,,747868,624513,691277,682679,669384,682177,687588,802407,661411,,,,0.0,,0,0,,76,3,,8,5,5,8,5,8,5,8,,,,0.011,-0.169,,,,0.169,,3,-3,0.989,0.011,23,30,24,30,1,1,,,,,,,,
,2024-03-21,,,,"Torres Jr., Lenny",680837,678013,,called_strike,,,,,,Ryan Fitzgerald called out on strikes.,S,L,R,CLE,KC,S,,,0,1,2024,,,,,,,682515,2,9,Top,,,,,,,,,,,,,,,,,,,,,747868,624513,691277,682679,669384,682177,687588,802407,661411,,,,,,,,,76,2,,8,5,5,8,5,8,5,8,,,,0.0,-0.054,,,,0.054,,3,-3,0.989,0.011,23,30,24,30,1,1,,,,,,,,
,2024-03-21,,,,"Torres Jr., Lenny",680837,678013,,called_strike,,,,,,Ryan Fitzgerald called out on strikes.,S,L,R,CLE,KC,S,,,0,0,2024,,,,,,,682515,2,9,Top,,,,,,,,,,,,,,,,,,,,,747868,624513,691277,682679,669384,682177,687588,802407,661411,,,,,,,,,76,1,,8,5,5,8,5,8,5,8,,,,0.0,-0.047,,,,0.047,,3,-3,0.989,0.011,23,30,24,30,1,1,,,,,,,,
,2024-03-21,,,,"Torres Jr., Lenny",670231,678013,strikeout,swinging_strike,,,,,,John Rave strikes out swinging.,S,L,R,CLE,KC,S,2,,0,2,2024,,,,,,,682515,1,9,Top,,,,,,,,,,,,,,,,,,,,,747868,624513,691277,682679,669384,682177,687588,802407,661411,,,,0.0,,0,0,,75,3,,8,5,5,8,5,8,5,8,,,,0.022,-0.159,,,,0.159,,3,-3,0.967,0.033,23,26,24,27,1,3,,,,,,,,
,2024-03-21,,,,"Torres Jr., Lenny",670231,678013,,swinging_strike,,,,,,John Rave strikes out swinging.,S,L,R,CLE,KC,S,,,0,1,2024,,,,,,,682515,1,9,Top,,,,,,,,,,,,,,,,,,,,,747868,624513,691277,682679,669384,682177,687588,802407,661411,,,,,,,,,75,2,,8,5,5,8,5,8,5,8,,,,0.0,-0.052,,,,0.052,,3,-3,0.967,0.033,23,26,24,27,1,3,,,,,,,,
,2024-03-21,,,,"Torres Jr., Lenny",670231,678013,,swinging_strike,,,,,,John Rave strikes out swinging.,S,L,R,CLE,KC,S,,,0,0,2024,,,,,,,682515,1,9,Top,,,,,,,,,,,,,,,,,,,,,747868,624513,691277,682679,669384,682177,687588,802407,661411,,,,,,,,,75,1,,8,5,5,8,5,8,5,8,,,,0.0,-0.04,,,,0.04,,3,-3,0.967,0.033,23,26,24,27,1,3,,,,,,,,
,2024-03-21,,,,"Torres Jr., Lenny",686475,678013,strikeout,swinging_strike,,,,,,Tyler Tolbert strikes out swinging.,S,R,R,CLE,KC,S,2,,0,2,2024,,,,,,,682515,0,9,Top,,,,,,,,,,,,,,,,,,,,,747868,624513,691277,682679,669384,682177,687588,802407,661411,,,,0.0,,0,0,,74,3,,8,5,5,8,5,8,5,8,,,,0.034,-0.15,,,,0.15,,3,-3,0.933,0.067,23,26,24,26,1,3,,,,,,,,
,2024-03-21,,,,"Torres Jr., Lenny",686475,678013,,swinging_strike,,,,,,Tyler Tolbert strikes out swinging.,S,R,R,CLE,KC,S,,,0,1,2024,,,,,,,682515,0,9,Top,,,,,,,,,,,,,,,,,,,,,747868,624513,691277,682679,669384,682177,687588,802407,661411,,,,,,,,,74,2,,8,5,5,8,5,8,5,8,,,,0.0,-0.048,,,,0.048,,3,-3,0.933,0.067,23,26,24,26,1,3,,,,,,,,
,2024-03-21,,,,"Torres Jr., Lenny",686475,678013,,swinging_strike,,,,,,Tyler Tolbert strikes out swinging.,S,R,R,CLE,KC,S,,,0,0,2024,,,,,,,682515,0,9,Top,,,,,,,,,,,,,,,,,,,,,747868,624513,691277,682679,669384,682177,687588,802407,661411,,,,,,,,,74,1,,8,5,5,8,5,8,5,8,,,,0.0,-0.042,,,,0.042,,3,-3,0.933,0.067,23,26,24,26,1,3,,,,,,,,
,2024-03-21,,,,"Torres Jr., Lenny",682515,678013,walk,ball,,,,,,Logan Porter walks.,S,R,R,CLE,KC,B,,,3,0,2024,,,,,,,,0,9,Top,,,,,,,,,,,,,,,,,,,,,747868,624513,691277,682679,669384,682177,687588,802407,661411,,,,0.7,,0,0,,73,4,,8,5,5,8,5,8,5,8,,,,-0.036,0.197,,,,-0.197,,3,-3,0.969,0.031,23,28,24,29,1,1,,,,,,,,
,2024-03-21,,,,"Torres Jr., Lenny",682515,678013,,ball,,,,,,Logan Porter walks.,S,R,R,CLE,KC,B,,,2,0,2024,,,,,,,,0,9,Top,,,,,,,,,,,,,,,,,,,,,747868,624513,691277,682679,669384,682177,687588,802407,661411,,,,,,,,,73,3,,8,5,5,8,5,8,5,8,,,,0.0,0.147,,,,-0.147,,3,-3,0.969,0.031,23,28,24,29,1,1,,,,,,,,
,2024-03-21,,,,"Torres Jr., Lenny",682515,678013,,ball,,,,,,Logan Porter walks.,S,R,R,CLE,KC,B,,,1,0,2024,,,,,,,,0,9,Top,,,,,,,,,,,,,,,,,,,,,747868,624513,691277,682679,669384,682177,687588,802407,661411,,,,,,,,,73,2,,8,5,5,8,5,8,5,8,,,,0.0,0.069,,,,-0.069,,3,-3,0.969,0.031,23,28,24,29,1,1,,,,,,,,
,2024-03-21,,,,"Torres Jr., Lenny",682515,678013,,ball,,,,,,Logan Porter walks.,S,R,R,CLE,KC,B,,,0,0,2024,,,,,,,,0,9,Top,,,,,,,,,,,,,,,,,,,,,747868,624513,691277,682679,669384,682177,687588,802407,661411,,,,,,,,,73,1,,8,5,5,8,5,8,5,8,,,,0.0,0.038,,,,-0.038,,3,-3,0.969,0.031,23,28,24,29,1,1,,,,,,,,
FF,2024-03-19,98.5,-2.42,5.68,"Torres Jr., Lenny",667663,678013,strikeout,foul_tip,,,,,13,Hunter Stovall strikes out on a foul tip.,S,R,R,COL,CLE,S,2,,0,2,2024,-0.85,1.34,-0.05,1.05,,692585,,2,9,Bot,,,,,,,8.342769033961167,-142.8532995855146,-10.15584270390181,-13.543020934415155,33.79873924998397,-11.521572252436547,2.94,1.49,,,,97.7,2407,6.1,747894,676017,687588,669384,682177,672356,702311,800050,686823,54.41,,,0.0,,0,0,,89,3,4-Seam Fastball,8,8,8,8,8,8,8,8,Standard,Standard,214,0.026,-0.195,,,,0.195,,0,0,0.608,0.608,23,27,24,28,1,1,,,,,1.03,0.85,0.85,
