pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
SI,2024-05-01,98.2,-1.03,5.7,"Uribe, Abner",676609,682842,field_out,hit_into_play,,,,,8,"José Caballero grounds out, third baseman Oliver Dunn to first baseman Jake Bauers.",R,R,R,MIL,TB,X,5,ground_ball,1,0,2024,-0.87,0.43,-0.27,1.77,642708,,592348,2,8,Top,100.86,169.94,,,,,4.142443868697992,-142.9709083746176,-6.295193572053031,-12.943354020454448,31.02212344948272,-25.004190583031782,3.08,1.38,8,92.2,-14,99.8,2222,7.0,745996,661388,641343,668930,686554,642715,686894,663368,686217,53.47,0.157,0.162,0.0,1,0,0,2,66,2,Sinker,7,1,1,7,1,7,1,7,Standard,Standard,208,0.004,-0.317,74.3,7.1,0.202,0.317,92.2,6,-6,0.994,0.006,24,27,24,28,1,3,1,1,,2,1.91,0.87,0.87,39.4
SL,2024-05-01,87.6,-0.92,5.86,"Uribe, Abner",676609,682842,,ball,,,,,12,"José Caballero grounds out, third baseman Oliver Dunn to first baseman Jake Bauers.",R,R,R,MIL,TB,B,,,0,0,2024,1.14,0.44,0.86,3.87,642708,,592348,2,8,Top,,,,,,,1.9747704461073856,-127.67876184584546,0.32833076497371,12.18997372401592,22.86493451228368,-27.56646218193829,3.09,1.35,,,,88.3,2423,6.4,745996,661388,641343,668930,686554,642715,686894,663368,686217,54.15,,,,,,,,66,1,Slider,7,1,1,7,1,7,1,7,Standard,Standard,61,0.0,0.03,,,,-0.03,,6,-6,0.994,0.006,24,27,24,28,1,3,1,1,,2,2.49,-1.14,-1.14,40.6
SI,2024-05-01,99.0,-0.91,5.67,"Uribe, Abner",592348,682842,force_out,hit_into_play,,,,,9,"Niko Goodrum grounds into a force out, pitcher Abner Uribe to shortstop Willy Adames.   Amed Rosario to 3rd.    Austin Shenton out at 2nd.    Niko Goodrum to 1st.",R,L,R,MIL,TB,X,1,ground_ball,2,1,2024,-1.05,0.62,0.33,1.69,,642708,668853,1,8,Top,129.37,182.95,,,,,5.860777845741463,-144.0204599404448,-6.929004113989107,-15.965724488081468,32.24816477223923,-22.148631448322725,3.7,1.72,1,61.9,-62,99.4,2375,6.4,745996,661388,641343,668930,686554,642715,686894,663368,686217,54.05,0.26,0.274,0.0,1,0,0,2,65,4,Sinker,7,1,1,7,1,7,1,7,Infield shade,Standard,211,0.007,-0.324,75.7,8.0,0.273,0.324,88.0,6,-6,0.987,0.013,24,32,24,32,1,3,1,2,,9,1.7,1.05,-1.05,35.1
SI,2024-05-01,98.7,-0.98,5.65,"Uribe, Abner",592348,682842,,foul,,,,,8,"Niko Goodrum grounds into a force out, pitcher Abner Uribe to shortstop Willy Adames.   Amed Rosario to 3rd.    Austin Shenton out at 2nd.    Niko Goodrum to 1st.",R,L,R,MIL,TB,S,,,2,0,2024,-1.1,0.34,-0.03,1.73,,642708,668853,1,8,Top,,,,,,,5.159020751599695,-143.68946746993922,-6.030400633786842,-16.487721052616923,32.23311822577367,-26.2863628364087,3.7,1.72,1,57.8,-62,99.1,2315,6.4,745996,661388,641343,668930,686554,642715,686894,663368,686217,54.1,,,,,,,,65,3,Sinker,7,1,1,7,1,7,1,7,Infield shade,Standard,217,0.0,-0.067,76.9,7.7,,0.067,88.0,6,-6,0.987,0.013,24,32,24,32,1,3,1,2,,9,1.99,1.1,-1.1,34.3
SI,2024-05-01,99.2,-0.91,5.67,"Uribe, Abner",592348,682842,,ball,,,,,14,"Niko Goodrum grounds into a force out, pitcher Abner Uribe to shortstop Willy Adames.   Amed Rosario to 3rd.    Austin Shenton out at 2nd.    Niko Goodrum to 1st.",R,L,R,MIL,TB,B,,,1,0,2024,-0.8,0.38,0.15,1.17,,642708,668853,1,8,Top,,,,,,,4.750089376064341,-144.28829233693597,-7.783144755668734,-12.30235256176154,31.768114456023113,-25.266923767504966,3.68,1.65,,,,99.3,2310,6.2,745996,661388,641343,668930,686554,642715,686894,663368,686217,54.26,,,,,,,,65,2,Sinker,7,1,1,7,1,7,1,7,Standard,Standard,217,0.0,0.055,,,,-0.055,,6,-6,0.987,0.013,24,32,24,32,1,3,1,2,,9,1.92,0.8,-0.8,35.7
SL,2024-05-01,87.8,-0.89,5.75,"Uribe, Abner",592348,682842,,ball,,,,,14,"Niko Goodrum grounds into a force out, pitcher Abner Uribe to shortstop Willy Adames.   Amed Rosario to 3rd.    Austin Shenton out at 2nd.    Niko Goodrum to 1st.",R,L,R,MIL,TB,B,,,0,0,2024,0.88,0.46,0.99,1.98,,642708,668853,1,8,Top,,,,,,,2.750781825758787,-127.90325259651932,-4.023416022430815,9.146544416466964,24.73819823390518,-26.561146643635976,3.61,1.61,,,,88.5,2456,6.5,745996,661388,641343,668930,686554,642715,686894,663368,686217,53.95,,,,,,,,65,1,Slider,7,1,1,7,1,7,1,7,Standard,Standard,81,0.0,0.03,,,,-0.03,,6,-6,0.987,0.013,24,32,24,32,1,3,1,2,,9,2.48,-0.88,0.88,39.1
SI,2024-05-01,99.7,-1.06,5.58,"Uribe, Abner",668853,682842,walk,ball,,,,,13,Austin Shenton walks.,R,L,R,MIL,TB,B,,,3,2,2024,-1.09,0.38,-0.05,0.74,,642708,,1,8,Top,,,,,,,5.3799797360486465,-144.99234341440803,-8.888448352936823,-16.604613050228043,33.35336095620115,-24.89767332305851,3.45,1.5,,,,100.5,2321,6.7,745996,661388,641343,668930,686554,642715,686894,663368,686217,53.77,,0.689131,0.7,1,0,0,,64,7,Sinker,7,1,1,7,1,7,1,7,Infield shade,Standard,215,-0.005,0.21,,,,-0.21,,6,-6,0.992,0.008,24,26,24,26,1,3,1,2,,3,1.91,1.09,-1.09,33.7
SL,2024-05-01,86.0,-0.88,5.83,"Uribe, Abner",668853,682842,,foul,,,,,4,Austin Shenton walks.,R,L,R,MIL,TB,S,,,3,2,2024,0.74,0.31,-0.57,2.41,,642708,,1,8,Top,,,,,,,-0.78626428364211,-125.36796322804204,-2.55826879868844,8.020369866815958,22.894624931550865,-28.6366630273706,3.49,1.61,192,71.9,23,86.7,2580,6.4,745996,661388,641343,668930,686554,642715,686894,663368,686217,54.07,,,,,,,,64,6,Slider,7,1,1,7,1,7,1,7,Infield shade,Standard,68,0.0,0.0,63.7,7.2,,0.0,88.0,6,-6,0.992,0.008,24,26,24,26,1,3,1,2,,3,2.74,-0.74,0.74,42.5
SI,2024-05-01,99.0,-0.93,5.64,"Uribe, Abner",668853,682842,,ball,,,,,13,Austin Shenton walks.,R,L,R,MIL,TB,B,,,2,2,2024,-1.06,0.47,-1.25,1.22,,642708,,1,8,Top,,,,,,,1.596456333157858,-144.0406848003956,-7.799992287021994,-15.204513598076558,32.00848498347779,-24.076025028277815,3.34,1.62,,,,99.7,2361,6.6,745996,661388,641343,668930,686554,642715,686894,663368,686217,53.91,,,,,,,,64,5,Sinker,7,1,1,7,1,7,1,7,Infield shade,Standard,210,0.0,0.074,,,,-0.074,,6,-6,0.992,0.008,24,26,24,26,1,3,1,2,,3,1.85,1.06,-1.06,33.2
FF,2024-05-01,100.5,-0.89,5.63,"Uribe, Abner",668853,682842,,ball,,,,,14,Austin Shenton walks.,R,L,R,MIL,TB,B,,,1,2,2024,-0.42,1.17,1.77,2.2,,642708,,1,8,Top,,,,,,,8.397650701006011,-146.1013895861757,-6.971071475776173,-7.874662547965574,32.426612386216675,-13.924011650382402,3.47,1.63,,,,101.1,2420,6.5,745996,661388,641343,668930,686554,642715,686894,663368,686217,53.95,,,,,,,,64,4,4-Seam Fastball,7,1,1,7,1,7,1,7,Standard,Standard,218,0.0,0.018,,,,-0.018,,6,-6,0.992,0.008,24,26,24,26,1,3,1,2,,3,1.08,0.42,-0.42,34.9
SL,2024-05-01,89.4,-0.81,5.8,"Uribe, Abner",668853,682842,,ball,,,,,14,Austin Shenton walks.,R,L,R,MIL,TB,B,,,0,2,2024,1.0,0.25,1.63,0.77,680700,,642708,1,8,Top,,,,,,,3.9205504797319506,-130.05624274490043,-6.966491110915169,10.581801822625886,26.94613200207938,-28.133145612195253,3.47,1.6,,,,90.1,2705,6.7,745996,661388,641343,668930,686554,642715,686894,663368,686217,53.82,,,,,,,,64,3,Slider,7,0,0,7,1,7,1,7,Standard,Standard,48,-0.002,0.002,,,,-0.002,,7,-7,0.994,0.006,24,26,24,26,1,3,1,2,,3,2.6,-1.0,1.0,42.0
SI,2024-05-01,99.7,-0.94,5.72,"Uribe, Abner",668853,682842,,foul,,,,,8,Austin Shenton walks.,R,L,R,MIL,TB,S,,,0,1,2024,-1.23,0.58,-0.2,1.87,680700,,642708,1,8,Top,,,,,,,4.956061332606756,-145.0595522946593,-6.576102654541909,-18.453654527625492,34.88254778513184,-22.665266298845328,3.49,1.61,202,75.7,36,100.3,2268,6.7,745996,661388,641343,668930,686554,642715,686894,663368,686217,53.8,,,,,,,,64,2,Sinker,7,0,0,7,0,7,0,7,Standard,Standard,213,0.0,-0.066,65.5,7.0,,0.066,88.0,7,-7,0.994,0.006,24,26,24,26,1,3,1,2,,3,1.72,1.23,-1.23,35.5
SI,2024-05-01,99.8,-0.99,5.71,"Uribe, Abner",668853,682842,,called_strike,,,,,8,Austin Shenton walks.,R,L,R,MIL,TB,S,,,0,0,2024,-1.27,0.51,-0.27,1.5,680700,,642708,1,8,Top,,,,,,,4.9961176111561425,-145.0732114119313,-7.428969053446573,-19.145335786169184,34.40276119545067,-23.420872420443484,3.48,1.61,,,,100.1,2316,6.5,745996,661388,641343,668930,686554,642715,686894,663368,686217,53.96,,,,,,,,64,1,Sinker,7,0,0,7,0,7,0,7,Standard,Standard,217,0.0,-0.045,,,,0.045,,7,-7,0.994,0.006,24,26,24,26,1,3,1,2,,3,1.79,1.27,-1.27,35.4
