pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
FF,2024-09-28,96.7,-2.98,5.53,"Varland, Louis",668939,686973,field_out,hit_into_play,,,,,4,Adley Rutschman flies out to left fielder Willi Castro.,R,L,R,MIN,BAL,X,7,fly_ball,2,1,2024,-0.49,1.4,-0.42,2.74,,702616,,2,5,Top,33.44,97.79,,,,,8.052649033084865,-140.5452767732539,-5.127946731307883,-8.378622898641146,32.68553831823545,-12.574107902395369,3.41,1.65,337,95.7,36,98.0,2156,7.1,745849,680777,467793,666397,571657,686797,650489,668885,622534,53.36,0.109,0.194,0.0,1,0,0,3,45,4,4-Seam Fastball,0,8,8,0,8,0,8,0,Standard,Standard,213,0.001,-0.311,75.4,6.3,0.379,0.311,95.7,-8,8,0.011,0.989,26,26,27,26,2,3,3,1,,1,1.04,0.49,-0.49,43.8
CH,2024-09-28,88.8,-3.12,5.33,"Varland, Louis",668939,686973,,ball,,,,,11,Adley Rutschman flies out to left fielder Willi Castro.,R,L,R,MIN,BAL,B,,,1,1,2024,-1.05,0.6,-1.51,3.21,,702616,,2,5,Top,,,,,,,6.240646907421834,-129.2695727966338,-0.3998099597238565,-13.0440546277895,26.001189093864745,-25.588509335274953,3.27,1.59,,,,90.4,1570,7.2,745849,680777,467793,666397,571657,686797,650489,668885,622534,53.33,,,,,,,,45,3,Changeup,0,8,8,0,8,0,8,0,Standard,Standard,222,0.0,0.039,,,,-0.039,,-8,8,0.011,0.989,26,26,27,26,2,3,3,1,,1,2.28,1.05,-1.05,35.7
CH,2024-09-28,90.0,-3.0,5.29,"Varland, Louis",668939,686973,,called_strike,,,,,8,Adley Rutschman flies out to left fielder Willi Castro.,R,L,R,MIN,BAL,S,,,1,0,2024,-1.02,0.52,0.26,1.78,,702616,,2,5,Top,,,,,,,10.433380376662878,-130.77705626680708,-3.957825639130387,-13.73633295470338,24.783607305922622,-25.56167712405459,3.26,1.68,,,,92.0,1765,7.3,745849,680777,467793,666397,571657,686797,650489,668885,622534,53.15,,,,,,,,45,2,Changeup,0,8,8,0,8,0,8,0,Standard,Standard,221,0.0,-0.043,,,,0.043,,-8,8,0.011,0.989,26,26,27,26,2,3,3,1,,1,2.28,1.02,-1.02,38.1
SL,2024-09-28,91.3,-3.11,5.45,"Varland, Louis",668939,686973,,ball,,,,,14,Adley Rutschman flies out to left fielder Willi Castro.,R,L,R,MIN,BAL,B,,,0,0,2024,0.18,0.55,0.72,0.85,,702616,,2,5,Top,,,,,,,9.418196164322769,-132.72551951934096,-7.078688139724244,0.4044258416772309,24.11705731350179,-24.38480441046037,3.27,1.56,,,,93.3,2601,7.2,745849,680777,467793,666397,571657,686797,650489,668885,622534,53.31,,,,,,,,45,1,Slider,0,8,8,0,8,0,8,0,Standard,Standard,196,0.0,0.014,,,,-0.014,,-8,8,0.011,0.989,26,26,27,26,2,3,3,1,,1,2.15,-0.18,0.18,44.6
FF,2024-09-28,98.2,-2.66,5.62,"Varland, Louis",702616,686973,double,hit_into_play,,,,,1,Jackson Holliday doubles (4) on a line drive to left fielder Willi Castro.,R,L,R,MIN,BAL,X,7,line_drive,0,0,2024,-0.21,1.33,-0.3,3.28,,,,2,5,Top,39.52,95.44,,,,,6.948447431443124,-142.8212152488302,-3.9889600575545536,-4.443208120785574,32.97276230263794,-13.192589807356024,3.44,1.63,333,97.4,22,99.4,2170,7.0,745849,680777,467793,666397,571657,686797,650489,668885,622534,53.51,0.243,0.298,1.25,1,1,1,5,44,1,4-Seam Fastball,0,8,8,0,8,0,8,0,Strategic,Standard,207,-0.001,0.614,68.7,6.3,0.485,-0.614,97.4,-8,8,0.012,0.988,26,20,27,21,1,3,3,1,,1,1.03,0.21,-0.21,47.5
FF,2024-09-28,97.9,-2.29,5.67,"Varland, Louis",596103,686973,strikeout,called_strike,,,,,9,Austin Slater called out on strikes.,R,R,R,MIN,BAL,S,2,,1,2,2024,-0.29,1.28,0.6,1.92,,,,1,5,Top,,,,,,,8.588400709419535,-142.30554410263204,-7.717059427144361,-5.857510299458686,31.02476136011388,-13.15878376212982,3.22,1.59,,,,99.4,2194,7.0,745849,680777,467793,666397,571657,686797,650489,668885,622534,53.45,,0.0,0.0,1,0,0,,43,5,4-Seam Fastball,0,8,8,0,8,0,8,0,Standard,Standard,204,0.001,-0.182,,,,0.182,,-8,8,0.011,0.989,26,31,27,32,1,2,3,2,,1,1.09,0.29,0.29,56.7
SL,2024-09-28,91.0,-2.74,5.48,"Varland, Louis",596103,686973,,foul,,,,,5,Austin Slater called out on strikes.,R,R,R,MIN,BAL,S,,,1,2,2024,0.26,0.36,-0.17,2.6,,,,1,5,Top,,,,,,,5.9717641745509615,-132.5478939756174,-2.2004630235897467,1.9676077423419969,24.141758445877223,-27.622953373713703,3.35,1.63,128,77.7,10,92.9,2484,7.0,745849,680777,467793,666397,571657,686797,650489,668885,622534,53.49,,,,,,,,43,4,Slider,0,8,8,0,8,0,8,0,Standard,Standard,152,0.0,0.0,73.2,7.1,,0.0,88.0,-8,8,0.011,0.989,26,31,27,32,1,2,3,2,,1,2.35,-0.26,-0.26,45.0
SL,2024-09-28,91.6,-2.57,5.57,"Varland, Louis",596103,686973,,ball,,,,,14,Austin Slater called out on strikes.,R,R,R,MIN,BAL,B,,,0,2,2024,0.1,0.34,1.21,1.68,,,,1,5,Top,,,,,,,9.419319543328315,-133.16178938805638,-4.792504379482449,-0.5413713810510404,24.935196180624256,-27.389031143738187,3.25,1.59,,,,93.0,2413,6.9,745849,680777,467793,666397,571657,686797,650489,668885,622534,53.61,,,,,,,,43,3,Slider,0,8,8,0,8,0,8,0,Standard,Standard,170,0.0,0.02,,,,-0.02,,-8,8,0.011,0.989,26,31,27,32,1,2,3,2,,1,2.36,-0.1,-0.1,43.0
SL,2024-09-28,90.5,-2.75,5.54,"Varland, Louis",596103,686973,,foul_tip,,,,,6,Austin Slater called out on strikes.,R,R,R,MIN,BAL,S,,,0,1,2024,0.24,0.43,0.53,2.62,,,,1,5,Top,,,,,,,7.77550276076783,-131.78846651248443,-2.395909068584435,1.4529413762240295,24.073565712459963,-26.7863538579538,3.35,1.63,,,,92.3,2522,7.0,745849,680777,467793,666397,571657,686797,650489,668885,622534,53.47,,,,,,,,43,2,Slider,0,8,8,0,8,0,8,0,Standard,Standard,161,0.0,-0.057,74.3,6.4,,0.057,,-8,8,0.011,0.989,26,31,27,32,1,2,3,2,,1,2.31,-0.24,-0.24,42.4
FF,2024-09-28,97.9,-2.69,5.63,"Varland, Louis",596103,686973,,swinging_strike,,,,,11,Austin Slater called out on strikes.,R,R,R,MIN,BAL,S,,,0,0,2024,-0.79,1.32,-0.47,3.65,,,,1,5,Top,,,,,,,7.884046192132943,-142.4683067857376,-2.9471332174659572,-12.57656918306357,31.143284095242393,-13.686875311091262,3.35,1.63,,,,99.0,2130,6.8,745849,680777,467793,666397,571657,686797,650489,668885,622534,53.71,,,,,,,,43,1,4-Seam Fastball,0,8,8,0,8,0,8,0,Standard,Standard,210,0.0,-0.037,45.2,4.7,,0.037,,-8,8,0.011,0.989,26,31,27,32,1,2,3,2,,1,1.05,0.79,0.79,46.1
